Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,15000.0,5.59,5.68,5.7,5.3,5.6,0.01
2024-01-02,6500.0,5.6,5.88,5.88,5.36,5.36,-0.24
2024-01-03,98000.0,5.36,5.13,5.9,5.13,5.51,0.15
2024-01-04,1500.0,5.51,5.8,5.8,5.41,5.41,-0.1
2024-01-05,55500.0,5.41,5.85,5.85,5.85,5.85,0.44
2024-01-08,101000.0,5.85,5.42,5.78,5.42,5.78,-0.07
2024-01-09,12000.0,5.78,6.19,6.19,5.5,5.52,-0.26
2024-01-10,100500.0,5.52,5.55,5.55,5.55,5.55,0.03
2024-01-11,89500.0,5.55,5.7,5.7,5.7,5.7,0.15
2024-01-12,500.0,5.7,5.5,5.5,5.5,5.5,-0.2
2024-01-15,73500.0,5.5,5.9,5.9,5.5,5.79,0.29
2024-01-16,42000.0,5.79,5.3,5.3,5.3,5.3,-0.49
2024-01-17,101500.0,5.3,5.25,5.75,5.25,5.63,0.33
2024-01-18,43500.0,5.63,5.11,5.65,5.11,5.63,0.0
2024-01-19,53000.0,5.63,5.23,5.23,5.23,5.23,-0.4
2024-01-22,35000.0,5.23,5.25,5.55,5.25,5.45,0.22
2024-01-23,1000.0,5.45,5.27,5.64,5.27,5.46,0.01
2024-01-25,31500.0,5.46,5.16,5.55,5.16,5.55,0.09
2024-01-26,103000.0,5.55,5.14,5.48,5.05,5.48,-0.07
2024-01-29,76500.0,5.48,5.05,5.34,5.05,5.34,-0.14
2024-01-30,11500.0,5.34,5.05,5.34,5.01,5.34,0.0
2024-01-31,8500.0,5.34,5.2,5.34,5.2,5.34,0.0
2024-02-01,33000.0,5.34,0.0,0.0,0.0,5.34,0.0
2024-02-02,1000.0,5.34,5.32,5.32,5.32,5.32,-0.02
2024-02-06,2000.0,5.32,5.01,5.34,5.01,5.34,0.02
2024-02-07,7000.0,5.34,5.06,5.3,5.06,5.29,-0.05
2024-02-09,1000.0,5.29,5.44,5.47,5.44,5.47,0.18
2024-02-12,17000.0,5.47,5.35,5.36,4.89,5.12,-0.35
2024-02-14,7000.0,5.12,4.92,5.45,4.92,5.45,0.33
2024-02-16,7000.0,5.45,5.0,5.27,5.0,5.26,-0.19
2024-02-20,24000.0,5.26,5.75,5.75,5.05,5.33,0.07
2024-02-21,36000.0,5.33,5.06,5.21,5.06,5.21,-0.12
2024-02-22,4000.0,5.21,5.11,5.13,5.11,5.12,-0.09
2024-02-23,3000.0,5.12,5.25,5.25,5.25,5.25,0.13
2024-02-28,500.0,5.25,5.1,5.1,5.1,5.1,-0.15
2024-03-01,1500.0,5.1,5.01,5.01,4.85,4.92,-0.18
2024-03-04,39500.0,4.92,5.28,5.3,5.28,5.29,0.37
2024-03-06,75000.0,5.29,5.0,5.19,4.95,4.95,-0.34
2024-03-07,1500.0,4.95,4.82,4.85,4.82,4.85,-0.1
2024-03-08,26000.0,4.85,4.85,5.0,4.85,5.0,0.15
2024-03-11,6000.0,5.0,5.0,5.0,4.94,4.94,-0.06
2024-03-12,500.0,4.94,4.87,4.87,4.87,4.87,-0.07
2024-03-13,25000.0,4.87,0.0,0.0,0.0,4.87,0.0
2024-03-14,17000.0,4.87,0.0,0.0,0.0,4.87,0.0
2024-03-18,35000.0,4.87,0.0,0.0,0.0,4.87,0.0
2024-03-20,154000.0,4.87,4.76,5.0,4.75,4.75,-0.12
2024-03-21,25000.0,4.75,0.0,0.0,0.0,4.75,0.0
2024-03-22,4000.0,4.75,4.81,4.81,4.6,4.75,0.0
2024-03-25,1500.0,4.75,4.69,4.7,4.69,4.7,-0.05
2024-03-27,27000.0,4.7,0.0,0.0,0.0,4.7,0.0
2024-03-28,154000.0,4.7,4.99,5.1,4.56,4.97,0.27
2024-03-29,500.0,4.97,5.16,5.16,5.16,5.16,0.19
2024-04-01,25500.0,5.16,4.78,4.78,4.78,4.78,-0.38
2024-04-02,1500.0,4.78,4.65,4.65,4.62,4.62,-0.16
2024-04-03,57000.0,4.62,4.68,5.0,4.65,4.71,0.09
2024-04-04,14500.0,4.71,4.63,5.2,4.62,5.2,0.49
2024-04-08,13000.0,5.2,4.92,5.23,4.9,5.15,-0.05
2024-04-09,4500.0,5.15,4.75,5.15,4.75,5.15,0.0
2024-04-15,5500.0,5.15,5.47,5.47,4.99,4.99,-0.16
2024-04-16,1000.0,4.99,4.8,5.19,4.8,5.19,0.2
2024-04-17,500.0,5.19,5.13,5.13,5.13,5.13,-0.06
2024-04-18,13000.0,5.13,5.16,5.25,4.91,5.25,0.12
2024-04-19,8500.0,5.25,5.19,5.28,4.82,5.2,-0.05
2024-04-22,19000.0,5.2,4.8,5.3,4.8,5.29,0.09
2024-04-23,1000.0,5.29,4.9,5.13,4.9,5.13,-0.16
2024-04-24,6000.0,5.13,5.01,5.19,5.0,5.19,0.06
2024-04-25,2000.0,5.19,5.25,5.25,5.25,5.25,0.06
2024-04-26,1500.0,5.25,5.1,5.55,5.1,5.55,0.3
2024-04-29,2500.0,5.55,4.96,5.49,4.96,5.27,-0.28
2024-04-30,38000.0,5.27,5.06,5.26,4.85,5.03,-0.24
2024-05-02,3000.0,5.03,5.14,5.14,5.14,5.14,0.11
2024-05-03,1000.0,5.14,5.0,5.0,5.0,5.0,-0.14
2024-05-06,17500.0,5.0,5.1,5.2,4.87,4.97,-0.03
2024-05-07,19000.0,4.97,5.0,5.0,4.91,5.0,0.03
2024-05-08,4500.0,5.0,4.66,5.0,4.66,5.0,0.0
2024-05-10,67500.0,5.0,5.0,5.2,5.0,5.0,0.0
2024-05-13,53000.0,5.0,5.0,5.0,5.0,5.0,0.0
2024-05-14,141000.0,5.0,5.0,5.3,4.85,5.15,0.15
2024-05-15,18500.0,5.15,5.0,5.35,5.0,5.34,0.19
2024-05-16,22000.0,5.34,5.28,5.35,5.28,5.35,0.01
2024-05-20,4500.0,5.35,5.06,5.06,5.05,5.05,-0.3
2024-05-21,8000.0,5.05,5.39,5.39,5.06,5.06,0.01
2024-05-22,51500.0,5.06,5.38,5.5,5.3,5.41,0.35
2024-05-23,241000.0,5.41,5.41,5.41,5.16,5.21,-0.2
2024-05-24,249500.0,5.21,5.22,5.49,5.22,5.4,0.19
2024-05-27,6667.0,5.4,5.3,5.5,5.3,5.5,0.1
2024-05-29,41503.0,5.5,5.69,5.69,5.2,5.61,0.11
2024-05-30,1149.0,5.61,5.3,5.33,5.3,5.33,-0.28
2024-05-31,32.0,5.33,5.69,5.69,5.04,5.33,0.0
2024-06-03,2505.0,5.33,5.6,5.6,5.1,5.58,0.25
2024-06-04,50151.0,5.58,5.08,5.48,5.08,5.58,0.0
2024-06-05,70003.0,5.58,5.74,5.74,5.0,5.04,-0.54
2024-06-06,57121.0,5.04,5.24,5.24,5.0,5.09,0.05
2024-06-07,58000.0,5.09,5.1,5.18,5.1,5.15,0.06
2024-06-10,47100.0,5.15,5.0,5.0,5.0,5.15,0.0
2024-06-11,57001.0,5.15,5.33,5.33,5.0,5.25,0.1
2024-06-12,125900.0,5.25,5.0,5.0,5.0,5.0,-0.25
2024-06-13,115002.0,5.0,5.4,5.4,4.67,4.78,-0.22
2024-06-14,97884.0,4.78,5.05,5.08,4.82,4.9,0.12
2024-06-20,119604.0,4.9,5.15,5.18,5.03,5.18,0.28
2024-06-21,1502.0,5.18,4.95,5.05,4.62,4.73,-0.45
2024-06-24,41103.0,4.73,5.09,5.09,4.61,4.92,0.19
2024-06-25,55000.0,4.92,0.0,0.0,0.0,4.92,0.0
2024-06-26,62902.0,4.92,4.56,4.9,4.56,4.7,-0.22
2024-06-27,32035.0,4.7,4.51,4.83,4.51,4.59,-0.11
2024-06-28,31104.0,4.59,4.89,4.99,4.89,4.59,0.0
2024-07-01,1500.0,4.59,4.97,4.97,4.85,4.88,0.29
2024-07-02,24738.0,4.88,4.85,4.97,4.65,4.9,0.02
2024-07-03,2656.0,4.9,4.9,5.0,4.71,5.0,0.1
2024-07-04,101.0,5.0,5.08,5.08,4.77,5.0,0.0
2024-07-05,200.0,5.0,5.09,5.12,5.09,5.0,0.0
2024-07-08,100.0,5.0,5.19,5.19,5.19,5.0,0.0
2024-07-10,21173.0,5.0,5.16,5.16,4.78,4.99,-0.01
2024-07-11,19505.0,4.99,4.76,5.0,4.75,5.0,0.01
2024-07-12,29005.0,5.0,4.67,5.14,4.66,5.1,0.1
2024-07-15,1608.0,5.1,4.83,4.99,4.82,4.87,-0.23
2024-07-18,16223.0,4.87,4.6,5.08,4.6,5.04,0.17
2024-07-19,4205.0,5.04,4.63,4.99,4.62,4.77,-0.27
2024-07-22,1981.0,4.77,4.52,4.95,4.52,4.9,0.13
2024-07-23,211.0,4.9,4.56,4.97,4.56,4.9,0.0
2024-07-24,8507.0,4.9,4.99,4.99,4.61,4.94,0.04
2024-07-25,73498.0,4.94,4.61,5.48,4.61,5.35,0.41
2024-07-26,5077.0,5.35,4.73,5.48,4.73,5.13,-0.22
2024-07-29,8500.0,5.13,5.15,5.29,5.1,5.1,-0.03
2024-07-30,23695.0,5.1,5.45,5.45,5.01,5.39,0.29
2024-07-31,6775.0,5.39,5.39,5.58,5.01,5.5,0.11
2024-08-01,6120.0,5.5,4.67,5.58,4.67,5.49,-0.01
2024-08-02,10006.0,5.49,5.49,5.57,5.21,5.55,0.06
2024-08-05,8.0,5.55,4.96,5.52,4.96,5.55,0.0
2024-08-06,14.0,5.55,4.88,5.3,4.88,5.55,0.0
2024-08-07,12279.0,5.55,5.53,5.53,4.95,4.97,-0.58
