Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6000.0,104.0,106.0,108.0,106.0,108.0,4.0
2024-01-02,12500.0,108.0,109.0,112.0,109.0,111.5,3.5
2024-01-03,53500.0,111.5,111.0,119.86,111.0,119.86,8.36
2024-01-04,16000.0,119.86,120.05,122.0,119.85,122.0,2.14
2024-01-05,15500.0,122.0,125.0,128.0,123.0,127.95,5.95
2024-01-08,2000.0,127.95,129.0,129.0,123.5,123.6,-4.35
2024-01-09,7000.0,123.6,120.0,124.0,120.0,123.75,0.15
2024-01-10,1000.0,123.75,121.33,121.33,121.0,121.0,-2.75
2024-01-11,25000.0,121.0,120.01,120.01,118.0,119.29,-1.71
2024-01-12,8000.0,119.29,121.0,121.0,118.0,118.6,-0.69
2024-01-15,12000.0,118.6,118.0,118.0,117.0,117.17,-1.43
2024-01-16,25000.0,117.17,113.25,122.0,113.0,121.0,3.83
2024-01-17,1000.0,121.0,121.0,121.25,121.0,121.25,0.25
2024-01-19,1500.0,121.25,119.89,120.0,119.89,119.96,-1.29
2024-01-24,3000.0,119.96,120.0,122.0,114.0,119.5,-0.46
2024-01-25,500.0,119.5,121.95,121.95,121.95,121.95,2.45
2024-01-29,7000.0,121.95,115.19,118.89,115.0,118.89,-3.06
2024-01-30,2000.0,118.89,114.5,116.0,114.5,116.0,-2.89
2024-01-31,1000.0,116.0,113.0,113.0,113.0,113.0,3.0
2024-02-01,3500.0,113.0,109.1,115.0,109.0,114.99,1.99
2024-02-02,6000.0,114.99,113.25,114.0,111.0,112.5,-2.49
2024-02-06,1000.0,112.5,112.5,112.5,112.5,112.5,0.0
2024-02-07,36500.0,112.5,108.11,109.89,105.0,106.81,-5.69
2024-02-12,5500.0,106.81,100.0,103.88,100.0,103.88,-2.93
2024-02-13,27500.0,103.88,100.0,105.0,100.0,105.0,1.12
2024-02-14,15500.0,105.0,105.0,105.0,100.0,101.49,-3.51
2024-02-15,20000.0,101.49,103.0,103.0,95.06,96.28,-5.21
2024-02-16,23000.0,96.28,98.95,99.5,89.25,91.92,-4.36
2024-02-19,71500.0,91.92,90.02,93.5,89.5,90.02,-1.9
2024-02-20,235500.0,90.02,87.0,92.0,85.0,88.5,-1.52
2024-02-21,136000.0,88.5,85.5,91.0,85.0,86.83,-1.67
