Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,8500.0,80.0,82.0,83.7,81.99,82.67,2.67
2024-01-02,1000.0,82.67,82.67,82.67,82.49,82.49,-0.18
2024-01-03,12000.0,82.49,81.0,83.0,79.0,82.03,-0.46
2024-01-04,4000.0,82.03,83.0,83.0,82.9,82.9,0.87
2024-01-05,1500.0,82.9,81.0,82.99,80.5,82.99,0.09
2024-01-08,5500.0,82.99,80.5,81.5,80.0,80.0,-2.99
2024-01-09,4000.0,80.0,79.5,80.0,77.0,79.5,-0.5
2024-01-11,500.0,79.5,81.0,81.0,81.0,81.0,1.5
2024-01-17,1000.0,81.0,80.0,80.0,79.5,79.5,-1.5
2024-01-18,1500.0,75.5,78.0,78.0,76.0,76.0,0.5
2024-01-25,500.0,76.0,79.0,79.0,79.0,79.0,3.0
2024-01-30,1500.0,79.0,80.0,80.0,77.0,77.0,2.0
2024-02-07,1000.0,77.0,71.25,71.25,71.25,71.25,-5.75
2024-02-09,500.0,71.25,75.0,75.0,75.0,75.0,3.75
2024-02-13,500.0,75.0,75.95,75.95,75.95,75.95,0.95
2024-02-21,21000.0,75.95,74.0,78.31,74.0,78.31,2.36
2024-02-29,500.0,78.31,72.44,72.44,72.44,72.44,-5.87
2024-03-07,187500.0,72.44,68.1,68.1,68.01,68.01,-4.43
2024-03-08,500.0,68.01,68.01,68.01,68.01,68.01,0.0
2024-03-15,500.0,68.01,68.0,68.0,68.0,68.0,-0.01
2024-03-22,500.0,68.0,68.0,68.0,68.0,68.0,0.0
2024-03-27,23000.0,68.0,67.9,72.9,67.9,70.4,2.4
2024-04-19,500.0,70.4,70.5,70.5,70.5,70.5,0.1
2024-04-22,500.0,70.5,65.25,65.25,65.25,65.25,-5.25
2024-04-24,23500.0,65.25,69.98,70.14,69.98,70.14,4.89
2024-04-25,3000.0,70.14,74.55,75.4,74.55,75.4,5.26
2024-04-26,11000.0,75.4,79.99,81.05,79.99,81.05,5.65
2024-04-29,15500.0,81.05,85.0,87.13,84.89,87.09,6.04
2024-04-30,12000.0,87.09,91.99,92.85,88.0,91.34,4.25
2024-05-02,3000.0,91.34,92.75,94.74,92.75,93.5,2.16
2024-05-06,10500.0,93.5,92.5,100.0,92.5,100.0,6.5
2024-05-07,5500.0,100.0,96.0,97.9,96.0,97.9,-2.1
2024-05-09,1000.0,97.9,91.0,95.89,91.0,95.89,-2.01
2024-05-13,3000.0,95.89,90.0,95.74,90.0,95.74,-0.15
2024-05-15,1500.0,95.74,95.74,95.74,89.1,89.1,-6.64
2024-05-20,9500.0,89.1,89.9,93.9,89.9,93.9,4.8
2024-05-21,43500.0,93.9,97.0,100.94,94.0,100.0,6.1
2024-05-23,8000.0,100.0,100.0,100.0,92.5,98.55,-1.45
2024-05-24,500.0,98.55,103.0,103.0,103.0,103.0,4.45
2024-05-27,4102.0,103.0,108.74,108.74,100.0,102.0,1.0
2024-05-29,4000.0,102.0,94.03,104.0,94.03,102.0,0.0
2024-05-30,11652.0,102.0,96.01,105.0,96.01,105.0,3.0
2024-05-31,36821.0,105.0,104.0,106.0,104.0,106.0,1.0
2024-06-03,2048.0,106.0,100.0,105.0,100.0,100.01,-5.99
2024-06-04,2000.0,100.01,100.0,100.0,100.0,100.0,-0.01
2024-06-05,1800.0,100.0,103.0,104.5,103.0,100.0,0.0
2024-06-06,232.0,100.0,99.75,101.99,95.0,100.0,0.0
2024-06-07,1.0,100.0,104.0,104.0,104.0,100.0,0.0
2024-06-11,3601.0,100.0,103.0,103.0,101.98,102.67,2.67
2024-06-12,3.0,102.67,103.0,103.0,94.01,102.67,0.0
2024-06-14,69.0,102.67,94.0,102.0,94.0,102.67,0.0
2024-06-20,15000.0,102.67,0.0,0.0,0.0,102.67,0.0
2024-06-25,221.0,102.67,94.1,94.1,94.01,102.67,0.0
2024-06-26,125.0,102.67,100.0,100.0,99.0,102.67,0.0
2024-06-28,2.0,102.67,93.43,99.98,93.43,102.67,0.0
2024-07-03,141.0,102.67,99.0,99.99,99.0,102.67,0.0
