Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1016969.0,30.95,31.5,32.47,31.49,32.13,1.18
2024-01-02,1017245.0,32.13,32.05,32.06,30.9,31.14,-0.99
2024-01-03,1600359.0,31.14,31.1,31.8,30.95,31.04,-0.1
2024-01-04,854415.0,31.04,31.04,31.5,29.8,30.61,-0.43
2024-01-05,981582.0,30.61,31.0,31.19,30.0,30.4,-0.21
2024-01-08,861442.0,30.4,30.9,31.1,30.41,30.61,0.21
2024-01-09,551721.0,30.61,30.51,30.88,30.2,30.47,-0.14
2024-01-10,273485.0,30.47,30.52,31.22,30.1,30.77,0.3
2024-01-11,857480.0,30.77,30.6,31.73,30.55,31.17,0.4
2024-01-12,262009.0,31.17,31.5,31.5,30.9,31.25,0.08
2024-01-15,312264.0,31.25,31.48,31.75,31.08,31.1,-0.15
2024-01-16,736667.0,31.1,31.45,32.0,30.8,31.1,0.0
2024-01-17,242392.0,31.1,31.31,31.45,31.0,31.22,0.12
2024-01-18,236148.0,31.22,30.99,31.2,30.55,30.99,-0.23
2024-01-19,387808.0,30.99,31.4,31.49,30.88,31.27,0.28
2024-01-22,736893.0,31.27,31.5,32.6,31.12,32.16,0.89
2024-01-23,1608393.0,32.16,32.02,32.7,31.15,32.51,0.35
2024-01-24,775187.0,32.51,32.5,33.0,32.0,32.27,-0.24
2024-01-25,672332.0,32.27,32.6,32.9,31.55,31.83,-0.44
2024-01-26,207.0,31.64,31.6,31.75,31.5,31.5,-0.14
2024-01-29,615732.0,31.53,31.15,31.25,30.5,30.57,-0.96
2024-01-30,313545.0,30.57,30.41,31.2,30.4,30.5,-0.07
2024-01-31,234448.0,30.5,30.52,30.97,30.2,30.51,0.01
2024-02-01,688295.0,30.51,30.99,30.99,30.0,30.12,-0.39
2024-02-02,858053.0,30.12,30.47,31.19,30.15,30.38,0.26
2024-02-06,483980.0,30.38,30.33,31.74,30.33,31.65,1.27
2024-02-07,214867.0,31.65,31.5,32.24,31.3,31.8,0.15
2024-02-09,295745.0,31.8,31.3,31.8,29.8,31.61,-0.19
2024-02-12,664401.0,31.61,31.4,31.95,30.1,30.45,-1.16
2024-02-13,658449.0,30.45,30.05,31.25,30.0,30.91,0.46
2024-02-14,378318.0,30.91,31.2,32.45,31.01,32.29,1.38
2024-02-15,677479.0,32.29,32.26,33.0,31.3,31.54,-0.75
2024-02-16,535898.0,31.54,31.6,31.9,30.65,30.74,-0.8
2024-02-19,339791.0,30.74,30.99,31.1,30.3,30.63,-0.11
2024-02-20,869332.0,30.63,30.51,31.2,30.5,30.68,0.05
2024-02-21,493.0,30.83,31.3,31.3,31.0,31.0,0.17
2024-02-22,3439241.0,30.94,31.3,31.5,29.0,30.69,-0.25
2024-02-23,1687333.0,30.69,31.0,31.3,30.51,31.02,0.33
2024-02-26,635626.0,31.02,31.11,31.45,31.11,31.33,0.31
2024-02-27,887561.0,31.33,31.8,31.8,31.16,31.43,0.1
2024-02-28,562536.0,31.43,30.91,31.8,30.91,31.52,0.09
2024-02-29,1404210.0,31.52,31.55,32.0,31.55,31.9,0.38
2024-03-01,726493.0,29.4,29.9,29.95,28.92,29.07,-0.33
2024-03-04,1220614.0,29.07,29.18,29.3,28.9,28.99,-0.08
2024-03-05,2110089.0,28.99,29.14,29.15,27.75,28.19,-0.8
2024-03-06,590531.0,28.19,28.5,28.5,28.0,28.04,-0.15
2024-03-07,2299271.0,28.04,28.31,29.1,28.0,28.85,0.81
2024-03-08,586557.0,28.85,29.06,29.29,28.75,29.11,0.26
2024-03-11,968057.0,29.11,28.66,30.59,28.62,30.4,1.29
2024-03-12,287702.0,30.4,30.6,30.79,29.7,29.78,-0.62
2024-03-13,151175.0,29.78,30.0,30.25,29.3,29.44,-0.34
2024-03-14,280226.0,29.44,29.5,30.0,29.5,30.0,0.56
2024-03-15,80427.0,30.0,29.72,30.1,29.72,29.8,-0.2
2024-03-18,755853.0,29.8,29.93,30.1,29.69,30.0,0.2
2024-03-19,164682.0,30.0,30.2,30.2,29.7,29.75,-0.25
2024-03-20,229149.0,29.75,29.6,30.05,29.6,29.74,-0.01
2024-03-21,250545.0,29.74,29.75,30.0,29.4,29.51,-0.23
2024-03-22,143077.0,29.51,29.9,30.0,29.4,29.66,0.15
2024-03-25,513612.0,29.66,29.67,29.98,29.5,29.53,-0.13
2024-03-26,257.0,30.0,29.55,29.55,29.1,29.15,-0.85
2024-03-27,1458861.0,29.08,29.5,29.9,29.1,29.35,0.27
2024-03-28,499117.0,29.35,29.75,29.95,29.25,29.35,0.0
2024-03-29,315455.0,29.35,29.7,29.75,29.4,29.5,0.15
2024-04-01,182584.0,29.5,29.41,29.95,29.41,29.78,0.28
2024-04-02,146816.0,29.78,30.0,30.0,29.51,29.57,-0.21
2024-04-03,100639.0,29.57,29.7,29.89,29.5,29.74,0.17
2024-04-04,246231.0,29.74,29.94,30.49,29.75,30.36,0.62
2024-04-08,1496698.0,30.36,30.0,32.2,30.0,31.64,1.28
2024-04-09,407522.0,31.64,32.0,32.01,31.2,31.91,0.27
2024-04-15,701992.0,31.91,31.51,32.99,31.51,32.45,0.54
2024-04-16,1003959.0,32.45,32.25,32.65,31.71,31.86,-0.59
2024-04-17,469869.0,31.86,31.8,32.75,31.65,32.12,0.26
2024-04-18,463920.0,32.12,32.6,32.6,31.7,32.29,0.17
2024-04-19,295720.0,32.29,32.1,32.4,32.06,32.26,-0.03
2024-04-22,3609175.0,32.26,32.1,33.49,32.08,32.28,0.02
2024-04-23,1789773.0,32.28,32.2,32.9,31.7,31.98,-0.3
2024-04-24,2359097.0,31.98,31.9,32.69,31.7,31.74,-0.24
2024-04-25,4549474.0,31.74,31.75,32.99,30.99,32.38,0.64
2024-04-26,3219322.0,32.38,32.15,33.8,32.15,33.52,1.14
2024-04-29,3838497.0,33.52,33.78,35.0,33.77,34.22,0.7
2024-04-30,1616493.0,34.22,34.28,34.7,33.5,33.56,-0.66
2024-05-02,1528223.0,33.56,33.9,34.2,33.62,33.99,0.43
2024-05-03,2304091.0,31.99,32.2,32.39,31.5,31.68,-0.31
2024-05-06,2239632.0,31.68,31.77,32.6,31.72,32.43,0.75
2024-05-07,724519.0,32.43,32.5,32.75,32.0,32.51,0.08
2024-05-08,587694.0,32.51,32.76,33.4,32.76,33.19,0.68
2024-05-09,2210776.0,33.19,33.2,35.15,33.02,34.95,1.76
2024-05-10,1143642.0,34.95,35.6,36.0,34.85,35.89,0.94
2024-05-13,592886.0,35.89,35.8,35.8,34.5,34.75,-1.14
2024-05-14,433620.0,34.75,34.51,34.95,34.2,34.41,-0.34
2024-05-15,698995.0,34.41,35.0,35.0,33.76,33.85,-0.56
2024-05-16,964005.0,33.85,33.76,34.1,33.05,33.98,0.13
2024-05-17,465409.0,33.98,34.0,34.65,33.71,34.51,0.53
2024-05-20,1455169.0,34.51,34.59,36.77,34.25,36.26,1.75
2024-05-21,1063362.0,36.26,36.9,37.0,35.0,36.53,0.27
2024-05-22,3202406.0,36.53,36.7,39.27,36.7,39.27,2.74
2024-05-23,3886444.0,39.27,40.65,41.8,37.62,39.9,0.63
2024-05-24,1083169.0,39.9,40.4,40.4,38.0,38.32,-1.58
2024-05-27,1334175.0,38.32,38.0,38.3,35.75,36.25,-2.07
2024-05-29,861502.0,36.25,36.9,37.2,36.2,36.5,0.25
2024-05-30,493371.0,36.5,36.9,36.9,36.4,36.67,0.17
2024-05-31,532584.0,36.67,36.8,37.87,36.55,37.24,0.57
2024-06-03,308166.0,37.24,37.2,37.5,36.57,37.25,0.01
2024-06-04,333939.0,37.25,37.25,37.79,36.94,36.99,-0.26
2024-06-05,234817.0,36.99,37.01,37.25,36.53,36.74,-0.25
