Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,274500.0,6.38,6.65,6.87,6.42,6.7,0.32
2024-01-02,188000.0,6.7,6.8,7.0,6.62,6.65,-0.05
2024-01-03,18000.0,6.65,6.8,6.95,6.6,6.72,0.07
2024-01-04,62500.0,6.72,6.72,6.84,6.4,6.84,0.12
2024-01-05,70500.0,6.84,6.41,6.7,6.01,6.7,-0.14
2024-01-08,6500.0,6.7,6.7,6.7,6.45,6.45,-0.25
2024-01-09,18500.0,6.45,6.47,6.66,6.46,6.64,0.19
2024-01-10,57500.0,6.64,6.93,6.93,6.35,6.36,-0.28
2024-01-11,92500.0,6.36,6.22,6.69,6.22,6.57,0.21
2024-01-12,85000.0,6.57,6.55,6.62,6.3,6.38,-0.19
2024-01-15,20000.0,6.38,6.5,6.65,6.4,6.41,0.03
2024-01-16,38500.0,6.41,6.31,6.7,6.1,6.4,-0.01
2024-01-17,115000.0,6.4,6.22,6.28,6.11,6.19,-0.21
2024-01-18,2125000.0,6.19,6.02,7.19,5.45,7.06,0.87
2024-01-19,2298500.0,7.06,7.35,7.49,6.39,6.57,-0.49
2024-01-22,152000.0,6.57,6.67,6.7,6.31,6.4,-0.17
2024-01-23,128000.0,6.4,6.54,6.55,6.32,6.47,0.07
2024-01-24,78500.0,6.47,6.32,6.6,6.32,6.49,0.02
2024-01-25,69000.0,6.49,6.65,6.85,6.45,6.52,0.03
2024-01-26,111000.0,6.52,6.7,6.75,6.7,6.7,0.18
2024-01-29,288500.0,6.7,6.5,6.5,6.0,6.04,-0.66
2024-01-30,451500.0,6.04,6.34,6.34,5.62,5.85,-0.19
2024-01-31,162500.0,5.85,5.99,6.15,5.75,5.88,0.03
2024-02-01,107000.0,5.88,6.09,6.14,5.85,5.98,0.1
2024-02-02,9000.0,5.98,6.14,6.15,6.05,6.06,0.08
2024-02-06,27000.0,6.06,6.15,6.23,6.09,6.09,0.03
2024-02-07,130500.0,6.09,6.06,6.15,5.97,6.0,-0.09
2024-02-09,21500.0,6.0,5.95,6.18,5.86,6.0,0.0
2024-02-12,134500.0,6.0,5.95,5.95,5.49,5.55,-0.45
2024-02-13,158000.0,5.55,5.55,6.0,5.4,5.76,0.21
2024-02-14,85500.0,5.76,5.7,6.0,5.7,5.98,0.22
2024-02-15,17500.0,5.98,5.73,5.84,5.73,5.8,-0.18
2024-02-16,132500.0,5.8,5.66,5.7,5.12,5.7,-0.1
2024-02-19,24000.0,5.7,5.52,5.75,5.52,5.68,-0.02
2024-02-20,43500.0,5.68,5.65,5.9,5.65,5.69,0.01
2024-02-21,31500.0,5.69,5.66,5.7,5.66,5.7,0.01
2024-02-22,12000.0,5.7,5.73,5.75,5.7,5.75,0.05
2024-02-23,72500.0,5.75,5.71,5.95,5.7,5.75,0.0
2024-02-26,42500.0,5.75,5.89,5.99,5.8,5.9,0.15
2024-02-27,27500.0,5.9,5.8,5.9,5.72,5.88,-0.02
2024-02-28,14000.0,5.88,5.9,5.99,5.9,5.95,0.07
2024-02-29,56500.0,5.95,6.0,6.0,5.65,5.81,-0.14
2024-03-01,136500.0,5.81,5.72,5.8,5.51,5.59,-0.22
2024-03-04,89500.0,5.59,5.67,5.68,5.6,5.63,0.04
2024-03-05,49000.0,5.63,5.58,5.67,5.5,5.56,-0.07
2024-03-06,31000.0,5.56,5.51,5.63,5.5,5.59,0.03
2024-03-07,103000.0,5.59,5.51,5.6,5.4,5.56,-0.03
2024-03-08,87500.0,5.56,5.47,5.57,5.45,5.53,-0.03
2024-03-11,272000.0,5.53,5.65,5.79,5.6,5.67,0.14
2024-03-12,47500.0,5.67,5.6,5.6,5.4,5.42,-0.25
2024-03-13,122000.0,5.42,5.58,5.58,5.4,5.42,0.0
2024-03-14,13500.0,5.42,5.55,5.55,5.45,5.45,0.03
2024-03-15,18500.0,5.45,5.51,5.59,5.51,5.58,0.13
2024-03-18,70500.0,5.58,5.7,5.85,5.41,5.45,-0.13
2024-03-19,12000.0,5.45,5.64,5.64,5.46,5.47,0.02
2024-03-20,28000.0,5.47,5.64,5.88,5.55,5.56,0.09
2024-03-21,52500.0,5.56,5.53,5.65,5.41,5.56,0.0
2024-03-22,11000.0,5.56,5.56,5.75,5.5,5.57,0.01
2024-03-25,17000.0,5.57,5.52,5.74,5.52,5.59,0.02
2024-03-26,33500.0,5.59,5.7,5.7,5.52,5.54,-0.05
2024-03-27,1500.0,5.54,5.68,5.68,5.6,5.6,0.06
2024-03-28,32500.0,5.6,5.73,5.73,5.45,5.52,-0.08
2024-03-29,7000.0,5.52,5.67,5.67,5.53,5.6,0.08
2024-04-01,55500.0,5.6,5.45,5.54,5.43,5.45,-0.15
2024-04-02,64000.0,5.45,5.41,5.64,5.4,5.42,-0.03
2024-04-03,80000.0,5.42,5.49,5.6,5.48,5.55,0.13
2024-04-04,13000.0,5.55,5.6,5.6,5.54,5.54,-0.01
2024-04-08,15000.0,5.54,5.68,5.68,5.48,5.51,-0.03
2024-04-09,24000.0,5.51,5.46,5.6,5.45,5.51,0.0
2024-04-15,16500.0,5.51,5.66,5.66,5.45,5.54,0.03
2024-04-16,114000.0,5.54,5.5,5.9,5.46,5.47,-0.07
2024-04-17,90000.0,5.47,5.52,5.65,5.46,5.6,0.13
2024-04-18,23500.0,5.6,5.59,5.6,5.5,5.52,-0.08
2024-04-19,62500.0,5.52,5.45,5.68,5.31,5.59,0.07
2024-04-22,172500.0,5.59,5.54,5.58,5.42,5.51,-0.08
2024-04-23,97000.0,5.51,5.51,5.65,5.48,5.5,-0.01
2024-04-24,139000.0,5.5,5.72,5.75,5.51,5.65,0.15
2024-04-25,1237000.0,5.65,5.81,6.65,5.81,6.65,1.0
2024-04-26,1904500.0,6.65,6.95,7.08,6.1,6.17,-0.48
2024-04-29,501000.0,6.17,6.38,6.4,6.0,6.17,0.0
2024-04-30,147500.0,6.17,6.34,6.34,5.7,5.78,-0.39
2024-05-02,81500.0,5.78,5.8,6.0,5.6,5.73,-0.05
2024-05-03,58000.0,5.73,5.9,6.15,5.71,5.96,0.23
2024-05-06,37000.0,5.96,6.12,6.12,5.8,5.86,-0.1
2024-05-07,106000.0,5.86,6.0,6.0,5.81,5.88,0.02
2024-05-08,81500.0,5.88,5.84,5.97,5.82,5.83,-0.05
2024-05-09,189500.0,5.83,6.14,6.14,5.86,5.87,0.04
2024-05-10,53500.0,5.87,5.85,6.13,5.85,5.91,0.04
2024-05-13,127500.0,5.91,5.88,6.29,5.88,6.21,0.3
2024-05-14,122000.0,6.21,6.2,6.3,6.0,6.1,-0.11
2024-05-15,131000.0,6.1,6.2,6.25,6.02,6.06,-0.04
2024-05-16,69000.0,6.06,6.03,6.12,5.9,6.0,-0.06
2024-05-17,145000.0,6.0,5.92,6.0,5.91,5.99,-0.01
2024-05-20,237533.0,5.99,6.1,6.1,5.95,6.0,0.01
2024-05-21,146928.0,6.0,5.95,6.05,5.93,5.98,-0.02
2024-05-22,109670.0,5.98,5.94,6.05,5.9,5.98,0.0
2024-05-23,109009.0,5.98,5.9,6.04,5.9,5.97,-0.01
2024-05-24,818712.0,5.97,5.97,6.69,5.97,6.17,0.2
2024-05-27,110043.0,6.17,6.17,6.2,6.0,6.01,-0.16
2024-05-29,445817.0,6.01,6.18,6.54,5.91,6.21,0.2
2024-05-30,1199846.0,6.21,6.38,6.89,6.07,6.7,0.49
2024-05-31,500099.0,6.7,6.42,6.78,6.4,6.63,-0.07
2024-06-03,221022.0,6.63,6.69,6.7,6.3,6.64,0.01
2024-06-04,316168.0,6.64,6.45,6.74,6.36,6.62,-0.02
2024-06-05,614501.0,6.62,6.41,6.53,6.2,6.35,-0.27
2024-06-06,332339.0,6.35,6.45,6.69,6.3,6.33,-0.02
2024-06-07,195288.0,6.33,6.25,6.29,6.05,6.22,-0.11
2024-06-10,8034.0,6.22,6.22,6.3,6.15,6.15,-0.07
2024-06-11,93297.0,6.15,6.34,6.34,6.01,6.04,-0.11
2024-06-12,63108.0,6.04,6.14,6.2,6.0,6.11,0.07
2024-06-13,86692.0,6.11,6.25,6.35,6.11,6.26,0.15
2024-06-14,15565.0,6.26,6.25,6.25,6.13,6.13,-0.13
2024-06-20,144036.0,6.13,6.05,6.19,6.04,6.1,-0.03
2024-06-21,141008.0,6.1,6.2,6.2,5.31,5.95,-0.15
2024-06-24,63406.0,5.95,5.95,6.0,5.95,6.0,0.05
2024-06-25,118271.0,6.0,5.95,6.0,5.9,5.95,-0.05
2024-06-26,254792.0,5.95,5.92,6.4,5.9,6.11,0.16
2024-06-27,5321.0,6.11,6.1,6.1,6.0,6.01,-0.1
2024-06-28,136220.0,6.01,6.03,6.15,5.75,6.05,0.04
2024-07-01,3038.0,6.05,6.24,6.24,6.12,6.12,0.07
2024-07-02,3501.0,6.12,6.01,6.14,6.01,6.1,-0.02
2024-07-03,10400.0,6.1,6.19,6.2,6.19,6.2,0.1
2024-07-04,18500.0,6.2,6.19,6.2,6.16,6.2,0.0
2024-07-05,257846.0,6.2,6.03,6.19,5.55,6.02,-0.18
2024-07-08,80762.0,6.02,6.25,6.25,5.17,5.95,-0.07
2024-07-09,19894.0,5.95,5.9,6.0,5.88,5.95,0.0
2024-07-10,1852527.0,5.95,5.85,6.95,5.85,6.69,0.74
2024-07-11,714919.0,6.69,6.51,6.99,6.4,6.71,0.02
2024-07-12,28905.0,6.71,6.85,6.94,6.27,6.68,-0.03
2024-07-15,25597.0,6.68,6.79,6.83,6.3,6.59,-0.09
2024-07-18,402569.0,6.59,6.3,6.89,6.1,6.8,0.21
2024-07-19,236454.0,6.8,6.32,6.93,6.32,6.65,-0.15
2024-07-22,311221.0,6.65,6.15,7.05,6.15,6.95,0.3
2024-07-23,451855.0,6.95,6.95,7.38,6.5,7.15,0.2
2024-07-24,1532813.0,7.15,7.28,7.99,7.01,7.72,0.57
2024-07-25,264147.0,7.72,7.01,8.0,7.01,7.63,-0.09
2024-07-26,40908.0,7.63,7.38,7.79,7.1,7.22,-0.41
2024-07-29,89505.0,7.22,7.25,7.49,7.03,7.17,-0.05
2024-07-30,48021.0,7.17,7.1,7.19,6.81,6.85,-0.32
2024-07-31,43865.0,6.85,6.82,6.82,6.51,6.53,-0.32
2024-08-01,64410.0,6.53,6.5,6.5,6.03,6.11,-0.42
2024-08-02,7562.0,6.11,6.15,6.15,6.07,6.11,0.0
2024-08-05,28550.0,6.11,6.29,6.37,6.14,6.3,0.19
2024-08-06,76120.0,6.3,6.5,6.59,6.11,6.5,0.2
2024-08-07,32708.0,6.5,6.69,6.89,6.65,6.65,0.15
2024-08-08,5810.0,6.65,6.78,6.78,6.55,6.6,-0.05
2024-08-09,14625.0,6.6,6.8,6.8,6.4,6.42,-0.18
2024-08-12,24161.0,6.42,6.37,6.44,6.11,6.26,-0.16
2024-08-13,8852.0,6.26,6.64,6.64,6.2,6.6,0.34
2024-08-15,17326.0,6.6,6.65,6.65,6.3,6.56,-0.04
2024-08-16,3010.0,6.56,6.17,6.49,6.17,6.48,-0.08
2024-08-19,12732.0,6.48,6.37,6.37,6.3,6.35,-0.13
2024-08-20,7078.0,6.35,6.73,6.73,6.4,6.4,0.05
2024-08-21,17971.0,6.4,6.2,6.5,6.05,6.44,0.04
2024-08-22,22483.0,6.44,6.2,6.58,6.2,6.58,0.14
2024-08-23,5514.0,6.58,6.57,6.7,6.4,6.5,-0.08
2024-08-26,2510.0,6.5,6.3,6.55,6.3,6.36,-0.14
2024-08-27,18867.0,6.36,6.25,6.55,6.25,6.44,0.08
2024-08-28,16959.0,6.44,6.58,6.58,6.37,6.43,-0.01
2024-08-29,15427.0,6.43,6.4,6.79,6.3,6.44,0.01
2024-08-30,3829.0,6.44,6.53,6.98,6.5,6.55,0.11
2024-09-02,5100.0,6.55,6.5,6.5,6.39,6.4,-0.15
2024-09-03,38618.0,6.4,6.23,6.47,6.23,6.47,0.07
2024-09-04,153844.0,6.47,6.4,6.68,6.25,6.42,-0.05
2024-09-05,112488.0,6.42,6.35,6.6,6.31,6.36,-0.06
2024-09-06,43053.0,6.36,6.35,6.52,6.35,6.44,0.08
2024-09-09,500.0,6.44,6.36,6.36,6.36,6.36,-0.08
2024-09-10,19064.0,6.36,6.38,6.48,6.31,6.36,0.0
2024-09-11,3503.0,6.36,6.7,6.7,6.4,6.4,0.04
2024-09-12,15319.0,6.4,6.36,6.87,6.35,6.86,0.46
2024-09-13,247262.0,6.86,6.86,7.4,6.75,7.01,0.15
2024-09-16,5674.0,7.01,7.25,7.25,6.63,6.8,-0.21
2024-09-18,12520.0,6.8,6.7,7.0,6.51,6.52,-0.28
2024-09-19,10014.0,6.52,6.21,6.69,6.21,6.6,0.08
2024-09-20,7732.0,6.6,6.6,6.6,6.51,6.6,0.0
2024-09-23,33403.0,6.6,6.51,6.7,6.4,6.43,-0.17
2024-09-24,500.0,6.43,6.63,6.63,6.63,6.63,0.2
2024-09-25,25553.0,6.63,6.41,6.7,6.41,6.44,-0.19
2024-09-26,11356.0,6.44,6.5,6.69,6.5,6.5,0.06
2024-09-27,1000.0,6.5,6.36,6.36,6.35,6.36,-0.14
2024-09-30,15774.0,6.36,6.4,6.4,6.25,6.25,-0.11
2024-10-01,75239.0,6.25,6.25,6.35,6.25,6.25,0.0
2024-10-02,3000.0,6.25,6.25,6.25,6.2,6.21,-0.04
