Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2801500.0,47.72,50.0,50.4,47.7,48.72,1.0
2024-01-02,1017500.0,48.72,49.1,49.44,46.54,46.84,-1.88
2024-01-03,355500.0,46.84,46.8,47.25,46.0,46.05,-0.79
2024-01-04,333500.0,46.05,46.0,46.35,44.71,45.87,-0.18
2024-01-05,258000.0,45.87,46.0,46.6,44.5,45.42,-0.45
2024-01-08,195500.0,45.42,45.99,45.99,44.5,44.66,-0.76
2024-01-09,218500.0,44.66,45.49,45.49,44.64,44.71,0.05
2024-01-10,251500.0,44.71,45.49,45.6,44.5,44.88,0.17
2024-01-11,102500.0,44.88,44.75,45.19,44.5,44.67,-0.21
2024-01-12,198500.0,44.67,45.0,45.47,44.4,44.52,-0.15
2024-01-15,95000.0,44.52,45.0,45.09,44.0,44.03,-0.49
2024-01-16,125500.0,44.03,43.6,43.85,43.0,43.28,-0.75
2024-01-17,334000.0,43.28,43.5,44.85,42.92,43.23,-0.05
2024-01-18,231500.0,43.23,43.5,43.5,42.0,42.51,-0.72
2024-01-19,80500.0,42.51,42.4,43.0,42.05,42.38,-0.13
2024-01-22,103500.0,42.38,42.08,42.69,41.9,42.11,-0.27
2024-01-23,784500.0,42.11,42.7,45.24,42.0,43.81,1.7
2024-01-24,261500.0,43.81,43.55,44.5,43.1,43.65,-0.16
2024-01-25,44000.0,43.65,43.65,43.65,43.25,43.27,-0.38
2024-01-26,73500.0,43.27,43.15,43.78,42.01,42.21,-1.06
2024-01-29,81500.0,42.21,43.5,43.5,41.5,41.77,-0.44
2024-01-30,239000.0,41.77,41.99,42.49,39.0,40.14,-1.63
2024-01-31,122000.0,40.14,40.95,41.75,40.39,40.47,0.33
2024-02-01,59000.0,40.47,41.9,41.9,40.1,40.38,-0.09
2024-02-02,158500.0,40.38,40.99,42.45,40.99,41.59,1.21
2024-02-06,37500.0,41.59,41.9,42.39,41.72,42.22,0.63
2024-02-07,173500.0,42.22,42.08,42.74,41.8,42.05,-0.17
2024-02-09,130000.0,42.05,40.97,42.0,40.0,40.55,-1.5
2024-02-12,38500.0,40.55,40.25,40.48,39.55,39.8,-0.75
2024-02-13,243000.0,39.8,40.0,41.7,38.65,40.24,0.44
2024-02-14,140000.0,40.24,40.99,41.51,40.6,41.23,0.99
2024-02-15,62500.0,41.23,40.71,41.7,40.61,40.65,-0.58
2024-02-16,109000.0,40.65,40.0,40.5,38.75,39.43,-1.22
2024-02-19,91500.0,39.43,38.16,41.5,38.16,41.24,1.81
2024-02-20,304000.0,41.24,41.48,42.47,40.2,40.49,-0.75
2024-02-21,487000.0,40.49,41.11,43.12,40.99,42.76,2.27
2024-02-22,913500.0,42.76,43.5,44.79,42.85,43.94,1.18
