Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10262639.0,112.45,113.0,120.88,113.0,120.88,8.43
2024-01-02,24573372.0,120.88,124.0,126.7,121.51,122.92,2.04
2024-01-03,17714428.0,122.92,124.0,128.1,122.2,127.39,4.47
2024-01-04,7826527.0,127.39,128.0,128.4,123.95,125.61,-1.78
2024-01-05,7662088.0,125.61,125.6,127.35,121.0,125.04,-0.57
2024-01-08,2819259.0,125.04,125.21,125.8,123.05,123.38,-1.66
2024-01-09,4622420.0,123.38,124.44,125.0,121.81,122.51,-0.87
2024-01-10,18027804.0,122.51,122.75,126.7,122.0,122.67,0.16
2024-01-11,11335960.0,122.67,123.5,128.45,122.9,127.06,4.39
2024-01-12,16501298.0,127.06,128.5,129.5,125.9,127.53,0.47
2024-01-15,18594025.0,127.53,128.6,133.8,128.51,130.29,2.76
2024-01-16,9848693.0,130.29,129.23,129.87,126.01,126.42,-3.87
2024-01-17,10097639.0,126.42,125.0,128.52,123.55,126.39,-0.03
2024-01-18,6663481.0,126.39,125.9,125.9,122.5,124.21,-2.18
2024-01-19,2989138.0,124.21,124.9,125.98,123.2,124.21,0.0
2024-01-22,16631096.0,124.21,124.5,133.53,124.5,133.53,9.32
2024-01-23,28815.0,136.68,137.49,141.3,129.9,139.36,2.68
2024-01-24,13278.0,137.08,137.0,147.36,135.16,146.24,9.16
2024-01-25,29169.0,148.49,145.01,151.24,137.35,137.59,-10.9
2024-01-26,31070396.0,135.31,135.01,143.2,133.88,141.37,6.06
2024-01-29,7102542.0,141.37,140.5,140.79,136.5,137.61,-3.76
2024-01-30,17143209.0,137.61,137.97,140.0,130.05,134.28,-3.33
2024-01-31,6014807.0,134.28,135.9,138.5,134.65,135.28,1.0
2024-02-01,16985527.0,135.28,135.89,145.1,134.7,144.26,8.98
2024-02-02,13579691.0,144.26,145.1,149.5,141.3,147.6,3.34
2024-02-06,23123662.0,147.6,150.15,158.59,150.15,155.57,7.97
2024-02-07,16190.0,157.06,157.34,158.44,151.7,152.19,-4.87
2024-02-09,18933926.0,150.67,146.0,148.3,139.37,145.08,-5.59
2024-02-12,14939483.0,145.08,140.0,141.0,134.2,134.2,-10.88
2024-02-13,14952555.0,134.2,124.14,126.49,124.14,124.18,-10.02
2024-02-14,32231367.0,124.18,125.52,128.0,117.0,122.01,-2.17
2024-02-15,12066082.0,122.01,123.5,123.9,113.15,114.11,-7.9
2024-02-16,20693864.0,114.11,112.8,116.2,105.72,107.93,-6.18
2024-02-19,19436.0,109.53,113.9,117.74,105.0,116.59,7.06
2024-02-20,23608.0,115.65,117.65,119.0,112.5,113.13,-2.52
2024-02-21,6512111.0,113.01,116.99,118.44,114.5,117.2,4.19
2024-02-22,5780199.0,117.2,117.5,118.4,115.51,116.69,-0.51
2024-02-23,16618638.0,116.69,116.0,125.44,116.0,125.21,8.52
2024-02-26,14939405.0,125.21,125.89,129.75,124.01,125.01,-0.2
2024-02-27,10000500.0,125.01,125.44,125.55,120.25,121.07,-3.94
2024-02-28,6716014.0,121.07,120.0,124.71,120.0,123.17,2.1
2024-02-29,10849918.0,123.17,123.25,127.86,123.25,125.12,1.95
2024-03-01,4787226.0,125.12,125.34,125.79,122.99,123.33,-1.79
2024-03-04,20945917.0,123.33,125.0,132.58,124.3,132.17,8.84
2024-03-05,15727.0,132.26,134.26,134.26,127.4,128.12,-4.14
2024-03-06,11204196.0,127.98,127.11,131.65,127.11,128.64,0.66
2024-03-07,9797618.0,128.64,128.0,131.9,127.85,131.35,2.71
2024-03-08,6231759.0,128.85,130.0,130.8,128.5,129.11,0.26
2024-03-11,4226173.0,129.11,130.0,130.35,127.5,127.87,-1.24
2024-03-12,4054404.0,127.87,128.05,128.49,123.0,123.59,-4.28
2024-03-13,4044182.0,123.59,124.65,125.0,120.51,121.54,-2.05
2024-03-14,3554520.0,121.54,122.52,127.5,122.52,126.8,5.26
2024-03-15,8016182.0,126.8,128.15,128.97,123.0,123.69,-3.11
2024-03-18,3153698.0,123.69,124.05,125.4,122.71,123.33,-0.36
2024-03-19,4296717.0,123.33,123.0,124.99,122.03,123.07,-0.26
2024-03-20,137.0,126.44,126.0,127.0,124.6,124.9,-1.54
2024-03-21,4601392.0,122.11,122.03,123.0,119.2,120.16,-1.95
2024-03-22,387.0,123.1,121.0,121.0,119.75,120.16,-2.94
2024-03-25,11095.0,120.16,124.5,127.0,123.25,124.28,4.12
2024-03-26,20903604.0,121.41,121.6,124.39,121.16,122.39,0.98
2024-03-27,4512518.0,122.39,123.21,123.73,122.21,122.67,0.28
2024-03-28,4201030.0,122.67,122.8,123.7,121.85,122.81,0.14
2024-03-29,2792424.0,122.81,123.02,123.5,121.2,121.65,-1.16
2024-04-01,1842893.0,121.65,121.4,122.4,119.0,119.77,-1.88
2024-04-02,2001159.0,119.77,120.0,120.0,118.25,119.08,-0.69
2024-04-03,5586893.0,119.08,119.5,123.0,118.76,122.15,3.07
2024-04-04,7916927.0,122.15,125.6,128.99,125.02,125.3,3.15
2024-04-08,5865538.0,125.3,126.45,129.4,126.45,128.15,2.85
2024-04-09,4868813.0,128.15,128.5,129.9,127.0,128.2,0.05
2024-04-15,15716557.0,128.2,129.99,134.7,127.4,133.07,4.87
2024-04-16,10709918.0,133.07,134.05,136.6,133.03,133.4,0.33
2024-04-17,4282994.0,133.4,132.97,132.97,131.0,131.24,-2.16
2024-04-18,7638371.0,131.24,131.8,133.8,129.79,131.58,0.34
2024-04-19,6618.0,132.27,134.5,136.0,131.85,134.39,2.12
2024-04-22,13065.0,135.98,135.98,139.9,134.99,137.78,1.8
