Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,36000.0,22.5,22.51,23.0,22.5,22.95,0.45
2024-01-02,26000.0,22.95,22.95,22.95,22.8,22.9,-0.05
2024-01-03,36000.0,22.9,23.47,23.47,22.9,22.91,0.01
2024-01-04,48500.0,22.91,22.96,23.2,22.71,22.75,-0.16
2024-01-05,37000.0,22.75,22.81,22.81,22.75,22.8,0.05
2024-01-08,164000.0,22.8,22.8,22.8,22.75,22.8,0.0
2024-01-09,529000.0,22.8,23.0,23.5,22.76,22.8,0.0
2024-01-10,26000.0,22.8,22.75,22.99,22.7,22.99,0.19
2024-01-11,13500.0,22.99,23.0,23.0,22.99,23.0,0.01
2024-01-12,39500.0,23.0,24.33,24.33,22.9,23.28,0.28
2024-01-15,55000.0,23.28,23.0,24.0,22.9,23.67,0.39
2024-01-16,30500.0,23.67,23.01,23.25,23.0,23.25,-0.42
2024-01-17,4943000.0,23.25,23.98,24.89,23.07,24.02,0.77
2024-01-18,108500.0,24.02,23.9,24.18,23.85,24.18,0.16
2024-01-19,14500.0,24.18,23.95,23.96,23.93,23.96,-0.22
2024-01-22,10500.0,23.96,24.01,24.01,24.0,24.0,0.04
2024-01-23,18500.0,24.0,23.96,24.2,23.96,24.0,0.0
2024-01-24,20000.0,24.0,23.09,23.9,23.0,23.9,-0.1
2024-01-25,22000.0,23.9,23.07,23.9,23.0,23.9,0.0
2024-01-26,2500.0,23.9,24.1,24.1,23.75,23.75,-0.15
2024-01-29,603000.0,23.75,24.0,24.1,24.0,24.0,0.25
2024-01-30,564000.0,24.0,24.39,24.39,24.0,24.0,0.0
2024-01-31,89500.0,24.0,24.4,24.48,23.95,24.0,0.0
2024-02-01,71500.0,24.0,24.01,24.01,23.75,23.75,-0.25
2024-02-02,8500.0,23.75,24.0,24.39,24.0,24.0,0.25
2024-02-06,28000.0,24.0,24.0,24.48,23.91,24.08,0.08
2024-02-07,179000.0,24.08,24.49,25.0,24.25,24.47,0.39
2024-02-09,155500.0,24.47,24.09,24.6,24.09,24.59,0.12
2024-02-12,26500.0,24.59,24.6,24.6,24.0,24.15,-0.44
2024-02-13,32000.0,24.15,24.0,24.5,24.0,24.35,0.2
2024-02-14,49000.0,24.35,24.06,24.54,24.05,24.46,0.11
2024-02-15,387500.0,24.46,24.2,24.2,23.0,23.71,-0.75
2024-02-16,76500.0,23.71,23.26,23.8,23.05,23.58,-0.13
2024-02-19,29000.0,23.58,23.07,24.0,23.07,23.85,0.27
2024-02-20,364500.0,23.85,23.21,23.74,23.0,23.56,-0.29
2024-02-21,30000.0,23.56,23.27,23.5,23.25,23.42,-0.14
2024-02-22,20000.0,23.42,23.5,23.6,23.5,23.56,0.14
2024-02-23,8000.0,23.56,23.2,23.61,23.2,23.61,0.05
2024-02-26,54500.0,23.61,23.75,24.43,23.51,24.11,0.5
2024-02-27,302000.0,24.11,24.0,24.0,23.65,24.0,-0.11
2024-02-28,61500.0,24.0,23.99,24.0,23.85,23.85,-0.15
2024-02-29,1500.0,23.85,23.77,24.11,23.77,24.11,0.26
2024-03-01,234500.0,24.11,24.48,25.0,24.25,24.7,0.59
2024-03-04,20000.0,24.7,24.5,24.6,24.5,24.6,-0.1
2024-03-05,163500.0,24.6,24.23,25.0,23.9,24.01,-0.59
2024-03-06,25000.0,24.01,24.8,24.94,24.8,24.94,0.93
2024-03-07,158500.0,24.94,24.8,25.0,24.5,25.0,0.06
2024-03-08,3000.0,25.0,25.25,25.25,25.25,25.25,0.25
2024-03-11,121000.0,25.25,25.48,26.0,25.48,25.97,0.72
2024-03-12,6500.0,25.97,25.5,25.5,24.99,24.99,-0.98
2024-03-13,30000.0,24.99,24.75,26.0,24.75,25.99,1.0
2024-03-14,21000.0,25.99,26.0,26.0,25.25,25.25,-0.74
2024-03-18,14500.0,25.25,25.5,26.05,25.5,26.05,0.8
2024-03-19,74000.0,26.05,26.5,27.89,26.5,27.0,0.95
2024-03-20,38000.0,27.0,26.8,28.0,26.8,27.79,0.79
2024-03-21,20500.0,27.79,28.4,28.4,27.75,27.75,-0.04
2024-03-22,24000.0,27.75,27.6,28.0,27.5,27.93,0.18
2024-03-25,6500.0,27.93,27.31,27.9,27.31,27.31,-0.62
2024-03-26,1098000.0,27.31,27.5,29.24,25.75,28.68,1.37
2024-03-27,35500.0,28.68,29.29,29.29,28.25,28.96,0.28
2024-03-28,1776500.0,28.96,28.99,29.5,28.99,29.26,0.3
2024-03-29,11000.0,29.26,30.4,30.4,29.5,29.51,0.25
2024-04-01,17000.0,29.51,29.5,30.0,28.56,30.0,0.49
2024-04-02,19500.0,30.0,30.0,30.0,29.8,30.0,0.0
2024-04-03,5500.0,30.0,30.0,30.0,29.98,29.98,-0.02
2024-04-04,2500.0,29.98,29.52,30.0,29.52,30.0,0.02
2024-04-08,17000.0,30.0,29.5,30.11,29.5,30.11,0.11
2024-04-09,364500.0,30.11,28.98,30.0,28.98,29.33,-0.78
2024-04-15,67500.0,29.33,30.0,30.0,29.47,29.5,0.17
2024-04-16,200500.0,29.5,29.5,29.5,29.25,29.5,0.0
2024-04-17,235000.0,29.5,29.5,29.5,29.15,29.16,-0.34
2024-04-18,152000.0,29.16,29.01,29.01,28.45,28.5,-0.66
2024-04-19,53500.0,28.5,28.5,28.5,28.25,28.5,0.0
2024-04-22,70500.0,28.5,28.55,29.0,28.5,28.75,0.25
2024-04-23,58000.0,28.75,29.25,29.25,28.76,29.0,0.25
2024-04-24,47000.0,29.0,28.31,29.49,28.0,28.9,-0.1
2024-04-25,107000.0,28.9,28.6,29.08,28.0,28.91,0.01
2024-04-26,366500.0,28.91,28.28,30.49,28.2,29.02,0.11
2024-04-29,592000.0,29.02,29.23,29.25,28.55,29.22,0.2
2024-04-30,37000.0,29.22,29.01,29.24,29.0,29.08,-0.14
