Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,12.21,0.0,0.0,0.0,12.21,0.0
2024-01-02,6000.0,12.21,12.41,12.41,12.25,12.25,0.04
2024-01-03,6500.0,12.25,12.26,12.27,12.26,12.27,0.02
2024-01-04,9000.0,12.27,12.39,12.39,12.26,12.27,0.0
2024-01-05,6000.0,12.27,12.39,12.39,12.28,12.28,0.01
2024-01-09,7000.0,12.28,12.28,12.28,12.26,12.26,-0.02
2024-01-10,33500.0,12.26,12.3,12.3,12.2,12.2,-0.06
2024-01-11,3500.0,12.2,12.25,12.25,12.25,12.25,0.05
2024-01-12,2500.0,12.25,12.45,12.45,12.43,12.43,0.18
2024-01-15,136000.0,12.43,12.14,12.17,12.03,12.04,-0.39
2024-01-16,7500.0,12.04,12.1,12.1,12.05,12.05,0.01
2024-01-17,40500.0,12.05,12.05,12.25,12.05,12.2,0.15
2024-01-18,7000.0,12.2,12.01,12.01,12.01,12.01,-0.19
2024-01-19,500.0,12.01,12.23,12.23,12.23,12.23,0.22
2024-01-23,4500.0,12.23,12.1,12.42,12.1,12.4,0.17
2024-01-24,6500.0,12.4,12.04,12.04,12.04,12.04,-0.36
2024-01-25,3000.0,12.04,12.21,12.21,12.21,12.21,0.17
2024-01-26,8500.0,12.21,12.06,12.11,12.01,12.11,-0.1
2024-01-29,4000.0,12.11,12.16,12.28,12.16,12.28,0.17
2024-01-30,3500.0,12.28,12.25,12.25,12.21,12.21,-0.07
2024-01-31,20000.0,12.21,12.29,12.87,12.29,12.87,0.66
2024-02-02,500.0,12.87,12.44,12.44,12.44,12.44,-0.43
2024-02-13,14500.0,12.44,12.43,12.6,12.0,12.09,-0.35
2024-02-14,4500.0,12.09,12.15,12.25,12.15,12.25,0.16
2024-02-15,12000.0,12.25,12.2,12.2,12.2,12.2,-0.05
2024-02-19,8500.0,12.2,12.01,12.19,12.0,12.19,-0.01
2024-02-20,11500.0,12.19,12.3,12.35,12.2,12.34,0.15
2024-02-21,3000.0,12.34,12.14,12.35,12.14,12.35,0.01
2024-02-22,7500.0,12.35,12.34,12.35,12.3,12.3,-0.05
2024-02-23,10000.0,12.3,12.24,12.3,12.24,12.27,-0.03
2024-02-26,5500.0,12.27,12.35,12.37,12.35,12.35,0.08
2024-02-27,1500.0,12.35,12.14,12.35,12.14,12.35,0.0
2024-02-28,1000.0,12.35,12.35,12.35,12.35,12.35,0.0
2024-02-29,7000.0,12.35,12.2,12.4,12.2,12.4,0.05
2024-03-01,1000.0,12.4,12.45,12.55,12.45,12.5,0.1
2024-03-04,4000.0,12.5,12.25,12.27,12.25,12.27,-0.23
2024-03-06,4000.0,12.27,12.28,12.3,12.27,12.3,0.03
