Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,687669.0,75.57,76.35,78.44,74.3,75.68,0.11
2024-01-02,359908.0,75.68,76.99,76.99,72.87,73.27,-2.41
2024-01-03,289660.0,73.27,74.48,75.0,72.3,72.72,-0.55
2024-01-04,152279.0,72.72,73.0,73.78,71.0,71.21,-1.51
2024-01-05,648731.0,71.21,72.8,72.8,71.0,72.44,1.23
2024-01-08,327258.0,72.44,72.79,73.8,72.15,72.49,0.05
2024-01-09,513397.0,72.49,72.72,74.2,71.9,73.03,0.54
2024-01-10,547774.0,73.03,73.99,75.5,73.0,73.7,0.67
2024-01-11,1828697.0,73.7,74.0,79.23,73.6,78.68,4.98
2024-01-12,1615883.0,78.68,78.75,79.98,74.5,76.58,-2.1
2024-01-15,1176890.0,76.58,77.0,79.0,76.33,77.69,1.11
2024-01-16,1926661.0,77.69,77.8,79.0,75.0,76.3,-1.39
2024-01-17,325886.0,76.3,76.89,76.89,74.53,75.36,-0.94
2024-01-18,363731.0,75.36,75.36,75.36,72.0,72.26,-3.1
2024-01-19,379908.0,72.26,73.94,74.49,71.31,71.58,-0.68
2024-01-22,986603.0,71.58,71.25,71.99,69.01,71.03,-0.55
2024-01-23,191054.0,71.03,72.01,72.5,71.0,71.5,0.47
2024-01-24,1087199.0,71.5,71.81,73.75,71.5,72.5,1.0
2024-01-25,727418.0,72.5,73.0,74.64,71.5,72.82,0.32
2024-01-26,229100.0,72.82,72.61,73.39,70.67,70.96,-1.86
2024-01-29,230875.0,70.96,71.5,71.5,69.01,69.55,-1.41
2024-01-30,980616.0,69.55,70.79,71.8,69.31,69.85,0.3
2024-01-31,365626.0,69.85,70.5,71.28,69.5,69.79,-0.06
2024-02-01,195193.0,69.79,70.0,70.06,68.01,68.74,-1.05
2024-02-02,310133.0,68.74,68.9,69.25,67.11,67.57,-1.17
2024-02-06,360730.0,67.57,68.49,68.6,67.65,67.98,0.41
2024-02-07,309685.0,67.98,68.4,68.5,67.0,67.85,-0.13
2024-02-09,551398.0,67.85,67.69,67.69,64.98,65.19,-2.66
2024-02-12,1737987.0,65.19,65.01,65.35,60.3,61.05,-4.14
2024-02-13,507526.0,61.05,61.0,65.63,59.51,65.63,4.58
2024-02-14,821044.0,65.63,66.5,69.0,66.3,67.51,1.88
2024-02-15,357450.0,67.51,67.9,68.5,64.0,64.94,-2.57
2024-02-16,299343.0,64.94,64.97,64.97,62.0,62.48,-2.46
2024-02-19,270490.0,62.48,62.9,65.1,62.05,64.24,1.76
2024-02-20,179000.0,64.24,64.0,65.3,64.0,64.43,0.19
2024-02-21,66.0,65.25,67.0,70.14,66.0,69.34,4.09
2024-02-22,6.0,68.0,69.9,71.0,69.9,71.0,3.0
2024-02-23,902868.0,70.14,70.0,73.5,69.2,72.45,2.31
2024-02-26,159395.0,72.45,73.17,73.17,70.9,71.87,-0.58
2024-02-27,83154.0,71.87,71.8,71.8,70.0,70.68,-1.19
2024-02-28,179880.0,70.68,71.0,71.0,69.75,70.01,-0.67
2024-02-29,132492.0,70.01,70.5,72.0,69.13,69.63,-0.38
2024-03-01,114094.0,69.63,69.89,69.89,68.8,69.0,-0.63
2024-03-04,159342.0,69.0,70.0,71.49,69.0,70.0,1.0
2024-03-05,320389.0,70.0,70.0,70.55,67.5,69.15,-0.85
2024-03-06,303276.0,69.15,69.5,71.69,69.5,70.58,1.43
2024-03-07,210155.0,70.58,70.99,72.75,70.6,71.61,1.03
2024-03-08,1194923.0,71.61,71.2,74.98,71.2,73.68,2.07
2024-03-11,995246.0,73.68,74.4,74.4,71.5,72.09,-1.59
2024-03-12,281876.0,72.09,72.1,72.1,70.01,70.37,-1.72
2024-03-13,331301.0,70.37,71.0,71.4,69.01,69.47,-0.9
2024-03-14,1087083.0,69.47,70.0,72.5,70.0,72.04,2.57
2024-03-15,131017.0,72.04,72.25,72.49,71.0,71.21,-0.83
2024-03-18,137007.0,71.21,71.5,71.95,70.45,71.17,-0.04
2024-03-19,1215737.0,71.17,70.99,72.5,69.81,70.61,-0.56
2024-03-20,835448.0,70.61,71.49,72.24,71.11,71.97,1.36
2024-03-21,315298.0,71.97,72.3,72.99,71.8,72.61,0.64
2024-03-22,1360962.0,72.61,72.5,73.5,71.6,72.88,0.27
2024-03-25,120995.0,72.88,72.5,74.0,72.0,72.57,-0.31
2024-03-26,350763.0,72.57,73.24,74.5,72.6,73.4,0.83
2024-03-27,462388.0,73.4,73.35,73.94,72.9,73.08,-0.32
2024-03-28,1231832.0,73.08,74.19,74.19,70.1,72.97,-0.11
2024-03-29,2102779.0,72.97,70.0,71.69,69.0,71.16,-1.81
2024-04-01,717108.0,71.16,71.1,73.79,70.35,72.83,1.67
2024-04-02,5438538.0,72.83,73.51,76.0,72.5,75.25,2.42
2024-04-03,199030.0,75.25,75.99,76.25,73.5,74.4,-0.85
2024-04-04,2217203.0,74.4,73.2,74.0,72.1,72.69,-1.71
2024-04-08,351137.0,72.69,73.0,73.85,71.5,72.68,-0.01
2024-04-09,192212.0,72.68,72.98,73.0,71.35,71.98,-0.7
2024-04-15,111156.0,71.98,71.0,71.9,70.5,71.3,-0.68
2024-04-16,227120.0,71.3,71.5,71.5,70.0,70.28,-1.02
2024-04-17,300779.0,70.28,70.21,70.55,69.42,69.52,-0.76
2024-04-18,216332.0,69.52,69.99,70.1,69.35,69.49,-0.03
2024-04-19,116889.0,69.49,69.51,69.98,69.0,69.09,-0.4
2024-04-22,850260.0,69.09,69.49,69.5,68.0,68.35,-0.74
2024-04-23,852627.0,68.35,68.36,71.99,67.88,70.54,2.19
2024-04-24,802329.0,70.54,71.6,73.0,71.31,72.41,1.87
2024-04-25,311837.0,72.41,72.5,73.48,70.0,70.45,-1.96
2024-04-26,134343.0,70.45,70.5,70.8,69.61,70.52,0.07
2024-04-29,284824.0,70.52,70.5,71.66,69.5,70.17,-0.35
2024-04-30,1353934.0,70.17,69.9,70.7,65.0,65.98,-4.19
2024-05-02,451347.0,65.98,66.25,67.25,63.6,63.79,-2.19
2024-05-03,199684.0,63.79,64.12,66.12,64.12,65.17,1.38
2024-05-06,263375.0,65.17,65.0,66.35,64.6,64.82,-0.35
2024-05-07,328562.0,64.82,65.0,66.0,64.9,65.39,0.57
2024-05-08,139181.0,65.39,65.94,65.94,64.01,64.27,-1.12
2024-05-09,144545.0,64.27,65.06,65.81,64.03,64.81,0.54
2024-05-10,148040.0,64.81,64.05,66.13,64.05,65.25,0.44
2024-05-13,1411403.0,65.25,65.99,70.14,64.95,70.14,4.89
2024-05-14,769535.0,70.14,71.5,72.24,68.25,68.63,-1.51
2024-05-15,197738.0,68.63,69.4,70.0,68.07,68.7,0.07
2024-05-16,80704.0,68.7,68.96,68.96,67.51,68.07,-0.63
2024-05-17,482659.0,68.07,66.5,69.5,66.5,68.52,0.45
2024-05-20,138610.0,68.52,68.51,69.2,67.0,67.41,-1.11
2024-05-21,58853.0,67.41,68.0,68.0,67.01,67.2,-0.21
2024-05-22,780906.0,67.2,67.4,67.97,63.51,64.48,-2.72
2024-05-23,912385.0,64.48,64.5,68.67,64.25,66.82,2.34
2024-05-24,832255.0,66.82,66.82,71.0,66.82,69.93,3.11
2024-05-27,356442.0,69.93,70.0,70.5,68.76,70.04,0.11
2024-05-29,554706.0,70.04,69.99,70.19,68.6,69.12,-0.92
2024-05-30,977339.0,69.12,69.13,70.0,67.9,69.55,0.43
2024-05-31,789832.0,69.55,69.06,71.75,69.06,71.19,1.64
2024-06-03,983262.0,71.19,72.15,73.8,71.19,73.53,2.34
2024-06-04,2329201.0,73.53,73.8,75.55,73.25,73.58,0.05
2024-06-05,402159.0,73.58,73.88,73.88,72.5,72.91,-0.67
2024-06-06,182859.0,72.91,72.5,72.79,71.9,72.15,-0.76
