Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-07-29,52.0,3.31,3.35,3.35,3.25,3.25,-0.06
2024-08-05,2762.0,3.09,3.48,3.94,3.22,3.71,0.62
2024-08-06,968.0,3.71,2.85,3.7,2.85,3.47,-0.24
2024-08-07,360.0,3.47,3.5,3.59,3.4,3.4,-0.07
2024-08-08,292.0,3.4,3.31,3.36,3.25,3.27,-0.13
2024-08-09,10.0,3.27,3.3,3.3,3.3,3.3,0.03
2024-08-12,343.0,3.3,3.4,3.46,3.37,3.39,0.09
2024-08-13,247.0,3.39,3.38,3.39,3.36,3.38,-0.01
2024-08-15,97.0,3.38,3.38,3.38,3.35,3.35,-0.03
2024-08-16,394.0,3.35,3.4,3.6,3.35,3.35,0.0
2024-08-19,420.0,3.35,3.3,3.6,3.23,3.29,-0.06
2024-08-20,154.0,3.29,3.19,3.29,3.17,3.23,-0.06
2024-08-21,105.0,3.23,3.3,3.37,3.25,3.3,0.07
2024-08-22,1655.0,3.3,3.38,3.95,3.38,3.7,0.4
2024-08-23,5812.0,3.7,3.85,4.32,3.82,4.12,0.42
2024-08-26,880.0,4.12,4.29,4.35,3.75,3.89,-0.23
2024-08-27,1277.0,3.89,3.76,3.88,3.71,3.8,-0.09
2024-08-28,200.0,3.8,3.51,3.79,3.51,3.64,-0.16
2024-08-29,621.0,3.64,3.7,3.73,3.3,3.52,-0.12
2024-08-30,571.0,3.52,3.66,3.88,3.51,3.88,0.36
2024-09-02,383.0,3.9,3.73,3.8,3.6,3.67,-0.23
2024-09-03,1006.0,3.67,3.63,3.8,3.6,3.73,0.06
2024-09-04,21920.0,3.73,3.8,4.73,3.79,4.73,1.0
2024-09-05,45445.0,4.73,5.73,5.73,5.25,5.73,1.0
2024-09-06,58187.0,5.73,5.68,6.45,5.3,6.27,0.54
2024-09-09,33771.0,6.27,6.38,6.84,5.98,6.47,0.2
2024-09-10,13611.0,6.47,6.54,6.75,6.35,6.55,0.08
2024-09-11,8286.0,6.55,6.6,6.63,6.36,6.48,-0.07
2024-09-12,5261.0,6.48,6.4,6.6,6.37,6.45,-0.03
2024-09-13,28288.0,6.45,6.6,7.45,6.6,7.45,1.0
2024-09-16,51955.0,7.45,8.0,8.45,6.62,7.0,-0.45
2024-09-18,18603.0,7.0,6.85,7.21,6.7,6.99,-0.01
2024-09-19,13264.0,6.99,7.06,7.22,6.05,6.26,-0.73
2024-09-20,12418.0,6.26,6.4,6.7,6.15,6.31,0.05
2024-09-23,14877.0,6.4,6.3,6.31,5.4,5.49,-0.91
2024-09-24,12903.0,5.49,5.58,5.58,4.81,5.33,-0.16
2024-09-25,10509.0,5.33,5.4,6.14,5.4,6.02,0.69
2024-09-26,12480.0,6.02,6.2,6.24,5.5,5.61,-0.41
2024-09-27,12450.0,5.61,5.52,5.82,5.26,5.42,-0.19
2024-09-30,5959.0,5.42,5.59,5.59,5.0,5.26,-0.16
2024-10-01,5638.0,5.26,5.15,5.75,5.15,5.58,0.32
2024-10-02,4660.0,5.58,5.71,5.8,5.42,5.5,-0.08
2024-10-03,2525.0,5.5,5.55,5.62,5.41,5.49,-0.01
2024-10-04,41913.0,5.49,5.56,6.49,5.0,6.35,0.86
2024-10-07,14536.0,6.35,6.51,6.75,6.05,6.2,-0.15
2024-10-08,12111.0,6.2,6.07,6.15,5.81,5.91,-0.29
2024-10-09,7267.0,5.91,5.93,6.2,5.89,6.09,0.18
2024-10-10,2748.0,6.09,6.05,6.1,5.86,5.99,-0.1
2024-10-11,8066.0,5.99,5.94,5.94,5.25,5.39,-0.6
2024-10-14,2218.0,5.39,5.4,5.62,5.33,5.49,0.1
2024-10-15,691.0,5.49,5.59,5.6,5.34,5.44,-0.05
2024-10-16,2134.0,5.44,5.43,5.56,5.42,5.44,0.0
2024-10-17,12591.0,5.44,5.41,6.06,5.39,5.78,0.34
2024-10-18,2934.0,5.78,5.65,5.81,5.55,5.62,-0.16
2024-10-21,3226.0,5.7,5.82,5.82,5.75,5.75,0.05
2024-10-22,2617.0,5.75,5.8,6.05,5.75,5.91,0.16
2024-10-23,6628.0,5.91,5.9,5.99,5.65,5.75,-0.16
2024-10-24,1689.0,5.75,5.8,5.82,5.65,5.67,-0.08
2024-10-25,21103.0,5.67,5.65,5.98,5.45,5.78,0.11
2024-10-28,24171.0,5.78,5.78,6.27,5.76,6.12,0.34
2024-10-29,36809.0,6.12,6.24,6.51,5.74,5.84,-0.28
2024-10-30,10774.0,5.84,5.95,5.95,5.55,5.66,-0.18
2024-10-31,3889.0,5.66,5.65,5.65,5.41,5.46,-0.2
2024-11-01,2427.0,5.46,5.4,5.72,5.4,5.67,0.21
2024-11-04,2563.0,5.67,5.7,5.79,5.52,5.67,0.0
2024-11-05,5099.0,5.67,5.68,5.68,5.3,5.54,-0.13
2024-11-06,6392.0,5.54,5.59,5.74,5.4,5.44,-0.1
2024-11-07,13038.0,5.44,5.4,5.99,5.35,5.81,0.37
2024-11-08,3048.0,5.81,5.87,5.97,5.69,5.73,-0.08
2024-11-11,1728.0,5.73,5.64,5.7,5.58,5.61,-0.12
2024-11-12,1404.0,5.61,5.53,5.6,5.52,5.55,-0.06
2024-11-13,2860.0,5.55,5.55,5.75,5.55,5.65,0.1
2024-11-14,3524.0,5.65,5.7,5.92,5.55,5.77,0.12
2024-11-15,4014.0,5.77,5.8,5.87,5.58,5.66,-0.11
2024-11-18,724.0,5.66,5.65,5.68,5.57,5.64,-0.02
2024-11-19,2245.0,5.64,5.69,5.75,5.6,5.6,-0.04
2024-11-20,3722.0,5.6,5.7,5.89,5.47,5.52,-0.08
2024-11-21,484.0,5.6,6.35,6.35,5.88,5.92,0.32
2024-11-22,18.0,5.92,5.52,5.52,5.52,5.52,-0.4
2024-11-25,243.0,5.52,5.51,5.79,5.5,5.71,0.19
2024-11-26,21905.0,5.71,6.05,6.31,5.85,5.94,0.23
2024-11-27,19646.0,5.94,6.1,6.52,6.05,6.49,0.55
2024-11-28,43332.0,6.49,6.6,7.15,6.42,6.79,0.3
2024-11-29,7599.0,6.79,6.77,6.77,6.49,6.54,-0.25
2024-12-02,19249.0,6.54,6.6,7.01,6.6,6.87,0.33
2024-12-03,17757.0,6.87,6.92,7.17,6.84,6.95,0.08
2024-12-04,15094.0,6.95,7.02,7.25,6.92,7.12,0.17
2024-12-05,38456.0,7.12,7.2,7.8,7.19,7.44,0.32
2024-12-06,11147.0,7.44,7.44,7.48,7.18,7.31,-0.13
2024-12-09,6709.0,7.31,7.31,7.49,7.21,7.34,0.03
2024-12-10,16986.0,7.34,7.35,7.4,6.6,6.7,-0.64
2024-12-11,6156.0,6.7,6.89,6.92,6.71,6.81,0.11
2024-12-12,9785.0,6.81,7.1,7.22,6.75,6.99,0.18
2024-12-13,5317.0,6.99,7.14,7.14,6.72,6.84,-0.15
2024-12-16,4334.0,6.84,6.83,6.95,6.71,6.79,-0.05
2024-12-17,7175.0,6.79,6.71,7.06,6.65,7.01,0.22
2024-12-18,5307.0,7.01,7.2,7.2,6.73,6.79,-0.22
2024-12-19,4057.0,6.79,6.6,6.85,6.0,6.27,-0.52
2024-12-20,19864.0,6.27,6.34,7.27,5.9,7.22,0.95
2024-12-23,13020.0,7.22,7.38,7.6,7.2,7.38,0.16
2024-12-24,5726.0,7.38,7.41,7.57,7.23,7.25,-0.13
2024-12-26,3075.0,7.25,7.3,7.3,6.9,6.99,-0.26
2024-12-27,11754.0,6.99,6.99,7.25,6.82,7.0,0.01
2024-12-30,7293.0,7.17,7.21,7.6,7.21,7.5,0.33
2024-12-31,32361.0,7.5,7.6,8.5,7.41,8.29,0.79
2025-01-01,17039.0,8.29,8.64,8.7,8.07,8.13,-0.16
2025-01-02,22769.0,8.13,8.17,8.55,8.03,8.32,0.19
2025-01-03,28065.0,8.32,8.39,8.85,8.2,8.29,-0.03
2025-01-06,12210.0,8.29,8.44,8.44,7.5,7.54,-0.75
2025-01-07,17211.0,7.54,7.69,7.89,7.04,7.71,0.17
2025-01-08,16993.0,7.71,7.71,8.0,7.2,7.29,-0.42
2025-01-09,8509.0,7.29,7.39,7.48,6.95,7.07,-0.22
2025-01-10,16496.0,7.07,7.2,7.6,6.95,7.47,0.4
2025-01-13,8673.0,7.47,7.45,7.77,7.31,7.59,0.12
2025-01-14,5503.0,7.59,7.59,7.75,7.42,7.47,-0.12
2025-01-15,5231.0,7.47,7.46,7.5,7.25,7.3,-0.17
2025-01-16,4259.0,7.3,7.22,7.29,6.96,7.01,-0.29
2025-01-17,2256.0,7.01,7.14,7.26,7.11,7.17,0.16
2025-01-20,2925.0,7.17,7.11,7.26,7.1,7.15,-0.02
2025-01-21,1703.0,7.15,7.1,7.17,6.97,7.0,-0.15
2025-01-22,926.0,7.0,7.0,7.04,6.9,6.9,-0.1
2025-01-23,1541.0,6.9,6.89,7.02,6.85,6.99,0.09
2025-01-24,996.0,6.99,7.09,7.15,6.92,6.96,-0.03
2025-01-27,1612.0,7.01,6.34,7.2,6.34,6.8,-0.21
2025-01-28,1990.0,6.8,6.8,6.85,6.48,6.53,-0.27
2025-01-29,5366.0,6.53,6.45,6.7,6.35,6.53,0.0
2025-01-30,6484.0,6.53,6.61,6.75,6.51,6.64,0.11
2025-01-31,11720.0,6.64,6.4,6.85,6.4,6.68,0.04
2025-02-03,1860.0,6.68,6.78,6.8,6.64,6.73,0.05
2025-02-04,2945.0,6.73,6.7,6.8,6.6,6.61,-0.12
2025-02-06,1122.0,6.61,6.58,6.65,6.3,6.35,-0.26
2025-02-07,909.0,6.35,6.32,6.38,6.05,6.12,-0.23
2025-02-10,892.0,6.12,6.2,6.2,6.0,6.11,-0.01
2025-02-11,2436.0,6.11,6.19,6.43,6.13,6.29,0.18
2025-02-12,1224.0,6.29,6.3,6.4,6.22,6.37,0.08
2025-02-13,2615.0,6.37,6.36,6.6,6.27,6.43,0.06
2025-02-14,960.0,6.43,6.53,6.53,6.15,6.17,-0.26
2025-02-17,709.0,6.17,6.12,6.15,6.01,6.09,-0.08
2025-02-18,592.0,6.09,6.04,6.18,6.0,6.12,0.03
2025-02-19,3669.0,6.12,6.25,6.48,6.16,6.29,0.17
2025-02-20,5626.0,6.29,6.39,6.62,6.32,6.42,0.13
2025-02-21,2302.0,6.42,6.6,6.64,6.45,6.48,0.06
2025-02-24,1926.0,6.48,6.5,6.5,6.3,6.45,-0.03
2025-02-25,6716.0,6.45,6.55,6.74,6.49,6.71,0.26
2025-02-26,13713.0,6.71,6.82,7.2,6.2,6.31,-0.4
2025-02-27,2033.0,6.31,6.35,6.36,6.2,6.32,0.01
2025-02-28,10841.0,6.32,6.3,6.3,6.0,6.05,-0.27
2025-03-03,185.0,6.14,6.13,6.14,6.06,6.07,-0.07
2025-03-04,201.0,6.07,6.05,6.1,5.96,6.1,0.03
2025-03-05,657.0,6.1,6.06,6.17,6.05,6.05,-0.05
2025-03-06,326.0,6.05,6.07,6.17,6.0,6.1,0.05
2025-03-07,487.0,6.1,6.11,6.11,6.02,6.06,-0.04
2025-03-10,837.0,6.06,6.1,6.1,6.0,6.03,-0.03
2025-03-11,291.0,6.03,5.97,6.0,5.95,5.96,-0.07
2025-03-12,824.0,5.96,6.0,6.01,5.93,5.95,-0.01
2025-03-13,583.0,5.95,5.92,5.95,5.87,5.91,-0.04
2025-03-14,400.0,5.98,5.97,5.97,5.97,5.97,-0.01
2025-03-17,630.0,5.91,5.9,5.94,5.85,5.88,-0.03
2025-03-18,100.0,5.97,5.9,5.9,5.9,5.9,-0.07
2025-03-19,222.0,5.9,6.1,6.1,6.1,6.1,0.2
2025-03-20,12.0,6.1,6.2,6.2,6.2,6.2,0.1
2025-03-21,263.0,6.06,6.06,6.06,5.99,5.99,-0.07
2025-03-24,4414.0,6.05,6.1,6.2,6.07,6.09,0.04
2025-03-25,6362.0,6.09,6.18,6.23,5.99,6.0,-0.09
2025-03-26,3877.0,6.0,6.02,6.04,5.95,5.96,-0.04
