Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,18243602.0,22.58,22.95,24.16,22.8,24.0,1.42
2024-01-02,21742600.0,24.0,24.0,24.6,23.22,23.45,-0.55
2024-01-03,7455696.0,23.45,23.25,23.94,22.92,23.37,-0.08
2024-01-04,12404040.0,23.37,23.35,24.1,22.8,23.63,0.26
2024-01-05,14218728.0,23.63,23.8,24.25,22.81,23.59,-0.04
2024-01-08,5587152.0,23.59,23.5,23.89,23.06,23.32,-0.27
2024-01-09,19136916.0,23.32,23.52,24.44,23.46,23.91,0.59
2024-01-10,11124957.0,23.91,24.0,24.14,23.34,23.53,-0.38
2024-01-11,3234998.0,23.53,23.68,23.89,23.4,23.52,-0.01
2024-01-12,9691139.0,23.52,23.73,24.25,23.5,23.68,0.16
2024-01-15,6668341.0,23.68,23.85,24.1,22.5,22.77,-0.91
2024-01-16,7281369.0,22.77,22.8,22.82,21.59,22.31,-0.46
2024-01-17,4113822.0,22.31,22.25,22.74,21.85,22.06,-0.25
2024-01-18,5020971.0,22.06,22.09,22.09,21.11,21.27,-0.79
2024-01-19,2838796.0,21.27,21.54,21.75,21.0,21.12,-0.15
2024-01-22,2446622.0,21.12,21.2,21.29,20.44,20.56,-0.56
2024-01-23,8121285.0,20.56,20.52,22.1,20.4,22.1,1.54
2024-01-24,10493.0,22.58,23.0,23.71,22.02,23.15,0.57
2024-01-25,5444262.0,22.98,22.8,23.19,21.96,22.12,-0.86
2024-01-26,3606423.0,22.12,22.0,22.58,21.75,22.3,0.18
2024-01-29,3805133.0,22.3,22.24,22.44,21.42,21.7,-0.6
2024-01-30,4970014.0,21.7,21.79,21.98,20.65,20.97,-0.73
2024-01-31,5271443.0,20.97,21.04,22.33,20.9,21.82,0.85
2024-02-01,1901715.0,21.82,21.98,21.99,21.4,21.57,-0.25
2024-02-02,12638102.0,21.57,21.5,23.15,21.5,22.86,1.29
2024-02-06,10029368.0,22.86,23.4,23.69,22.7,23.07,0.21
2024-02-07,21266442.0,23.07,23.2,24.2,23.2,23.88,0.81
2024-02-09,8256402.0,23.88,23.5,23.5,22.15,22.71,-1.17
2024-02-12,12296560.0,22.71,22.5,23.0,21.01,21.41,-1.3
2024-02-13,11177291.0,21.41,21.1,22.75,20.25,22.12,0.71
2024-02-14,6711322.0,22.12,22.41,23.0,22.27,22.57,0.45
2024-02-15,9484651.0,22.57,22.79,23.11,21.5,21.94,-0.63
2024-02-16,9.0,22.6,21.96,22.0,21.5,21.99,-0.61
2024-02-19,359.0,21.99,21.6,22.7,21.6,22.52,0.53
2024-02-20,10183053.0,22.25,22.2,22.6,21.71,22.0,-0.25
2024-02-21,7222989.0,22.0,22.9,23.15,22.25,22.99,0.99
2024-02-22,23114152.0,22.99,23.0,23.36,22.32,22.74,-0.25
2024-02-23,7734520.0,22.74,22.87,23.15,22.5,22.61,-0.13
2024-02-26,2437701.0,22.61,22.81,22.9,22.4,22.53,-0.08
2024-02-27,5840100.0,22.53,22.58,22.69,21.6,21.79,-0.74
2024-02-28,2644154.0,21.79,21.52,22.34,21.52,21.92,0.13
2024-02-29,2694389.0,21.92,22.16,22.4,21.45,21.61,-0.31
2024-03-01,1764105.0,21.61,21.55,22.1,21.55,21.78,0.17
2024-03-04,1265016.0,21.78,21.94,22.15,21.62,21.76,-0.02
2024-03-05,1019767.0,21.76,21.65,21.99,21.24,21.61,-0.15
2024-03-06,8541215.0,21.61,21.49,22.58,21.49,21.63,0.02
2024-03-07,31074761.0,21.63,21.8,23.25,21.6,23.24,1.61
2024-03-08,26555931.0,23.24,23.5,24.95,23.45,24.27,1.03
2024-03-11,11032221.0,24.27,24.5,24.9,23.75,23.94,-0.33
2024-03-12,8429840.0,23.94,24.1,24.2,22.25,22.61,-1.33
2024-03-13,6908761.0,22.61,22.51,23.17,21.3,21.59,-1.02
2024-03-14,6649507.0,21.59,21.8,23.21,21.8,23.0,1.41
2024-03-15,3564874.0,23.0,23.21,23.34,22.5,22.58,-0.42
2024-03-18,1641180.0,22.58,22.73,22.73,22.21,22.32,-0.26
2024-03-19,5849218.0,22.32,22.39,23.33,22.27,22.94,0.62
2024-03-20,6305473.0,22.94,23.0,23.53,22.64,22.83,-0.11
2024-03-21,3894264.0,22.83,23.0,23.1,21.65,21.91,-0.92
2024-03-22,2012991.0,21.91,22.05,22.2,21.61,21.74,-0.17
2024-03-25,1476758.0,21.74,21.8,22.04,21.26,21.67,-0.07
2024-03-26,3627137.0,21.67,21.3,22.35,21.3,21.91,0.24
2024-03-27,7243766.0,21.91,22.1,22.78,21.6,22.21,0.3
2024-03-28,8468796.0,22.21,22.45,23.4,22.35,23.02,0.81
2024-03-29,4502877.0,23.02,23.25,23.36,22.2,22.44,-0.58
2024-04-01,3326148.0,22.44,22.63,22.9,22.22,22.44,0.0
2024-04-02,1539778.0,22.44,22.51,22.58,22.02,22.19,-0.25
2024-04-03,6381050.0,22.19,22.25,22.74,21.7,22.22,0.03
2024-04-04,5996347.0,22.22,22.45,22.9,21.91,22.32,0.1
2024-04-08,7638699.0,22.32,22.7,23.25,22.4,23.09,0.77
2024-04-09,5536360.0,23.09,23.35,23.5,22.5,22.82,-0.27
2024-04-15,4868847.0,22.82,22.6,23.08,22.44,22.54,-0.28
2024-04-16,5911.0,22.79,22.9,23.45,22.61,22.74,-0.05
2024-04-17,3987646.0,22.56,22.6,22.75,22.37,22.52,-0.04
2024-04-18,3217937.0,22.52,22.64,22.9,22.33,22.49,-0.03
2024-04-19,3310234.0,22.49,22.48,22.7,22.25,22.44,-0.05
2024-04-22,20834.0,22.56,22.46,23.98,22.45,23.44,0.88
2024-04-23,41285032.0,23.43,23.56,24.8,23.0,23.92,0.49
2024-04-24,10779132.0,23.92,24.0,24.09,23.3,23.44,-0.48
2024-04-25,11834666.0,23.44,23.74,24.14,23.0,23.24,-0.2
2024-04-26,8549587.0,23.24,23.25,23.29,22.63,22.75,-0.49
2024-04-29,6872795.0,22.75,22.74,23.5,22.74,23.0,0.25
2024-04-30,12072688.0,23.0,23.09,23.63,22.35,22.52,-0.48
2024-05-02,12647617.0,22.52,22.9,23.45,22.0,23.18,0.66
2024-05-03,16261833.0,23.18,23.02,24.15,23.02,23.39,0.21
2024-05-06,48443791.0,23.39,23.74,25.14,23.55,25.13,1.74
2024-05-07,64150303.0,25.13,25.38,27.01,25.38,26.9,1.77
2024-05-08,29968692.0,26.9,26.6,27.0,25.55,25.7,-1.2
