Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2500.0,92.83,93.0,93.5,92.0,93.5,0.67
2024-01-02,5500.0,93.5,91.5,92.97,90.0,92.95,-0.55
2024-01-03,8000.0,92.95,94.99,94.99,88.11,91.99,-0.96
2024-01-04,27500.0,91.99,94.85,96.99,90.0,96.99,5.0
2024-01-05,57500.0,96.99,99.9,99.9,89.72,89.89,-7.1
2024-01-08,8000.0,89.89,94.85,94.85,86.0,88.62,-1.27
2024-01-09,9500.0,88.62,93.9,93.9,85.0,85.75,-2.87
2024-01-10,6500.0,85.75,87.94,87.94,82.2,85.1,-0.65
2024-01-11,11500.0,85.1,87.95,87.95,82.1,84.02,-1.08
2024-01-12,5000.0,84.02,85.99,86.0,84.89,84.89,0.87
2024-01-16,20000.0,84.89,79.21,82.99,78.52,79.92,-4.97
2024-01-17,4000.0,79.92,82.89,82.89,82.89,82.89,2.97
2024-01-18,3000.0,82.89,82.0,82.0,81.99,82.0,-0.89
2024-01-19,5500.0,82.0,85.45,85.45,83.9,83.93,1.93
2024-01-22,1000.0,83.93,83.0,83.0,82.0,82.0,-1.93
2024-01-23,5500.0,82.0,77.0,81.97,76.2,81.35,-0.65
2024-01-24,5000.0,81.35,84.99,84.99,81.0,81.87,0.52
2024-01-25,9000.0,81.87,83.85,83.85,81.0,81.25,-0.62
2024-01-26,8000.0,81.25,84.9,84.9,80.0,81.98,0.73
2024-01-29,3500.0,81.98,86.88,86.88,80.0,82.39,0.41
2024-01-30,6500.0,82.39,87.95,87.95,79.0,80.99,-1.4
2024-01-31,4500.0,80.99,85.7,85.7,84.98,84.98,3.99
2024-02-01,500.0,84.98,80.0,80.0,80.0,80.0,-4.98
2024-02-02,2500.0,80.0,80.99,80.99,80.99,80.99,0.99
2024-02-06,5500.0,80.99,80.5,81.99,80.5,81.99,1.0
2024-02-07,7500.0,81.99,84.98,84.99,80.0,81.37,-0.62
2024-02-09,8500.0,81.37,83.45,84.65,79.0,82.23,0.86
2024-02-12,2500.0,82.23,77.3,78.84,76.07,77.92,-4.31
2024-02-13,7000.0,77.92,81.99,81.99,75.0,78.77,0.85
2024-02-14,1000.0,78.77,80.89,80.89,80.89,80.89,2.12
2024-02-15,5000.0,80.89,81.99,81.99,78.0,78.0,-2.89
2024-02-16,14000.0,78.0,81.89,81.89,73.5,75.49,-2.51
2024-02-19,5500.0,75.49,78.69,78.69,78.69,78.69,3.2
2024-02-20,6500.0,78.69,82.89,82.89,76.1,78.99,0.3
2024-02-21,12000.0,78.99,75.01,82.7,75.01,80.97,1.98
2024-02-22,14000.0,80.97,83.6,83.6,76.11,77.66,-3.31
