Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10000.0,21.75,20.12,22.99,20.12,21.99,0.24
2024-01-05,12500.0,21.99,22.98,22.99,20.51,20.52,-1.47
2024-01-08,1000.0,20.52,20.52,20.52,20.52,20.52,0.0
2024-01-16,9500.0,20.52,20.0,20.0,18.98,19.0,-1.52
2024-01-18,4000.0,19.0,0.0,0.0,0.0,19.0,0.0
2024-02-22,500.0,19.0,0.0,0.0,0.0,19.0,0.0
2024-02-26,1000.0,19.0,20.2,20.2,20.2,20.2,1.2
2024-02-28,1000.0,20.2,18.69,18.69,18.69,18.69,-1.51
2024-04-22,4000.0,18.69,19.75,19.75,17.4,17.4,-1.29
2024-05-14,1000.0,17.4,17.4,17.4,17.4,17.4,0.0
2024-05-21,1000.0,17.4,16.78,16.78,16.78,16.78,-0.62
2024-05-22,1000.0,16.78,17.25,17.25,17.01,17.01,0.23
2024-05-30,503.0,17.01,15.65,17.35,15.65,16.99,-0.02
2024-05-31,4.0,16.99,16.99,16.99,16.99,16.99,0.0
2024-06-03,96.0,16.99,17.01,17.01,17.01,16.99,0.0
2024-06-04,1.0,16.99,16.76,16.76,16.76,16.99,0.0
2024-06-05,160.0,16.99,18.0,18.0,17.66,16.99,0.0
2024-06-06,430.0,16.99,17.4,17.4,17.4,16.99,0.0
2024-06-07,441.0,16.99,18.0,18.0,17.26,16.99,0.0
2024-06-11,1.0,16.99,18.2,18.2,18.2,16.99,0.0
2024-06-14,20.0,16.99,17.51,17.51,17.39,16.99,0.0
2024-06-20,2521.0,16.99,17.46,18.19,16.7,17.7,0.71
2024-06-21,20.0,17.7,17.0,17.74,16.98,17.7,0.0
2024-06-24,1.0,17.7,17.85,17.85,17.85,17.7,0.0
2024-06-25,269.0,17.7,17.01,17.01,17.0,17.7,0.0
2024-06-26,1812.0,17.7,18.39,19.04,16.76,18.52,0.82
2024-07-01,1.0,18.52,18.2,18.2,18.2,18.52,0.0
2024-07-02,16.0,18.52,20.14,20.14,17.41,18.52,0.0
2024-07-03,920.0,18.52,18.0,18.38,18.0,18.0,-0.52
2024-07-05,2065.0,18.0,16.54,17.44,16.38,16.39,-1.61
2024-07-09,2.0,16.39,17.0,17.48,17.0,16.39,0.0
2024-07-11,5.0,16.39,17.86,17.86,17.86,16.39,0.0
2024-07-15,200.0,16.39,17.25,17.49,17.25,17.01,0.62
2024-07-18,1589.0,17.01,17.5,17.5,17.5,17.5,0.49
2024-07-19,110.0,17.5,17.5,17.75,17.5,17.5,0.0
2024-07-22,5.0,17.5,17.99,17.99,17.99,17.5,0.0
2024-07-24,1031.0,17.5,19.25,19.25,17.25,17.7,0.2
2024-07-25,310.0,17.7,19.4,19.4,18.0,17.7,0.0
2024-07-26,50.0,17.7,17.75,17.75,17.75,17.7,0.0
2024-07-29,69477.0,17.7,19.35,19.47,19.0,19.47,1.77
2024-07-30,110362.0,19.47,21.42,21.42,18.81,20.98,1.51
2024-07-31,3510.0,20.98,20.24,20.24,19.5,19.54,-1.44
