Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,92000.0,0.85,0.92,0.92,0.89,0.89,0.04
2024-01-02,51500.0,0.89,0.9,0.91,0.86,0.88,-0.01
2024-01-03,347500.0,0.88,0.95,0.95,0.81,0.9,0.02
2024-01-04,187000.0,0.9,0.97,0.97,0.86,0.9,0.0
2024-01-08,535500.0,0.9,0.93,0.93,0.8,0.84,-0.06
2024-01-12,662000.0,0.87,0.88,0.89,0.75,0.84,-0.03
2024-01-18,201000.0,0.8,0.86,0.86,0.75,0.78,-0.02
2024-01-19,30500.0,0.78,0.87,0.87,0.76,0.8,0.02
2024-01-22,15000.0,0.8,0.8,0.8,0.76,0.78,-0.02
2024-01-23,128000.0,0.78,0.8,0.8,0.77,0.8,0.02
2024-01-26,24500.0,0.76,0.8,0.8,0.75,0.75,-0.01
2024-01-29,85000.0,0.75,0.7,0.79,0.7,0.76,0.01
2024-01-30,323500.0,0.76,0.79,0.79,0.69,0.7,-0.06
2024-01-31,80500.0,0.7,0.71,0.79,0.71,0.77,0.07
2024-02-01,50500.0,0.77,0.81,0.81,0.71,0.79,0.02
2024-02-02,122500.0,0.79,0.77,0.83,0.74,0.8,0.01
2024-02-07,61500.0,0.71,0.75,0.75,0.71,0.75,0.04
2024-02-13,361500.0,0.72,0.72,0.72,0.7,0.71,-0.01
2024-02-14,221500.0,0.71,0.72,0.87,0.72,0.76,0.05
2024-02-15,25500.0,0.76,0.81,0.81,0.71,0.79,0.03
2024-02-16,7500.0,0.79,0.74,0.79,0.7,0.73,-0.06
2024-02-19,45500.0,0.73,0.71,0.79,0.7,0.76,0.03
2024-02-20,14000.0,0.76,0.75,0.75,0.71,0.75,-0.01
2024-02-21,176000.0,0.75,0.78,0.78,0.7,0.75,0.0
2024-02-22,76000.0,0.75,0.78,0.78,0.73,0.73,-0.02
2024-02-23,98500.0,0.73,0.76,0.78,0.74,0.76,0.03
2024-02-26,14500.0,0.76,0.77,0.77,0.72,0.77,0.01
2024-02-27,44500.0,0.77,0.77,0.79,0.74,0.78,0.01
2024-02-28,10500.0,0.78,0.72,0.77,0.71,0.75,-0.03
2024-02-29,28000.0,0.75,0.74,0.78,0.73,0.74,-0.01
2024-03-01,364500.0,0.74,0.71,0.85,0.7,0.79,0.05
2024-03-04,98500.0,0.79,0.79,0.83,0.74,0.75,-0.04
2024-03-05,277000.0,0.75,0.82,0.82,0.74,0.8,0.05
2024-03-06,159000.0,0.8,0.85,0.85,0.75,0.8,0.0
2024-03-07,119000.0,0.8,0.83,0.83,0.77,0.8,0.0
2024-03-08,84500.0,0.8,0.84,0.85,0.81,0.83,0.03
2024-03-11,196500.0,0.83,0.87,0.88,0.8,0.85,0.02
2024-03-12,30500.0,0.85,0.85,0.85,0.78,0.8,-0.05
2024-03-13,106000.0,0.8,0.83,0.83,0.77,0.8,0.0
2024-03-14,36000.0,0.8,0.85,0.85,0.72,0.81,0.01
2024-03-15,1291000.0,0.81,0.88,0.9,0.25,0.57,-0.24
2024-03-18,482000.0,0.57,0.8,0.8,0.69,0.72,0.15
2024-03-19,494000.0,0.72,0.84,0.89,0.76,0.85,0.13
2024-03-20,726000.0,0.85,0.9,0.95,0.8,0.86,0.01
2024-03-21,529500.0,0.86,0.87,0.92,0.81,0.87,0.01
2024-03-22,190500.0,0.87,0.87,0.94,0.8,0.86,-0.01
2024-03-25,88500.0,0.86,0.92,0.93,0.8,0.8,-0.06
2024-03-26,233000.0,0.8,0.91,0.91,0.78,0.78,-0.02
2024-03-27,301000.0,0.78,0.89,0.89,0.72,0.74,-0.04
2024-03-28,130500.0,0.74,0.79,0.79,0.7,0.75,0.01
2024-03-29,595000.0,0.75,0.74,0.76,0.7,0.71,-0.04
2024-04-01,169000.0,0.71,0.84,0.88,0.74,0.76,0.05
2024-04-02,1813000.0,0.76,0.85,0.85,0.51,0.7,-0.06
2024-04-03,137000.0,0.7,0.68,0.73,0.68,0.72,0.02
2024-04-04,104000.0,0.72,0.74,0.74,0.71,0.72,0.0
2024-04-08,34500.0,0.72,0.7,0.74,0.7,0.72,0.0
2024-04-09,638000.0,0.72,0.78,0.78,0.65,0.68,-0.04
2024-04-15,95500.0,0.68,0.73,0.73,0.66,0.71,0.03
2024-04-16,75500.0,0.71,0.74,0.75,0.71,0.74,0.03
2024-04-17,115000.0,0.74,0.67,0.73,0.67,0.71,-0.03
2024-04-18,111500.0,0.71,0.7,0.75,0.69,0.71,0.0
2024-04-19,228000.0,0.71,0.74,0.77,0.64,0.71,0.0
2024-04-22,61000.0,0.71,0.76,0.76,0.69,0.69,-0.02
2024-04-23,75000.0,0.69,0.73,0.73,0.67,0.69,0.0
2024-04-24,155500.0,0.69,0.67,0.72,0.66,0.69,0.0
2024-04-25,656000.0,0.69,0.7,0.74,0.67,0.73,0.04
2024-04-26,543500.0,0.73,0.75,0.75,0.65,0.66,-0.07
2024-04-29,132000.0,0.66,0.72,0.72,0.67,0.71,0.05
