Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-30,21674.0,2.02,3.02,3.02,3.02,3.02,1.0
2024-06-03,126915.0,4.02,4.25,4.25,3.55,3.9,-0.12
2024-06-04,67323.0,3.9,4.19,4.19,2.9,3.16,-0.74
2024-06-05,29694.0,3.16,2.9,3.1,2.18,2.82,-0.34
2024-06-06,150315.0,2.82,2.82,3.44,2.4,2.91,0.09
2024-06-07,69224.0,2.91,3.34,3.85,2.9,3.55,0.64
2024-06-10,32271.0,3.55,3.75,3.75,2.82,3.29,-0.26
2024-06-11,14337.0,3.29,3.29,3.29,2.61,2.75,-0.54
2024-06-12,15163.0,2.75,2.96,2.96,2.02,2.72,-0.03
2024-06-13,826.0,2.72,2.88,2.88,2.22,2.5,-0.22
2024-06-14,10104.0,2.5,2.31,2.98,2.31,2.98,0.48
2024-06-20,161008.0,2.98,2.95,3.98,2.36,3.57,0.59
2024-06-21,90149.0,3.57,3.57,3.97,2.78,3.23,-0.34
2024-06-24,47372.0,3.23,3.0,3.4,3.0,3.35,0.12
2024-06-25,291.0,3.35,3.01,3.3,3.01,3.35,0.0
2024-06-26,4327.0,3.35,2.83,3.5,2.83,3.48,0.13
2024-06-27,75915.0,3.48,3.11,3.27,2.94,2.99,-0.49
2024-06-28,12645.0,2.99,2.99,3.23,2.99,3.23,0.24
2024-07-01,13770.0,3.23,3.01,3.14,2.9,2.91,-0.32
2024-07-02,5344.0,2.91,2.7,3.09,2.7,3.0,0.09
2024-07-03,103698.0,3.0,3.2,4.0,3.19,4.0,1.0
2024-07-04,221137.0,4.0,4.63,5.0,3.5,4.6,0.6
2024-07-05,37371.0,4.6,5.47,5.47,4.0,4.82,0.22
2024-07-08,1419.0,4.82,5.5,5.6,3.96,4.79,-0.03
2024-07-09,7858.0,4.79,5.44,5.44,4.01,4.19,-0.6
2024-07-10,9978.0,4.19,4.46,4.46,4.0,4.0,-0.19
2024-07-11,20602.0,4.0,4.24,5.0,3.5,4.93,0.93
2024-07-12,8495.0,4.93,4.93,4.93,4.01,4.12,-0.81
2024-07-15,3463.0,4.12,4.4,4.4,3.5,4.15,0.03
2024-07-18,3160.0,4.15,4.88,4.88,3.24,3.88,-0.27
2024-07-19,2078.0,3.88,4.5,4.5,4.24,4.25,0.37
2024-07-22,3749.0,4.25,4.8,4.8,3.6,4.29,0.04
2024-07-23,6221.0,4.29,4.7,4.7,4.01,4.4,0.11
2024-07-24,193129.0,4.4,4.09,5.4,3.4,5.39,0.99
2024-07-25,53957.0,5.39,6.0,6.26,5.3,5.9,0.51
2024-07-26,46129.0,5.9,5.51,6.25,5.5,5.56,-0.34
2024-07-29,14248.0,5.56,5.9,6.2,5.6,6.01,0.45
2024-07-30,118214.0,6.01,6.2,7.01,5.62,7.01,1.0
2024-07-31,44640.0,7.01,7.63,8.01,7.1,7.21,0.2
2024-08-01,31325.0,7.21,7.94,7.94,6.9,7.26,0.05
2024-08-02,23346.0,7.26,8.18,8.18,7.0,7.24,-0.02
2024-08-05,5935.0,7.24,7.2,7.44,7.0,7.09,-0.15
2024-08-06,8915.0,7.09,7.0,7.5,6.09,6.73,-0.36
2024-08-07,20250.0,6.73,7.72,7.72,6.25,7.35,0.62
2024-08-08,4563.0,7.35,7.94,7.94,6.5,6.9,-0.45
2024-08-09,2554.0,6.9,7.5,7.5,7.0,7.2,0.3
2024-08-12,15356.0,7.2,6.67,7.85,6.55,6.78,-0.42
2024-08-13,3108.0,6.78,6.15,6.39,6.0,6.22,-0.56
2024-08-15,12308.0,6.22,6.5,6.5,6.05,6.23,0.01
2024-08-16,2896.0,6.23,6.9,6.9,5.5,6.69,0.46
2024-08-19,1016.0,6.69,7.12,7.12,6.01,7.0,0.31
2024-08-20,1982.0,7.0,6.5,7.0,6.5,6.55,-0.45
2024-08-21,5112.0,6.55,6.94,6.94,6.25,6.25,-0.3
2024-08-22,7439.0,6.25,6.25,6.97,5.9,6.4,0.15
2024-08-23,6566.0,6.4,6.2,6.83,5.79,5.9,-0.5
2024-08-26,15806.0,5.9,5.75,6.0,5.21,5.23,-0.67
2024-08-27,4096.0,5.23,5.35,5.56,5.24,5.53,0.3
2024-08-28,8232.0,5.53,5.51,5.86,5.5,5.5,-0.03
2024-08-29,4753.0,5.5,6.0,6.0,5.1,5.95,0.45
2024-08-30,1258.0,5.95,5.45,5.9,5.21,5.5,-0.45
2024-09-02,8025.0,5.5,5.5,5.5,4.51,4.51,-0.99
2024-09-03,36723.0,4.51,5.5,5.51,5.0,5.51,1.0
2024-09-04,44267.0,5.51,6.45,6.51,6.0,6.08,0.57
2024-09-05,53771.0,6.08,5.31,6.94,5.3,5.8,-0.28
2024-09-06,23942.0,5.8,5.75,6.75,5.5,5.85,0.05
2024-09-09,5105.0,5.85,5.55,5.9,5.3,5.85,0.0
2024-09-10,7628.0,5.85,5.64,6.0,5.48,5.5,-0.35
2024-09-11,2098.0,5.5,5.5,6.0,5.5,5.51,0.01
2024-09-12,63116.0,5.51,5.1,5.95,4.56,5.75,0.24
2024-09-13,1105.0,5.75,6.0,6.0,5.2,5.21,-0.54
2024-09-16,3541.0,5.21,5.7,5.7,5.01,5.1,-0.11
2024-09-18,164457.0,5.1,5.69,6.1,5.68,6.1,1.0
2024-09-19,80291.0,6.1,6.2,6.8,6.1,6.3,0.2
2024-09-20,5506.0,6.3,6.72,6.72,5.8,5.81,-0.49
2024-09-23,5182.0,5.81,6.0,6.0,5.41,5.99,0.18
2024-09-24,3003.0,5.99,6.0,6.4,6.0,6.0,0.01
2024-09-25,35860.0,6.0,6.58,7.0,5.67,6.91,0.91
2024-09-26,10012.0,6.91,6.0,6.96,6.0,6.22,-0.69
2024-09-27,5.0,6.22,6.86,6.86,5.64,6.22,0.0
2024-09-30,10.0,6.22,6.98,6.98,6.98,6.22,0.0
2024-10-01,2502.0,6.22,6.5,6.5,5.5,5.5,-0.72
2024-10-02,599.0,5.5,6.38,6.38,5.34,5.35,-0.15
2024-10-03,4060.0,5.35,5.99,6.35,5.99,6.01,0.66
2024-10-04,778.0,6.01,5.3,6.74,5.2,6.22,0.21
2024-10-07,13018.0,6.22,6.43,6.43,5.44,5.44,-0.78
2024-10-08,1910.0,5.44,6.43,6.43,5.13,5.9,0.46
2024-10-09,1028.0,5.9,6.44,6.44,5.6,5.62,-0.28
2024-10-10,3254.0,5.62,6.22,6.56,5.6,6.42,0.8
2024-10-11,1814.0,6.42,5.7,6.84,5.5,5.5,-0.92
2024-10-14,4718.0,5.5,5.0,6.3,5.0,5.75,0.25
2024-10-15,5988.0,5.75,6.6,6.6,5.5,5.5,-0.25
2024-10-16,24.0,5.5,6.25,6.25,5.6,5.5,0.0
2024-10-17,5315.0,5.5,5.99,5.99,5.1,5.5,0.0
2024-10-18,15.0,5.5,5.98,5.98,5.2,5.5,0.0
2024-10-21,4286.0,5.5,4.8,5.48,4.51,4.93,-0.57
2024-10-22,664.0,4.93,5.8,5.8,5.21,5.35,0.42
2024-10-23,8419.0,5.35,5.11,6.0,5.11,5.67,0.32
2024-10-24,5207.0,5.67,5.21,5.91,5.0,5.89,0.22
2024-10-25,49201.0,5.89,6.1,6.49,5.11,6.0,0.11
2024-10-28,2271.0,6.0,6.5,6.5,5.2,6.01,0.01
2024-10-29,528.0,6.01,6.39,6.39,5.79,5.8,-0.21
2024-10-30,2.0,5.8,5.95,5.95,5.95,5.8,0.0
2024-10-31,54322.0,5.8,6.2,6.2,5.1,5.6,-0.2
2024-11-01,1301.0,5.6,6.42,6.42,5.1,5.3,-0.3
2024-11-04,820.0,5.3,5.8,5.8,4.31,4.77,-0.53
2024-11-05,3575.0,4.77,5.45,5.77,4.78,5.31,0.54
2024-11-06,16577.0,5.31,5.98,5.98,4.9,4.99,-0.32
2024-11-07,3521.0,4.99,5.75,5.95,5.05,5.74,0.75
2024-11-08,698.0,5.74,5.65,6.0,5.65,5.93,0.19
2024-11-11,657.0,5.93,6.5,6.5,5.56,6.26,0.33
2024-11-12,637.0,6.26,6.6,6.6,5.71,6.12,-0.14
2024-11-13,3276.0,6.12,5.76,6.1,5.55,5.55,-0.57
2024-11-14,316.0,5.55,6.17,6.17,4.77,5.55,0.0
2024-11-15,5375.0,5.55,5.98,5.98,5.05,5.5,-0.05
2024-11-18,11170.0,5.5,6.18,6.18,5.4,5.4,-0.1
2024-11-19,1132.0,5.4,5.99,5.99,5.2,5.66,0.26
2024-11-20,2387.0,5.66,5.98,5.98,5.5,5.57,-0.09
2024-11-21,1030.0,5.57,5.94,5.94,5.0,5.28,-0.29
2024-11-22,2763.0,5.28,5.69,5.69,4.31,5.3,0.02
2024-11-25,12656.0,5.3,5.3,6.09,5.3,5.3,0.0
2024-11-26,30588.0,5.3,5.31,5.32,4.37,5.23,-0.07
2024-11-27,8575.0,5.23,5.4,6.23,5.4,6.21,0.98
2024-11-28,2381.0,6.21,6.6,6.6,5.6,5.61,-0.6
2024-11-29,15547.0,5.61,5.61,5.88,5.0,5.46,-0.15
2024-12-02,184.0,5.46,5.7,5.7,5.6,5.46,0.0
2024-12-03,1993.0,5.46,6.19,6.19,5.4,5.4,-0.06
2024-12-04,132.0,5.4,5.77,5.77,5.25,5.4,0.0
2024-12-05,1996.0,5.4,5.7,5.7,5.05,5.5,0.1
2024-12-06,5.0,5.5,5.7,5.7,5.7,5.5,0.0
2024-12-09,42963.0,5.5,5.55,5.8,5.0,5.02,-0.48
2024-12-10,69853.0,5.02,5.29,5.29,4.02,4.1,-0.92
2024-12-11,47663.0,4.1,4.21,4.95,4.21,4.84,0.74
2024-12-12,1513.0,4.84,4.65,4.9,4.65,4.88,0.04
2024-12-13,30398.0,4.88,4.9,4.9,4.02,4.62,-0.26
2024-12-16,43813.0,4.62,4.63,5.01,4.42,5.0,0.38
2024-12-17,8088.0,5.0,5.1,5.1,4.26,4.78,-0.22
2024-12-18,1773.0,4.78,4.4,5.0,4.4,4.9,0.12
2024-12-19,623.0,4.9,4.9,4.9,4.55,4.78,-0.12
2024-12-20,913.0,4.78,4.6,4.9,4.6,4.61,-0.17
2024-12-23,740.0,4.61,4.9,4.99,4.9,4.93,0.32
2024-12-24,110.0,4.93,5.0,5.0,4.7,4.93,0.0
2024-12-27,3281.0,4.93,4.3,4.85,4.3,4.39,-0.54
2024-12-30,722.0,4.39,4.31,4.55,4.31,4.45,0.06
2024-12-31,3261.0,4.45,4.6,4.66,4.55,4.55,0.1
2025-01-02,111.0,4.55,4.41,4.68,4.41,4.55,0.0
2025-01-03,761.0,4.55,4.65,4.8,4.42,4.7,0.15
2025-01-07,3614.0,4.7,4.0,4.69,4.0,4.5,-0.2
2025-01-08,6208.0,4.5,4.05,4.3,3.9,4.0,-0.5
2025-01-09,857.0,4.0,4.0,4.3,4.0,4.07,0.07
2025-01-10,501.0,4.07,4.33,4.33,4.3,4.3,0.23
2025-01-13,588.0,4.3,4.35,4.35,4.0,4.07,-0.23
2025-01-14,1905.0,4.07,4.4,4.5,4.4,4.5,0.43
2025-01-15,36472.0,4.5,4.8,5.14,4.5,5.0,0.5
2025-01-16,34148.0,5.0,5.14,5.44,5.14,5.15,0.15
2025-01-17,20257.0,5.15,5.35,5.44,5.0,5.05,-0.1
2025-01-20,1370.0,5.05,5.23,5.23,4.55,4.61,-0.44
2025-01-21,11003.0,4.61,4.5,4.8,4.3,4.3,-0.31
2025-01-22,7000.0,4.3,4.44,4.44,4.1,4.39,0.09
2025-01-23,11.0,4.39,4.8,4.8,4.8,4.39,0.0
2025-01-24,1328.0,4.39,4.8,4.8,4.2,4.6,0.21
2025-01-27,27510.0,4.6,4.79,5.0,4.77,4.8,0.2
2025-01-28,2.0,4.8,4.98,4.98,4.98,4.8,0.0
2025-01-29,6.0,4.8,5.0,5.0,4.8,4.8,0.0
2025-01-31,2.0,4.8,4.99,4.99,4.99,4.8,0.0
2025-02-04,1.0,4.8,4.95,4.95,4.95,4.8,0.0
2025-02-06,50005.0,4.8,4.3,4.8,4.3,4.75,-0.05
2025-02-07,3.0,4.75,0.0,0.0,0.0,4.75,0.0
2025-02-10,5220.0,4.75,4.2,4.5,3.77,4.27,-0.48
2025-02-11,117579.0,4.27,4.6,4.8,4.31,4.5,0.23
2025-02-12,1084.0,4.5,4.84,4.84,4.29,4.3,-0.2
2025-02-13,80512.0,4.3,4.22,4.58,3.4,4.05,-0.25
2025-02-14,62.0,4.05,4.2,4.2,4.18,4.05,0.0
2025-02-17,1150.0,4.05,3.92,3.92,3.63,3.77,-0.28
2025-02-18,7866.0,3.77,3.99,3.99,3.68,3.69,-0.08
2025-02-19,9338.0,3.69,3.85,4.39,3.85,4.2,0.51
2025-02-20,162.0,4.2,4.32,4.32,4.17,4.2,0.0
2025-02-21,1.0,4.2,4.3,4.3,4.3,4.2,0.0
2025-02-24,2.0,4.2,4.3,4.3,4.3,4.2,0.0
2025-02-25,3.0,4.2,4.29,4.29,4.2,4.2,0.0
2025-02-26,1501.0,4.2,4.1,4.2,4.1,4.2,0.0
2025-02-27,1402.0,4.2,4.12,4.19,4.12,4.13,-0.07
2025-02-28,10.0,4.13,4.34,4.34,4.34,4.13,0.0
2025-03-03,1.0,4.13,4.32,4.32,4.32,4.13,0.0
2025-03-04,510.0,4.13,4.24,4.24,4.15,4.15,0.02
2025-03-05,25.0,4.15,4.24,4.24,3.96,4.15,0.0
2025-03-06,10.0,4.15,4.23,4.23,4.23,4.15,0.0
2025-03-07,1575.0,4.15,4.22,4.22,4.12,4.12,-0.03
2025-03-10,3313.0,4.12,4.25,5.0,3.73,4.57,0.45
2025-03-11,300.0,4.57,4.57,4.57,4.57,4.57,0.0
2025-03-12,6.0,4.57,4.66,4.66,4.3,4.57,0.0
2025-03-13,111.0,4.57,4.5,4.7,4.5,4.57,0.0
2025-03-14,660.0,4.57,4.5,4.5,4.36,4.36,-0.21
2025-03-17,610.0,4.36,4.0,4.4,4.0,4.01,-0.35
2025-03-18,840.0,4.01,4.39,4.7,4.39,4.46,0.45
2025-03-19,6913.0,4.46,4.34,4.49,3.9,3.99,-0.47
2025-03-20,141.0,3.99,4.2,4.2,3.8,3.99,0.0
