Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,101600.0,120.99,122.0,126.0,122.0,124.55,3.56
2024-01-02,340600.0,124.55,123.0,133.24,121.5,130.97,6.42
2024-01-03,448400.0,130.97,133.79,136.9,131.15,132.98,2.01
2024-01-04,26200.0,132.98,132.0,132.0,128.12,129.29,-3.69
2024-01-05,35000.0,129.29,130.95,130.95,126.0,126.69,-2.6
2024-01-08,34200.0,126.69,126.05,126.69,121.11,122.58,-4.11
2024-01-09,55700.0,122.58,124.95,125.0,120.0,122.33,-0.25
2024-01-10,29400.0,122.33,123.95,123.95,120.0,120.95,-1.38
2024-01-11,94400.0,120.95,122.0,126.0,121.5,124.68,3.73
2024-01-12,70000.0,124.68,126.0,126.95,124.0,125.1,0.42
2024-01-15,36400.0,125.1,125.0,127.05,125.0,126.09,0.99
2024-01-16,56600.0,126.09,126.0,129.74,125.0,128.33,2.24
2024-01-17,236600.0,128.33,127.5,131.0,125.0,128.29,-0.04
2024-01-18,53900.0,128.29,128.0,129.0,126.5,128.0,-0.29
2024-01-19,73800.0,128.0,129.0,135.29,128.32,130.12,2.12
2024-01-22,8200.0,130.12,130.5,130.5,127.05,127.66,-2.46
2024-01-23,39300.0,127.66,129.95,129.99,127.5,129.0,1.34
2024-01-24,24700.0,129.0,130.0,132.99,129.0,130.0,1.0
2024-01-25,222900.0,130.0,130.95,134.0,129.89,132.53,2.53
2024-01-26,86400.0,132.53,131.05,133.0,129.01,132.64,0.11
2024-01-29,59600.0,132.64,129.6,132.89,128.3,131.55,-1.09
2024-01-30,41800.0,131.55,133.0,133.0,128.6,128.61,-2.94
2024-01-31,1000.0,128.61,128.5,128.5,128.5,128.5,-0.11
2024-02-01,19300.0,128.5,127.25,129.38,121.15,128.0,-0.5
2024-02-02,6200.0,128.0,128.0,129.55,128.0,128.23,0.23
2024-02-06,8400.0,128.23,129.0,129.0,128.4,128.87,0.64
2024-02-07,3000.0,128.87,128.01,129.0,128.01,128.7,-0.17
2024-02-09,3500.0,128.7,127.56,129.0,127.55,128.16,-0.54
2024-02-12,46700.0,128.16,126.0,130.0,125.0,129.66,1.5
2024-02-13,34300.0,129.66,127.01,136.0,127.0,132.3,2.64
2024-02-14,1200.0,132.3,134.95,134.95,132.05,132.95,0.65
2024-02-15,400.0,132.95,132.0,132.0,132.0,132.0,-0.95
2024-02-16,56000.0,132.0,130.0,130.1,128.5,130.0,2.0
2024-02-19,10500.0,130.0,129.5,130.0,128.0,130.0,0.0
2024-02-20,5500.0,130.0,131.95,131.95,129.0,130.0,0.0
2024-02-21,10700.0,130.0,130.01,130.1,130.0,130.05,0.05
2024-02-22,6100.0,130.05,132.0,133.0,132.0,132.0,1.95
2024-02-23,32100.0,132.0,134.99,141.9,134.99,141.9,9.9
2024-02-26,69700.0,141.9,150.0,150.0,138.0,139.71,-2.19
2024-02-27,14100.0,139.71,140.0,140.0,133.5,133.77,-5.94
2024-02-28,8600.0,133.77,134.0,136.95,134.0,135.95,2.18
2024-02-29,400.0,135.95,135.25,135.25,134.05,134.6,-1.35
2024-03-01,7800.0,134.6,132.99,134.5,132.0,132.07,-2.53
2024-03-04,13500.0,132.07,133.9,137.0,133.0,133.96,1.89
2024-03-05,8500.0,133.96,133.0,134.65,130.5,130.6,-3.36
2024-03-06,1800.0,130.6,128.75,130.0,128.0,128.77,-1.83
2024-03-07,9700.0,128.77,132.0,132.0,129.05,129.07,0.3
2024-03-08,8000.0,129.07,130.0,130.5,128.0,129.88,0.81
2024-03-11,400.0,129.88,130.25,130.25,130.0,130.0,0.12
2024-03-12,3300.0,130.0,126.01,126.01,126.0,126.0,4.0
2024-03-13,1900.0,126.0,125.99,128.0,125.01,126.5,0.5
2024-03-14,900.0,126.5,128.0,128.0,126.0,126.0,-0.5
2024-03-15,700.0,126.0,125.0,127.0,125.0,125.51,-0.49
2024-03-18,2100.0,125.51,127.0,127.49,125.03,125.82,0.31
2024-03-19,3000.0,125.82,126.88,130.0,126.0,126.0,0.18
2024-03-20,6700.0,126.0,126.5,126.5,122.01,123.72,-2.28
2024-03-21,5800.0,123.72,124.0,124.0,120.0,120.36,-3.36
2024-03-22,4600.0,120.36,124.35,125.0,122.0,122.32,1.96
2024-03-25,600.0,122.32,123.99,123.99,120.25,123.37,1.05
2024-03-26,12000.0,123.37,120.76,122.95,120.75,122.95,-0.42
2024-03-27,14900.0,122.95,124.25,124.5,121.0,121.84,-1.11
2024-03-28,27100.0,121.84,120.0,123.75,120.0,123.0,1.16
2024-03-29,45700.0,123.0,123.5,127.0,123.0,126.33,3.33
2024-04-01,2100.0,126.33,125.11,126.0,125.11,125.99,-0.34
2024-04-02,7500.0,125.99,125.0,126.0,125.0,126.0,0.01
2024-04-03,9400.0,126.0,125.01,127.05,125.01,126.01,0.01
2024-04-04,8000.0,126.01,126.4,127.95,126.2,126.2,0.19
2024-04-08,3700.0,126.2,126.01,127.95,126.0,126.01,-0.19
2024-04-09,3000.0,126.01,126.1,126.1,126.0,126.0,-0.01
2024-04-15,7900.0,126.0,126.0,130.0,125.4,128.13,2.13
2024-04-16,15600.0,128.13,130.0,131.0,127.0,128.5,0.37
2024-04-17,2600.0,128.5,127.0,130.0,126.0,128.0,-0.5
2024-04-18,6100.0,128.0,127.05,127.05,126.4,126.98,-1.02
2024-04-19,6000.0,126.98,127.0,128.25,126.01,126.66,-0.32
2024-04-22,6305.0,126.66,128.75,128.75,125.56,126.07,-0.59
2024-04-23,1398.0,126.07,127.99,128.0,126.0,126.0,-0.07
2024-04-24,5365.0,126.0,127.5,127.73,125.0,127.07,1.07
2024-04-25,76446.0,127.07,127.45,135.5,127.45,130.72,3.65
2024-04-26,13378.0,130.72,126.1,132.35,126.1,129.82,-0.9
2024-04-29,26721.0,129.82,127.0,130.9,127.0,130.0,0.18
2024-04-30,87948.0,130.0,130.05,139.0,130.0,133.96,3.96
2024-05-02,19884.0,133.96,130.2,134.8,130.01,132.0,-1.96
2024-05-03,15667.0,132.0,132.0,137.95,132.0,137.0,5.0
2024-05-06,19567.0,137.0,139.9,142.97,134.0,140.99,3.99
2024-05-07,32989.0,140.99,146.0,146.83,141.0,144.31,3.32
2024-05-08,3665.0,144.31,146.97,146.98,142.0,145.42,1.11
2024-05-09,9783.0,145.42,144.0,146.5,144.0,145.87,0.45
2024-05-10,6899.0,145.87,148.9,148.99,140.5,146.99,1.12
2024-05-13,6370.0,146.99,142.01,147.0,142.01,146.12,-0.87
2024-05-14,5043.0,146.12,148.49,148.49,144.0,145.98,-0.14
2024-05-15,22210.0,145.98,145.98,148.8,140.0,145.18,-0.8
2024-05-16,19405.0,145.18,144.0,145.9,144.0,145.0,-0.18
2024-05-17,36195.0,145.0,144.99,150.25,144.99,149.0,4.0
2024-05-20,14852.0,149.0,149.49,149.49,143.25,145.67,-3.33
2024-05-21,58590.0,145.67,148.75,156.6,137.0,156.6,10.93
2024-05-22,94703.0,156.6,160.0,168.35,160.0,168.35,11.75
2024-05-23,58016.0,168.35,174.85,180.4,161.97,163.17,-5.18
2024-05-24,40369.0,163.17,164.0,174.85,158.0,170.98,7.81
2024-05-27,21723.0,170.98,166.99,174.49,166.0,171.0,0.02
2024-05-29,90129.0,171.0,168.0,174.8,168.0,171.87,0.87
2024-05-30,17426.0,171.87,169.1,174.48,169.1,171.1,-0.77
2024-05-31,11304.0,171.1,171.0,172.0,170.0,171.9,0.8
2024-06-03,18360.0,171.9,167.5,172.5,167.5,171.5,-0.4
2024-06-04,17647.0,171.5,171.97,172.94,171.0,171.51,0.01
2024-06-05,64988.0,171.51,170.0,174.0,170.0,172.64,1.13
2024-06-06,4766.0,172.64,169.0,171.99,168.0,171.5,-1.14
2024-06-07,16089.0,171.5,169.01,174.4,169.01,172.0,0.5
2024-06-10,335.0,172.0,168.5,169.5,168.5,169.5,-2.5
2024-06-11,18243.0,169.5,168.83,171.75,168.83,170.44,0.94
2024-06-12,87655.0,170.44,171.7,173.0,165.0,165.73,-4.71
2024-06-13,14586.0,165.73,166.11,170.0,166.11,169.9,4.17
2024-06-14,3356.0,169.9,169.9,171.0,166.25,170.0,0.1
2024-06-20,14843.0,170.0,170.0,170.84,170.0,170.5,0.5
2024-06-21,14958.0,170.5,172.92,172.92,166.56,168.01,-2.49
2024-06-24,15506.0,168.01,171.0,171.55,164.0,166.31,-1.7
2024-06-25,13772.0,166.31,168.1,168.44,164.0,167.0,0.69
2024-06-26,15255.0,167.0,165.0,167.98,157.0,161.26,-5.74
2024-06-27,4346.0,161.26,161.25,161.25,155.5,158.19,-3.07
2024-06-28,4149.0,158.19,150.01,164.33,150.01,155.17,-3.02
2024-07-01,695.0,155.17,160.0,162.59,156.51,159.14,3.97
2024-07-02,1843.0,159.14,153.52,163.0,153.52,162.04,2.9
2024-07-03,7670.0,162.04,157.51,163.5,155.0,163.0,0.96
2024-07-04,772.0,163.0,162.55,163.0,162.0,162.03,-0.97
2024-07-05,500.0,162.03,160.0,162.0,160.0,160.01,-2.02
2024-07-08,366.0,160.01,160.0,160.0,150.25,157.5,-2.51
2024-07-09,254.0,157.5,157.0,161.91,152.25,154.1,-3.4
