Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,200.0,583.33,539.59,539.59,539.59,539.59,-43.74
2024-01-12,50.0,539.59,580.06,580.06,580.06,580.06,40.47
2024-01-23,350.0,536.56,550.0,550.0,549.0,549.5,12.94
2024-01-30,500.0,549.5,510.0,510.0,510.0,510.0,-39.5
2024-01-31,100.0,510.0,510.0,510.0,510.0,510.0,0.0
2024-02-19,850.0,510.0,471.75,471.75,471.75,471.75,-38.25
2024-02-29,2250.0,471.75,500.0,500.0,437.0,473.33,1.58
2024-03-20,500.0,473.33,508.0,508.83,508.0,508.83,35.5
2024-03-21,650.0,508.83,546.9,546.99,546.0,546.99,38.16
2024-03-22,1100.0,546.99,588.01,588.01,587.0,588.0,41.01
2024-03-25,1050.0,588.0,588.0,590.0,544.0,557.36,-30.64
2024-03-26,50.0,557.36,565.0,565.0,565.0,565.0,7.64
2024-03-27,100.0,565.0,565.0,575.0,565.0,575.0,10.0
2024-03-28,450.0,575.0,577.86,599.0,577.86,598.5,23.5
2024-04-01,50.0,598.5,615.0,615.0,615.0,615.0,16.5
2024-04-02,50.0,615.0,609.0,609.0,609.0,609.0,6.0
2024-04-03,500.0,609.0,600.0,600.0,600.0,600.0,9.0
2024-04-08,500.0,600.0,600.0,600.0,600.0,600.0,0.0
2024-04-22,1754.0,600.0,585.0,645.0,560.0,580.0,20.0
2024-04-24,102.0,580.0,536.5,598.0,536.5,595.0,15.0
2024-04-26,2000.0,595.0,639.6,639.6,600.0,600.0,5.0
2024-04-29,1626.0,600.0,555.0,555.0,555.0,555.0,45.0
2024-04-30,95.0,555.0,535.0,575.0,535.0,575.0,20.0
2024-05-03,1787.0,575.0,600.0,618.13,590.0,606.37,31.37
2024-05-06,1130.0,606.37,645.0,645.0,600.01,639.63,33.26
2024-05-08,110.0,639.63,620.0,620.0,610.11,618.71,-20.92
2024-05-09,500.0,618.71,612.61,612.61,601.0,601.0,-17.71
2024-05-10,50.0,601.0,629.55,629.55,629.55,629.55,28.55
2024-05-13,1051.0,629.55,633.49,670.0,633.49,666.66,37.11
2024-05-14,82.0,666.66,670.0,670.0,655.0,655.0,-11.66
2024-05-15,637.0,655.0,655.0,675.0,650.0,674.97,19.97
2024-05-16,243.0,674.97,680.97,680.97,650.0,673.83,-1.14
2024-05-20,343.0,673.83,674.8,675.0,655.0,674.79,0.96
2024-05-21,310.0,674.79,650.0,678.35,645.0,647.02,-27.77
2024-05-23,55.0,647.02,650.1,650.1,650.0,650.09,3.07
2024-05-24,86.0,650.09,650.0,650.0,640.01,645.0,-5.09
2024-05-27,7.0,645.0,650.0,650.0,650.0,645.0,0.0
2024-05-29,26.0,645.0,595.25,620.01,595.25,645.0,0.0
2024-06-03,11.0,645.0,620.0,620.0,620.0,645.0,0.0
2024-06-04,10.0,645.0,622.5,622.5,622.5,645.0,0.0
2024-06-05,73.0,645.0,665.0,665.0,623.5,624.7,-20.3
2024-06-06,40.0,624.7,620.0,620.0,615.0,624.7,0.0
2024-06-07,92.0,624.7,615.0,672.0,614.0,650.0,25.3
2024-06-10,170.0,650.0,675.0,675.0,640.1,640.1,-9.9
2024-06-12,4043.0,640.1,664.99,694.0,660.0,689.95,49.85
2024-06-13,32.0,689.95,680.0,680.0,650.1,689.95,0.0
2024-06-14,276.0,689.95,650.1,748.0,650.1,688.34,-1.61
