Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-08,1000.0,100.03,0.0,0.0,0.0,100.03,0.0
2024-02-28,1000.0,100.03,100.4,100.4,100.4,100.4,0.37
2024-03-27,30000.0,100.12,100.12,100.12,100.12,100.12,0.0
2024-03-28,30000.0,100.12,0.0,0.0,0.0,100.12,0.0
2024-04-02,140000.0,100.12,0.0,0.0,0.0,100.12,0.0
2024-06-04,20000.0,100.12,0.0,0.0,0.0,100.12,0.0
2024-07-25,5000.0,106.8,102.5,102.5,102.5,102.5,-4.3
2024-08-01,2000.0,102.5,103.15,103.15,103.15,103.15,0.65
2024-08-06,45000.0,100.7,0.0,0.0,0.0,100.7,0.0
2024-08-09,40000.0,100.7,0.0,0.0,0.0,100.7,0.0
2024-08-19,40000.0,100.7,0.0,0.0,0.0,100.7,0.0
2024-08-21,1000.0,103.15,104.42,104.42,104.42,104.42,1.27
2024-10-21,30000.0,100.7,0.0,0.0,0.0,100.7,0.0
2024-10-31,1000.0,104.42,0.0,0.0,0.0,104.42,0.0
2024-12-11,30500.0,100.7,0.0,0.0,0.0,100.7,0.0
2024-12-16,1000.0,100.7,101.0,101.0,101.0,101.0,0.3
2025-01-21,10000.0,101.0,0.0,0.0,0.0,101.0,0.0
2025-02-11,1000.0,101.0,103.4,103.4,103.4,103.4,2.4
2025-02-24,8200.0,103.4,102.5,103.4,102.5,102.52,-0.88
2025-02-25,100.0,102.52,103.4,103.4,103.4,102.52,0.0
2025-03-05,6000.0,102.52,0.0,0.0,0.0,102.52,0.0
2025-03-13,5000.0,102.52,101.5,101.5,101.5,101.5,-1.02
2025-03-17,1.0,104.42,104.0,104.0,104.0,104.42,0.0
2025-03-18,5000.0,101.5,0.0,0.0,0.0,101.5,0.0
2025-03-19,5000.0,101.5,101.9,101.9,101.9,101.9,0.4
2025-04-17,500.0,101.9,101.88,101.88,101.88,101.88,-0.02
2025-06-16,68000.0,101.88,0.0,0.0,0.0,101.88,0.0
2025-06-18,12000.0,101.88,101.88,101.88,101.88,101.88,0.0
2025-06-30,6000.0,104.42,100.0,100.0,100.0,100.0,-4.42
2025-07-17,1000.0,100.0,103.25,103.25,103.25,103.25,3.25
2025-07-18,2000.0,103.25,100.0,100.0,100.0,100.0,-3.25
2025-08-06,3000.0,100.0,0.0,0.0,0.0,100.0,0.0
2025-08-28,148200.0,100.0,0.0,0.0,0.0,100.0,0.0
2025-09-11,6600.0,100.0,100.1,100.1,100.1,100.1,0.1
2025-11-05,240000.0,100.1,100.1,100.1,100.1,100.1,0.0
2025-12-08,39561289.0,100.0,100.0,100.0,100.0,100.0,0.0
