Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2150631.0,114.94,115.0,117.7,113.7,117.08,2.14
2024-01-02,3084018.0,117.08,117.5,124.97,117.25,122.08,5.0
2024-01-03,1378933.0,122.08,121.88,125.0,120.75,121.72,-0.36
2024-01-04,1084955.0,121.72,123.1,123.99,119.49,123.3,1.58
2024-01-05,589084.0,123.3,124.79,124.9,115.55,122.09,-1.21
2024-01-08,305016.0,122.09,122.0,123.88,119.14,119.75,-2.34
2024-01-09,462418.0,119.75,121.05,122.5,117.1,118.63,-1.12
2024-01-10,170574.0,118.63,118.5,119.2,116.4,117.25,-1.38
2024-01-11,890314.0,117.25,118.0,121.3,116.8,117.09,-0.16
2024-01-12,572934.0,117.09,119.0,119.5,115.5,116.46,-0.63
2024-01-15,433113.0,116.46,117.0,117.0,114.01,115.57,-0.89
2024-01-16,309516.0,115.57,114.0,115.01,111.12,114.3,-1.27
2024-01-17,349687.0,114.3,114.4,116.7,113.01,115.54,1.24
2024-01-18,525792.0,115.54,114.0,116.88,110.5,114.92,-0.62
2024-01-19,249922.0,114.92,115.0,116.98,113.0,115.11,0.19
2024-01-22,139609.0,115.11,113.75,116.7,113.5,114.82,-0.29
2024-01-23,274936.0,114.82,115.89,116.5,113.55,115.69,0.87
2024-01-24,519497.0,115.69,114.49,119.3,114.49,118.07,2.38
2024-01-25,683363.0,118.07,119.4,121.2,117.77,118.83,0.76
2024-01-26,268486.0,118.83,119.7,119.89,115.01,116.43,-2.4
2024-01-29,172770.0,116.43,116.0,116.78,114.0,115.4,-1.03
2024-01-30,630216.0,115.4,114.5,116.8,111.94,113.18,-2.22
2024-01-31,125736.0,113.18,114.97,115.48,112.5,112.72,-0.46
2024-02-01,96658.0,112.72,113.79,114.0,110.22,112.17,-0.55
2024-02-02,372639.0,112.17,112.02,115.7,112.0,113.24,1.07
2024-02-06,446926.0,113.24,112.52,114.99,112.52,113.44,0.2
2024-02-07,277922.0,113.44,114.0,114.99,113.11,114.46,1.02
2024-02-09,810421.0,114.46,114.0,115.0,111.0,113.29,-1.17
2024-02-12,299567.0,113.29,107.5,113.0,107.5,109.03,-4.26
2024-02-13,1921697.0,109.03,105.11,116.9,104.02,112.51,3.48
2024-02-14,301084.0,112.51,113.0,115.9,112.02,113.12,0.61
2024-02-15,248236.0,113.12,113.89,114.0,109.03,110.39,-2.73
2024-02-16,233978.0,110.39,111.0,111.84,106.0,108.33,-2.06
2024-02-19,8.0,111.36,110.5,113.4,110.5,112.5,1.14
2024-02-20,999.0,112.25,113.27,113.5,111.4,112.84,0.59
2024-02-21,215259.0,112.95,113.98,116.0,113.55,114.61,1.66
2024-02-22,117211.0,114.61,115.49,115.94,113.35,114.71,0.1
2024-02-23,283014.0,114.71,113.65,115.68,111.15,113.49,-1.22
2024-02-26,304471.0,113.49,113.98,115.9,113.1,114.5,1.01
2024-02-27,813048.0,114.5,115.0,118.5,114.2,116.22,1.72
2024-02-28,1701166.0,116.22,117.49,124.94,116.04,124.94,8.72
2024-02-29,25.0,129.83,128.5,133.0,128.5,132.5,2.67
2024-03-01,986175.0,133.17,132.0,132.45,128.5,130.63,-2.54
2024-03-04,845535.0,130.63,131.5,133.5,129.51,131.69,1.06
2024-03-05,1163664.0,131.69,133.44,141.0,131.5,136.97,5.28
2024-03-06,1490760.0,136.97,136.81,140.99,136.2,138.57,1.6
2024-03-07,444654.0,133.57,134.0,136.58,133.5,134.79,1.22
2024-03-08,414904.0,134.79,135.66,137.0,133.51,134.18,-0.61
2024-03-11,336345.0,134.18,134.12,136.0,132.85,134.1,-0.08
2024-03-12,204696.0,134.1,135.0,135.88,131.5,132.37,-1.73
2024-03-13,645790.0,132.37,130.0,138.2,130.0,133.57,1.2
2024-03-14,764786.0,133.57,134.0,135.74,131.55,132.07,-1.5
