Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,17500.0,5.99,6.0,6.23,6.0,6.23,0.24
2024-01-02,1000.0,6.23,6.4,6.4,5.95,5.95,-0.28
2024-01-23,500.0,5.45,5.42,5.42,5.42,5.42,-0.03
2024-01-30,10000.0,5.5,5.0,5.0,5.0,5.0,-0.5
2024-01-31,1500.0,5.0,5.06,5.06,4.9,5.01,0.01
2024-02-01,500.0,5.01,4.8,4.8,4.8,4.8,-0.21
2024-02-15,1000.0,4.8,4.81,4.81,4.8,4.8,0.0
2024-02-19,2000.0,4.8,4.66,4.66,4.65,4.65,-0.15
2024-02-23,1000.0,4.65,5.0,5.0,5.0,5.0,0.35
2024-02-29,500.0,5.0,5.0,5.0,5.0,5.0,0.0
2024-03-11,5500.0,5.0,5.05,5.05,4.72,4.72,-0.28
2024-03-21,2000.0,4.72,3.9,4.9,3.9,4.9,0.18
2024-03-22,11500.0,4.9,4.41,4.59,4.02,4.43,-0.47
2024-03-25,1000.0,4.43,4.41,4.55,4.41,4.55,0.12
2024-03-26,10500.0,4.55,4.65,5.39,4.6,4.71,0.16
2024-03-28,2500.0,4.71,5.0,5.12,5.0,5.01,0.3
2024-03-29,1000.0,5.01,4.78,4.78,4.78,4.78,-0.23
2024-04-02,1500.0,4.78,4.8,4.8,4.8,4.8,0.02
2024-04-03,58500.0,4.8,5.49,5.8,5.2,5.8,1.0
2024-04-04,26000.0,5.8,5.21,5.8,5.21,5.48,-0.32
2024-04-08,500.0,5.48,5.14,5.14,5.14,5.14,-0.34
2024-04-09,5000.0,5.14,5.13,5.13,5.1,5.1,-0.04
2024-04-15,2000.0,5.1,4.83,5.7,4.83,5.7,0.6
2024-04-16,10500.0,5.7,5.7,5.7,5.7,5.7,0.0
2024-04-17,1000.0,5.7,5.73,5.73,5.73,5.73,0.03
2024-04-18,1000.0,5.73,6.0,6.0,6.0,6.0,0.27
