Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,30500.0,50.95,51.0,52.45,51.0,51.99,1.04
2024-01-02,3000.0,51.99,51.02,51.02,50.05,50.05,-1.94
2024-01-03,4500.0,50.05,50.0,50.5,50.0,50.0,-0.05
2024-01-04,7500.0,50.0,50.0,50.5,50.0,50.49,0.49
2024-01-05,32000.0,50.49,50.07,50.07,50.0,50.0,-0.49
2024-01-08,6000.0,50.0,50.5,50.5,50.0,50.0,0.0
2024-01-09,10000.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-01-10,8000.0,50.0,50.0,50.95,50.0,50.0,0.0
2024-01-11,80500.0,50.0,50.0,50.5,50.0,50.5,0.5
2024-01-12,2500.0,50.5,50.02,50.02,50.0,50.0,-0.5
2024-01-15,263500.0,50.0,51.9,51.9,50.0,50.01,0.01
2024-01-16,7000.0,50.01,50.01,50.01,50.0,50.0,-0.01
2024-01-17,41500.0,50.0,50.0,50.5,50.0,50.0,0.0
2024-01-18,48000.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-01-19,1000.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-01-22,2000.0,50.0,50.06,50.1,50.06,50.1,0.1
2024-01-23,1000.0,50.1,50.04,50.04,50.04,50.04,-0.06
2024-01-24,2000.0,50.04,50.01,50.01,50.01,50.01,-0.03
2024-01-25,5500.0,50.01,50.1,50.12,50.1,50.12,0.11
2024-01-26,500.0,50.12,50.0,50.0,50.0,50.0,-0.12
2024-01-29,66500.0,50.0,50.01,50.06,50.0,50.0,0.0
2024-01-30,6500.0,50.0,50.0,50.05,50.0,50.05,0.05
2024-01-31,1000.0,50.05,50.06,50.06,50.0,50.0,-0.05
2024-02-01,8500.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-02-02,1500.0,50.0,52.01,52.01,50.11,50.11,0.11
2024-02-06,2500.0,50.11,50.99,51.0,50.1,50.1,-0.01
2024-02-07,1000.0,50.1,50.13,50.13,50.13,50.13,0.03
2024-02-09,26000.0,50.13,50.0,50.1,50.0,50.1,-0.03
2024-02-12,6500.0,50.1,50.05,50.05,50.0,50.0,-0.1
2024-02-13,4000.0,50.0,50.0,50.0,49.5,49.5,-0.5
2024-02-14,1500.0,49.5,49.98,50.0,49.98,50.0,0.5
2024-02-15,500.0,50.0,50.0,50.0,50.0,50.0,0.0
2024-02-20,2000.0,50.0,50.99,51.0,50.99,51.0,1.0
2024-02-21,6000.0,51.0,51.0,51.0,48.11,48.3,-2.7
2024-02-22,3500.0,48.3,48.31,48.31,48.0,48.0,-0.3
2024-02-23,69000.0,48.0,46.01,50.0,46.0,50.0,2.0
2024-02-26,12500.0,50.0,50.0,51.55,48.1,50.0,0.0
2024-02-27,59500.0,50.0,50.0,51.0,48.63,49.68,-0.32
2024-02-28,179000.0,49.68,49.3,50.13,49.0,50.0,0.32
2024-02-29,3000.0,50.0,48.2,48.2,48.17,48.19,-1.81
2024-03-01,279000.0,48.19,49.85,50.12,49.85,50.07,1.88
2024-03-05,7000.0,50.07,50.89,51.33,50.89,51.0,0.93
2024-03-06,5500.0,51.0,49.02,49.95,47.62,49.95,-1.05
2024-03-07,5000.0,49.95,50.0,50.0,48.11,49.02,-0.93
2024-03-08,3000.0,49.02,50.98,50.98,48.51,48.51,-0.51
2024-03-11,500.0,48.51,0.0,0.0,0.0,48.51,0.0
2024-03-12,500.0,48.51,48.02,48.02,48.02,48.02,-0.49
2024-03-13,6500.0,48.02,47.02,47.02,46.0,46.15,-1.87
2024-03-15,1500.0,46.15,45.02,46.96,45.02,46.96,0.81
2024-03-18,1500.0,46.96,46.11,48.85,46.11,48.85,1.89
2024-03-19,1000.0,48.85,47.0,47.0,47.0,47.0,-1.85
2024-03-20,1000.0,47.0,47.9,47.9,47.9,47.9,0.9
2024-03-21,32000.0,47.9,49.99,50.1,48.96,50.1,2.2
2024-03-22,2000.0,50.1,50.98,51.0,50.98,51.0,0.9
2024-03-26,1500.0,51.0,50.99,50.99,50.99,50.99,-0.01
2024-03-28,65000.0,50.99,50.0,50.01,50.0,50.01,-0.98
2024-03-29,4000.0,50.01,50.01,50.01,50.01,50.01,0.0
2024-04-01,14500.0,50.01,50.0,51.0,50.0,50.0,-0.01
2024-04-02,22000.0,50.0,50.0,50.75,50.0,50.01,0.01
2024-04-03,23500.0,50.01,50.02,50.1,50.01,50.1,0.09
2024-04-08,7000.0,50.1,50.02,52.0,50.02,51.63,1.53
2024-04-09,2500.0,51.63,51.5,51.5,50.2,50.2,-1.43
2024-04-15,500.0,50.2,50.0,50.0,50.0,50.0,-0.2
2024-04-17,28500.0,50.0,50.06,50.06,50.0,50.05,0.05
2024-04-18,3500.0,50.05,50.5,51.0,50.07,51.0,0.95
2024-04-19,25500.0,51.0,50.05,51.75,50.05,51.75,0.75
2024-04-22,1000.0,51.75,52.0,52.0,52.0,52.0,0.25
2024-04-23,7500.0,52.0,51.0,51.0,50.21,50.21,-1.79
2024-04-24,8000.0,50.21,50.3,51.5,50.3,51.5,1.29
2024-04-25,64500.0,51.5,52.0,52.5,52.0,52.0,0.5
2024-04-26,25500.0,52.0,52.0,53.0,52.0,52.99,0.99
2024-04-29,7000.0,52.99,54.0,54.0,52.01,52.95,-0.04
2024-04-30,12000.0,52.95,53.0,53.0,52.5,52.5,-0.45
2024-05-02,10500.0,52.5,52.4,52.94,52.4,52.94,0.44
2024-05-03,31000.0,52.94,52.51,55.0,52.51,54.02,1.08
2024-05-06,2500.0,54.02,53.5,53.6,52.05,52.76,-1.26
2024-05-07,4000.0,50.76,52.76,53.99,52.74,52.74,1.98
2024-05-08,11000.0,52.74,52.74,54.1,52.74,54.0,1.26
2024-05-10,4500.0,54.0,54.0,54.25,54.0,54.25,0.25
2024-05-14,23500.0,54.25,55.0,55.0,54.99,54.99,0.74
2024-05-15,17000.0,54.99,54.0,55.0,52.5,55.0,0.01
2024-05-16,12500.0,55.0,54.5,58.0,54.5,57.09,2.09
2024-05-17,66500.0,57.09,54.5,61.37,54.5,61.37,4.28
2024-05-20,27500.0,61.37,65.97,65.97,65.97,65.97,4.6
2024-05-21,5500.0,65.97,70.92,70.92,70.92,70.92,4.95
2024-05-22,21500.0,70.92,76.24,76.24,76.24,76.24,5.32
2024-05-23,171000.0,76.24,81.96,81.96,81.96,81.96,5.72
2024-05-24,399000.0,81.96,88.11,88.11,83.51,88.11,6.15
2024-05-27,89576.0,88.11,93.99,93.99,86.27,86.57,-1.54
2024-05-29,42335.0,86.57,82.55,92.0,80.56,86.02,-0.55
2024-05-30,104726.0,86.02,86.0,87.99,81.63,86.5,0.48
2024-05-31,102162.0,86.5,88.5,88.5,86.5,87.0,0.5
2024-06-03,84397.0,87.0,87.01,87.5,83.85,87.34,0.34
2024-06-04,88102.0,87.34,87.0,87.9,86.5,86.5,-0.84
2024-06-05,48243.0,86.5,87.4,87.9,86.0,87.5,1.0
2024-06-06,1048033.0,87.5,87.0,87.9,83.31,87.31,-0.19
2024-06-07,56700.0,87.31,92.0,92.0,84.45,87.5,0.19
2024-06-10,16304.0,87.5,84.49,87.0,84.49,86.87,-0.63
2024-06-11,47783.0,86.87,86.0,87.5,86.0,87.39,0.52
2024-06-12,115856.0,87.39,86.5,91.99,86.5,88.01,0.62
2024-06-13,4474.0,88.01,90.5,90.5,87.5,87.52,-0.49
2024-06-14,15098.0,87.52,94.0,94.0,87.5,87.67,0.15
2024-06-20,6829.0,87.67,90.49,90.49,87.5,88.38,0.71
2024-06-21,869126.0,88.38,88.01,90.0,87.5,88.5,0.12
2024-06-24,4319.0,88.5,88.5,88.69,87.6,88.4,-0.1
2024-06-25,53003.0,88.4,89.96,89.96,82.21,88.01,-0.39
2024-06-26,12871.0,88.01,91.92,91.92,88.0,88.01,0.0
2024-06-27,12528.0,88.01,92.59,92.59,84.41,88.0,-0.01
2024-06-28,2535.0,88.0,90.0,90.0,87.5,87.5,-0.5
2024-07-01,2512.0,87.5,91.83,91.83,88.0,88.64,1.14
2024-07-02,5611.0,88.64,88.0,88.64,88.0,88.01,-0.63
2024-07-03,6.0,88.01,90.4,90.4,89.0,88.01,0.0
2024-07-04,66131.0,88.01,88.0,93.25,88.0,88.0,-0.01
2024-07-05,9276.0,88.0,93.0,93.0,88.0,88.0,0.0
2024-07-08,1123.0,88.0,93.0,93.0,90.0,90.0,2.0
2024-07-09,26093.0,90.0,90.0,94.0,88.0,93.02,3.02
2024-07-10,74778.0,93.02,95.0,100.0,95.0,96.78,3.76
2024-07-11,4517.0,96.78,99.99,100.0,95.0,98.01,1.23
2024-07-12,3302.0,98.01,100.0,100.0,95.0,96.9,-1.11
2024-07-15,29352.0,96.9,102.0,102.0,93.0,93.67,-3.23
2024-07-18,40386.0,93.67,95.0,95.0,84.8,88.49,-5.18
2024-07-19,16972.0,88.49,92.95,92.95,81.13,83.9,-4.59
2024-07-22,69508.0,83.9,86.0,86.0,80.0,83.66,-0.24
2024-07-23,22812.0,83.66,87.99,87.99,83.0,83.73,0.07
2024-07-24,9091.0,83.73,84.0,84.0,82.5,84.0,0.27
2024-07-25,10782.0,84.0,86.0,86.0,83.0,83.87,-0.13
2024-07-26,13786.0,83.87,85.0,86.0,84.0,84.8,0.93
2024-07-29,13738.0,84.8,87.1,87.1,82.0,86.0,1.2
2024-07-30,2567.0,86.0,88.9,88.9,86.55,87.54,1.54
2024-07-31,10466.0,87.54,85.0,86.7,85.0,85.15,-2.39
2024-08-01,12597.0,85.15,86.0,87.5,84.0,86.0,0.85
2024-08-02,2505.0,86.0,84.0,89.0,84.0,86.0,0.0
