Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,82900.0,264.49,255.05,274.0,255.05,273.13,8.64
2024-01-02,49700.0,273.13,273.55,276.0,265.0,270.37,-2.76
2024-01-03,51400.0,270.37,270.0,274.0,266.0,271.86,1.49
2024-01-04,47100.0,271.86,266.4,273.8,265.0,268.9,-2.96
2024-01-05,30500.0,268.9,272.5,274.0,265.0,271.18,2.28
2024-01-08,35600.0,271.18,271.0,272.5,268.0,268.73,-2.45
2024-01-09,62700.0,268.73,270.02,275.1,269.0,270.09,1.36
2024-01-10,41700.0,270.09,271.02,271.5,268.0,269.72,-0.37
2024-01-11,37500.0,269.72,270.0,276.0,270.0,274.23,4.51
2024-01-12,73100.0,274.23,275.0,294.8,275.0,294.8,20.57
2024-01-15,119800.0,294.8,316.89,316.91,316.84,316.91,22.11
2024-01-16,239600.0,316.91,316.0,327.99,297.0,312.6,-4.31
2024-01-17,76200.0,312.6,310.0,322.0,305.02,307.87,-4.73
2024-01-18,54400.0,307.87,308.87,311.5,297.8,305.22,-2.65
2024-01-19,73500.0,305.22,306.11,310.0,294.0,299.16,-6.06
2024-01-22,14800.0,299.16,297.28,299.0,295.01,297.86,-1.3
2024-01-23,133100.0,297.86,299.0,320.2,299.0,312.67,14.81
2024-01-24,38100.0,312.67,314.88,320.0,306.02,309.56,-3.11
2024-01-25,33300.0,309.56,310.0,313.0,299.0,302.17,-7.39
2024-01-26,37000.0,302.17,295.6,311.25,295.11,304.31,2.14
2024-01-29,20900.0,304.31,300.13,305.5,300.0,303.07,-1.24
2024-01-30,60600.0,303.07,303.07,316.77,303.07,307.92,4.85
2024-01-31,40900.0,307.92,306.15,312.45,302.0,305.19,-2.73
2024-02-01,33200.0,305.19,308.0,309.0,303.0,306.83,1.64
2024-02-02,94000.0,306.83,306.83,329.84,306.83,312.22,5.39
2024-02-06,20500.0,312.22,313.27,318.0,308.0,311.49,-0.73
2024-02-07,20400.0,311.49,316.0,316.5,309.1,313.56,2.07
2024-02-09,24800.0,313.56,311.0,316.0,300.0,308.45,-5.11
2024-02-12,57900.0,308.45,308.5,313.87,297.4,298.95,-9.5
2024-02-13,48900.0,298.95,293.93,310.0,288.0,304.9,5.95
2024-02-14,27500.0,304.9,307.0,316.0,305.03,306.93,2.03
2024-02-15,14600.0,306.93,302.21,307.0,301.53,302.61,-4.32
2024-02-16,31600.0,302.61,298.26,304.89,296.0,297.52,-5.09
2024-02-19,23300.0,297.52,290.53,305.0,290.53,301.84,4.32
2024-02-20,24600.0,301.84,308.95,317.0,301.0,311.3,9.46
2024-02-21,75800.0,311.3,320.0,322.0,312.07,317.88,6.58
2024-02-22,9100.0,317.88,318.87,318.87,313.51,314.27,-3.61
2024-02-23,7100.0,314.27,318.99,319.0,310.15,318.03,3.76
2024-02-26,15900.0,318.03,318.0,320.0,315.0,316.2,-1.83
2024-02-27,200700.0,316.2,315.0,319.75,293.01,300.33,-15.87
2024-02-28,48900.0,300.33,300.0,304.7,293.58,302.12,1.79
2024-02-29,39800.0,302.12,302.0,306.8,298.0,302.08,-0.04
2024-03-01,84300.0,302.08,302.98,313.0,302.0,307.68,5.6
2024-03-04,37200.0,307.68,311.0,314.0,307.7,308.4,0.72
2024-03-05,20300.0,308.4,308.2,309.0,302.51,306.5,-1.9
2024-03-06,71600.0,306.5,309.89,309.89,300.18,304.1,-2.4
2024-03-07,84500.0,294.1,302.45,303.0,290.0,296.43,2.33
2024-03-08,37500.0,296.43,299.9,300.0,295.0,298.2,1.77
2024-03-11,63000.0,298.2,300.0,308.5,298.5,303.18,4.98
2024-03-12,22300.0,303.18,304.0,304.99,297.0,298.84,-4.34
2024-03-13,15800.0,298.84,297.0,299.0,289.9,291.53,-7.31
2024-03-14,25100.0,291.53,296.8,303.0,293.5,299.56,8.03
2024-03-15,9800.0,299.56,302.5,303.0,296.11,297.82,-1.74
2024-03-18,8700.0,297.82,302.99,302.99,296.68,298.33,0.51
2024-03-19,4400.0,298.33,299.99,300.0,297.0,298.0,-0.33
2024-03-20,5500.0,298.0,299.0,299.0,295.0,295.11,-2.89
2024-03-21,11900.0,295.11,294.0,297.0,291.5,293.5,-1.61
2024-03-22,9300.0,293.5,295.0,295.0,290.5,292.68,-0.82
2024-03-25,12800.0,292.68,291.0,293.33,289.5,292.07,-0.61
2024-03-26,3800.0,292.07,290.0,292.0,290.0,291.5,-0.57
2024-03-27,13800.0,291.5,291.0,299.49,289.12,295.17,3.67
2024-03-28,12500.0,295.17,295.97,298.0,290.0,296.82,1.65
2024-03-29,10500.0,296.82,293.53,300.0,293.0,298.16,1.34
2024-04-01,21200.0,298.16,297.96,298.0,290.0,292.23,-5.93
2024-04-02,11200.0,292.23,290.1,291.56,275.16,285.45,-6.78
2024-04-03,13600.0,285.45,285.3,287.5,280.13,283.79,-1.66
2024-04-04,9800.0,283.79,282.0,287.5,282.0,284.9,1.11
2024-04-08,2700.0,284.9,288.89,288.89,283.01,284.86,-0.04
2024-04-09,15600.0,284.86,285.0,285.0,280.0,283.83,-1.03
2024-04-15,19000.0,283.83,285.0,285.0,277.0,278.75,-5.08
2024-04-16,12000.0,278.75,278.0,282.0,278.0,280.05,1.3
2024-04-17,10000.0,280.05,280.01,281.4,278.1,281.11,1.06
2024-04-18,19900.0,281.11,282.98,282.98,274.0,275.77,-5.34
2024-04-19,67200.0,275.77,273.15,295.0,273.0,289.23,13.46
2024-04-22,26472.0,289.23,290.1,298.99,290.0,293.18,3.95
2024-04-23,112135.0,293.18,292.0,302.0,271.26,298.67,5.49
2024-04-24,41418.0,298.67,303.95,304.0,296.0,299.23,0.56
2024-04-25,29991.0,299.23,298.0,304.0,292.13,302.01,2.78
2024-04-26,90998.0,302.01,299.01,301.5,286.1,288.7,-13.31
2024-04-29,29045.0,288.7,289.99,289.99,280.0,282.51,-6.19
2024-04-30,15292.0,282.51,281.05,284.24,281.0,282.14,-0.37
2024-05-02,16547.0,282.14,280.33,282.5,275.0,278.0,-4.14
2024-05-03,11811.0,278.0,275.03,281.98,275.0,279.34,1.34
2024-05-06,18123.0,279.34,279.0,285.0,279.0,282.61,3.27
2024-05-07,37702.0,282.61,285.0,285.0,279.0,282.59,-0.02
2024-05-08,13667.0,282.59,285.0,288.0,282.0,282.93,0.34
2024-05-09,165330.0,282.93,285.0,304.15,285.0,304.15,21.22
2024-05-10,116023.0,304.15,319.0,326.96,312.2,326.96,22.81
2024-05-13,75455.0,326.96,328.1,342.0,317.25,324.59,-2.37
2024-05-14,89322.0,324.59,320.1,340.45,320.0,336.1,11.51
2024-05-15,114790.0,336.1,340.9,361.31,333.0,361.31,25.21
2024-05-16,179071.0,361.31,370.0,383.99,335.15,337.96,-23.35
2024-05-17,64336.0,337.96,340.01,342.98,327.0,329.24,-8.72
2024-05-20,15105.0,329.24,333.0,333.0,320.23,327.87,-1.37
2024-05-21,22736.0,327.87,334.0,334.0,322.5,323.89,-3.98
2024-05-22,28488.0,323.89,323.89,323.89,317.0,317.53,-6.36
2024-05-23,19019.0,317.53,318.1,320.0,314.06,318.09,0.56
2024-05-24,12477.0,318.09,318.0,324.98,312.01,317.5,-0.59
2024-05-27,12974.0,317.5,317.53,328.0,312.06,312.92,-4.58
