Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,219189.0,421.94,422.98,438.0,422.1,437.02,15.08
2024-01-02,245171.0,437.02,439.0,441.99,429.5,432.74,-4.28
2024-01-03,147785.0,432.74,431.5,432.73,429.89,430.62,-2.12
2024-01-04,121723.0,430.62,432.5,434.99,430.05,433.79,3.17
2024-01-05,166783.0,433.79,433.5,433.5,428.01,431.55,-2.24
2024-01-08,182468.0,431.55,432.0,433.0,428.5,430.48,-1.07
2024-01-09,206774.0,430.48,432.0,432.01,428.03,429.93,-0.55
2024-01-10,142033.0,429.93,432.0,432.0,428.0,428.5,-1.43
2024-01-11,115408.0,428.5,429.01,430.68,427.75,429.98,1.48
2024-01-12,110038.0,429.98,431.5,433.0,429.0,429.66,-0.32
2024-01-15,107796.0,429.66,431.5,432.99,429.0,429.18,-0.48
2024-01-16,156227.0,429.18,429.65,433.0,428.5,430.06,0.88
2024-01-17,174818.0,430.06,429.1,433.25,429.02,432.45,2.39
2024-01-18,596261.0,432.45,432.0,440.0,431.99,437.68,5.23
2024-01-19,114458.0,437.68,439.0,440.25,437.0,437.51,-0.17
2024-01-22,237938.0,437.51,437.5,440.0,436.5,438.4,0.89
2024-01-23,867056.0,438.4,439.5,439.5,435.0,437.98,-0.42
2024-01-24,685292.0,437.98,439.0,447.6,437.51,439.98,2.0
2024-01-25,2.0,448.0,450.0,450.0,450.0,450.0,2.0
2024-01-26,397451.0,440.09,443.73,443.73,435.0,437.82,-2.27
2024-01-29,381075.0,437.82,439.6,439.6,435.0,437.66,-0.16
2024-01-30,113815.0,437.66,438.75,438.97,430.99,435.71,-1.95
2024-01-31,73363.0,435.71,437.99,439.0,436.0,437.57,1.86
2024-02-01,96039.0,437.57,435.0,439.0,432.5,438.17,0.6
2024-02-02,55046.0,438.17,438.97,439.81,436.21,438.06,-0.11
2024-02-06,231920.0,438.06,437.51,437.52,432.5,434.57,-3.49
2024-02-07,207893.0,434.57,437.98,438.0,433.2,436.09,1.52
2024-02-09,188108.0,436.09,430.0,437.99,430.0,435.24,-0.85
2024-02-12,186766.0,435.24,435.5,436.0,428.0,429.39,-5.85
2024-02-13,95154.0,429.39,427.1,432.7,426.0,430.33,0.94
2024-02-14,588313.0,430.33,433.01,444.0,433.01,441.16,10.83
2024-02-15,171337.0,416.16,425.0,425.01,415.66,416.38,0.22
2024-02-16,243267.0,416.38,418.0,418.0,406.8,408.42,-7.96
2024-02-19,300903.0,408.42,405.3,408.0,403.0,405.1,-3.32
2024-02-20,76170.0,405.1,406.5,406.85,403.0,404.26,-0.84
2024-02-21,148314.0,404.26,408.01,410.5,405.5,406.95,2.69
2024-02-22,73622.0,406.95,409.75,409.75,407.0,407.47,0.52
2024-02-23,2.0,408.0,408.0,408.0,408.0,408.0,0.0
2024-02-26,182556.0,409.77,411.99,422.5,410.02,420.15,10.38
2024-02-27,101027.0,420.15,418.0,421.85,417.4,419.1,-1.05
2024-02-28,142766.0,419.1,419.0,421.13,417.0,420.65,1.55
2024-02-29,137346.0,420.65,421.0,428.0,420.0,426.55,5.9
2024-03-01,77662.0,426.55,433.9,433.9,426.22,428.75,2.2
2024-03-04,72305.0,428.75,429.0,431.0,426.5,428.73,-0.02
2024-03-05,56077.0,428.73,427.3,429.75,424.3,425.0,-3.73
2024-03-06,46187.0,425.0,425.95,427.0,422.7,423.08,-1.92
2024-03-07,47917.0,423.08,425.0,427.4,422.51,426.86,3.78
2024-03-08,131880.0,426.86,425.02,428.0,424.0,424.68,-2.18
2024-03-11,47518.0,424.68,427.0,427.0,424.25,425.37,0.69
2024-03-12,99126.0,425.37,424.55,426.99,419.5,421.99,-3.38
2024-03-13,35828.0,421.99,420.0,424.8,419.5,420.51,-1.48
2024-03-14,37806.0,420.51,419.0,423.55,418.5,421.56,1.05
2024-03-15,54040.0,421.56,424.0,424.0,418.75,419.4,-2.16
2024-03-18,35530.0,419.4,420.0,420.0,418.9,419.05,-0.35
2024-03-19,153837.0,419.05,419.01,425.91,419.01,425.12,6.07
2024-03-20,62894.0,425.12,423.0,430.5,423.0,427.92,2.8
2024-03-21,52313.0,427.92,430.0,430.5,427.0,427.56,-0.36
2024-03-22,52992.0,427.56,427.49,428.99,425.12,428.09,0.53
2024-03-25,77742.0,428.09,425.15,430.51,425.0,430.2,2.11
2024-03-26,2.0,440.13,417.95,417.95,417.95,417.95,-22.18
2024-03-27,169688.0,430.32,430.0,434.0,429.98,430.94,0.62
2024-03-28,45779.0,430.94,431.0,434.5,430.3,432.03,1.09
2024-03-29,19832.0,432.03,433.0,433.0,430.12,432.07,0.04
2024-04-01,49042.0,432.07,430.0,434.75,430.0,432.74,0.67
2024-04-02,65505.0,432.74,430.0,435.0,430.0,433.9,1.16
2024-04-03,17172.0,433.9,433.88,434.69,432.1,433.8,-0.1
2024-04-04,52281.0,433.8,432.12,435.99,432.12,435.18,1.38
2024-04-08,197725.0,435.18,436.99,445.0,435.25,444.18,9.0
2024-04-09,192330.0,444.18,445.0,454.0,445.0,448.12,3.94
2024-04-15,204676.0,448.12,450.0,455.0,444.45,453.06,4.94
2024-04-16,73681.0,453.06,450.0,454.93,449.0,452.3,-0.76
2024-04-17,160125.0,452.3,452.5,456.9,448.5,450.12,-2.18
2024-04-18,121863.0,450.12,450.21,454.49,444.01,450.07,-0.05
2024-04-19,241142.0,450.07,450.0,460.3,449.0,457.46,7.39
2024-04-22,56912.0,457.46,455.3,459.95,455.25,456.79,-0.67
2024-04-23,119758.0,456.79,456.6,459.8,452.0,454.76,-2.03
2024-04-24,124673.0,454.76,455.0,460.0,452.5,459.48,4.72
2024-04-25,472842.0,459.48,459.0,459.0,446.9,451.01,-8.47
2024-04-26,405352.0,451.01,449.9,450.0,445.0,446.57,-4.44
2024-04-29,248150.0,446.57,449.95,449.95,444.5,445.58,-0.99
2024-04-30,167222.0,445.58,445.0,451.0,445.0,447.28,1.7
2024-05-02,580559.0,447.28,448.0,449.25,445.52,447.19,-0.09
2024-05-03,307149.0,447.19,447.5,450.0,447.1,448.37,1.18
2024-05-06,397720.0,448.37,449.9,450.5,447.0,448.78,0.41
2024-05-07,236992.0,448.78,448.0,449.9,447.01,447.44,-1.34
2024-05-08,386510.0,447.44,449.0,449.97,447.07,449.28,1.84
2024-05-09,206187.0,449.28,449.27,451.0,448.2,449.71,0.43
2024-05-10,259309.0,449.71,450.5,459.75,450.5,458.66,8.95
2024-05-13,652668.0,458.66,458.0,493.06,458.0,493.06,34.4
2024-05-14,705269.0,493.06,500.01,521.0,500.01,506.1,13.04
2024-05-15,250801.0,506.1,506.51,508.9,498.0,501.29,-4.81
2024-05-16,211406.0,501.29,501.0,509.0,497.5,507.34,6.05
