Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3732500.0,5.96,6.05,6.31,5.95,6.21,0.25
2024-01-02,3018000.0,6.21,6.16,6.3,6.0,6.04,-0.17
2024-01-03,2465500.0,6.04,6.11,6.2,6.0,6.01,-0.03
2024-01-04,635500.0,6.01,6.0,6.02,5.85,5.99,-0.02
2024-01-05,961500.0,5.99,5.87,5.95,5.35,5.83,-0.16
2024-01-08,582500.0,5.83,5.98,5.98,5.65,5.7,-0.13
2024-01-09,354000.0,5.7,5.75,5.79,5.65,5.69,-0.01
2024-01-10,1616500.0,5.69,5.65,5.78,5.56,5.75,0.06
2024-01-11,607500.0,5.75,5.75,5.95,5.75,5.84,0.09
2024-01-12,491500.0,5.84,5.81,5.99,5.75,5.81,-0.03
2024-01-15,461500.0,5.81,5.82,5.82,5.69,5.71,-0.1
2024-01-16,275500.0,5.71,5.6,5.72,5.6,5.64,-0.07
2024-01-17,447500.0,5.64,5.69,5.69,5.5,5.61,-0.03
2024-01-18,956500.0,5.61,5.57,5.57,5.11,5.35,-0.26
2024-01-19,307000.0,5.35,5.4,5.5,5.32,5.4,0.05
2024-01-22,363000.0,5.4,5.4,5.45,5.38,5.4,0.0
2024-01-23,629000.0,5.4,5.4,5.5,5.4,5.49,0.09
2024-01-24,1102000.0,5.49,5.5,5.78,5.5,5.7,0.21
2024-01-25,1121000.0,5.7,5.7,5.82,5.62,5.75,0.05
2024-01-26,911500.0,5.75,5.75,5.8,5.7,5.75,0.0
2024-01-29,129500.0,5.75,5.7,5.72,5.57,5.6,-0.15
2024-01-30,923500.0,5.6,5.55,5.55,5.14,5.19,-0.41
2024-01-31,450000.0,5.19,5.3,5.57,5.3,5.5,0.31
2024-02-01,249500.0,5.5,5.59,5.65,5.5,5.51,0.01
2024-02-02,199500.0,5.51,5.59,5.65,5.53,5.6,0.09
2024-02-06,426500.0,5.6,5.52,5.64,5.51,5.52,-0.08
2024-02-07,151000.0,5.52,5.56,5.61,5.5,5.51,-0.01
2024-02-09,251000.0,5.51,5.31,5.55,5.3,5.5,-0.01
2024-02-12,804500.0,5.5,5.4,5.5,5.2,5.27,-0.23
2024-02-13,449500.0,5.27,5.06,5.3,5.05,5.26,-0.01
2024-02-14,998000.0,5.26,5.38,5.59,5.35,5.55,0.29
