Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,9.59,9.89,9.89,9.89,9.89,0.3
2024-01-03,15500.0,9.89,9.5,9.5,9.5,9.5,-0.39
2024-01-04,25000.0,9.5,9.2,9.2,9.2,9.2,-0.3
2024-01-05,40500.0,9.2,9.05,9.1,9.05,9.06,-0.14
2024-01-09,35500.0,9.06,9.02,9.02,9.0,9.01,-0.05
2024-01-10,26000.0,9.01,9.0,9.0,9.0,9.0,-0.01
2024-01-11,49000.0,9.0,9.03,9.03,9.0,9.0,0.0
2024-01-12,5009000.0,9.0,9.0,9.02,9.0,9.02,0.02
2024-01-15,20000.0,9.02,9.2,9.2,9.0,9.2,0.18
2024-01-17,6500.0,9.2,8.9,8.9,8.9,8.9,-0.3
2024-01-18,1000.0,8.9,8.8,8.8,8.8,8.8,-0.1
2024-01-19,10000.0,8.8,9.0,9.0,9.0,9.0,0.2
2024-01-22,21000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-01-24,121000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-01-26,6500.0,9.0,9.0,9.0,8.99,9.0,0.0
2024-01-29,500.0,9.0,8.9,8.9,8.9,8.9,-0.1
2024-01-30,27000.0,8.9,9.0,9.0,8.65,8.8,-0.1
2024-02-01,73000.0,8.8,8.9,9.0,8.9,9.0,0.2
2024-02-02,55000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-06,46500.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-07,15000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-09,500.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-12,2500.0,9.0,9.0,9.0,8.9,8.9,-0.1
2024-02-13,11000.0,8.9,8.9,9.0,8.9,9.0,0.1
2024-02-14,61000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-20,16000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-21,46500.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-02-22,22500.0,9.0,9.0,9.0,9.0,9.0,0.0
