Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,22500.0,54.49,57.98,58.58,57.05,58.56,4.07
2024-01-02,3500.0,58.56,56.1,58.5,55.2,58.5,-0.06
2024-01-03,5000.0,58.5,56.51,57.0,56.25,56.42,-2.08
2024-01-04,4500.0,56.42,57.0,57.75,56.25,56.25,-0.17
2024-01-05,18500.0,56.25,60.45,60.47,60.0,60.47,4.22
2024-01-08,8000.0,60.47,62.0,63.0,58.01,62.0,1.53
2024-01-09,1000.0,62.0,59.1,59.1,59.1,59.1,-2.9
2024-01-10,8000.0,59.1,61.0,61.0,57.3,57.37,-1.73
2024-01-12,3000.0,57.37,55.75,55.75,55.01,55.01,-2.36
2024-01-15,2000.0,55.01,55.5,55.5,55.2,55.2,0.19
2024-01-16,1000.0,55.2,56.0,56.0,56.0,56.0,0.8
2024-01-18,2000.0,56.0,56.0,56.0,56.0,56.0,0.0
2024-01-23,500.0,56.0,0.0,0.0,0.0,56.0,0.0
2024-01-29,500.0,56.0,0.0,0.0,0.0,56.0,0.0
2024-01-30,500.0,56.0,0.0,0.0,0.0,56.0,0.0
2024-02-01,500.0,56.0,55.45,55.45,55.45,55.45,-0.55
2024-02-07,13000.0,55.45,55.9,59.0,55.9,58.0,2.55
2024-02-09,2500.0,58.0,57.5,58.5,57.45,58.5,0.5
2024-02-13,2500.0,58.5,59.4,60.0,59.4,60.0,1.5
2024-02-15,15000.0,60.0,59.35,62.0,59.0,59.0,1.0
2024-02-16,500.0,59.0,58.0,58.0,58.0,58.0,1.0
2024-02-19,1000.0,58.0,55.5,58.5,55.5,58.5,0.5
2024-02-20,30000.0,58.5,59.0,62.89,59.0,62.89,4.39
2024-02-21,2500.0,62.89,64.0,64.0,62.45,62.45,-0.44
2024-02-22,1000.0,62.45,61.95,62.0,61.95,62.0,-0.45
2024-02-23,1000.0,62.0,62.0,62.0,62.0,62.0,0.0
2024-02-26,31500.0,62.0,65.0,66.65,63.0,66.65,4.65
2024-02-27,2500.0,66.65,65.45,65.45,64.0,64.0,-2.65
2024-02-28,1000.0,64.0,64.0,65.2,64.0,65.2,1.2
2024-03-01,1000.0,65.2,64.55,64.55,63.01,63.01,-2.19
2024-03-04,1500.0,63.01,64.2,64.2,63.5,63.5,0.49
2024-03-06,500.0,63.5,63.0,63.0,63.0,63.0,-0.5
2024-03-07,1000.0,63.0,61.75,65.35,61.75,65.35,2.35
2024-03-11,500.0,65.35,65.75,65.75,65.75,65.75,0.4
2024-03-12,500.0,65.75,68.99,68.99,68.99,68.99,3.24
2024-03-13,500.0,68.99,67.85,67.85,67.85,67.85,-1.14
2024-03-14,1000.0,67.85,71.0,71.0,71.0,71.0,3.15
2024-03-15,1500.0,71.0,69.65,70.95,66.1,70.95,-0.05
2024-03-18,1000.0,70.95,69.45,69.45,69.45,69.45,-1.5
2024-03-21,1000.0,69.45,68.05,68.05,68.05,68.05,-1.4
2024-03-27,13500.0,68.05,68.0,69.25,68.0,68.0,-0.05
2024-03-28,3000.0,68.0,69.0,69.2,68.25,68.25,0.25
2024-03-29,500.0,68.25,67.25,67.25,67.25,67.25,1.0
2024-04-01,500.0,67.25,66.05,66.05,66.05,66.05,-1.2
2024-04-02,4000.0,66.05,67.0,68.0,67.0,67.0,0.95
2024-04-03,1500.0,67.0,68.2,69.0,68.0,69.0,2.0
2024-04-08,2500.0,69.0,70.19,70.19,67.0,69.45,0.45
2024-04-09,2500.0,69.45,68.5,69.0,68.25,69.0,-0.45
2024-04-15,1000.0,69.0,68.75,68.75,68.5,68.5,-0.5
2024-04-16,3000.0,68.5,67.5,68.0,67.25,68.0,-0.5
2024-04-17,3500.0,68.0,67.5,67.5,67.0,67.43,-0.57
2024-04-19,31500.0,67.43,68.0,72.49,68.0,72.49,5.06
2024-04-22,13500.0,72.49,73.5,73.5,71.4,72.33,-0.16
2024-04-23,23500.0,72.33,72.25,72.4,69.95,70.2,-2.13
2024-04-24,53000.0,70.2,70.0,71.5,68.0,71.43,1.23
2024-04-25,19000.0,71.43,72.25,73.98,72.25,73.34,1.91
2024-04-26,14000.0,73.34,72.4,74.5,72.0,72.84,-0.5
2024-04-29,8500.0,69.34,71.0,71.35,65.66,68.85,-0.49
2024-04-30,2000.0,68.85,67.45,68.99,67.45,68.22,-0.63
2024-05-02,6500.0,68.22,66.96,66.96,64.05,65.0,-3.22
2024-05-03,5500.0,65.0,64.0,64.95,62.0,64.45,-0.55
