Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,500.0,6.72,7.0,7.0,7.0,7.0,0.28
2024-01-02,1000.0,7.0,7.0,7.0,6.5,6.5,-0.5
2024-01-03,500.0,6.5,6.31,6.31,6.31,6.31,-0.19
2024-01-04,194000.0,6.31,6.0,7.31,6.0,7.29,0.98
2024-01-08,1500.0,8.29,8.0,8.0,7.56,7.56,-0.73
2024-01-18,500.0,6.4,5.77,5.77,5.77,5.77,-0.63
2024-01-19,500.0,5.77,5.74,5.74,5.74,5.74,-0.03
2024-01-26,1500.0,7.7,6.71,8.6,6.71,7.66,-0.04
2024-01-29,27500.0,7.66,6.66,8.66,6.66,7.66,0.0
2024-01-30,25000.0,7.66,8.5,8.5,7.0,7.12,-0.54
2024-01-31,7000.0,7.12,7.99,7.99,6.6,7.95,0.83
2024-02-01,9500.0,7.95,8.5,8.95,7.5,8.39,0.44
2024-02-02,31000.0,8.39,8.39,8.49,7.39,7.5,-0.89
2024-02-07,2000.0,7.11,7.6,7.6,7.11,7.32,0.21
2024-02-14,3500.0,6.43,7.38,7.38,6.7,6.71,0.28
2024-02-21,6000.0,6.71,6.65,7.6,6.65,6.85,0.14
2024-02-22,1500.0,6.85,6.52,6.52,6.52,6.52,-0.33
2024-02-26,17000.0,6.52,7.12,7.52,7.0,7.52,1.0
2024-02-27,1500.0,7.52,8.0,8.0,7.51,7.75,0.23
2024-02-28,2500.0,7.75,7.61,7.61,7.01,7.01,-0.74
2024-02-29,16500.0,7.01,7.99,8.01,7.05,7.91,0.9
2024-03-01,14000.0,7.91,8.5,8.8,8.45,8.79,0.88
2024-03-04,15000.0,8.79,8.5,9.0,8.5,9.0,0.21
2024-03-05,5500.0,9.0,9.99,9.99,8.5,8.5,-0.5
2024-03-08,4000.0,8.5,7.52,9.3,7.52,9.3,0.8
2024-03-11,15500.0,9.3,8.5,9.45,8.5,9.0,-0.3
2024-03-12,500.0,9.0,8.22,8.22,8.22,8.22,-0.78
2024-03-13,500.0,8.22,7.5,7.5,7.5,7.5,-0.72
2024-03-14,10500.0,7.5,7.0,7.01,7.0,7.0,-0.5
2024-03-18,500.0,7.0,6.36,6.36,6.36,6.36,-0.64
2024-03-19,1000.0,6.36,7.36,7.36,7.36,7.36,1.0
2024-03-20,7000.0,7.36,6.65,7.5,6.65,7.01,-0.35
2024-03-26,10500.0,7.01,7.0,7.0,7.0,7.0,-0.01
2024-03-28,1000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-04-09,2500.0,7.0,7.0,7.0,6.51,6.51,-0.49
2024-04-15,2000.0,6.51,6.26,6.26,6.25,6.25,-0.26
2024-04-16,500.0,6.25,7.23,7.23,7.23,7.23,0.98
2024-04-17,4500.0,7.23,8.2,8.2,6.52,6.52,-0.71
2024-04-23,500.0,6.52,7.5,7.5,7.5,7.5,0.98
2024-04-24,500.0,7.5,0.0,0.0,0.0,7.5,0.0
2024-04-25,500.0,7.5,6.92,6.92,6.92,6.92,-0.58
2024-04-29,500.0,6.92,6.35,6.35,6.35,6.35,-0.57
2024-05-06,1000.0,6.35,7.35,7.35,7.35,7.35,1.0
2024-05-08,500.0,7.35,6.61,6.61,6.61,6.61,-0.74
2024-05-10,500.0,6.61,7.61,7.61,7.61,7.61,1.0
2024-05-13,62500.0,7.61,7.99,8.19,7.99,8.19,0.58
2024-05-14,1500.0,8.19,8.0,8.02,7.49,7.76,-0.43
2024-05-16,49000.0,7.76,7.04,8.25,6.9,8.0,0.24
2024-05-17,500.0,8.0,7.52,7.52,7.52,7.52,-0.48
2024-05-20,18500.0,7.52,7.52,8.52,7.52,8.52,1.0
2024-05-22,5000.0,8.52,8.99,8.99,8.2,8.2,-0.32
2024-05-23,3000.0,8.2,8.11,8.19,8.11,8.19,-0.01
2024-05-24,1000.0,8.19,8.01,8.01,8.01,8.01,-0.18
2024-05-27,500.0,8.01,7.55,7.55,7.55,7.55,-0.46
2024-05-29,25001.0,7.55,8.38,8.55,8.0,8.55,1.0
2024-05-30,8503.0,8.55,8.9,9.0,8.1,8.7,0.15
2024-05-31,6001.0,8.7,7.71,9.0,7.71,8.24,-0.46
2024-06-04,1000.0,8.24,8.3,8.3,8.3,8.3,0.06
