Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-04-28,1250.0,88.02,96.82,96.82,79.22,79.22,-8.8
2025-04-29,4342.0,79.22,75.0,76.0,71.3,71.36,-7.86
2025-04-30,5528.0,71.36,71.0,73.35,64.22,64.42,-6.94
2025-05-02,8412.0,64.42,66.0,70.86,61.1,65.37,0.95
2025-05-05,7044.0,65.37,66.0,69.0,63.49,65.24,-0.13
2025-05-06,5342.0,65.24,64.0,64.0,58.72,58.72,-6.52
2025-05-07,80.0,58.72,52.85,52.85,52.85,52.85,-5.87
2025-05-08,2233.0,52.85,47.57,48.9,47.57,47.57,-5.28
2025-05-09,1484.0,47.57,43.53,44.0,42.81,42.81,-4.76
2025-05-12,39905.0,42.81,45.79,47.09,38.75,44.33,1.52
2025-05-13,17757.0,44.33,43.69,43.72,40.1,40.82,-3.51
2025-05-14,2.0,41.54,43.0,45.69,43.0,45.69,4.15
2025-05-15,2.0,45.69,49.5,49.5,49.5,49.5,3.81
2025-05-16,1.0,49.5,54.0,54.0,54.0,54.0,4.5
2025-05-19,34.0,54.0,48.66,48.66,48.6,48.6,-5.4
2025-05-20,51.0,48.6,45.0,51.49,45.0,51.49,2.89
2025-05-21,73.0,51.49,49.05,49.24,48.53,49.06,-2.43
2025-05-22,103.0,49.06,49.0,49.5,47.75,47.75,-1.31
2025-05-23,142.0,47.75,48.1,50.0,48.1,48.6,0.85
2025-05-26,687.0,48.6,48.11,48.3,47.0,47.08,-1.52
2025-05-27,2079.0,47.08,47.39,47.55,44.98,45.54,-1.54
2025-05-29,7978.0,45.54,45.54,49.05,44.9,47.72,2.18
2025-05-30,5980.0,47.72,48.69,48.69,46.51,46.67,-1.05
2025-06-02,2410.0,46.67,46.75,47.51,46.01,46.1,-0.57
2025-06-03,3902.0,46.1,46.0,47.38,45.76,46.08,-0.02
2025-06-04,3623.0,46.08,46.21,47.25,45.6,46.66,0.58
2025-06-05,1500.0,46.66,46.79,46.8,45.8,45.9,-0.76
2025-06-10,999.0,45.9,45.5,46.29,45.47,45.67,-0.23
2025-06-11,15141.0,45.67,46.0,48.2,45.3,47.54,1.87
2025-06-12,10868.0,47.54,48.05,48.4,45.75,46.0,-1.54
2025-06-13,3320.0,46.0,45.05,45.55,43.57,44.53,-1.47
2025-06-16,4560.0,44.53,44.4,45.5,44.01,44.31,-0.22
2025-06-17,2892.0,44.31,44.3,45.35,44.15,44.24,-0.07
2025-06-18,2656.0,44.24,44.17,44.3,42.0,42.32,-1.92
2025-06-19,3763.0,42.32,42.85,43.45,40.8,41.27,-1.05
2025-06-20,6.0,41.77,41.95,41.95,41.77,41.77,0.0
2025-06-23,846.0,41.77,39.5,39.5,37.59,37.59,-4.18
2025-06-24,2742.0,37.59,39.89,41.35,39.4,41.34,3.75
2025-06-25,2286.0,41.34,41.8,42.83,41.3,41.85,0.51
2025-06-26,2040.0,41.85,42.0,42.26,40.85,41.0,-0.85
2025-06-27,4542.0,41.0,41.02,41.7,40.08,40.25,-0.75
2025-06-30,2226.0,40.25,40.31,42.05,40.2,40.58,0.33
2025-07-01,1836.0,40.58,41.48,41.48,40.5,40.86,0.28
2025-07-02,2504.0,40.86,40.98,42.15,40.7,41.26,0.4
2025-07-03,14722.0,41.26,41.48,45.39,41.25,45.39,4.13
2025-07-04,11923.0,45.39,46.48,47.9,46.01,46.26,0.87
2025-07-07,4823.0,46.26,46.26,47.2,44.71,45.34,-0.92
2025-07-08,1927.0,45.34,44.8,45.1,43.9,44.04,-1.3
2025-07-09,2835.0,44.04,43.83,45.2,43.73,44.36,0.32
2025-07-10,953.0,44.36,44.21,44.7,43.95,44.06,-0.3
2025-07-11,860.0,44.06,44.03,44.49,43.5,43.56,-0.5
2025-07-14,1414.0,43.56,43.63,43.65,42.71,42.81,-0.75
2025-07-15,1321.0,42.81,42.81,43.66,42.0,42.19,-0.62
2025-07-16,1776.0,42.19,41.8,43.75,41.5,42.54,0.35
2025-07-17,616.0,42.54,42.44,42.9,42.01,42.1,-0.44
2025-07-18,608.0,42.1,42.8,42.8,41.4,41.45,-0.65
