Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19531948.0,29.19,29.44,31.38,29.39,31.38,2.19
2024-01-02,17631918.0,31.38,31.84,31.84,29.8,29.97,-1.41
2024-01-03,35835842.0,29.97,29.8,29.9,27.72,28.06,-1.91
2024-01-04,25660546.0,28.06,28.0,29.27,27.85,29.04,0.98
2024-01-05,22773.0,29.46,29.33,29.71,27.56,28.82,-0.64
2024-01-08,10772719.0,28.44,28.5,29.01,28.1,28.34,-0.1
2024-01-09,14019066.0,28.34,28.65,29.06,28.19,28.7,0.36
2024-01-10,34994821.0,28.7,28.95,30.26,28.65,29.16,0.46
2024-01-11,15697012.0,29.16,29.49,30.12,29.02,29.9,0.74
2024-01-12,12215461.0,29.9,30.39,30.6,29.51,29.75,-0.15
2024-01-15,4179110.0,29.75,30.1,30.22,28.65,28.88,-0.87
2024-01-16,13193998.0,28.88,28.92,29.4,28.1,29.21,0.33
2024-01-17,6290013.0,29.21,29.0,29.42,28.1,28.26,-0.95
2024-01-18,8791573.0,28.26,28.25,28.31,27.16,27.8,-0.46
2024-01-19,5415714.0,27.8,28.01,28.25,27.1,27.19,-0.61
2024-01-22,4864.0,28.0,27.6,28.7,27.6,28.42,0.42
2024-01-23,17874942.0,27.87,28.14,29.77,27.5,29.18,1.31
2024-01-24,12677451.0,29.18,29.3,30.09,28.75,29.15,-0.03
2024-01-25,5228089.0,29.15,29.16,29.34,28.1,28.3,-0.85
2024-01-26,7879901.0,28.3,28.15,28.77,28.15,28.3,0.0
2024-01-29,11324967.0,28.3,28.6,29.1,27.35,27.73,-0.57
2024-01-30,19705399.0,27.73,27.5,27.7,25.65,25.65,-2.08
2024-01-31,7461420.0,25.65,25.59,25.95,24.95,25.13,-0.52
2024-02-01,26126125.0,25.13,25.28,26.9,24.2,26.49,1.36
2024-02-02,5691753.0,26.49,26.75,26.85,26.15,26.29,-0.2
2024-02-06,21261134.0,26.29,26.35,28.26,26.0,28.26,1.97
2024-02-07,18717352.0,28.26,28.99,29.75,28.91,29.15,0.89
2024-02-09,14886196.0,29.15,27.9,28.65,27.03,28.08,-1.07
2024-02-12,19.0,29.0,26.84,26.84,26.83,26.83,-2.17
2024-02-13,19.0,26.83,24.83,26.9,24.83,26.9,0.07
2024-02-14,14482048.0,25.63,26.4,27.28,26.1,26.96,1.33
2024-02-15,13907974.0,26.96,27.04,27.54,25.3,25.73,-1.23
2024-02-16,18038698.0,25.73,25.4,26.0,23.8,24.19,-1.54
2024-02-19,15164705.0,24.19,23.39,25.5,23.11,25.33,1.14
2024-02-20,13780145.0,25.33,25.5,26.28,25.01,25.18,-0.15
2024-02-21,9746.0,25.68,26.75,27.1,26.13,26.94,1.26
2024-02-22,10051461.0,26.45,26.69,26.87,26.12,26.47,0.02
2024-02-23,9132469.0,26.47,26.5,26.97,26.13,26.84,0.37
2024-02-26,20548004.0,26.84,27.35,28.45,27.23,27.91,1.07
2024-02-27,9300238.0,27.91,28.0,28.28,27.3,27.42,-0.49
2024-02-28,20720665.0,27.42,27.3,28.48,27.27,28.12,0.7
2024-02-29,14180262.0,28.12,28.59,28.84,27.85,27.96,-0.16
2024-03-01,9320368.0,27.96,27.89,28.36,27.86,28.22,0.26
2024-03-04,7919932.0,28.22,28.49,28.63,27.97,28.17,-0.05
2024-03-05,34045456.0,28.17,28.29,29.29,26.94,28.96,0.79
2024-03-06,28036399.0,28.96,28.88,29.35,28.42,28.52,-0.44
2024-03-07,7371468.0,28.52,28.44,28.7,28.02,28.54,0.02
2024-03-08,31495334.0,28.54,28.75,29.75,28.55,29.26,0.72
2024-03-11,18358179.0,29.26,29.5,30.04,29.22,29.38,0.12
2024-03-12,7464682.0,29.38,29.41,29.41,27.61,27.88,-1.5
2024-03-13,11137045.0,27.88,27.65,28.17,25.94,26.28,-1.6
2024-03-14,18957114.0,26.28,26.64,28.24,26.57,27.89,1.61
2024-03-15,7316546.0,27.89,28.02,28.38,27.4,27.52,-0.37
2024-03-18,4098283.0,27.52,27.75,27.8,27.32,27.5,-0.02
2024-03-19,3399895.0,27.5,27.52,27.98,27.3,27.6,0.1
2024-03-20,5274424.0,27.6,27.76,28.16,27.33,27.53,-0.07
2024-03-21,9189278.0,27.53,27.41,27.9,25.88,26.57,-0.96
2024-03-22,2827186.0,26.57,26.58,26.95,26.3,26.68,0.11
2024-03-25,2160190.0,26.68,26.68,26.99,26.5,26.57,-0.11
2024-03-26,4192479.0,26.57,26.8,26.99,26.39,26.51,-0.06
2024-03-27,7001.0,26.64,26.65,26.89,26.4,26.62,-0.02
2024-03-28,9267.0,27.04,27.4,28.05,27.1,27.58,0.54
2024-03-29,6152725.0,27.16,27.6,27.64,27.0,27.11,-0.05
2024-04-01,4582190.0,27.11,27.25,27.5,26.44,26.57,-0.54
2024-04-02,4986672.0,26.57,26.5,26.55,25.84,25.98,-0.59
2024-04-03,6387509.0,25.98,26.0,26.61,26.0,26.22,0.24
2024-04-04,16965134.0,26.22,26.63,27.55,26.32,27.1,0.88
2024-04-08,6027371.0,27.1,27.28,27.47,27.07,27.13,0.03
2024-04-09,2.0,28.0,27.5,27.5,27.5,27.5,-0.5
2024-04-15,7432772.0,26.84,26.8,27.4,26.52,27.22,0.38
2024-04-16,11987142.0,27.22,27.45,27.84,27.0,27.14,-0.08
2024-04-17,39117872.0,27.14,27.13,29.05,26.75,28.42,1.28
2024-04-18,28448438.0,28.42,28.5,29.86,27.9,29.27,0.85
2024-04-19,49662377.0,29.27,29.49,30.41,28.75,30.09,0.82
2024-04-22,7548.0,30.7,29.7,30.11,29.0,29.4,-1.3
2024-04-23,4242.0,29.4,29.17,29.68,28.66,28.89,-0.51
2024-04-24,16645816.0,28.22,27.99,28.25,27.4,27.74,-0.48
2024-04-25,10459079.0,27.74,27.82,28.31,27.5,27.58,-0.16
2024-04-26,9786.0,28.08,27.9,28.26,27.7,27.85,-0.23
2024-04-29,4383643.0,27.31,27.53,27.77,27.15,27.21,-0.1
2024-04-30,12430997.0,27.21,27.12,27.81,26.15,26.68,-0.53
2024-05-02,8886385.0,26.68,26.83,26.83,25.5,25.74,-0.94
2024-05-03,14506482.0,25.74,25.8,27.14,25.8,26.99,1.25
2024-05-06,19244175.0,26.99,28.02,28.5,27.76,28.14,1.15
2024-05-07,14943146.0,28.14,28.3,28.71,27.65,27.77,-0.37
2024-05-08,7522430.0,27.77,27.71,27.86,26.9,27.06,-0.71
2024-05-09,7202169.0,27.06,26.85,27.45,26.85,27.14,0.08
2024-05-10,8314556.0,27.14,27.2,27.81,27.01,27.34,0.2
2024-05-13,1.0,28.26,28.26,28.26,28.26,28.26,0.0
2024-05-14,9659520.0,27.4,27.5,27.98,27.1,27.48,0.08
2024-05-15,8033474.0,27.48,27.63,27.8,27.0,27.07,-0.41
2024-05-16,5531563.0,27.07,27.33,27.33,26.63,26.72,-0.35
2024-05-17,13334266.0,26.72,26.84,27.55,26.72,27.28,0.56
2024-05-20,4049907.0,27.28,27.34,27.5,26.84,26.97,-0.31
2024-05-21,3561889.0,26.97,27.05,27.2,26.6,26.72,-0.25
2024-05-22,13402813.0,26.72,27.2,27.85,26.5,26.7,-0.02
2024-05-23,5861450.0,26.7,26.78,26.92,26.44,26.56,-0.14
2024-05-24,7811033.0,26.56,26.71,27.1,26.7,26.81,0.25
2024-05-27,5919.0,26.92,26.9,27.03,26.6,26.68,-0.24
2024-05-29,4633305.0,26.63,26.66,26.75,25.95,26.03,-0.6
2024-05-30,3453252.0,26.03,26.03,26.17,25.51,25.85,-0.18
2024-05-31,5175570.0,25.85,25.9,26.35,25.8,26.08,0.23
2024-06-03,8470231.0,26.08,26.2,26.69,26.05,26.11,0.03
2024-06-04,7644407.0,26.11,25.12,26.27,25.12,25.72,-0.39
2024-06-05,5301468.0,25.72,25.89,26.3,25.45,25.58,-0.14
2024-06-06,4733177.0,25.58,25.69,25.83,24.55,24.91,-0.67
2024-06-07,13189620.0,24.91,24.91,24.91,23.13,24.07,-0.84
2024-06-10,4799944.0,24.07,24.05,24.31,23.26,23.4,-0.67
2024-06-11,3832684.0,23.4,23.83,23.83,22.6,22.78,-0.62
2024-06-12,3119006.0,22.78,22.76,23.35,22.52,23.12,0.34
2024-06-13,12797814.0,23.12,23.35,24.67,23.28,24.41,1.29
2024-06-14,6525808.0,24.41,24.6,24.88,23.75,23.86,-0.55
2024-06-20,1753694.0,23.86,23.91,24.25,23.91,24.07,0.21
2024-06-21,10551490.0,24.07,24.1,25.03,24.1,24.51,0.44
2024-06-24,1445.0,24.85,25.09,25.48,24.75,24.89,0.04
2024-06-25,1792670.0,24.42,24.49,24.5,24.05,24.12,-0.3
2024-06-26,6754801.0,24.12,24.25,24.42,23.35,23.44,-0.68
2024-06-27,3568735.0,23.44,23.53,23.68,22.92,23.18,-0.26
2024-06-28,2541692.0,23.18,23.14,23.6,23.1,23.2,0.02
2024-07-01,4331854.0,23.2,23.25,23.6,22.99,23.25,0.05
2024-07-02,2458269.0,23.25,23.25,23.58,23.16,23.24,-0.01
2024-07-03,8278329.0,23.24,23.26,24.39,23.26,23.84,0.6
2024-07-04,6538268.0,23.84,23.91,24.5,23.91,24.12,0.28
2024-07-05,10872613.0,24.12,24.3,24.88,24.3,24.34,0.22
2024-07-08,12790152.0,24.34,24.5,25.5,24.34,25.33,0.99
2024-07-09,15065869.0,25.33,25.5,25.75,24.95,25.21,-0.12
2024-07-10,7329300.0,25.21,25.35,25.4,24.6,24.7,-0.51
2024-07-11,4298143.0,24.7,24.88,25.01,24.55,24.63,-0.07
2024-07-12,5494439.0,24.63,24.7,24.75,23.05,23.88,-0.75
2024-07-15,4389571.0,23.88,24.23,24.36,23.85,23.91,0.03
2024-07-18,4471497.0,23.91,23.88,24.35,23.85,24.26,0.35
2024-07-19,4239900.0,24.26,24.39,24.42,23.47,23.61,-0.65
2024-07-22,3012293.0,23.61,23.4,23.55,22.4,22.63,-0.98
2024-07-23,2739497.0,22.63,22.98,23.11,22.42,22.6,-0.03
2024-07-24,2679500.0,22.6,22.82,22.99,22.5,22.6,0.0
2024-07-25,5664758.0,22.6,22.8,23.4,22.59,22.71,0.11
2024-07-26,3828065.0,22.71,22.53,22.74,22.2,22.38,-0.33
2024-07-29,3042184.0,22.38,22.43,22.69,22.15,22.45,0.07
2024-07-30,1974464.0,22.45,22.55,22.77,22.36,22.39,-0.06
2024-07-31,1543081.0,22.39,22.53,22.59,21.9,22.0,-0.39
2024-08-01,1807085.0,22.0,21.9,22.1,21.5,21.76,-0.24
2024-08-02,10781724.0,21.76,21.8,23.94,21.75,23.94,2.18
2024-08-05,11638893.0,23.94,24.43,24.5,23.11,23.48,-0.46
2024-08-06,2260667.0,23.48,23.51,23.77,23.17,23.21,-0.27
2024-08-07,19873203.0,23.21,23.29,24.64,23.01,24.21,1.0
2024-08-08,12129742.0,24.21,24.29,24.94,24.04,24.49,0.28
2024-08-09,7370811.0,24.49,24.55,24.76,23.3,23.61,-0.88
2024-08-12,5276358.0,23.61,23.5,23.97,22.96,23.07,-0.54
2024-08-13,2047539.0,23.07,23.07,23.2,22.75,22.78,-0.29
2024-08-15,2597946.0,22.78,22.79,23.5,22.62,22.83,0.05
2024-08-16,5748182.0,22.83,23.0,23.42,22.5,22.66,-0.17
2024-08-19,1699669.0,22.66,22.52,22.85,22.25,22.31,-0.35
2024-08-20,2062381.0,22.31,22.39,22.78,22.3,22.6,0.29
2024-08-21,4003232.0,22.6,22.69,23.14,22.55,22.79,0.19
2024-08-22,3734662.0,22.79,25.07,25.07,25.07,25.07,2.28
2024-08-23,1356.0,25.67,26.46,26.46,25.15,25.16,-0.51
2024-08-26,1477.0,24.78,24.97,24.97,24.21,24.28,-0.5
2024-08-27,7957283.0,24.2,24.28,25.11,24.13,24.86,0.66
2024-08-28,9231675.0,24.86,24.66,25.35,24.6,24.64,-0.22
2024-08-29,2667368.0,24.64,24.73,24.89,24.45,24.48,-0.16
2024-08-30,3368882.0,24.48,24.68,24.8,24.24,24.29,-0.19
2024-09-02,2565722.0,24.29,24.45,24.8,24.13,24.21,-0.08
2024-09-03,4546716.0,24.21,24.21,24.97,24.16,24.68,0.47
2024-09-04,12384940.0,24.68,24.7,24.96,24.3,24.45,-0.23
2024-09-05,2985464.0,24.45,24.5,24.58,24.3,24.34,-0.11
2024-09-06,2261007.0,24.34,24.51,24.65,24.29,24.32,-0.02
2024-09-09,1565243.0,24.32,24.36,24.49,24.12,24.19,-0.13
2024-09-10,1293112.0,24.19,24.19,24.35,24.05,24.18,-0.01
2024-09-11,2737764.0,24.18,24.35,24.63,24.15,24.23,0.05
2024-09-12,1384899.0,24.23,24.2,24.45,24.15,24.33,0.1
2024-09-13,3590585.0,24.33,24.7,24.75,24.2,24.26,-0.07
2024-09-16,2141008.0,24.26,24.27,24.53,24.2,24.26,0.0
2024-09-18,1801413.0,24.26,24.3,24.39,24.0,24.1,-0.16
2024-09-19,3668215.0,24.1,24.2,24.44,24.0,24.04,-0.06
2024-09-20,1707545.0,24.04,24.01,24.14,23.9,24.07,0.03
2024-09-23,4248983.0,24.07,24.1,24.45,23.5,23.78,-0.29
2024-09-24,1258914.0,23.78,23.93,23.93,23.55,23.75,-0.03
2024-09-25,2285895.0,23.75,23.98,24.21,23.74,24.16,0.41
2024-09-26,9083469.0,24.16,24.33,24.75,24.01,24.08,-0.08
2024-09-27,2691384.0,24.08,24.2,24.23,23.6,23.67,-0.41
2024-09-30,1686339.0,23.67,23.72,23.98,23.35,23.46,-0.21
2024-10-01,3292204.0,23.46,23.6,24.19,23.6,23.87,0.41
2024-10-02,2256569.0,23.87,23.75,24.13,23.61,23.72,-0.15
2024-10-03,1044599.0,23.72,23.95,24.0,23.75,23.9,0.18
2024-10-04,4397495.0,23.9,24.0,24.5,23.9,24.37,0.47
2024-10-07,5251569.0,24.37,24.4,24.95,24.3,24.85,0.48
2024-10-08,21345096.0,24.85,25.02,25.87,24.95,25.57,0.72
2024-10-09,18988218.0,23.57,24.01,25.13,24.01,24.81,1.24
2024-10-10,8962168.0,24.81,24.7,25.2,24.29,24.41,-0.4
2024-10-11,5468783.0,24.41,24.52,24.7,24.05,24.34,-0.07
2024-10-14,30172444.0,24.34,24.25,26.04,24.25,25.3,0.96
2024-10-15,11220187.0,25.3,25.49,25.85,25.06,25.12,-0.18
2024-10-16,16360135.0,25.12,25.18,25.65,24.9,24.95,-0.17
2024-10-17,57826783.0,24.95,25.95,27.4,25.65,26.45,1.5
2024-10-18,28461850.0,26.45,26.39,26.4,23.81,23.88,-2.57
2024-10-21,2622.0,24.45,24.0,24.5,23.75,24.12,-0.33
2024-10-22,5850624.0,23.62,23.62,24.1,23.62,23.72,0.1
2024-10-23,4926938.0,23.72,23.99,24.0,23.6,23.83,0.11
