Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,30.0,27.76,32.0,27.76,32.0,2.0
2024-01-02,500.0,32.0,0.0,0.0,0.0,32.0,0.0
2024-01-03,1000.0,32.0,31.49,31.49,31.49,31.49,-0.51
2024-01-04,1000.0,31.49,30.0,32.99,30.0,32.99,1.5
2024-01-11,500.0,32.99,30.55,30.55,30.55,30.55,-2.44
2024-01-23,500.0,30.55,29.0,29.0,29.0,29.0,-1.55
2024-01-24,500.0,29.0,28.55,28.55,28.55,28.55,-0.45
2024-01-30,500.0,28.55,30.48,30.48,30.48,30.48,1.93
2024-01-31,1000.0,30.48,30.48,30.48,30.48,30.48,0.0
2024-02-07,2000.0,30.48,30.5,30.5,30.5,30.5,0.02
2024-02-12,1000.0,30.5,29.5,29.5,29.5,29.5,1.0
2024-02-16,1000.0,29.5,27.5,27.55,27.5,27.55,-1.95
2024-02-27,10000.0,27.55,29.6,29.6,29.6,29.6,2.05
2024-03-05,1000.0,29.6,27.5,29.0,27.5,29.0,-0.6
2024-03-12,1000.0,29.0,31.0,31.0,31.0,31.0,2.0
2024-03-18,1000.0,31.0,31.0,31.0,31.0,31.0,0.0
2024-03-20,1000.0,31.0,28.7,28.7,28.7,28.7,-2.3
2024-03-21,25500.0,28.7,30.85,30.85,30.85,30.85,2.15
2024-03-22,25000.0,30.85,0.0,0.0,0.0,30.85,0.0
2024-03-26,1500.0,30.85,28.54,28.54,28.54,28.54,-2.31
2024-04-15,11500.0,28.54,0.0,0.0,0.0,28.54,0.0
2024-04-17,1500.0,28.54,29.2,29.2,29.2,29.2,0.66
2024-04-23,2000.0,29.2,28.0,29.4,27.1,29.4,0.2
2024-04-25,500.0,29.4,0.0,0.0,0.0,29.4,0.0
2024-04-26,1000.0,29.4,29.0,29.0,28.13,28.13,-1.27
2024-05-17,500.0,28.13,29.98,29.98,29.98,29.98,1.85
2024-05-27,500.0,29.98,27.78,27.78,27.78,27.78,-2.2
2024-05-30,200.0,27.78,28.51,28.51,28.5,27.78,0.0
2024-05-31,2001.0,27.78,28.5,28.5,28.0,28.5,0.72
