Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,100.0,1011.0,1010.0,1010.0,1010.0,1010.0,1.0
2024-01-02,200.0,1010.0,1075.0,1075.0,1010.0,1011.01,1.01
2024-01-03,300.0,1011.01,1020.0,1020.0,975.0,983.67,-27.34
2024-01-04,100.0,983.67,1010.0,1010.0,1010.0,1010.0,26.33
2024-01-05,300.0,1010.0,965.0,1025.0,950.0,955.1,-54.9
2024-01-08,200.0,955.1,1000.0,1000.0,985.0,985.0,29.9
2024-01-09,200.0,985.0,950.1,950.1,950.0,950.05,-34.95
2024-01-10,150.0,950.05,950.0,950.15,950.0,950.15,0.1
2024-01-11,50.0,950.15,990.0,990.0,990.0,990.0,39.85
2024-01-16,100.0,990.0,915.76,922.0,915.76,922.0,68.0
2024-01-17,150.0,922.0,950.0,950.0,890.0,890.0,32.0
2024-01-24,100.0,890.0,824.21,840.0,824.21,840.0,50.0
2024-02-06,300.0,840.0,810.0,879.0,810.0,879.0,39.0
2024-02-07,100.0,879.0,920.0,920.0,920.0,920.0,41.0
2024-02-20,200.0,920.0,875.0,875.0,870.0,870.0,50.0
2024-02-21,800.0,870.0,830.0,830.0,804.9,820.0,50.0
2024-02-23,200.0,820.0,825.0,825.0,825.0,825.0,5.0
2024-02-26,50.0,825.0,775.1,775.1,775.1,775.1,-49.9
2024-02-27,100.0,775.1,795.0,795.0,790.0,790.0,14.9
2024-02-28,350.0,790.0,750.1,751.0,740.0,740.0,50.0
2024-02-29,450.0,740.0,789.0,795.5,787.0,792.18,52.18
2024-03-01,600.0,792.18,825.0,851.55,824.5,839.38,47.2
2024-03-04,100.0,839.38,805.1,880.0,805.1,880.0,40.62
2024-03-05,350.0,880.0,814.0,919.99,814.0,880.0,0.0
2024-03-06,200.0,880.0,915.0,915.0,865.0,865.0,15.0
2024-03-08,200.0,865.0,869.0,894.99,811.01,894.99,29.99
2024-03-11,250.0,894.99,840.25,840.25,828.01,831.65,-63.34
2024-03-12,200.0,831.65,803.1,844.0,802.0,844.0,12.35
2024-03-14,250.0,844.0,849.0,881.99,849.0,881.99,37.99
2024-03-15,350.0,881.99,899.79,900.0,895.0,895.0,13.01
2024-03-21,450.0,895.0,850.0,860.0,830.0,860.0,35.0
2024-03-22,50.0,860.0,887.89,887.89,887.89,887.89,27.89
2024-03-25,700.0,887.89,860.0,885.0,860.0,872.5,-15.39
2024-03-26,100.0,872.5,924.0,924.0,924.0,924.0,51.5
2024-03-27,100.0,924.0,0.0,0.0,0.0,924.0,0.0
2024-03-29,800.0,924.0,940.0,990.0,940.0,940.0,16.0
2024-04-02,50.0,940.0,974.5,974.5,974.5,974.5,34.5
2024-04-16,850.0,974.5,930.0,944.44,910.1,923.06,-51.44
2024-04-18,50.0,923.06,939.0,939.0,939.0,939.0,15.94
2024-04-22,457.0,939.0,868.59,949.0,868.59,939.0,0.0
2024-04-23,8.0,939.0,1009.43,1009.43,970.0,939.0,0.0
2024-04-24,400.0,939.0,1009.0,1009.0,900.0,906.87,-32.13
2024-04-25,301.0,906.87,950.0,950.0,840.0,841.45,-65.42
2024-04-26,122.0,841.45,900.0,900.0,780.0,864.93,23.48
2024-04-29,309.0,864.93,909.98,909.98,801.0,834.32,-30.61
2024-04-30,34.0,834.32,832.0,832.0,820.0,834.32,0.0
2024-05-02,50.0,834.32,834.4,834.4,834.4,834.4,0.08
2024-05-03,351.0,834.4,825.0,876.01,825.0,839.76,5.36
2024-05-07,4.0,839.76,833.0,833.0,832.9,839.76,0.0
2024-05-08,1.0,839.76,834.99,834.99,834.99,839.76,0.0
2024-05-09,223.0,839.76,777.01,834.99,777.01,803.54,-36.22
2024-05-10,102.0,803.54,835.0,835.0,791.0,833.57,30.03
2024-05-13,146.0,833.57,889.99,889.99,775.0,834.43,0.86
2024-05-14,39.0,834.43,772.0,835.0,772.0,823.7,-10.73
2024-05-15,97.0,823.7,885.48,885.48,800.1,825.32,1.62
2024-05-16,7.0,825.32,775.1,824.0,775.1,825.32,0.0
2024-05-17,23.0,825.32,835.0,835.0,775.1,825.32,0.0
2024-05-20,2.0,825.32,820.0,820.0,783.01,825.32,0.0
2024-05-21,11.0,825.32,787.0,789.1,787.0,825.32,0.0
2024-05-22,55.0,825.32,764.03,825.32,764.03,790.21,-35.11
2024-05-23,92.0,790.21,790.0,834.99,731.0,782.38,-7.83
2024-05-24,24.0,782.38,725.0,834.99,725.0,782.38,0.0
2024-05-27,169.0,782.38,840.0,840.0,720.01,806.97,24.59
2024-05-29,63.0,806.97,820.0,845.0,800.1,834.33,27.36
2024-05-30,169.0,834.33,805.02,830.0,805.0,805.01,-29.32
2024-05-31,72.0,805.01,790.0,829.0,790.0,805.18,0.17
2024-06-03,25.0,805.18,840.0,840.0,742.12,805.18,0.0
2024-06-04,49.0,805.18,806.0,820.0,770.0,805.1,-0.08
2024-06-05,3.0,805.1,745.21,819.98,745.21,805.1,0.0
2024-06-06,105.0,805.1,839.99,839.99,750.01,804.29,-0.81
2024-06-07,21.0,804.29,775.0,850.0,750.0,804.29,0.0
2024-06-10,25.0,804.29,780.0,819.9,780.0,804.29,0.0
2024-06-11,9.0,804.29,736.37,804.0,736.37,804.29,0.0
2024-06-12,15.0,804.29,839.99,839.99,785.0,804.29,0.0
2024-06-13,111.0,804.29,738.0,858.0,738.0,842.88,38.59
2024-06-14,335.0,842.88,804.0,853.98,801.0,804.4,-38.48
2024-06-20,151.0,804.4,740.01,844.99,740.01,800.28,-4.12
2024-06-21,109.0,800.28,835.99,859.99,770.0,810.7,10.42
2024-06-24,2.0,810.7,739.01,819.0,739.01,810.7,0.0
2024-06-25,177.0,810.7,860.0,860.0,750.0,801.2,-9.5
2024-06-26,18.0,801.2,819.99,819.99,770.1,801.2,0.0
2024-06-27,26.0,801.2,810.0,853.98,770.1,801.2,0.0
2024-06-28,208.0,801.2,850.0,850.0,800.0,836.5,35.3
2024-07-01,173.0,836.5,761.22,850.0,761.22,827.29,-9.21
2024-07-02,136.0,827.29,827.85,829.96,780.01,801.9,-25.39
2024-07-03,48.0,801.9,833.8,833.8,800.0,802.27,0.37
2024-07-04,119.0,802.27,838.99,838.99,778.1,800.54,-1.73
2024-07-05,56.0,800.54,830.0,830.0,730.0,808.01,7.47
2024-07-08,6.0,808.01,819.9,819.9,771.0,808.01,0.0
2024-07-09,176.0,808.01,827.99,827.99,755.2,785.22,-22.79
