Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1019500.0,10.09,10.15,10.58,10.15,10.47,0.38
2024-01-02,927000.0,10.47,10.45,10.5,9.9,9.97,-0.5
2024-01-03,480500.0,9.97,10.0,10.2,9.91,9.98,0.01
2024-01-04,731500.0,9.98,9.95,10.13,9.85,10.0,0.02
2024-01-05,981000.0,10.0,10.14,10.48,9.79,9.82,-0.18
2024-01-08,287000.0,9.82,9.98,9.98,9.62,9.78,-0.04
2024-01-09,308500.0,9.78,9.9,10.0,9.64,9.86,0.08
2024-01-10,1773000.0,9.86,9.8,10.18,9.8,9.98,0.12
2024-01-11,359500.0,9.98,10.02,10.1,9.9,9.91,-0.07
2024-01-12,254000.0,9.91,9.99,10.08,9.78,9.78,-0.13
2024-01-15,129500.0,9.78,9.98,9.98,9.63,9.7,-0.08
2024-01-16,1025500.0,9.7,9.6,9.65,9.2,9.39,-0.31
2024-01-17,229500.0,9.39,9.5,9.5,9.25,9.29,-0.1
2024-01-18,289000.0,9.29,9.2,9.25,8.99,9.25,-0.04
2024-01-19,219500.0,9.25,9.29,9.29,9.0,9.07,-0.18
2024-01-22,349500.0,9.07,9.09,9.25,9.0,9.1,0.03
2024-01-23,549500.0,9.1,9.2,9.6,9.02,9.32,0.22
2024-01-24,363500.0,9.32,9.3,9.59,9.3,9.35,0.03
2024-01-25,740000.0,9.35,9.39,9.45,9.0,9.05,-0.3
2024-01-26,483500.0,9.05,9.12,9.15,9.0,9.0,-0.05
2024-01-29,463500.0,9.0,9.1,9.25,8.92,9.07,0.07
2024-01-30,297500.0,9.07,9.19,9.2,8.75,8.9,-0.17
2024-01-31,78000.0,8.9,9.09,9.1,8.93,9.0,0.1
2024-02-01,141000.0,9.0,8.87,9.0,8.75,8.95,-0.05
2024-02-02,77500.0,8.95,8.87,8.99,8.87,8.95,0.0
2024-02-06,192000.0,8.95,9.0,9.35,9.0,9.15,0.2
2024-02-07,1155000.0,9.15,9.28,9.58,9.12,9.31,0.16
2024-02-09,792000.0,9.31,9.06,9.2,8.88,8.99,-0.32
2024-02-12,4121500.0,8.99,8.95,8.95,7.99,8.05,-0.94
2024-02-13,961500.0,8.05,8.1,8.24,7.6,8.05,0.0
2024-02-14,1795500.0,8.05,8.3,8.7,8.16,8.57,0.52
2024-02-15,586000.0,8.57,8.45,8.6,8.25,8.31,-0.26
2024-02-16,294000.0,8.31,8.25,8.42,8.1,8.13,-0.18
