Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,25.46,25.01,25.01,25.01,25.01,-0.45
2024-01-02,14500.0,25.01,25.95,25.95,25.0,25.0,-0.01
2024-01-03,5000.0,25.0,25.25,25.25,25.25,25.25,0.25
2024-01-04,7000.0,25.25,25.0,25.0,25.0,25.0,-0.25
2024-01-05,3000.0,25.0,25.9,25.9,24.3,24.33,-0.67
2024-01-08,4000.0,24.33,25.5,25.5,24.12,25.23,0.9
2024-01-09,3500.0,25.23,25.95,25.95,24.27,24.27,-0.96
2024-01-11,31000.0,24.27,0.0,0.0,0.0,24.27,0.0
2024-01-12,1500.0,24.27,23.4,25.25,23.4,24.63,0.36
2024-01-15,500.0,24.63,23.42,23.42,23.42,23.42,-1.21
2024-01-16,500.0,23.42,22.43,22.43,22.43,22.43,-0.99
2024-01-17,500.0,22.43,22.55,22.55,22.55,22.55,0.12
2024-01-18,1000.0,22.55,23.0,23.0,23.0,23.0,0.45
2024-01-19,1000.0,23.0,23.01,23.01,23.01,23.01,0.01
2024-01-24,1000.0,23.01,22.2,24.5,22.2,23.35,0.34
2024-01-25,2000.0,23.35,23.0,23.0,22.01,22.1,-1.25
2024-01-26,2000.0,22.1,22.5,23.76,22.1,22.1,0.0
2024-01-29,1500.0,22.1,23.0,23.0,22.01,22.01,-0.09
2024-01-30,2000.0,22.01,22.0,22.0,21.51,21.51,-0.5
2024-02-01,2000.0,21.51,22.0,22.44,21.51,21.98,0.47
2024-02-02,3500.0,21.98,21.5,22.88,21.5,22.1,0.12
2024-02-07,1500.0,22.1,23.4,23.4,23.4,23.4,1.3
2024-02-09,5500.0,23.4,21.7,23.7,21.7,22.82,-0.58
2024-02-12,2000.0,22.82,21.3,23.4,21.3,22.38,-0.44
2024-02-13,4500.0,22.38,21.0,21.2,21.0,21.08,-1.3
2024-02-14,2000.0,21.08,21.71,21.72,21.71,21.72,0.64
2024-02-15,2500.0,21.72,21.0,23.3,21.0,23.3,1.58
2024-02-16,500.0,23.3,24.85,24.85,24.85,24.85,1.55
2024-02-19,1500.0,24.85,24.99,24.99,23.3,23.3,-1.55
2024-02-20,2000.0,23.3,22.02,22.02,22.0,22.01,-1.29
2024-02-21,3000.0,22.01,21.92,22.0,21.9,22.0,-0.01
2024-02-22,2000.0,22.0,21.71,22.85,21.71,22.29,0.29
2024-02-23,9000.0,22.29,22.0,23.8,22.0,23.79,1.5
2024-02-26,14000.0,23.79,25.2,25.2,22.15,22.34,-1.45
2024-02-27,2500.0,22.34,23.4,23.7,22.05,22.66,0.32
2024-02-28,3500.0,22.66,21.71,23.9,21.71,22.51,-0.15
2024-02-29,11000.0,22.51,22.1,23.48,22.01,23.48,0.97
2024-03-01,1500.0,23.48,24.85,24.85,23.2,23.3,-0.18
2024-03-04,4000.0,23.3,21.75,23.29,21.72,22.61,-0.69
2024-03-05,1500.0,22.61,23.5,23.5,21.7,22.45,-0.16
2024-03-06,1500.0,22.45,23.95,23.95,23.0,23.1,0.65
2024-03-07,1000.0,23.1,23.65,23.65,22.82,22.82,-0.28
2024-03-08,3000.0,22.82,22.0,22.8,22.0,22.34,-0.48
2024-03-11,3500.0,22.34,23.8,23.8,21.62,22.61,0.27
2024-03-12,1000.0,22.61,24.0,24.0,24.0,24.0,1.39
2024-03-14,4000.0,24.0,25.3,25.3,22.2,22.5,-1.5
2024-03-15,4000.0,22.5,21.55,22.6,21.51,21.98,-0.52
2024-03-18,5500.0,21.98,21.25,22.0,21.25,21.45,-0.53
2024-03-19,3000.0,21.45,21.01,21.5,21.01,21.21,-0.24
2024-03-20,3000.0,21.21,22.0,22.48,21.5,21.85,0.64
2024-03-21,8500.0,21.85,21.51,22.45,21.35,21.4,-0.45
2024-03-22,10500.0,21.4,22.55,23.01,22.01,23.01,1.61
2024-03-25,9500.0,23.01,22.99,23.75,22.99,23.03,0.02
2024-03-26,1500.0,23.03,22.05,23.4,22.05,23.4,0.37
2024-03-27,6500.0,23.4,23.0,23.0,21.66,22.38,-1.02
2024-03-28,5000.0,22.38,21.2,22.97,21.1,22.0,-0.38
2024-03-29,500.0,22.0,23.35,23.35,23.35,23.35,1.35
2024-04-01,1500.0,23.35,23.45,23.79,22.95,22.95,-0.4
2024-04-02,1500.0,22.95,22.0,23.49,22.0,23.49,0.54
2024-04-03,500.0,23.49,21.94,21.94,21.94,21.94,-1.55
2024-04-04,1000.0,21.94,22.82,22.82,21.75,21.75,-0.19
2024-04-08,500.0,21.75,22.81,22.81,22.81,22.81,1.06
2024-04-09,500.0,22.81,22.95,22.95,22.95,22.95,0.14
2024-04-15,5000.0,22.95,24.65,24.65,21.51,22.47,-0.48
2024-04-16,6000.0,22.47,22.0,23.0,21.51,21.9,-0.57
2024-04-17,12500.0,21.9,23.45,23.45,21.4,21.57,-0.33
2024-04-19,5500.0,21.57,22.0,22.6,21.41,22.25,0.68
2024-04-22,2000.0,22.25,21.6,22.0,21.6,22.0,-0.25
2024-04-23,2000.0,22.0,21.66,22.45,21.66,22.45,0.45
2024-04-24,2500.0,22.45,21.75,21.75,21.75,21.75,-0.7
2024-04-25,10000.0,21.75,22.6,22.65,21.68,22.25,0.5
2024-04-26,1500.0,22.25,21.75,22.8,21.75,22.75,0.5
2024-04-29,2000.0,22.75,22.75,22.88,22.75,22.84,0.09
2024-04-30,1500.0,22.84,24.2,24.2,22.05,22.05,-0.79
2024-05-03,15000.0,22.05,21.46,23.35,21.0,22.31,0.26
2024-05-06,12000.0,22.31,23.0,23.0,21.5,22.14,-0.17
2024-05-07,5500.0,22.14,21.55,22.0,21.55,22.0,-0.14
2024-05-08,14000.0,22.0,21.51,22.88,21.46,22.33,0.33
2024-05-09,500.0,22.33,22.79,22.79,22.79,22.79,0.46
