Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19491500.0,12.23,12.31,13.1,12.31,12.94,0.71
2024-01-02,27349500.0,12.94,13.18,13.24,12.4,12.75,-0.19
2024-01-03,50431000.0,12.75,13.0,13.75,12.67,13.49,0.74
2024-01-04,14653000.0,13.49,13.3,13.5,12.9,13.24,-0.25
2024-01-05,25557791.0,13.24,13.29,13.75,12.7,13.18,-0.06
2024-01-08,17773928.0,13.18,13.23,13.63,12.76,12.88,-0.3
2024-01-09,11368958.0,12.88,12.99,13.14,12.22,12.34,-0.54
2024-01-10,13995613.0,12.34,12.3,12.67,11.8,12.45,0.11
2024-01-11,7700601.0,12.45,12.5,12.73,12.3,12.46,0.01
2024-01-12,23129261.0,12.46,12.65,13.15,12.47,12.64,0.18
2024-01-15,8039388.0,12.64,12.8,12.99,12.42,12.57,-0.07
2024-01-16,48565635.0,12.57,12.49,13.57,12.49,13.57,1.0
2024-01-17,45978785.0,13.57,13.5,14.4,13.42,14.02,0.45
2024-01-18,30.0,14.5,13.8,13.8,13.7,13.75,-0.75
2024-01-19,14161766.0,14.26,14.35,14.39,13.71,13.83,-0.43
2024-01-22,2392.0,14.16,14.0,14.1,13.45,13.72,-0.44
2024-01-23,9661.0,13.72,14.04,14.43,13.75,14.0,0.28
2024-01-24,13621020.0,13.68,13.67,13.94,13.2,13.37,-0.31
2024-01-25,9639224.0,13.37,13.41,13.53,12.6,12.77,-0.6
2024-01-26,11459261.0,12.77,12.6,13.0,12.3,12.41,-0.36
2024-01-29,15873772.0,12.41,12.41,12.5,11.41,11.41,1.0
2024-01-30,23674665.0,11.41,11.5,11.84,10.41,10.53,-0.88
2024-01-31,6751457.0,10.53,10.56,10.85,10.35,10.45,-0.08
2024-02-01,2544796.0,10.45,10.55,10.66,10.46,10.56,0.11
2024-02-02,8730405.0,10.56,10.54,11.09,10.53,10.91,0.35
2024-02-06,2842875.0,10.91,10.8,11.2,10.8,11.02,0.11
2024-02-07,3411843.0,11.02,11.06,11.35,11.06,11.17,0.15
2024-02-09,6854953.0,11.17,10.99,11.19,10.26,11.06,-0.11
2024-02-12,9461003.0,11.06,11.19,11.19,10.06,10.07,-0.99
2024-02-13,11198165.0,10.07,9.9,10.49,9.32,9.63,-0.44
2024-02-14,7162052.0,9.63,9.8,9.98,9.66,9.77,0.14
2024-02-15,10504476.0,9.77,9.83,10.19,9.5,9.57,-0.2
2024-02-16,6238638.0,9.57,9.57,9.75,8.9,9.14,-0.43
2024-02-19,5943195.0,9.14,9.02,9.7,8.75,9.63,0.49
2024-02-20,3837468.0,9.63,9.71,9.88,9.3,9.48,-0.15
2024-02-21,3338664.0,9.48,9.77,9.84,9.22,9.49,0.01
2024-02-22,3685279.0,9.49,9.49,9.85,9.45,9.55,0.06
2024-02-23,15473285.0,9.55,9.52,10.55,9.41,10.48,0.93
2024-02-26,10095530.0,10.48,10.55,11.3,10.55,10.78,0.3
2024-02-27,3647356.0,10.78,10.81,10.86,10.5,10.53,-0.25
2024-02-28,11661085.0,10.53,10.55,11.32,10.33,11.07,0.54
2024-02-29,5999641.0,11.07,11.15,11.34,10.82,10.96,-0.11
