Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,561500.0,45.27,45.51,46.8,45.5,46.32,1.05
2024-01-02,719000.0,46.32,46.32,46.32,43.02,43.75,-2.57
2024-01-03,436500.0,43.75,43.05,45.0,43.0,44.03,0.28
2024-01-04,1765000.0,44.03,44.24,44.25,42.35,43.21,-0.82
2024-01-05,808000.0,43.21,43.5,45.75,43.5,45.39,2.18
2024-01-08,428500.0,45.39,46.0,46.01,43.6,43.98,-1.41
2024-01-09,432000.0,43.98,44.78,44.78,43.0,43.65,-0.33
2024-01-10,283500.0,43.65,44.0,44.2,43.27,43.37,-0.28
2024-01-11,1115500.0,43.37,43.37,45.3,42.8,43.47,0.1
2024-01-12,1224500.0,43.47,43.49,43.5,42.0,42.44,-1.03
2024-01-15,66000.0,42.44,42.6,42.7,41.2,41.64,-0.8
2024-01-16,242500.0,41.64,41.0,41.49,40.01,40.77,-0.87
2024-01-17,208000.0,40.77,40.5,41.0,40.03,40.76,-0.01
2024-01-18,167000.0,40.76,40.2,40.2,39.3,39.8,-0.96
2024-01-19,208000.0,39.8,40.0,40.8,39.41,39.6,-0.2
2024-01-22,345500.0,39.6,39.99,40.79,39.1,40.53,0.93
2024-01-23,90500.0,40.53,40.03,41.49,40.03,40.62,0.09
2024-01-24,126000.0,40.62,41.0,41.4,40.0,40.23,-0.39
2024-01-25,56500.0,40.23,40.05,40.5,39.05,39.32,-0.91
2024-01-26,8500.0,39.32,39.12,39.85,39.01,39.65,0.33
2024-01-29,109000.0,39.65,39.75,39.89,36.72,37.23,-2.42
2024-01-30,528500.0,37.23,37.25,39.49,37.25,38.26,1.03
2024-01-31,16000.0,38.26,38.0,38.2,37.5,37.81,-0.45
2024-02-01,48500.0,37.81,37.0,38.9,37.0,38.52,0.71
2024-02-02,275500.0,38.52,38.0,39.0,37.75,38.34,-0.18
2024-02-06,178000.0,38.34,37.51,39.24,37.51,39.01,0.67
2024-02-07,193500.0,39.01,39.01,39.99,38.5,38.75,-0.26
2024-02-09,206000.0,38.75,38.0,38.35,37.42,38.01,-0.74
2024-02-12,1260000.0,38.01,37.5,38.49,36.0,37.54,-0.47
2024-02-13,364000.0,37.54,37.5,40.36,36.5,39.27,1.73
2024-02-14,274000.0,39.27,39.12,40.9,39.12,40.78,1.51
2024-02-15,132000.0,40.78,41.0,41.9,38.0,38.38,-2.4
2024-02-16,182500.0,38.38,37.71,38.42,37.0,38.16,-0.22
2024-02-19,153000.0,38.16,37.35,38.48,37.0,37.63,-0.53
2024-02-20,166500.0,37.63,37.5,38.98,37.5,38.6,0.97
2024-02-21,618500.0,38.6,39.0,40.05,38.16,39.88,1.28
2024-02-22,102500.0,39.88,39.88,40.1,39.0,39.27,-0.61
2024-02-23,65000.0,39.27,39.4,39.84,38.5,39.04,-0.23
2024-02-26,66500.0,39.04,39.1,39.44,38.5,38.82,-0.22
2024-02-27,115000.0,38.82,39.0,39.51,38.6,39.16,0.34
2024-02-28,1634500.0,39.16,39.3,41.3,38.65,40.76,1.6
2024-02-29,1487000.0,40.76,40.31,41.8,39.25,40.87,0.11
2024-03-01,166000.0,40.87,40.1,40.85,40.01,40.32,-0.55
2024-03-04,214000.0,40.32,40.55,41.3,39.3,39.48,-0.84
2024-03-05,259000.0,39.48,39.75,40.2,39.0,40.0,0.52
2024-03-06,43000.0,40.0,40.0,40.49,39.51,40.1,0.1
2024-03-07,39000.0,40.1,39.5,40.0,39.2,39.53,-0.57
2024-03-08,22000.0,39.53,39.05,40.85,39.05,39.66,0.13
2024-03-11,288000.0,39.66,39.79,41.95,39.79,41.3,1.64
2024-03-12,80500.0,41.3,41.9,41.9,38.95,39.1,-2.2
2024-03-13,61000.0,39.1,39.1,39.1,37.56,38.0,-1.1
2024-03-14,43000.0,38.0,38.5,39.49,38.5,39.39,1.39
2024-03-15,147500.0,39.39,38.75,39.45,38.55,38.62,-0.77
