Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,18500.0,7.59,7.79,7.99,7.52,7.9,0.31
2024-01-02,4000.0,7.9,7.94,7.94,7.85,7.85,-0.05
2024-01-03,2000.0,7.85,7.75,7.75,7.7,7.7,-0.15
2024-01-04,8000.0,7.7,7.65,7.7,7.5,7.64,-0.06
2024-01-08,20500.0,7.47,7.4,7.7,7.35,7.42,-0.05
2024-01-19,500.0,7.56,7.8,7.8,7.8,7.8,0.24
2024-01-22,500.0,7.8,7.5,7.5,7.5,7.5,-0.3
2024-01-23,6000.0,7.5,7.5,7.79,7.21,7.79,0.29
2024-01-26,1000.0,7.6,7.01,7.01,7.01,7.01,-0.59
2024-01-29,3000.0,7.01,0.0,0.0,0.0,7.01,0.0
2024-01-30,2500.0,7.01,6.7,7.34,6.7,7.34,0.33
2024-02-13,500.0,6.9,7.25,7.25,7.25,7.25,0.35
2024-02-16,24500.0,7.2,6.45,7.1,6.4,6.64,-0.56
2024-02-19,500.0,6.64,7.3,7.3,7.3,7.3,0.66
2024-02-20,3000.0,7.3,7.4,7.4,7.4,7.4,0.1
2024-02-21,1000.0,7.4,6.56,6.66,6.56,6.66,-0.74
2024-02-22,17500.0,6.66,6.97,6.97,6.5,6.55,-0.11
2024-02-23,8000.0,6.55,6.5,6.69,6.5,6.6,0.05
2024-02-26,500.0,6.6,6.8,6.8,6.8,6.8,0.2
2024-02-27,1000.0,6.8,6.51,6.82,6.51,6.82,0.02
2024-02-29,4500.0,6.82,6.79,7.1,6.79,6.85,0.03
2024-03-01,3000.0,6.85,6.52,7.0,6.52,6.75,-0.1
2024-03-05,1500.0,6.75,6.36,6.84,6.35,6.84,0.09
2024-03-06,3500.0,6.84,7.4,7.4,6.95,7.1,0.26
2024-03-07,500.0,7.1,7.34,7.34,7.34,7.34,0.24
2024-03-08,1500.0,7.34,7.48,7.49,7.48,7.49,0.15
2024-03-11,500.0,7.49,7.47,7.47,7.47,7.47,-0.02
2024-03-14,1500.0,7.47,7.85,7.85,6.72,7.24,-0.23
2024-03-15,500.0,7.24,7.88,7.88,7.88,7.88,0.64
2024-03-19,2000.0,7.88,7.8,7.8,7.02,7.02,-0.86
2024-03-20,6000.0,7.02,7.2,7.49,7.01,7.01,-0.01
2024-03-21,3000.0,7.01,7.01,7.01,6.82,6.85,-0.16
2024-03-25,500.0,6.85,7.0,7.0,7.0,7.0,0.15
2024-03-28,11000.0,7.0,7.0,7.01,7.0,7.0,0.0
2024-03-29,500.0,7.0,6.7,6.7,6.7,6.7,-0.3
2024-04-01,1000.0,6.7,7.0,7.47,7.0,7.47,0.77
2024-04-02,1000.0,7.47,7.29,7.29,6.61,6.95,-0.52
2024-04-03,1000.0,6.95,7.46,7.46,6.8,6.8,-0.15
2024-04-09,4000.0,6.8,7.7,7.7,6.51,6.96,0.16
2024-04-16,1500.0,6.96,7.0,7.1,6.7,7.1,0.14
2024-04-19,2000.0,7.1,7.15,7.15,7.0,7.0,-0.1
2024-04-22,1000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-04-23,8000.0,7.0,6.7,6.7,6.55,6.61,-0.39
2024-04-24,1500.0,6.61,7.25,7.25,6.7,6.7,0.09
2024-04-25,1000.0,6.7,7.17,7.17,7.05,7.05,0.35
2024-04-26,500.0,7.05,7.19,7.19,7.19,7.19,0.14
2024-04-30,3500.0,7.19,7.16,7.17,7.16,7.17,-0.02
2024-05-03,500.0,7.17,7.43,7.43,7.43,7.43,0.26
2024-05-08,500.0,7.43,7.72,7.72,7.72,7.72,0.29
2024-05-09,23000.0,7.72,6.75,7.31,6.72,7.15,-0.57
2024-05-10,22500.0,7.15,7.1,7.75,7.1,7.75,0.6
2024-05-13,57500.0,7.75,7.5,7.5,7.0,7.13,-0.62
2024-05-14,13000.0,7.13,7.15,7.15,7.08,7.11,-0.02
2024-05-15,11500.0,7.11,7.01,7.65,7.0,7.04,-0.07
2024-05-16,98500.0,7.04,6.78,6.99,6.33,6.99,-0.05
2024-05-17,4000.0,6.99,6.65,6.9,6.56,6.67,-0.32
2024-05-20,3500.0,6.67,6.61,6.62,6.6,6.6,-0.07
2024-05-21,3500.0,6.6,6.47,6.78,6.47,6.78,0.18
2024-05-22,1000.0,6.78,6.69,6.7,6.69,6.7,-0.08
2024-05-27,2820.0,6.7,6.7,7.2,6.3,6.89,0.19
2024-05-29,1298.0,6.89,6.99,7.0,6.5,6.98,0.09
2024-05-30,502.0,6.98,6.97,6.97,6.89,6.89,-0.09
2024-06-04,200.0,6.86,6.86,6.86,6.86,6.86,0.0
2024-06-05,1001.0,6.86,6.99,7.0,6.99,7.0,0.14
2024-06-06,1217.0,7.0,6.4,7.0,6.26,6.96,-0.04
2024-06-07,20600.0,6.96,6.36,7.0,6.36,6.99,0.03
2024-06-14,106.0,6.99,7.07,7.07,6.3,6.99,0.0
2024-06-20,525.0,6.99,6.97,6.97,6.3,6.42,-0.57
2024-06-21,601.0,6.42,6.98,6.99,6.2,6.96,0.54
2024-06-24,2500.0,6.96,6.96,6.96,6.96,6.96,0.0
2024-06-26,1500.0,6.96,6.47,6.49,6.2,6.31,-0.65
2024-06-27,799.0,6.31,6.66,6.79,6.66,6.74,0.43
2024-07-01,500.0,6.74,6.85,6.85,6.85,6.85,0.11
2024-07-02,12002.0,6.85,6.85,7.4,6.85,7.15,0.3
2024-07-03,4.0,7.15,6.43,7.06,6.43,7.15,0.0
2024-07-05,5499.0,7.15,6.62,7.1,6.62,6.86,-0.29
2024-07-08,1.0,6.86,7.0,7.0,7.0,6.86,0.0
2024-07-09,1540.0,6.86,6.5,7.08,6.5,7.06,0.2
2024-07-10,100.0,7.06,7.0,7.0,6.9,7.06,0.0
2024-07-11,3351.0,7.06,7.0,7.0,6.6,6.65,-0.41
2024-07-12,25.0,6.65,7.0,7.0,7.0,6.65,0.0
2024-07-15,500.0,6.65,6.99,6.99,6.99,6.99,0.34
2024-07-18,3550.0,6.99,6.6,6.98,6.2,6.98,-0.01
2024-07-19,29808.0,6.98,7.0,7.4,6.51,7.0,0.02
