Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,507000.0,4.61,4.65,4.8,4.6,4.78,0.17
2024-01-02,257500.0,4.78,4.7,4.82,4.67,4.76,-0.02
2024-01-03,71000.0,4.76,4.56,4.77,4.51,4.65,-0.11
2024-01-04,4500.0,4.65,4.6,4.6,4.53,4.54,-0.11
2024-01-05,40000.0,4.54,4.54,4.8,4.1,4.63,0.09
2024-01-08,19000.0,4.63,4.5,4.69,4.5,4.52,-0.11
2024-01-09,26000.0,4.52,4.45,4.58,4.25,4.29,-0.23
2024-01-10,29500.0,4.29,4.55,4.8,4.42,4.5,0.21
2024-01-11,739500.0,4.5,4.69,4.93,4.62,4.66,0.16
2024-01-12,133500.0,4.66,4.84,4.84,4.54,4.6,-0.06
2024-01-15,126000.0,4.6,4.51,4.75,4.5,4.5,-0.1
2024-01-16,55000.0,4.5,4.4,4.66,4.4,4.64,0.14
2024-01-17,30500.0,4.64,4.55,4.64,4.4,4.46,-0.18
2024-01-18,22000.0,4.46,4.3,4.5,4.3,4.43,-0.03
2024-01-19,304500.0,4.43,4.22,4.6,4.22,4.33,-0.1
2024-01-22,202500.0,4.33,4.22,4.29,4.0,4.25,-0.08
2024-01-23,5000.0,4.25,4.3,4.34,4.29,4.34,0.09
2024-01-24,22000.0,4.34,4.27,4.45,4.26,4.4,0.06
2024-01-25,25000.0,4.4,4.48,4.48,4.35,4.42,0.02
2024-01-26,67000.0,4.42,4.35,4.35,4.11,4.19,-0.23
2024-01-29,50000.0,4.19,4.11,4.24,4.1,4.12,-0.07
2024-01-30,227000.0,4.12,4.1,4.12,3.96,4.0,-0.12
2024-01-31,34000.0,4.0,4.01,4.18,4.0,4.1,0.1
2024-02-01,16500.0,4.1,4.15,4.18,4.06,4.18,0.08
2024-02-02,26000.0,4.18,4.19,4.27,4.17,4.19,0.01
2024-02-06,7000.0,4.19,4.19,4.24,4.18,4.24,0.05
2024-02-07,77500.0,4.24,4.28,4.28,4.12,4.15,-0.09
2024-02-09,87000.0,4.15,4.15,4.15,4.05,4.07,-0.08
2024-02-12,124500.0,4.07,4.18,4.18,3.9,3.99,-0.08
2024-02-13,57000.0,3.99,3.82,4.0,3.8,3.94,-0.05
2024-02-14,56500.0,3.94,4.05,4.19,4.05,4.15,0.21
2024-02-15,1052500.0,4.15,3.9,4.65,3.9,4.57,0.42
2024-02-16,3178500.0,4.57,4.63,5.1,4.51,4.6,0.03
2024-02-19,953000.0,4.6,4.7,4.8,4.1,4.2,-0.4
2024-02-20,116000.0,4.2,4.2,4.35,4.15,4.22,0.02
2024-02-21,349500.0,4.22,4.23,4.4,4.2,4.37,0.15
2024-02-22,792500.0,4.37,4.57,4.57,4.21,4.32,-0.05
2024-02-23,200500.0,4.32,4.2,4.38,4.2,4.28,-0.04
2024-02-26,1161500.0,4.28,4.31,4.43,4.0,4.06,-0.22
2024-02-27,128500.0,4.06,4.05,4.15,4.04,4.1,0.04
2024-02-28,54500.0,4.1,4.29,4.3,4.15,4.19,0.09
2024-02-29,19500.0,4.19,4.11,4.19,4.11,4.15,-0.04
2024-03-01,70000.0,4.15,4.18,4.2,4.1,4.18,0.03
2024-03-04,20000.0,4.18,4.2,4.2,4.14,4.19,0.01
2024-03-05,21000.0,4.19,4.2,4.2,4.12,4.17,-0.02
2024-03-06,31000.0,4.17,4.12,4.14,4.1,4.11,-0.06
2024-03-07,161000.0,4.11,4.19,4.19,3.85,4.18,0.07
2024-03-08,50500.0,4.18,4.03,4.1,4.02,4.08,-0.1
2024-03-11,223000.0,4.08,4.1,4.39,4.05,4.25,0.17
2024-03-12,21000.0,4.25,4.3,4.3,4.11,4.12,-0.13
2024-03-13,44500.0,4.12,4.12,4.24,4.01,4.03,-0.09
2024-03-14,5500.0,4.03,4.04,4.27,4.04,4.09,0.06
2024-03-15,191000.0,4.09,4.08,4.1,3.95,4.01,-0.08
2024-03-18,28500.0,4.01,4.1,4.1,4.02,4.04,0.03
2024-03-19,112000.0,4.04,4.06,4.38,4.01,4.12,0.08
2024-03-20,26500.0,4.12,4.12,4.21,4.1,4.14,0.02
2024-03-21,62000.0,4.14,4.08,4.1,4.02,4.07,-0.07
