Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-08,50.0,540.0,575.0,575.0,575.0,575.0,35.0
2024-02-22,400.0,575.0,531.88,531.88,531.88,531.88,-43.12
2024-02-23,2400.0,531.88,500.1,500.1,492.0,492.0,-39.88
2024-02-29,100.0,492.0,461.0,461.0,460.1,460.55,-31.45
2024-04-01,15000.0,451.99,452.0,452.0,452.0,452.0,0.01
2024-04-22,123.0,451.95,485.0,485.85,485.0,485.85,33.9
2024-04-24,227.0,485.85,452.0,452.0,452.0,452.0,-33.85
2024-04-26,102.0,452.0,440.0,460.0,418.1,419.87,-32.13
2024-05-07,30.0,419.87,418.99,419.0,418.99,419.87,0.0
2024-05-08,5.0,419.87,419.0,419.0,419.0,419.87,0.0
2024-05-09,8.0,419.87,419.0,419.0,419.0,419.87,0.0
2024-05-14,10.0,419.87,419.0,419.0,419.0,419.87,0.0
2024-05-20,104.0,419.87,419.0,420.0,390.0,418.65,-1.22
2024-05-22,15.0,418.65,387.25,445.0,387.25,418.65,0.0
2024-05-23,408.0,418.65,444.89,445.0,444.89,445.0,26.35
2024-05-24,71.0,445.0,445.0,478.38,411.63,451.14,6.14
2024-05-27,1716.0,451.14,415.05,452.0,415.05,451.98,0.84
2024-06-04,1.0,451.98,420.01,420.01,420.01,451.98,0.0
2024-06-20,100.0,451.98,451.55,451.55,451.55,451.55,-0.43
2024-06-28,165.0,451.55,491.48,492.19,491.48,451.55,0.0
2024-07-02,77.0,451.55,489.0,489.0,489.0,451.55,0.0
2024-07-03,12.0,451.55,492.19,492.19,451.55,451.55,0.0
2024-07-04,51.0,451.55,448.5,448.5,448.5,451.55,0.0
2024-07-05,15.0,451.55,420.1,420.1,420.1,451.55,0.0
2024-07-08,100.0,451.55,490.0,490.0,490.0,490.0,38.45
2024-07-11,280.0,490.0,455.0,460.0,451.0,452.69,-37.31
2024-07-12,135.0,452.69,475.0,495.7,475.0,495.12,42.43
2024-07-15,563.0,495.12,542.16,542.16,542.16,542.16,47.04
2024-07-18,1211.0,542.16,580.0,593.0,491.0,577.97,35.81
2024-07-19,94.0,577.97,525.1,630.0,525.1,630.0,52.03
2024-07-22,6.0,630.0,567.01,687.99,567.01,630.0,0.0
2024-07-24,14.0,630.0,575.11,692.95,575.11,630.0,0.0
2024-07-25,2514.0,630.0,689.99,693.0,680.0,693.0,63.0
2024-07-29,56.0,693.0,719.99,720.0,719.99,720.0,27.0
2024-07-30,40.0,720.0,739.99,739.99,735.0,720.0,0.0
2024-08-02,215.0,720.0,648.0,730.0,648.0,650.83,-69.17
2024-08-05,25.0,650.83,715.0,715.0,699.89,650.83,0.0
2024-08-07,173.0,650.83,652.0,652.0,590.1,590.45,-60.38
2024-08-08,502.0,590.45,599.0,609.79,531.41,542.46,-47.99
2024-08-13,422.0,542.46,488.21,579.99,488.21,489.66,-52.8
2024-08-15,52.0,489.66,441.0,508.78,440.69,467.48,-22.18
2024-08-16,10.0,467.48,421.12,514.22,421.12,467.48,0.0
2024-08-20,1.0,467.48,422.01,422.01,422.01,467.48,0.0
2024-08-21,15.0,467.48,440.0,450.0,422.01,467.48,0.0
2024-08-22,2.0,467.48,420.74,421.0,420.74,467.48,0.0
2024-08-23,3.0,467.48,420.73,425.0,420.73,467.48,0.0
2024-08-26,417.0,467.48,425.0,514.23,425.0,489.61,22.13
2024-08-27,25.0,489.61,470.0,538.57,470.0,489.61,0.0
2024-08-28,20.0,489.61,480.0,480.0,480.0,489.61,0.0
2024-08-30,12.0,489.61,440.65,530.0,440.65,489.61,0.0
2024-09-02,2.0,489.61,0.0,0.0,0.0,489.61,0.0
2024-09-04,423.0,489.61,489.0,538.57,489.0,538.57,48.96
2024-09-06,12.0,538.57,485.11,592.43,485.11,538.57,0.0
2024-09-09,10.0,538.57,550.0,550.0,550.0,538.57,0.0
2024-09-16,127.0,538.57,550.0,592.43,550.0,592.43,53.86
2024-09-19,2.0,592.43,651.67,651.67,533.2,592.43,0.0
2024-09-20,1.0,592.43,533.2,533.2,533.2,592.43,0.0
2024-09-23,1.0,592.43,592.0,592.0,592.0,592.43,0.0
2024-09-24,21.0,592.43,620.0,620.0,533.2,592.43,0.0
2024-09-27,1.0,592.43,600.0,600.0,600.0,592.43,0.0
2024-10-03,1.0,592.43,534.0,534.0,534.0,592.43,0.0
2024-10-04,7.0,592.43,533.2,533.2,533.2,592.43,0.0
2024-10-07,4.0,592.43,533.2,533.2,533.2,592.43,0.0
2024-10-14,103.0,592.43,533.2,650.0,533.2,650.0,57.57
2024-10-17,1.0,650.0,649.0,649.0,649.0,650.0,0.0
2024-10-18,778.0,646.0,0.0,0.0,0.0,646.0,0.0
2024-10-28,14.0,646.0,650.0,650.0,650.0,646.0,0.0
2024-10-29,1.0,646.0,645.0,645.0,645.0,640.48,-5.52
2024-11-11,1.0,638.24,638.24,638.24,638.24,638.24,0.0
2024-11-12,1.0,638.24,639.0,639.0,639.0,638.24,0.0
2024-11-14,11.0,638.24,701.99,701.99,701.99,638.24,0.0
2024-11-15,64.0,638.24,702.06,702.06,575.0,650.0,11.76
2024-11-18,115.0,650.0,590.0,711.75,590.0,711.75,61.75
2024-11-19,129.0,711.75,700.0,700.0,640.58,690.76,-20.99
2024-11-21,391.0,690.76,622.0,680.0,622.0,670.0,-20.76
2024-11-22,21.0,670.0,610.02,680.0,610.02,670.0,0.0
2024-11-26,137.0,670.0,605.0,669.49,603.0,616.47,-53.53
2024-11-27,99.0,616.47,615.0,615.0,614.99,615.0,-1.47
2024-11-29,1.0,615.0,600.0,600.0,600.0,615.0,0.0
2024-12-02,58.0,615.0,649.99,650.0,622.33,649.4,34.4
2024-12-04,34.0,649.4,648.99,650.0,622.0,649.4,0.0
2024-12-05,51.0,649.4,625.0,649.5,625.0,649.5,0.1
2024-12-06,176.0,649.5,649.5,650.0,649.5,650.0,0.5
2024-12-09,60.0,650.0,649.99,650.0,645.0,645.0,5.0
2024-12-10,86.0,645.0,645.0,645.0,645.0,645.0,0.0
2024-12-11,15.0,645.0,640.0,640.0,640.0,645.0,0.0
2024-12-13,100.0,645.0,638.0,638.0,638.0,638.0,7.0
2024-12-16,1979.0,638.0,635.0,700.0,635.0,690.81,52.81
2024-12-17,1616.0,690.81,690.0,700.0,690.0,690.0,-0.81
2024-12-20,1.0,690.0,621.0,621.0,621.0,690.0,0.0
2024-12-23,1702.0,690.0,685.0,759.0,685.0,759.0,69.0
2024-12-24,42141.0,759.0,834.9,834.9,683.1,710.29,-48.71
2024-12-26,15484.0,710.29,710.29,710.29,640.02,649.79,-60.5
2024-12-27,1507.0,649.79,623.09,663.79,590.0,630.81,-18.98
2024-12-30,467.0,630.81,625.0,663.01,625.0,650.1,19.29
2024-12-31,501.0,650.1,630.0,658.0,630.0,638.52,-11.58
2025-01-01,675.0,638.52,649.99,650.0,635.0,635.65,-2.87
2025-01-02,489.0,635.65,573.0,660.0,573.0,635.0,-0.65
2025-01-03,1176.0,635.0,630.0,635.0,600.01,619.78,-15.22
2025-01-06,513.0,619.78,620.03,625.0,600.03,606.8,-12.98
2025-01-07,58.0,606.8,610.0,615.0,610.0,610.69,3.89
2025-01-08,601.0,610.69,611.12,615.02,610.0,610.02,-0.67
2025-01-09,334.0,610.02,661.0,661.0,550.05,605.08,-4.94
2025-01-10,506.0,605.08,610.02,610.02,600.0,600.66,-4.42
2025-01-13,47.0,600.66,580.02,599.99,580.02,600.66,0.0
2025-01-14,189.0,600.66,620.0,620.0,585.0,585.58,-15.08
2025-01-15,172.0,585.58,561.0,615.0,550.02,589.23,3.65
2025-01-16,246.0,589.23,610.0,610.0,567.34,581.12,-8.11
2025-01-17,273.0,581.12,600.0,600.0,575.35,598.46,17.34
2025-01-20,836.0,598.46,568.77,615.0,568.02,585.02,-13.44
2025-01-21,1072.0,585.02,599.99,600.0,570.0,573.58,-11.44
2025-01-22,471.0,573.58,599.99,599.99,578.0,579.69,6.11
2025-01-23,2445.0,579.69,589.99,589.99,550.65,575.52,-4.17
2025-01-24,1488.0,575.52,555.55,599.99,545.0,580.58,5.06
2025-01-27,877.0,580.58,581.0,581.0,531.02,549.53,-31.05
2025-01-28,161.0,549.53,541.0,545.0,541.0,543.0,-6.53
2025-01-29,13.0,543.0,561.98,561.99,559.69,543.0,0.0
2025-01-30,190.0,543.0,559.77,565.0,540.13,559.77,16.77
2025-01-31,15.0,559.77,570.0,570.0,570.0,559.77,0.0
2025-02-03,523.0,559.77,533.0,578.0,533.0,534.48,-25.29
2025-02-04,25.0,534.48,530.0,576.3,530.0,534.48,0.0
2025-02-06,254.0,534.48,573.99,573.99,531.0,532.98,-1.5
2025-02-07,53.0,532.98,561.22,563.21,501.02,525.49,-7.49
2025-02-10,143.0,525.49,564.99,564.99,500.01,516.97,-8.52
2025-02-11,294.0,516.97,560.0,560.0,549.98,550.95,33.98
2025-02-12,24.0,550.95,564.99,568.99,559.99,550.95,0.0
2025-02-13,199.0,550.95,564.99,564.99,530.05,539.1,-11.85
2025-02-14,110.0,539.1,568.99,568.99,525.38,550.04,10.94
2025-02-17,114.0,550.04,550.0,550.0,531.0,531.38,-18.66
2025-02-18,321.0,531.38,532.23,532.23,501.01,503.87,-27.51
2025-02-19,57.0,503.87,550.99,551.0,503.89,526.22,22.35
2025-02-20,179.0,526.22,577.44,577.44,501.0,544.19,17.97
2025-02-21,226.0,544.19,559.0,594.99,504.32,552.87,8.68
2025-02-24,108.0,552.87,555.99,555.99,506.68,541.97,-10.9
2025-02-25,203.0,541.97,507.01,545.0,507.01,523.76,-18.21
