Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,4000.0,6.3,6.01,6.01,6.0,6.0,-0.3
2024-01-05,500.0,6.0,5.75,5.75,5.75,5.75,-0.25
2024-01-08,1500.0,5.75,5.75,5.8,5.75,5.8,0.05
2024-01-10,6000.0,5.8,5.8,6.3,5.8,6.03,0.23
2024-01-11,8000.0,6.03,6.1,6.1,6.1,6.1,0.07
2024-01-12,1500.0,6.1,6.15,6.15,6.0,6.0,-0.1
2024-01-16,2500.0,6.0,5.8,5.85,5.8,5.85,-0.15
2024-01-17,2000.0,5.85,5.85,5.85,5.85,5.85,0.0
2024-01-30,5000.0,5.85,5.5,5.5,5.1,5.5,-0.35
2024-02-01,2000.0,5.5,5.21,5.21,5.21,5.21,-0.29
2024-02-02,1000.0,5.21,5.2,5.2,5.2,5.2,-0.01
2024-02-14,2500.0,5.2,5.0,5.8,5.0,5.68,0.48
2024-03-04,500.0,5.68,0.0,0.0,0.0,5.68,0.0
2024-03-05,4000.0,5.68,5.4,5.4,5.35,5.35,-0.33
2024-03-06,27500.0,5.35,5.35,5.74,5.0,5.45,0.1
2024-03-08,1500.0,5.45,5.8,5.8,5.4,5.4,-0.05
2024-03-11,5500.0,5.4,5.8,5.8,5.5,5.5,0.1
2024-03-13,500.0,5.5,5.2,5.2,5.2,5.2,-0.3
2024-03-18,1000.0,5.2,5.4,5.4,5.4,5.4,0.2
2024-04-15,2500.0,5.4,5.59,5.7,5.59,5.65,0.25
2024-04-16,1000.0,5.65,5.5,5.5,5.5,5.5,-0.15
2024-04-18,9500.0,5.5,5.2,5.3,5.0,5.3,-0.2
2024-04-22,1500.0,5.3,5.3,5.35,5.3,5.35,0.05
2024-04-25,2000.0,5.35,5.18,5.18,5.0,5.13,-0.22
2024-04-30,71000.0,5.13,5.11,6.13,5.11,6.13,1.0
2024-05-02,26500.0,6.13,6.55,6.88,6.25,6.31,0.18
2024-05-03,12000.0,6.31,6.01,6.01,5.45,5.75,-0.56
2024-05-06,4000.0,5.75,5.77,5.79,5.74,5.79,0.04
2024-05-07,8500.0,5.79,5.6,5.6,5.5,5.6,-0.19
2024-05-08,19000.0,5.6,5.5,6.1,5.4,5.91,0.31
2024-05-09,2000.0,5.91,5.81,6.1,5.8,6.09,0.18
2024-05-10,5000.0,6.09,6.3,6.39,6.1,6.15,0.06
2024-05-13,10500.0,6.15,6.2,6.2,6.01,6.01,-0.14
2024-05-14,2000.0,6.01,6.19,6.19,6.15,6.15,0.14
2024-05-17,2000.0,6.15,5.81,5.86,5.8,5.86,-0.29
2024-05-20,3000.0,5.86,6.09,6.1,6.09,6.1,0.24
2024-05-21,1000.0,6.1,6.1,6.1,6.1,6.1,0.0
2024-05-22,32000.0,6.1,5.9,7.1,5.9,6.59,0.49
2024-05-23,12500.0,6.59,6.6,7.0,6.56,7.0,0.41
2024-05-24,11500.0,7.0,7.19,7.25,7.0,7.1,0.1
2024-05-27,3531.0,7.1,7.12,7.38,7.12,7.2,0.1
2024-05-29,3001.0,7.2,7.2,7.2,7.1,7.1,-0.1
2024-05-30,1600.0,7.1,7.1,7.1,7.1,7.1,0.0
2024-05-31,4402.0,7.1,7.1,7.5,7.01,7.41,0.31
2024-06-03,2500.0,7.41,7.15,7.15,7.01,7.01,-0.4
