Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,389000.0,13.9,14.15,14.5,13.91,14.43,0.53
2024-01-02,668500.0,14.43,14.56,14.7,14.0,14.28,-0.15
2024-01-03,316000.0,14.28,14.44,14.65,14.28,14.42,0.14
2024-01-04,1135500.0,14.42,14.4,15.0,14.2,14.79,0.37
2024-01-05,381000.0,14.79,14.95,14.95,14.1,14.47,-0.32
2024-01-08,321500.0,14.47,14.69,14.69,14.14,14.18,-0.29
2024-01-09,126000.0,14.18,14.47,14.47,14.0,14.25,0.07
2024-01-10,315500.0,14.25,14.06,14.57,14.06,14.13,-0.12
2024-01-11,221000.0,14.13,14.12,14.24,14.07,14.14,0.01
2024-01-12,243500.0,14.14,14.16,14.34,13.8,13.92,-0.22
2024-01-15,90500.0,13.92,14.13,14.13,13.75,13.8,-0.12
2024-01-16,116500.0,13.8,13.7,13.7,13.14,13.49,-0.31
2024-01-17,84500.0,13.49,13.5,13.65,13.35,13.5,0.01
2024-01-18,115000.0,13.5,13.19,13.64,13.1,13.32,-0.18
2024-01-19,70000.0,13.32,13.69,13.7,13.2,13.29,-0.03
2024-01-22,142000.0,13.29,13.16,13.35,13.0,13.28,-0.01
2024-01-23,165000.0,13.28,13.12,13.5,13.12,13.42,0.14
2024-01-24,90500.0,13.42,13.54,13.54,13.25,13.42,0.0
2024-01-25,110500.0,13.42,13.38,13.39,13.0,13.1,-0.32
2024-01-26,225500.0,13.1,13.17,13.2,12.9,12.97,-0.13
2024-01-29,98000.0,12.97,13.0,13.05,12.8,12.96,-0.01
2024-01-30,145000.0,12.96,12.9,13.0,12.6,12.72,-0.24
2024-01-31,826500.0,12.72,12.61,13.0,12.21,12.84,0.12
2024-02-01,753000.0,12.84,12.99,12.99,12.64,12.78,-0.06
2024-02-02,67500.0,12.78,12.8,12.95,12.8,12.86,0.08
2024-02-06,39000.0,12.86,12.76,12.98,12.76,12.95,0.09
2024-02-07,144500.0,12.95,13.0,13.07,12.75,13.02,0.07
2024-02-09,40000.0,13.02,12.56,12.95,12.56,12.92,-0.1
2024-02-12,778500.0,12.92,12.65,12.69,12.37,12.58,-0.34
2024-02-13,949000.0,12.58,12.31,12.85,12.11,12.63,0.05
2024-02-14,107000.0,12.63,12.89,12.89,12.5,12.79,0.16
2024-02-15,48000.0,12.79,12.6,12.75,12.31,12.48,-0.31
2024-02-16,59500.0,12.48,12.7,12.7,11.71,12.15,-0.33
2024-02-19,419500.0,12.15,11.79,12.25,11.79,11.95,-0.2
2024-02-20,187500.0,11.95,12.09,12.09,11.8,11.88,-0.07
2024-02-21,504500.0,11.88,11.99,12.23,11.85,11.97,0.09
2024-02-22,1486500.0,11.97,12.07,12.96,12.07,12.89,0.92
2024-02-23,418500.0,12.89,12.85,13.15,12.8,12.85,-0.04
2024-02-26,279000.0,12.85,12.6,13.25,12.6,13.06,0.21
2024-02-27,131500.0,13.06,13.0,13.01,12.75,12.9,-0.16
2024-02-28,772000.0,12.9,13.1,13.1,12.65,12.95,0.05
2024-02-29,250000.0,12.95,12.97,13.09,12.3,12.44,-0.51
2024-03-01,385000.0,12.44,12.5,12.75,12.0,12.18,-0.26
2024-03-04,185000.0,12.18,12.26,12.5,12.2,12.36,0.18
2024-03-05,637000.0,12.36,12.3,12.47,12.06,12.15,-0.21
2024-03-06,106500.0,12.15,12.85,12.85,12.2,12.26,0.11
2024-03-07,724500.0,12.26,12.17,12.46,12.0,12.33,0.07
2024-03-08,164500.0,12.33,12.21,12.47,12.13,12.24,-0.09
2024-03-11,595500.0,12.24,12.2,12.8,12.2,12.6,0.36
2024-03-12,95000.0,12.6,12.74,12.74,12.15,12.18,-0.42
2024-03-13,586000.0,12.18,12.3,12.35,12.0,12.02,-0.16
2024-03-14,128500.0,12.02,12.2,12.2,12.0,12.16,0.14
2024-03-15,55500.0,12.16,12.24,12.47,12.1,12.1,-0.06
2024-03-18,27000.0,12.1,12.36,12.36,12.0,12.05,-0.05
2024-03-19,202500.0,12.05,12.24,12.24,11.51,12.08,0.03
2024-03-20,93500.0,12.08,12.0,12.35,11.92,12.04,-0.04
2024-03-21,83000.0,12.04,12.0,12.2,11.9,11.97,-0.07
2024-03-22,81000.0,11.97,12.0,12.0,11.8,11.98,0.01
2024-03-25,45000.0,11.98,11.8,11.93,11.75,11.79,-0.19
2024-03-26,287500.0,11.79,11.81,11.9,11.31,11.84,0.05
2024-03-27,64500.0,11.84,11.86,11.95,11.51,11.66,-0.18
2024-03-28,49500.0,11.66,11.65,11.95,11.65,11.93,0.27
2024-03-29,105500.0,11.93,11.99,12.05,11.75,11.79,-0.14
2024-04-01,12000.0,11.79,12.1,12.19,11.7,11.76,-0.03
2024-04-02,6500.0,11.76,11.6,11.82,11.6,11.8,0.04
2024-04-03,815500.0,11.8,11.62,12.0,11.05,11.89,0.09
2024-04-04,26500.0,11.89,12.15,12.15,11.9,12.05,0.16
2024-04-08,129000.0,12.05,12.06,12.5,12.06,12.36,0.31
2024-04-09,96000.0,12.36,12.3,12.4,12.26,12.29,-0.07
2024-04-15,67000.0,12.29,12.3,12.4,11.95,12.31,0.02
2024-04-16,77000.0,12.31,12.22,12.3,12.05,12.08,-0.23
2024-04-17,155500.0,12.08,12.09,12.4,12.0,12.2,0.12
2024-04-18,1989500.0,12.2,12.15,13.15,12.15,13.07,0.87
2024-04-19,466500.0,13.07,13.1,13.1,12.7,12.85,-0.22
2024-04-22,577500.0,12.85,12.9,13.14,12.82,12.96,0.11
2024-04-23,379000.0,12.96,13.19,13.35,12.9,13.11,0.15
2024-04-24,596000.0,13.11,13.1,13.48,13.0,13.38,0.27
2024-04-25,808500.0,13.38,13.55,13.94,13.3,13.62,0.24
2024-04-26,2166500.0,13.62,13.79,14.4,13.2,14.07,0.45
2024-04-29,3101500.0,14.07,14.1,15.13,14.02,14.85,0.78
2024-04-30,2235000.0,14.85,15.39,15.57,14.21,14.41,-0.44
2024-05-02,1891000.0,14.41,14.48,15.25,14.24,14.66,0.25
2024-05-03,726500.0,14.66,14.85,15.1,14.44,14.5,-0.16
2024-05-06,591500.0,14.5,14.62,14.62,14.01,14.23,-0.27
2024-05-07,3620500.0,14.23,14.75,15.3,14.46,14.59,0.36
2024-05-08,897000.0,14.59,14.8,14.84,14.18,14.23,-0.36
2024-05-09,701000.0,14.23,14.4,14.68,14.02,14.34,0.11
2024-05-10,1263000.0,14.34,14.5,15.05,14.49,14.66,0.32
2024-05-13,2222000.0,14.66,14.81,15.76,14.65,15.76,1.1
2024-05-14,4562000.0,15.76,16.0,16.94,16.0,16.48,0.72
2024-05-15,2369000.0,16.48,16.36,17.1,15.5,15.87,-0.61
2024-05-16,799000.0,15.87,16.1,16.1,15.27,15.53,-0.34
2024-05-17,208000.0,15.53,15.31,15.99,15.31,15.46,-0.07
2024-05-20,1278298.0,15.46,15.45,15.6,14.9,15.5,0.04
2024-05-21,783122.0,15.5,15.42,15.69,15.01,15.14,-0.36
2024-05-22,390432.0,15.14,15.38,15.4,15.15,15.25,0.11
2024-05-23,2007880.0,15.25,15.25,15.89,15.17,15.72,0.47
2024-05-24,1280279.0,15.72,15.52,15.9,15.27,15.5,-0.22
2024-05-27,315345.0,15.5,15.56,15.6,15.2,15.26,-0.24
2024-05-29,369539.0,15.26,15.6,15.6,15.0,15.07,-0.19
2024-05-30,1128109.0,15.07,15.35,15.58,15.01,15.28,0.21
2024-05-31,1149579.0,15.28,15.11,15.35,14.8,15.06,-0.22
2024-06-03,591400.0,15.06,15.25,15.25,14.95,15.0,-0.06
2024-06-04,1111450.0,15.0,14.88,15.19,14.3,14.63,-0.37
2024-06-05,51175.0,14.63,14.97,14.97,14.35,14.46,-0.17
2024-06-06,161130.0,14.46,14.5,14.85,14.3,14.42,-0.04
2024-06-07,796443.0,14.42,14.2,14.33,14.0,14.14,-0.28
2024-06-10,48196.0,14.14,14.23,14.3,13.91,14.0,-0.14
2024-06-11,36799.0,14.0,14.01,14.2,13.8,13.85,-0.15
2024-06-12,779315.0,13.85,14.07,14.19,13.9,14.05,0.2
2024-06-13,722807.0,14.05,14.2,15.0,14.19,14.88,0.83
2024-06-14,193737.0,14.88,15.18,15.18,14.32,14.55,-0.33
2024-06-20,566505.0,14.55,14.48,14.75,14.35,14.6,0.05
2024-06-21,397018.0,14.6,14.51,14.99,14.5,14.56,-0.04
2024-06-24,238777.0,14.56,14.56,14.56,14.07,14.13,-0.43
2024-06-25,425745.0,14.13,14.06,14.45,13.7,14.28,0.15
2024-06-26,637313.0,14.28,14.25,14.98,14.0,14.31,0.03
2024-06-27,197169.0,14.31,14.75,14.75,14.15,14.27,-0.04
2024-06-28,168242.0,14.27,14.25,14.35,14.05,14.1,-0.17
2024-07-01,64045.0,14.1,14.23,14.23,14.08,14.1,0.0
2024-07-02,1003000.0,14.1,14.2,14.74,13.89,14.34,0.24
2024-07-03,411193.0,14.34,14.4,14.65,14.21,14.42,0.08
2024-07-04,573730.0,14.42,14.4,14.8,14.36,14.57,0.15
2024-07-05,7398077.0,14.57,14.65,15.88,14.65,15.28,0.71
2024-07-08,399696.0,15.28,15.45,15.45,15.19,15.25,-0.03
2024-07-09,546619.0,15.25,15.25,15.3,15.08,15.09,-0.16
2024-07-10,517690.0,15.09,15.3,15.59,14.8,15.33,0.24
2024-07-11,265058.0,15.33,15.16,15.43,14.8,14.94,-0.39
2024-07-12,219228.0,14.94,14.9,15.25,14.32,14.63,-0.31
2024-07-15,347118.0,14.63,14.51,15.28,14.51,14.78,0.15
2024-07-18,414717.0,14.78,14.78,15.3,14.78,14.84,0.06
2024-07-19,684711.0,14.84,15.02,15.02,14.1,14.16,-0.68
2024-07-22,197941.0,14.16,14.21,14.3,13.5,13.59,-0.57
2024-07-23,374864.0,13.59,13.97,13.97,13.41,13.5,-0.09
2024-07-24,661200.0,13.5,13.65,14.14,13.45,13.64,0.14
2024-07-25,134682.0,13.64,13.7,13.89,13.5,13.5,-0.14
2024-07-26,158145.0,13.5,13.51,13.6,13.15,13.23,-0.27
2024-07-29,256726.0,13.23,13.05,13.58,13.05,13.41,0.18
2024-07-30,394924.0,13.41,13.29,13.4,12.9,12.92,-0.49
2024-07-31,872673.0,12.92,13.09,13.21,12.71,12.83,-0.09
2024-08-01,1230512.0,12.83,12.87,13.35,12.53,12.84,0.01
2024-08-02,2697634.0,12.84,13.19,13.3,13.0,13.2,0.36
2024-08-05,394734.0,13.2,13.3,13.5,12.8,12.89,-0.31
2024-08-06,402154.0,12.89,13.0,13.14,12.82,12.96,0.07
2024-08-07,2321212.0,12.96,13.12,14.26,13.1,14.26,1.3
2024-08-08,4247458.0,14.26,14.93,15.69,14.6,15.69,1.43
2024-08-09,5128085.0,15.69,17.0,17.26,15.81,17.26,1.57
2024-08-12,10779376.0,17.26,17.9,18.3,16.21,16.36,-0.9
2024-08-13,8083622.0,16.36,16.36,17.85,16.02,17.18,0.82
2024-08-15,6965752.0,17.18,17.29,18.9,16.95,18.9,1.72
2024-08-16,15501070.0,18.9,20.5,20.79,19.35,19.64,0.74
2024-08-19,10889996.0,19.64,19.99,21.6,19.2,20.88,1.24
2024-08-20,1901263.0,20.88,21.0,21.29,19.85,20.07,-0.81
2024-08-21,3584738.0,20.07,20.5,21.51,20.01,20.65,0.58
2024-08-22,6133355.0,20.65,20.9,22.44,20.56,21.18,0.53
2024-08-23,2459245.0,21.18,21.3,21.39,19.51,19.64,-1.54
2024-08-26,2639267.0,19.64,19.9,19.9,18.5,18.84,-0.8
2024-08-27,3897288.0,18.84,18.86,20.59,18.5,19.88,1.04
2024-08-28,1881222.0,19.88,19.9,20.0,18.0,18.52,-1.36
2024-08-29,1695199.0,18.52,18.45,19.2,18.21,18.8,0.28
2024-08-30,779009.0,18.8,19.01,19.45,18.6,18.76,-0.04
2024-09-02,559385.0,18.76,19.0,19.15,17.6,17.9,-0.86
2024-09-03,1207790.0,17.9,18.3,18.78,17.61,18.57,0.67
2024-09-04,1048192.0,18.57,18.89,18.89,18.3,18.4,-0.17
2024-09-05,1266435.0,18.4,18.78,18.78,17.7,17.77,-0.63
2024-09-06,1186610.0,17.77,17.8,18.35,17.25,17.33,-0.44
2024-09-09,848207.0,17.33,17.45,18.1,17.11,17.47,0.14
2024-09-10,2162849.0,17.47,17.3,18.85,17.3,18.61,1.14
2024-09-11,1855978.0,18.61,19.13,19.3,18.2,18.35,-0.26
2024-09-12,247968.0,18.35,18.5,18.52,18.1,18.27,-0.08
2024-09-13,631552.0,18.27,19.0,19.0,17.63,17.81,-0.46
