Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3000.0,19.59,19.49,20.0,19.49,19.75,0.16
2024-01-02,500.0,19.75,20.45,20.45,20.45,20.45,0.7
2024-01-03,12500.0,20.45,20.1,20.1,19.7,19.7,-0.75
2024-01-04,6000.0,19.7,20.2,20.48,20.2,20.45,0.75
2024-01-05,2000.0,20.45,20.45,20.45,20.45,20.45,0.0
2024-01-10,1000.0,20.45,19.7,20.0,19.7,19.85,-0.6
2024-01-15,2000.0,19.85,19.7,19.7,19.7,19.7,-0.15
2024-01-16,500.0,19.7,19.5,19.5,19.5,19.5,-0.2
2024-01-17,3000.0,19.5,19.3,19.3,19.3,19.3,-0.2
2024-01-18,500.0,19.3,19.0,19.0,19.0,19.0,-0.3
2024-01-19,1000.0,19.0,19.99,19.99,19.99,19.99,0.99
2024-01-22,1000.0,19.99,19.2,19.2,19.2,19.2,-0.79
2024-01-23,1500.0,19.2,19.0,19.0,19.0,19.0,-0.2
2024-01-24,6000.0,19.0,18.9,19.5,18.9,19.2,0.2
2024-01-25,3500.0,19.2,19.5,19.6,19.0,19.0,-0.2
2024-01-26,2000.0,19.0,19.0,19.48,18.65,19.07,0.07
2024-01-30,1000.0,19.07,18.61,19.38,18.61,19.0,-0.07
2024-01-31,111500.0,19.0,19.3,20.43,19.3,19.84,0.84
2024-02-01,5000.0,19.84,19.6,19.77,19.2,19.37,-0.47
2024-02-02,9000.0,19.37,19.0,19.01,19.0,19.0,-0.37
2024-02-06,6500.0,19.0,18.65,18.88,18.6,18.69,-0.31
2024-02-07,4500.0,18.69,18.23,18.6,18.23,18.48,-0.21
2024-02-09,500.0,18.48,18.5,18.5,18.5,18.5,0.02
2024-02-12,1500.0,18.5,18.5,18.5,18.1,18.1,-0.4
2024-02-14,29500.0,18.1,18.77,19.46,18.77,19.32,1.22
2024-02-15,21000.0,19.32,19.99,20.25,18.9,18.99,-0.33
2024-02-16,3500.0,18.99,18.53,18.53,18.53,18.53,-0.46
2024-02-19,8000.0,18.53,18.99,19.4,18.5,18.5,-0.03
2024-02-20,6500.0,18.5,18.5,19.0,18.5,18.8,0.3
2024-02-21,3500.0,18.8,19.0,19.0,19.0,19.0,0.2
2024-02-22,500.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-02-23,38500.0,19.0,18.81,18.81,17.99,18.03,-0.97
2024-02-26,2000.0,18.03,18.0,18.0,18.0,18.0,-0.03
2024-02-27,8000.0,18.0,18.0,18.88,18.0,18.5,0.5
2024-02-28,18500.0,18.5,18.31,18.85,18.0,18.13,-0.37
2024-02-29,5000.0,18.13,18.0,18.1,18.0,18.1,-0.03
2024-03-04,500.0,18.1,18.0,18.0,18.0,18.0,-0.1
2024-03-06,500.0,18.0,18.0,18.0,18.0,18.0,0.0
2024-03-07,4000.0,18.0,18.0,18.0,17.8,17.99,-0.01
2024-03-11,6500.0,17.99,18.0,18.0,17.85,18.0,0.01
2024-03-12,500.0,18.0,18.4,18.4,18.4,18.4,0.4
2024-03-13,1000.0,18.4,18.0,18.0,18.0,18.0,-0.4
2024-03-14,4500.0,18.0,18.3,18.48,17.0,17.96,-0.04
2024-03-15,2500.0,17.96,17.4,17.99,17.4,17.52,-0.44
2024-03-18,8000.0,17.52,17.55,17.9,17.55,17.9,0.38
2024-03-19,1000.0,17.9,18.0,18.0,18.0,18.0,0.1
2024-03-20,8500.0,18.0,18.0,18.0,18.0,18.0,0.0
2024-03-25,10000.0,18.0,18.0,18.0,17.75,17.75,-0.25
2024-03-26,2500.0,17.75,0.0,0.0,0.0,17.75,0.0
