Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,11000.0,11.0,10.99,11.0,10.99,11.0,0.0
2024-01-03,500.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-01-05,500.0,11.0,11.3,11.3,11.3,11.3,0.3
2024-01-09,500.0,11.3,10.7,10.7,10.7,10.7,-0.6
2024-01-10,1500.0,10.7,10.99,11.0,10.99,11.0,0.3
2024-01-11,1000.0,11.0,11.19,11.2,11.19,11.2,0.2
2024-01-12,500.0,11.2,10.71,10.71,10.71,10.71,-0.49
2024-01-15,1000.0,10.71,10.02,10.75,10.02,10.75,0.04
2024-01-16,30500.0,10.75,10.03,11.75,9.85,10.98,0.23
2024-01-17,2000.0,10.98,11.29,11.35,10.3,10.96,-0.02
2024-01-19,3500.0,10.96,11.39,11.39,10.64,11.06,0.1
2024-01-22,5000.0,11.06,10.8,10.8,10.36,10.36,-0.7
2024-01-23,11000.0,10.36,10.0,10.4,10.0,10.02,-0.34
2024-01-24,1000.0,10.02,10.89,10.89,10.89,10.89,0.87
2024-01-25,178000.0,10.89,10.2,10.85,10.07,10.73,-0.16
2024-01-26,2000.0,10.73,10.03,10.99,10.03,10.98,0.25
2024-01-29,1000.0,10.98,10.3,10.3,10.1,10.1,-0.88
2024-01-30,500.0,10.1,9.62,9.62,9.62,9.62,-0.48
2024-01-31,6000.0,9.62,9.5,10.18,9.49,10.18,0.56
2024-02-01,12000.0,10.18,9.51,9.75,9.51,9.74,-0.44
2024-02-02,3000.0,9.74,10.0,10.5,10.0,10.09,0.35
2024-02-06,14000.0,10.09,10.64,10.64,9.43,9.84,-0.25
2024-02-07,11500.0,9.84,10.75,10.75,10.1,10.45,0.61
2024-02-09,1000.0,10.45,10.44,10.44,9.87,9.87,-0.58
2024-02-12,1000.0,9.87,9.72,9.72,9.7,9.7,-0.17
2024-02-14,2500.0,9.7,9.99,10.09,9.99,10.0,0.3
2024-02-15,62000.0,10.0,10.25,10.6,9.7,9.74,-0.26
2024-02-16,8000.0,9.74,9.5,9.5,8.74,9.4,-0.34
