Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1500.0,24.27,26.0,26.08,26.0,26.08,1.81
2024-01-02,20000.0,26.08,28.0,28.04,24.12,24.28,-1.8
2024-01-03,17500.0,24.28,22.6,23.4,22.46,22.78,-1.5
2024-01-04,5500.0,22.78,22.55,22.55,21.07,21.2,-1.58
2024-01-05,2500.0,21.2,22.74,22.75,22.0,22.01,0.81
2024-01-09,1500.0,22.01,21.0,21.0,20.62,20.62,-1.39
2024-01-10,1000.0,20.62,21.0,21.75,21.0,21.75,1.13
2024-01-11,3500.0,21.75,23.38,23.38,23.38,23.38,1.63
2024-01-12,14500.0,23.38,25.13,25.13,21.63,22.99,-0.39
2024-01-15,500.0,22.99,24.23,24.23,24.23,24.23,1.24
2024-01-16,1000.0,24.23,22.41,22.41,22.41,22.41,-1.82
2024-01-17,10500.0,22.41,20.8,23.54,20.75,23.33,0.92
2024-01-18,2000.0,23.33,21.7,23.84,21.7,23.0,-0.33
2024-01-19,11500.0,23.0,23.12,24.0,23.12,24.0,1.0
2024-01-22,1500.0,24.0,24.0,24.0,22.42,22.44,-1.56
2024-01-23,500.0,22.44,23.69,23.69,23.69,23.69,1.25
2024-01-24,5000.0,23.69,24.69,25.47,24.69,25.47,1.78
2024-01-29,269000.0,25.47,23.75,24.06,23.7,24.0,-1.47
2024-01-30,2000.0,24.0,22.49,22.5,22.49,22.5,-1.5
2024-01-31,500.0,22.5,21.55,21.55,21.55,21.55,-0.95
2024-02-02,500.0,21.55,20.56,20.56,20.56,20.56,-0.99
2024-02-06,500.0,20.56,20.5,20.5,20.5,20.5,-0.06
2024-02-15,1000.0,20.5,20.5,20.5,20.5,20.5,0.0
2024-02-19,12500.0,20.5,19.0,21.75,19.0,21.75,1.25
2024-03-12,500.0,21.75,23.38,23.38,23.38,23.38,1.63
2024-03-18,500.0,23.38,21.63,21.63,21.63,21.63,-1.75
2024-03-29,5500.0,21.63,20.5,20.5,20.5,20.5,-1.13
2024-04-19,13500.0,20.5,21.99,22.0,20.5,22.0,1.5
2024-04-30,1000.0,22.0,20.35,20.35,20.35,20.35,-1.65
2024-05-09,500.0,20.35,20.2,20.2,20.2,20.2,-0.15
2024-05-16,3500.0,20.2,21.69,21.72,21.69,21.72,1.52
