Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1200.0,1415.0,1415.0,1521.0,1415.0,1482.92,67.92
2024-01-02,1680.0,1482.92,1485.0,1594.14,1485.0,1569.68,86.76
2024-01-03,120.0,1569.68,1580.0,1580.0,1580.0,1580.0,10.32
2024-01-04,820.0,1580.0,1600.0,1650.0,1465.1,1605.62,25.62
2024-01-05,80.0,1605.62,1485.2,1640.0,1485.2,1640.0,34.38
2024-01-08,100.0,1640.0,1660.0,1660.0,1660.0,1660.0,20.0
2024-01-09,100.0,1660.0,1675.0,1675.0,1675.0,1675.0,15.0
2024-01-10,20.0,1675.0,1690.0,1690.0,1690.0,1690.0,15.0
2024-01-11,40.0,1690.0,1725.0,1725.0,1725.0,1725.0,35.0
2024-01-12,20.0,1725.0,1724.0,1724.0,1724.0,1724.0,1.0
2024-02-20,40.0,1724.0,1600.0,1600.0,1600.0,1600.0,124.0
2024-02-21,20.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
2024-03-22,40.0,1600.0,1525.0,1525.0,1525.0,1525.0,75.0
2024-03-25,260.0,1525.0,1411.0,1495.0,1411.0,1479.83,-45.17
2024-03-26,940.0,1479.83,1370.11,1500.0,1368.84,1485.15,5.32
2024-03-27,260.0,1485.15,1402.01,1402.1,1401.1,1401.1,-84.05
2024-03-29,20.0,1401.1,1410.0,1410.0,1410.0,1410.0,8.9
2024-04-09,2440.0,1410.0,1350.0,1350.1,1304.25,1350.0,60.0
2024-04-15,200.0,1350.0,1348.0,1350.0,1340.0,1348.0,2.0
2024-04-16,760.0,1348.0,1311.0,1325.0,1310.0,1325.0,23.0
2024-04-17,180.0,1325.0,1344.98,1344.99,1344.98,1344.98,19.98
2024-04-22,55.0,1343.61,1300.0,1325.0,1300.0,1325.0,-18.61
2024-04-24,1446.0,1325.0,1280.0,1288.0,1225.63,1265.37,-59.63
2024-04-25,636.0,1265.37,1176.0,1270.0,1170.48,1186.03,-79.34
2024-04-26,50.0,1186.03,1218.0,1218.0,1175.0,1200.8,14.77
2024-04-29,7.0,1200.8,0.0,0.0,0.0,1200.8,0.0
2024-04-30,88.0,1200.8,1125.14,1198.8,1125.14,1187.82,-12.98
2024-05-02,563.0,1187.82,1110.16,1166.0,1100.1,1152.92,-34.9
2024-05-03,1169.0,1152.92,1081.0,1235.0,1081.0,1189.8,36.88
2024-05-06,1704.0,1189.8,1244.44,1279.04,1234.99,1274.22,84.42
2024-05-07,19006.0,1274.22,1210.12,1310.0,1210.12,1309.96,35.74
2024-05-08,11127.0,1309.96,1358.57,1359.5,1212.0,1300.0,-9.96
2024-05-09,3153.0,1300.0,1230.0,1296.0,1220.01,1289.97,-10.03
2024-05-10,2371.0,1289.97,1194.5,1270.0,1194.5,1257.86,-32.11
2024-05-13,911.0,1257.86,1200.0,1293.99,1200.0,1238.15,-19.71
2024-05-14,302.0,1238.15,1237.99,1277.0,1227.05,1245.42,7.27
2024-05-15,1880.0,1245.42,1172.0,1338.0,1172.0,1290.81,45.39
2024-05-16,110.0,1290.81,1292.0,1300.0,1201.0,1299.99,9.18
2024-05-17,39.0,1299.99,1203.41,1344.0,1203.41,1293.95,-6.04
2024-05-20,501.0,1293.95,1349.79,1349.79,1299.98,1300.0,6.05
