Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6000.0,27.0,27.0,27.0,27.0,27.0,0.0
2024-01-02,500.0,27.0,27.0,27.0,27.0,27.0,0.0
2024-01-05,1000.0,27.0,27.0,27.0,27.0,27.0,0.0
2024-01-10,8500.0,27.0,27.45,27.85,27.45,27.85,0.85
2024-01-12,4500.0,27.85,29.5,29.94,29.5,29.74,1.89
2024-01-15,3500.0,29.74,29.8,31.74,29.8,31.74,2.0
2024-01-18,1000.0,31.74,30.0,30.0,29.41,29.41,-2.33
2024-01-22,28000.0,29.41,27.35,30.19,27.35,30.03,0.62
2024-01-24,5500.0,30.03,30.5,31.45,30.5,31.45,1.42
2024-01-29,3500.0,31.45,29.09,29.7,29.09,29.54,-1.91
2024-02-02,500.0,29.54,29.54,29.54,29.54,29.54,0.0
2024-02-09,500.0,29.54,29.54,29.54,29.54,29.54,0.0
2024-02-12,500.0,29.54,0.0,0.0,0.0,29.54,0.0
2024-02-14,5000.0,29.54,30.0,30.0,30.0,30.0,0.46
2024-02-15,3000.0,30.0,30.0,30.0,30.0,30.0,0.0
2024-02-16,8500.0,30.0,30.0,30.0,30.0,30.0,0.0
2024-02-27,22000.0,30.02,30.0,30.5,30.0,30.0,-0.02
2024-02-28,3500.0,30.0,31.98,32.25,31.98,32.25,2.25
2024-02-29,1000.0,32.25,33.5,33.5,33.5,33.5,1.25
2024-03-01,2000.0,33.5,33.0,34.0,33.0,34.0,0.5
2024-03-05,2500.0,34.0,32.01,32.01,31.75,31.75,-2.25
2024-03-07,500.0,31.75,33.15,33.15,33.15,33.15,1.4
2024-03-08,500.0,33.15,35.0,35.0,35.0,35.0,1.85
2024-03-13,5500.0,35.0,32.4,34.45,32.4,32.5,-2.5
2024-03-14,2500.0,32.5,33.95,33.95,33.95,33.95,1.45
2024-03-19,500.0,33.95,34.45,34.45,34.45,34.45,0.5
2024-03-27,1000.0,34.45,32.5,34.5,32.5,33.5,-0.95
2024-03-28,3500.0,33.5,33.9,34.0,33.9,33.94,0.44
2024-03-29,500.0,33.94,34.0,34.0,34.0,34.0,0.06
2024-04-02,1000.0,34.0,34.0,34.0,34.0,34.0,0.0
2024-04-04,500.0,34.0,32.79,32.79,32.79,32.79,-1.21
2024-04-08,500.0,32.79,32.49,32.49,32.49,32.49,-0.3
2024-04-16,2500.0,32.49,32.29,32.29,32.29,32.29,-0.2
2024-04-18,500.0,32.29,32.29,32.29,32.29,32.29,0.0
2024-04-22,500.0,32.29,31.99,31.99,31.99,31.99,-0.3
2024-04-25,500.0,31.99,32.09,32.09,32.09,32.09,0.1
2024-04-29,4000.0,32.09,34.5,34.5,34.5,34.5,2.41
2024-04-30,2500.0,34.5,36.25,36.25,34.01,34.01,-0.49
2024-05-02,500.0,34.01,35.35,35.35,35.35,35.35,1.34
2024-05-03,1000.0,35.35,36.0,36.0,36.0,36.0,0.65
2024-05-08,500.0,36.0,35.0,35.0,35.0,35.0,1.0
2024-05-09,2500.0,35.0,33.5,36.45,33.5,35.46,0.46
2024-05-24,4500.0,35.46,33.51,34.0,33.51,34.0,-1.46
2024-05-27,15.0,34.0,34.8,34.8,34.8,34.0,0.0
2024-05-30,10.0,34.0,34.5,34.5,34.5,34.0,0.0
2024-05-31,56.0,34.0,34.0,34.0,34.0,34.0,0.0
2024-06-06,40.0,34.0,33.99,33.99,33.99,34.0,0.0
2024-06-12,1000.0,34.0,32.11,32.11,32.11,32.11,-1.89
2024-06-13,100.0,32.11,33.0,33.0,33.0,32.11,0.0
2024-06-14,50.0,32.11,34.4,34.4,32.01,32.11,0.0
2024-06-20,100.0,32.11,32.5,32.5,32.5,32.11,0.0
2024-06-25,100.0,32.11,33.5,33.5,33.5,32.11,0.0
2024-06-26,2050.0,32.11,32.1,33.5,32.01,32.05,-0.06
2024-07-02,500.0,32.05,31.66,31.66,31.66,31.66,-0.39
2024-07-03,1800.0,31.66,32.99,33.0,32.49,32.96,1.3
2024-07-05,600.0,32.96,33.98,33.99,33.98,33.99,1.03
2024-07-09,2795.0,33.99,34.0,34.95,34.0,34.41,0.42
2024-07-10,590.0,34.41,36.9,36.9,32.5,32.5,-1.91
2024-07-11,140.0,32.5,32.5,32.75,32.5,32.5,0.0
2024-07-12,500.0,32.5,33.8,33.8,33.8,33.8,1.3
2024-07-19,500.0,33.8,34.5,34.5,34.5,33.8,0.0
2024-08-01,1.0,33.8,36.99,36.99,36.99,33.8,0.0
2024-08-02,370.0,33.8,31.5,31.5,31.5,33.8,0.0
2024-08-06,80.0,33.8,33.5,33.5,33.5,33.8,0.0
2024-08-08,96.0,33.8,32.5,32.5,32.5,33.8,0.0
2024-08-09,2210.0,33.8,33.5,36.99,33.5,33.55,-0.25
2024-08-12,87.0,33.55,32.01,35.95,32.01,33.55,0.0
2024-08-13,1960.0,33.55,34.5,34.5,30.6,30.96,-2.59
2024-08-15,830.0,30.96,34.0,34.06,32.25,34.0,3.04
2024-08-16,990.0,34.0,33.5,33.5,30.61,30.87,-3.13
2024-08-19,2190.0,30.87,33.96,33.96,32.5,30.87,0.0
2024-08-20,501.0,30.87,32.4,32.4,32.0,32.4,1.53
2024-08-21,111.0,32.4,32.1,33.5,32.1,32.4,0.0
2024-08-22,605.0,32.4,35.64,35.64,32.1,35.58,3.18
2024-08-23,1100.0,35.58,34.0,34.0,34.0,34.0,-1.58
2024-08-26,53.0,34.0,37.26,37.26,33.01,34.0,0.0
2024-08-27,1.0,34.0,36.96,36.96,36.96,34.0,0.0
2024-08-28,1000.0,34.0,0.0,0.0,0.0,34.0,0.0
2024-08-29,1.0,34.0,36.5,36.5,36.5,34.0,0.0
2024-09-05,2.0,34.0,35.0,35.0,35.0,34.0,0.0
2024-09-09,2096.0,34.0,34.0,34.5,34.0,34.5,0.5
2024-09-12,1660.0,34.5,32.01,36.0,32.01,34.0,-0.5
2024-09-16,2502.0,34.0,32.5,33.0,32.5,33.0,1.0
2024-09-20,55.0,33.0,32.0,32.0,32.0,33.0,0.0
2024-09-30,600.0,33.0,36.0,36.0,35.0,35.83,2.83
2024-10-01,1000.0,35.83,38.0,38.0,38.0,38.0,2.17
2024-10-03,99.0,38.0,34.51,34.51,34.51,38.0,0.0
2024-10-04,110.0,38.0,34.5,35.88,34.5,38.0,0.0
2024-10-07,1800.0,38.0,35.0,36.9,34.55,35.81,-2.19
2024-10-09,100.0,35.81,0.0,0.0,0.0,35.81,0.0
2024-10-10,254.0,35.81,35.4,35.4,34.11,35.81,0.0
2024-10-14,6.0,35.81,33.01,33.01,33.01,35.81,0.0
2024-10-15,217.0,35.81,35.85,35.85,33.51,35.81,0.0
2024-10-16,20.0,35.81,35.0,35.0,34.59,35.81,0.0
2024-10-17,27.0,35.81,33.15,38.99,33.15,35.81,0.0
2024-10-18,86.0,33.81,36.99,36.99,36.99,33.81,0.0
2024-10-23,948.0,33.81,34.0,34.0,33.0,33.14,-0.67
2024-10-24,6000.0,33.14,32.16,32.16,29.85,30.21,-2.93
2024-10-25,500.0,30.21,30.01,30.01,30.0,30.01,-0.2
2024-10-28,4.0,30.01,30.0,30.5,30.0,30.01,0.0
2024-10-30,66.0,30.01,28.0,29.01,28.0,30.01,0.0
2024-10-31,530.0,30.01,31.96,32.5,31.0,31.76,1.75
2024-11-05,6.0,31.76,31.76,31.76,30.77,31.76,0.0
2024-11-08,143.0,31.76,31.76,31.76,31.76,31.76,0.0
2024-11-11,1200.0,31.76,30.01,30.5,29.11,30.05,-1.71
2024-11-13,10.0,30.05,29.0,29.0,29.0,30.05,0.0
2024-11-15,51.0,30.05,30.5,32.5,30.5,30.05,0.0
2024-11-18,5.0,30.05,32.0,32.0,32.0,30.05,0.0
2024-11-19,5.0,30.05,33.0,33.0,33.0,30.05,0.0
2024-11-20,3470.0,30.05,32.99,33.06,32.99,33.06,3.01
2024-11-21,1312.0,33.06,32.99,34.95,30.51,33.49,0.43
2024-11-22,1104.0,33.49,33.0,33.0,33.0,33.0,-0.49
2024-11-25,100.0,33.0,33.0,33.0,33.0,33.0,0.0
2024-11-26,61.0,33.0,31.07,33.5,31.0,33.0,0.0
2024-11-27,260.0,33.0,30.5,32.8,30.1,33.0,0.0
2024-12-03,4.0,33.0,30.34,30.34,30.34,33.0,0.0
2024-12-04,6000.0,33.0,33.0,34.5,32.94,34.0,1.0
2024-12-05,2200.0,34.0,34.65,35.75,34.65,34.72,0.72
2024-12-06,535.0,34.72,32.0,35.5,31.51,32.27,-2.45
2024-12-09,1254.0,32.27,33.02,33.02,33.0,33.0,0.73
2024-12-10,689.0,33.0,32.2,33.2,32.2,33.03,0.03
2024-12-11,2000.0,33.03,35.9,35.96,35.2,35.2,2.17
2024-12-13,500.0,35.2,34.5,34.5,34.5,34.5,-0.7
2024-12-16,252.0,34.5,34.5,35.99,34.5,34.5,0.0
2024-12-17,2763.0,34.5,32.52,36.89,32.52,34.5,0.0
2024-12-18,100.0,34.5,35.7,35.7,35.7,34.5,0.0
2024-12-19,3386.0,34.5,35.99,37.95,35.99,37.79,3.29
2024-12-20,3001.0,37.79,39.94,39.94,34.5,36.67,-1.12
2024-12-23,3.0,36.67,37.65,37.65,36.99,36.67,0.0
2024-12-24,310.0,36.67,37.98,37.98,35.77,36.67,0.0
2024-12-26,216.0,36.67,40.3,40.3,37.98,36.67,0.0
2024-12-27,3497.0,36.67,33.05,38.0,33.04,33.23,-3.44
2024-12-30,110.0,33.23,35.99,36.0,33.5,33.23,0.0
2024-12-31,3230.0,33.23,36.5,36.5,32.25,32.78,-0.45
2025-01-01,916.0,32.78,33.03,35.7,33.03,35.0,2.22
2025-01-06,1810.0,35.0,35.99,35.99,33.53,33.94,-1.06
2025-01-07,1700.0,33.94,33.5,34.9,33.12,34.0,0.06
2025-01-08,261.0,34.0,32.6,33.99,32.12,34.0,0.0
2025-01-09,1000.0,34.0,33.99,33.99,33.99,34.0,0.0
2025-01-10,50.0,34.0,33.0,33.0,33.0,34.0,0.0
2025-01-13,1.0,34.0,35.0,35.0,35.0,34.0,0.0
2025-01-14,51.0,34.0,33.94,33.95,33.94,34.0,0.0
2025-01-15,5618.0,34.0,30.65,37.3,30.65,32.5,-1.5
2025-01-16,1.0,32.5,34.69,34.69,34.69,32.5,0.0
2025-01-21,100.0,32.5,33.5,33.5,33.5,32.5,0.0
2025-01-24,5834.0,32.5,32.0,35.75,32.0,35.64,3.14
2025-01-27,1121.0,35.64,38.0,38.0,32.51,37.82,2.18
2025-01-28,1817.0,37.82,35.6,39.9,34.05,36.24,-1.58
2025-01-31,730.0,36.24,33.11,38.0,33.11,34.84,-1.4
2025-02-03,1715.0,34.84,38.29,38.3,31.52,31.52,-3.32
2025-02-04,2400.0,31.52,34.65,34.67,33.9,34.07,2.55
2025-02-06,3902.0,34.07,32.0,34.99,32.0,32.01,-2.06
2025-02-07,132.0,32.01,32.01,35.2,32.01,32.01,0.0
2025-02-10,1948.0,32.01,35.21,35.21,34.88,35.03,3.02
2025-02-11,463.0,35.03,35.5,38.25,35.5,35.03,0.0
2025-02-13,1531.0,35.03,31.6,38.0,31.6,33.01,-2.02
2025-02-17,83.0,33.01,32.0,32.0,32.0,33.01,0.0
2025-02-18,1008.0,33.01,36.0,36.0,34.5,35.99,2.98
2025-02-19,3.0,35.99,34.5,34.5,34.5,35.99,0.0
2025-02-20,100.0,35.99,34.99,35.0,34.99,35.99,0.0
2025-02-21,8.0,35.99,39.5,39.5,35.1,35.99,0.0
2025-02-24,754.0,35.99,35.0,35.91,35.0,35.23,-0.76
2025-02-25,7.0,35.23,36.75,36.75,36.75,35.23,0.0
2025-02-26,2590.0,35.23,35.6,35.6,33.5,33.56,-1.67
2025-02-27,200.0,33.56,35.8,35.9,35.8,33.56,0.0
2025-02-28,18715.0,33.56,35.87,36.92,35.0,36.0,2.44
2025-03-03,4960.0,36.0,36.49,36.49,33.05,33.59,-2.41
2025-03-04,400.0,33.59,32.5,34.15,32.1,33.59,0.0
2025-03-05,300.0,33.59,34.99,35.4,34.99,33.59,0.0
2025-03-11,500.0,33.59,34.15,34.15,34.15,34.15,0.56
2025-03-12,1600.0,34.15,34.9,35.9,34.0,35.5,1.35
2025-03-13,104.0,35.5,36.75,36.75,36.7,35.5,0.0
2025-03-14,1256.0,35.5,33.5,34.88,32.05,32.81,-2.69
2025-03-17,250.0,32.81,35.0,35.95,35.0,32.81,0.0
2025-03-18,1224.0,32.81,35.98,36.09,34.0,35.97,3.16
2025-03-19,881.0,35.97,35.0,36.88,35.0,36.38,0.41
2025-03-20,3100.0,36.38,34.0,34.0,32.75,32.84,-3.54
2025-03-21,2500.0,32.84,33.11,34.88,33.02,34.72,1.88
2025-03-24,1572.0,34.72,34.88,36.0,31.26,35.59,0.87
2025-03-25,1246.0,35.59,33.3,34.5,32.51,32.68,-2.91
2025-03-26,127.0,32.68,34.5,34.5,34.5,32.68,0.0
2025-03-27,1495.0,32.68,33.0,35.95,33.0,35.94,3.26
2025-04-03,7132.0,35.94,33.01,36.9,33.01,35.17,-0.77
2025-04-04,700.0,35.17,35.5,35.5,33.5,33.93,-1.24
2025-04-07,610.0,33.93,35.4,36.9,30.6,34.66,0.73
2025-04-08,403.0,34.66,33.51,35.95,33.51,34.66,0.0
2025-04-10,12727.0,34.66,32.16,33.8,32.05,33.07,-1.59
2025-04-14,4973.0,33.07,34.0,34.0,32.06,33.0,-0.07
2025-04-15,1604.0,33.0,32.99,33.5,32.99,33.5,0.5
2025-04-17,1700.0,33.5,32.99,33.5,32.99,32.99,-0.51
2025-04-18,647.0,32.99,30.5,33.5,30.5,32.11,-0.88
2025-04-21,1511.0,32.11,34.95,34.95,32.01,32.19,0.08
2025-04-22,5500.0,32.19,31.71,31.71,29.15,29.93,-2.26
2025-04-23,5410.0,29.93,30.02,30.02,27.05,27.05,-2.88
2025-04-24,2740.0,27.05,29.76,29.76,29.76,29.76,2.71
2025-04-25,550.0,29.76,31.95,32.25,31.95,29.76,0.0
2025-04-29,151.0,29.76,27.12,30.0,27.12,29.76,0.0
2025-05-05,11020.0,29.76,30.2,32.74,30.2,32.37,2.61
2025-05-06,17276.0,32.37,35.61,35.61,29.15,32.5,0.13
2025-05-07,1415.0,32.5,29.66,32.49,29.66,30.4,-2.1
2025-05-08,200.0,30.4,27.39,27.39,27.39,30.4,0.0
2025-05-09,1.0,30.4,0.0,0.0,0.0,30.4,0.0
2025-05-12,2977.0,30.4,31.0,33.44,31.0,33.41,3.01
2025-05-13,175.0,33.41,32.0,33.5,32.0,33.41,0.0
2025-05-14,1.0,33.41,33.3,33.3,33.3,33.41,0.0
2025-05-15,609.0,33.41,33.35,34.0,33.35,33.39,-0.02
2025-05-16,2012.0,33.39,32.5,32.5,32.3,32.32,-1.07
2025-05-19,178.0,32.32,32.31,32.31,32.3,32.32,0.0
2025-05-20,3211.0,32.32,32.3,32.3,32.3,32.3,-0.02
2025-05-21,1790.0,32.3,32.0,32.0,30.12,30.12,-2.18
2025-05-26,4100.0,30.12,30.99,31.0,30.99,30.12,0.0
2025-05-27,652.0,30.12,32.49,32.74,31.6,32.25,2.13
2025-05-29,9970.0,32.25,32.99,33.99,32.99,33.02,0.77
2025-05-30,10821.0,33.02,34.99,36.32,34.6,36.32,3.3
2025-06-02,8658.0,36.32,39.49,39.95,38.01,39.95,3.63
2025-06-03,16893.0,39.95,43.95,43.95,41.33,43.95,4.0
2025-06-04,11947.0,43.95,48.35,48.35,48.35,48.35,4.4
2025-06-05,37032.0,48.35,53.19,53.19,50.51,53.19,4.84
2025-06-10,16841.0,53.19,58.51,58.51,58.51,58.51,5.32
2025-06-11,4571.0,58.51,64.36,64.36,64.36,64.36,5.85
2025-06-12,5374.0,64.36,70.8,70.8,70.8,70.8,6.44
2025-06-13,72851.0,70.8,77.85,77.88,66.05,77.88,7.08
2025-06-16,38962.0,77.88,85.35,85.67,75.0,85.67,7.79
2025-06-17,58776.0,85.67,91.0,92.0,77.1,77.1,-8.57
2025-06-18,3464.0,77.1,69.39,69.39,69.39,69.39,-7.71
2025-06-19,44671.0,69.39,62.62,69.35,62.45,62.45,-6.94
2025-06-20,21952.0,62.45,61.5,61.5,56.21,56.21,-6.24
2025-06-23,11785.0,56.21,56.21,56.21,50.59,50.7,-5.51
2025-06-24,13111.0,50.7,54.5,55.4,52.0,54.68,3.98
2025-06-25,10821.0,54.68,56.24,58.5,54.7,56.2,1.52
2025-06-26,22608.0,56.2,57.0,59.9,53.99,54.08,-2.12
2025-06-27,17259.0,54.08,54.08,57.0,50.1,51.35,-2.73
2025-06-30,36121.0,51.35,52.0,56.49,52.0,56.49,5.14
2025-07-01,41563.0,56.49,57.5,62.14,57.5,62.14,5.65
2025-07-02,24683.0,62.14,67.0,68.35,67.0,68.35,6.21
2025-07-03,22632.0,68.35,75.15,75.19,74.9,75.19,6.84
2025-07-04,37502.0,75.19,78.98,81.0,67.67,68.05,-7.14
2025-07-07,15089.0,68.05,68.0,70.0,63.0,65.5,-2.55
2025-07-08,17300.0,65.5,65.7,65.7,60.25,64.03,-1.47
2025-07-09,2534.0,64.03,64.03,65.0,59.0,61.91,-2.12
2025-07-10,41466.0,61.91,61.91,68.1,61.91,68.1,6.19
2025-07-11,9656.0,68.1,70.0,70.0,65.05,66.6,-1.5
2025-07-14,15613.0,66.6,62.2,70.0,62.2,64.5,-2.1
2025-07-15,5845.0,64.5,64.15,64.18,62.5,62.91,-1.59
2025-07-16,8932.0,62.91,62.5,63.9,61.8,61.96,-0.95
2025-07-17,12163.0,61.96,61.96,63.0,61.0,62.48,0.52
2025-07-18,2051.0,62.48,62.0,64.5,60.01,61.07,-1.41
2025-07-21,2829.0,61.07,61.55,63.0,59.0,61.53,0.46
2025-07-22,136.0,61.53,61.0,63.0,61.0,61.53,0.0
2025-07-23,2011.0,61.53,61.5,61.5,61.3,61.31,-0.22
2025-07-24,2765.0,61.31,62.0,64.9,61.55,61.55,0.24
2025-07-25,1725.0,61.55,62.0,66.0,62.0,62.5,0.95
2025-07-29,75299.0,68.75,75.63,75.63,74.0,75.63,6.88
2025-07-30,130205.0,75.63,83.19,83.19,79.01,83.19,7.56
2025-07-31,151369.0,83.19,83.0,84.9,74.87,74.87,-8.32
2025-08-01,32099.0,74.87,70.27,74.49,68.0,71.05,-3.82
2025-08-04,23756.0,71.05,73.0,75.5,69.9,73.6,2.55
2025-08-05,185110.0,73.6,74.0,80.96,70.1,80.95,7.35
2025-08-06,521990.0,80.95,83.0,89.05,81.0,88.42,7.47
2025-08-07,309443.0,88.42,90.3,97.26,89.38,96.71,8.29
2025-08-08,77338.0,96.71,98.0,102.9,90.05,92.93,-3.78
2025-08-11,48364.0,92.93,93.93,95.0,84.0,84.82,-8.11
2025-08-12,81819.0,84.82,80.99,93.3,80.16,93.3,8.48
2025-08-13,90992.0,93.3,102.0,102.63,90.16,97.78,4.48
2025-08-15,40500.0,97.78,97.86,97.86,89.0,90.74,-7.04
2025-08-18,52008.0,90.74,95.95,95.95,81.67,82.86,-7.88
2025-08-19,18420.0,82.86,84.0,87.0,83.1,84.56,1.7
2025-08-20,24468.0,84.56,85.0,87.98,77.17,83.1,-1.46
2025-08-21,26790.0,83.1,85.0,85.0,78.0,78.43,-4.67
2025-08-22,11171.0,78.43,79.99,82.0,78.0,78.92,0.49
2025-08-25,5289.0,78.92,79.99,80.4,77.51,79.9,0.98
2025-08-26,21477.0,79.9,81.0,81.0,72.16,77.64,-2.26
2025-08-28,7162.0,75.54,76.0,81.0,75.18,77.24,1.7
2025-08-29,13326.0,77.24,77.2,77.2,71.16,75.31,-1.93
2025-09-01,412.0,75.31,75.31,77.48,74.18,75.66,0.35
2025-09-02,4529.0,75.66,77.0,77.0,73.2,75.93,0.27
2025-09-03,3583.0,75.93,75.01,76.94,74.01,74.68,-1.25
2025-09-04,1410.0,74.68,74.9,77.0,74.5,74.54,-0.14
2025-09-05,6596.0,74.54,75.0,75.99,73.01,74.15,-0.39
2025-09-08,3785.0,74.15,74.99,75.5,73.15,73.18,-0.97
2025-09-09,3322.0,73.18,74.0,74.9,73.18,74.25,1.07
2025-09-10,2017.0,74.25,74.01,74.5,73.32,74.19,-0.06
