Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4000.0,17.34,18.64,18.64,18.64,18.64,1.3
2024-01-02,3500.0,18.64,20.04,20.04,20.04,20.04,1.4
2024-01-03,500.0,20.04,21.54,21.54,21.54,21.54,1.5
2024-01-04,1000.0,21.54,23.16,23.16,23.16,23.16,1.62
2024-01-05,1500.0,23.16,24.9,24.9,24.9,24.9,1.74
2024-01-08,11000.0,24.9,26.77,26.77,26.77,26.77,1.87
2024-01-09,13500.0,26.77,28.78,28.78,28.69,28.78,2.01
2024-01-10,34500.0,28.78,30.94,30.94,30.94,30.94,2.16
2024-01-11,1000.0,30.94,33.26,33.26,33.26,33.26,2.32
2024-01-12,3000.0,33.26,35.75,35.75,35.75,35.75,2.49
2024-01-15,38500.0,35.75,38.4,38.4,33.07,34.08,-1.67
2024-01-16,14000.0,34.08,32.3,32.99,31.52,31.97,-2.11
2024-01-17,11500.0,29.97,30.0,32.22,27.72,32.22,2.25
2024-01-18,6500.0,32.22,34.64,34.64,34.64,34.64,2.42
2024-01-19,6500.0,34.64,37.24,37.24,37.24,37.24,2.6
2024-01-22,3500.0,37.24,39.99,40.03,39.99,40.03,2.79
2024-01-23,29000.0,40.03,43.03,43.03,41.0,43.03,3.0
2024-01-24,8500.0,43.03,46.0,46.26,46.0,46.26,3.23
2024-01-25,2500.0,46.26,49.73,49.73,49.73,49.73,3.47
2024-01-26,7000.0,49.73,53.39,53.4,46.0,46.0,-3.73
2024-01-29,500.0,46.0,47.0,47.0,47.0,47.0,1.0
2024-01-30,5500.0,47.0,50.49,50.53,47.5,50.53,3.53
2024-01-31,2500.0,50.53,50.53,50.53,46.75,46.75,-3.78
2024-02-01,2000.0,46.75,46.0,46.0,44.0,45.5,-1.25
2024-02-02,5500.0,45.5,48.91,48.91,44.01,45.1,-0.4
2024-02-07,5500.0,44.3,42.0,42.0,40.98,41.0,-3.3
2024-02-09,500.0,41.0,42.0,42.0,42.0,42.0,1.0
2024-02-12,500.0,42.0,38.85,38.85,38.85,38.85,-3.15
2024-02-13,4500.0,38.85,39.0,39.0,36.0,37.0,-1.85
2024-02-14,1000.0,37.0,34.28,39.78,34.28,39.78,2.78
2024-02-15,500.0,39.78,36.8,36.8,36.8,36.8,-2.98
2024-02-16,3000.0,36.8,39.4,39.4,36.4,36.4,-0.4
2024-02-19,3000.0,36.4,37.99,37.99,33.85,33.88,-2.52
2024-02-21,6500.0,33.88,36.3,36.3,32.5,32.6,-1.28
2024-02-22,1000.0,32.6,31.0,33.0,31.0,33.0,0.4
2024-02-23,3000.0,33.0,34.99,34.99,31.45,31.45,-1.55
2024-02-28,500.0,31.45,33.79,33.79,33.79,33.79,2.34
2024-02-29,3000.0,33.79,33.78,33.78,31.51,31.51,-2.28
2024-03-01,3500.0,31.51,33.76,33.76,30.61,30.92,-0.59
2024-03-04,3500.0,30.92,33.2,33.2,31.27,31.3,0.38
2024-03-05,500.0,31.3,32.0,32.0,32.0,32.0,0.7
2024-03-06,6000.0,32.0,34.39,34.4,30.8,34.4,2.4
2024-03-07,500.0,34.4,32.0,32.0,32.0,32.0,-2.4
2024-03-08,1000.0,32.0,31.15,33.0,31.15,33.0,1.0
2024-03-11,500.0,33.0,31.35,31.35,31.35,31.35,-1.65
2024-03-12,500.0,31.35,32.0,32.0,32.0,32.0,0.65
2024-03-14,500.0,32.0,31.0,31.0,31.0,31.0,1.0
2024-03-15,3000.0,31.0,32.8,32.8,29.05,29.05,-1.95
2024-03-18,1000.0,29.05,29.6,29.6,29.6,29.6,0.55
2024-03-19,2500.0,29.6,31.5,31.69,31.5,31.6,2.0
2024-03-20,3000.0,31.6,32.98,32.98,30.52,30.52,-1.08
2024-03-22,1000.0,30.52,30.5,30.5,30.5,30.5,-0.02
2024-03-25,3500.0,30.5,32.0,32.0,30.51,31.0,0.5
2024-03-26,500.0,31.0,32.95,32.95,32.95,32.95,1.95
