Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3000.0,10.59,9.71,10.94,9.7,10.9,0.31
2024-01-02,55000.0,10.9,10.95,11.0,10.72,10.99,0.09
2024-01-03,500.0,10.99,10.17,10.17,10.17,10.17,-0.82
2024-01-04,4500.0,10.17,10.95,10.98,10.95,10.97,0.8
2024-01-08,5000.0,10.97,11.0,11.0,11.0,11.0,0.03
2024-01-12,29500.0,11.0,10.11,10.25,10.0,10.0,1.0
2024-01-16,11000.0,10.0,10.08,10.57,10.08,10.27,0.27
2024-01-17,13000.0,10.27,10.26,10.6,10.26,10.55,0.28
2024-01-19,1500.0,10.55,10.88,10.88,10.88,10.88,0.33
2024-01-22,5000.0,10.88,9.95,9.95,9.88,9.88,1.0
2024-01-23,25500.0,9.88,9.1,10.41,9.0,10.1,0.22
2024-01-24,500.0,10.1,9.53,9.53,9.53,9.53,-0.57
2024-01-25,12000.0,9.53,9.5,10.41,9.5,10.35,0.82
2024-01-26,1500.0,10.35,9.51,10.34,9.5,9.78,-0.57
2024-01-29,5000.0,9.78,10.4,10.4,10.4,10.4,0.62
2024-01-30,4000.0,10.4,10.4,10.4,10.4,10.4,0.0
2024-01-31,3000.0,10.4,10.87,10.87,10.85,10.85,0.45
2024-02-02,2500.0,10.85,11.0,11.0,10.8,10.8,-0.05
2024-02-07,13500.0,10.8,10.11,10.5,10.11,10.5,-0.3
2024-02-12,20000.0,10.5,11.0,11.0,10.6,10.6,0.1
2024-02-13,11000.0,10.6,10.6,10.9,10.6,10.9,0.3
2024-02-14,5000.0,10.9,10.99,11.0,10.99,11.0,0.1
2024-02-15,37000.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-02-20,10000.0,11.0,10.6,10.6,10.6,10.6,-0.4
2024-02-21,10000.0,10.6,10.1,10.1,10.1,10.1,-0.5
2024-02-22,10000.0,10.1,10.11,10.11,10.0,10.06,-0.04
2024-02-29,21500.0,10.06,10.06,11.0,9.07,10.66,0.6
2024-03-01,1000.0,10.66,9.7,9.7,9.7,9.7,-0.96
2024-03-04,1000.0,9.7,9.7,9.7,9.7,9.7,0.0
2024-03-05,5000.0,9.7,10.0,10.0,10.0,10.0,0.3
2024-03-06,2000.0,10.0,9.5,9.5,9.5,9.5,-0.5
2024-03-07,12500.0,9.5,10.0,10.0,9.6,10.0,0.5
2024-03-08,500.0,10.0,10.0,10.0,10.0,10.0,0.0
2024-03-13,500.0,10.0,10.0,10.0,10.0,10.0,0.0
