Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,44000.0,35.45,35.6,35.9,34.51,35.9,0.45
2024-01-02,6500.0,35.9,36.49,36.49,35.8,36.19,0.29
2024-01-03,14500.0,36.19,34.04,36.1,34.04,36.0,-0.19
2024-01-04,5500.0,36.0,36.0,36.0,35.0,36.0,0.0
2024-01-05,33000.0,36.0,35.5,36.0,34.0,35.89,-0.11
2024-01-08,43000.0,35.89,34.52,36.1,34.51,35.99,0.1
2024-01-09,14000.0,35.99,36.0,36.0,35.99,36.0,0.01
2024-01-10,88500.0,36.0,35.99,37.0,35.99,36.5,0.5
2024-01-11,87000.0,36.5,35.8,36.78,35.8,36.0,-0.5
2024-01-12,16000.0,36.0,36.48,36.89,36.0,36.16,0.16
2024-01-15,14500.0,36.16,36.6,36.6,36.0,36.29,0.13
2024-01-16,5000.0,36.29,36.0,36.2,36.0,36.04,-0.25
2024-01-17,3500.0,36.04,36.21,36.22,36.21,36.22,0.18
2024-01-18,15500.0,36.22,36.22,36.79,36.01,36.01,-0.21
2024-01-19,5000.0,36.01,37.44,37.44,36.99,36.99,0.98
2024-01-22,8000.0,36.99,35.66,36.43,35.66,36.38,-0.61
2024-01-23,20500.0,36.38,36.2,37.0,36.2,36.25,-0.13
2024-01-24,6500.0,36.25,36.11,36.84,36.11,36.84,0.59
2024-01-25,10500.0,36.84,36.9,37.0,36.8,36.8,-0.04
2024-01-26,10500.0,36.8,37.0,37.0,36.98,36.99,0.19
2024-01-29,17000.0,36.99,37.0,37.0,36.56,36.56,-0.43
2024-01-30,6000.0,36.56,36.01,36.01,35.21,35.21,-1.35
2024-01-31,93500.0,35.21,37.1,37.1,35.5,36.24,1.03
2024-02-01,11000.0,36.24,36.2,37.0,36.2,37.0,0.76
2024-02-02,20000.0,37.0,36.5,37.44,36.5,37.01,0.01
2024-02-06,13500.0,37.01,36.9,37.3,36.7,36.8,-0.21
2024-02-07,5000.0,36.8,36.27,37.25,36.27,37.2,0.4
2024-02-09,2500.0,37.2,36.9,37.0,36.9,36.97,-0.23
2024-02-12,4500.0,36.97,37.0,37.0,36.0,36.0,-0.97
2024-02-13,40000.0,36.0,36.0,36.65,35.29,36.2,0.2
2024-02-14,2500.0,36.2,37.0,37.5,37.0,37.0,0.8
2024-02-15,39000.0,37.0,36.95,37.5,36.56,36.56,-0.44
2024-02-16,52500.0,36.56,36.52,37.5,36.11,37.19,0.63
2024-02-19,61500.0,37.19,35.99,37.99,35.99,37.01,-0.18
2024-02-20,44500.0,37.01,37.0,37.69,36.98,37.1,0.09
2024-02-21,16000.0,37.1,37.85,37.9,37.0,37.35,0.25
2024-02-22,22500.0,37.35,37.0,37.5,37.0,37.36,0.01
2024-02-23,153000.0,37.36,37.9,38.5,37.11,38.01,0.65
2024-02-26,246000.0,38.01,38.1,38.48,37.67,37.74,-0.27
2024-02-27,70500.0,37.74,37.95,38.0,37.5,37.55,-0.19
2024-02-28,147000.0,37.55,37.99,38.41,37.0,37.11,-0.44
2024-02-29,382000.0,37.11,37.25,38.0,37.0,37.1,-0.01
2024-03-01,13500.0,37.1,37.67,37.94,37.42,37.75,0.65
2024-03-04,48500.0,37.75,37.99,37.99,37.25,37.66,-0.09
2024-03-05,10500.0,37.66,37.52,37.74,37.5,37.74,0.08
2024-03-06,153500.0,37.74,37.99,38.1,37.56,38.0,0.26
2024-03-07,235000.0,38.0,38.0,39.69,37.85,38.98,0.98
2024-03-08,74500.0,38.98,39.0,39.5,39.0,39.0,0.02
2024-03-11,115000.0,39.0,39.4,39.4,38.0,38.52,-0.48
2024-03-12,135500.0,38.52,38.5,38.5,38.0,38.37,-0.15
2024-03-13,90000.0,38.37,38.15,38.5,38.1,38.32,-0.05
2024-03-14,377000.0,38.32,38.5,38.7,38.21,38.52,0.2
2024-03-15,33500.0,36.02,34.03,35.75,34.02,35.3,-0.72
2024-03-18,14500.0,35.3,34.5,35.0,34.5,34.95,-0.35
2024-03-19,17000.0,34.95,35.01,35.96,35.0,35.95,1.0
2024-03-20,38000.0,35.95,35.99,36.1,34.5,34.65,-1.3
2024-03-21,64500.0,34.65,35.92,36.2,34.69,36.06,1.41
2024-03-22,12000.0,36.06,36.06,36.06,35.94,35.94,-0.12
2024-03-25,122500.0,35.94,37.99,38.64,37.5,37.5,1.56
2024-03-26,67500.0,37.5,37.01,37.25,35.4,36.09,-1.41
2024-03-27,127500.0,36.09,36.49,38.75,36.0,38.63,2.54
2024-03-28,90500.0,38.63,39.2,41.53,38.5,41.51,2.88
2024-03-29,16000.0,41.51,42.0,42.0,40.0,40.55,-0.96
2024-04-01,14500.0,40.55,42.0,42.7,41.0,41.3,0.75
2024-04-02,60000.0,41.3,42.0,43.99,42.0,43.99,2.69
2024-04-03,105000.0,43.99,43.99,45.5,42.5,43.21,-0.78
2024-04-04,30000.0,43.21,43.1,45.95,43.1,45.38,2.17
2024-04-08,180000.0,45.38,45.6,48.5,45.6,48.45,3.07
2024-04-09,280500.0,48.45,49.18,52.08,49.0,51.93,3.48
2024-04-15,239500.0,51.93,53.0,55.82,52.5,55.81,3.88
2024-04-16,194000.0,55.81,56.5,59.9,56.16,57.17,1.36
2024-04-17,50000.0,57.17,57.19,57.19,55.0,55.22,-1.95
2024-04-18,191000.0,55.22,56.85,57.0,53.8,56.0,0.78
2024-04-19,74000.0,56.0,56.0,57.0,54.0,55.15,-0.85
2024-04-22,29000.0,55.15,54.5,55.5,54.5,55.25,0.1
2024-04-23,89500.0,55.25,54.12,55.0,52.6,53.55,-1.7
2024-04-24,47500.0,53.55,54.85,55.99,53.5,54.71,1.16
2024-04-25,42000.0,54.71,56.35,56.35,54.11,54.89,0.18
2024-04-26,49000.0,54.89,54.25,54.89,53.51,54.0,-0.89
2024-04-29,99000.0,54.0,50.21,54.85,49.95,50.88,-3.12
2024-04-30,39500.0,50.88,50.88,51.48,50.6,51.2,0.32
2024-05-02,31000.0,51.2,51.36,54.4,48.0,50.37,-0.83
2024-05-03,17000.0,50.37,50.0,50.25,49.5,49.5,-0.87
2024-05-06,22500.0,49.5,50.0,50.5,48.75,49.36,-0.14
2024-05-07,23500.0,49.36,49.5,50.0,49.23,49.8,0.44
