Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,200.0,270.0,287.25,287.25,252.53,252.53,-17.47
2024-01-03,600.0,252.53,268.99,270.0,268.8,270.0,17.47
2024-01-04,300.0,270.0,274.98,274.99,260.01,274.99,4.99
2024-01-10,100.0,274.99,260.01,260.01,260.01,260.01,-14.98
2024-01-11,200.0,260.01,279.0,279.0,250.55,250.55,-9.46
2024-01-16,200.0,250.55,265.0,265.0,260.01,260.01,9.46
2024-01-17,300.0,260.01,278.0,278.0,242.0,260.0,-0.01
2024-01-25,300.0,260.0,279.0,279.0,245.1,261.55,1.55
2024-01-31,500.0,261.55,250.01,260.0,250.01,260.0,-1.55
2024-02-07,300.0,260.0,279.4,279.4,250.01,250.1,-9.9
2024-02-12,700.0,250.1,267.95,267.95,240.21,240.74,-9.36
2024-02-19,400.0,240.74,258.78,258.78,226.0,258.78,18.04
2024-02-21,300.0,258.78,274.85,274.85,240.55,257.7,-1.08
2024-02-22,100.0,257.7,257.7,257.7,257.7,257.7,0.0
2024-02-27,300.0,257.7,276.89,276.89,242.05,242.05,-15.65
2024-02-28,600.0,242.05,240.0,240.22,240.0,240.07,-1.98
2024-02-29,200.0,240.07,240.0,258.08,240.0,258.08,18.01
2024-03-04,300.0,258.08,277.24,277.24,240.05,240.06,-18.02
2024-03-07,1000.0,240.06,257.99,258.06,238.0,239.03,-1.03
2024-03-08,400.0,239.03,256.96,256.96,250.0,250.0,10.97
2024-03-11,700.0,250.0,267.99,267.99,247.05,266.0,16.0
2024-03-14,800.0,266.0,261.99,261.99,246.25,261.0,5.0
2024-03-19,600.0,261.0,279.9,279.9,260.7,260.7,-0.3
2024-03-22,300.0,260.7,279.0,279.0,243.0,243.25,-17.45
2024-03-27,600.0,243.25,261.49,261.49,246.2,246.2,2.95
2024-03-28,200.0,246.2,246.0,246.0,246.0,246.0,-0.2
2024-03-29,200.0,246.0,245.0,245.0,245.0,245.0,1.0
2024-04-01,800.0,245.0,263.38,263.38,246.03,255.19,10.19
2024-04-04,1100.0,255.19,270.69,274.33,250.01,250.01,-5.18
2024-04-15,100.0,250.01,251.01,251.01,251.01,251.01,1.0
2024-04-19,100.0,251.01,243.0,243.0,243.0,251.01,0.0
2024-04-22,303.0,251.01,268.99,269.0,244.5,244.75,-6.26
2024-04-23,3.0,244.75,245.0,262.0,245.0,244.75,0.0
2024-04-29,401.0,244.75,263.11,263.11,242.05,255.0,10.25
2024-05-06,2.0,255.0,0.0,0.0,0.0,255.0,0.0
2024-05-08,2.0,255.0,256.0,256.0,256.0,255.0,0.0
2024-05-10,194.0,255.0,255.0,255.5,255.0,255.5,0.5
2024-05-14,300.0,255.5,268.99,268.99,255.12,255.12,-0.38
2024-05-15,48.0,255.12,255.61,255.61,247.0,255.12,0.0
