Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6165602.0,51.48,51.7,55.34,51.7,55.34,3.86
2024-01-02,7855265.0,55.34,56.3,56.5,54.0,54.49,-0.85
2024-01-03,6482503.0,54.49,55.0,56.15,54.1,54.88,0.39
2024-01-04,3707266.0,54.88,54.94,55.1,53.6,54.89,0.01
2024-01-05,21496822.0,54.89,55.6,58.99,55.6,58.07,3.18
2024-01-08,10136722.0,58.07,58.31,60.05,57.89,58.38,0.31
2024-01-09,8387662.0,58.38,59.5,59.5,56.4,57.34,-1.04
2024-01-10,3643710.0,57.34,57.7,57.99,56.51,56.73,-0.61
2024-01-11,3545340.0,56.73,56.8,57.7,56.5,56.95,0.22
2024-01-12,3892860.0,56.95,57.39,57.5,55.4,55.72,-1.23
2024-01-15,2931440.0,55.72,56.0,56.3,54.5,54.69,-1.03
2024-01-16,4718826.0,54.69,54.3,54.75,52.11,53.61,-1.08
2024-01-17,2330693.0,53.61,53.6,53.9,52.1,52.46,-1.15
2024-01-18,54.0,53.5,53.0,53.05,52.01,52.99,-0.51
2024-01-19,3226879.0,51.89,52.29,52.84,50.85,51.11,-0.78
2024-01-22,2553.0,52.23,52.79,53.6,51.75,53.29,1.06
2024-01-23,3270.0,53.29,53.2,54.7,52.5,54.34,1.05
2024-01-24,3689064.0,53.28,53.5,53.9,53.0,53.39,0.11
2024-01-25,2574437.0,53.39,53.8,53.8,51.59,51.92,-1.47
2024-01-26,4478.0,51.94,52.0,52.03,50.98,51.23,-0.71
2024-01-29,2594371.0,51.32,51.0,51.24,48.6,49.04,-2.28
2024-01-30,3786562.0,49.04,49.0,49.97,46.2,46.85,-2.19
2024-01-31,3248894.0,46.85,47.0,49.25,47.0,48.43,1.58
2024-02-01,2856441.0,48.43,48.79,49.9,47.3,49.66,1.23
2024-02-02,5639794.0,49.66,50.5,51.7,50.1,50.84,1.18
2024-02-06,4271438.0,50.84,50.79,52.19,50.52,51.57,0.73
2024-02-07,4077305.0,51.57,52.1,53.1,51.9,52.05,0.48
2024-02-09,2885617.0,52.05,50.6,50.89,48.5,49.97,-2.08
2024-02-12,4853981.0,49.97,49.83,49.83,46.22,46.34,-3.63
2024-02-13,7548403.0,46.34,46.0,48.25,43.03,46.86,0.52
2024-02-14,4405467.0,46.86,47.51,48.9,47.51,48.4,1.54
2024-02-15,1.0,49.89,48.5,48.5,48.5,48.5,-1.39
2024-02-16,3467651.0,47.19,46.05,47.5,44.5,44.82,-2.37
2024-02-19,3344553.0,44.82,44.1,46.48,43.25,46.16,1.34
2024-02-20,2334353.0,46.16,47.88,49.62,47.51,49.62,3.46
2024-02-21,17622141.0,49.62,53.34,53.34,50.1,53.34,3.72
2024-02-22,7174717.0,53.34,53.89,54.15,51.4,52.0,-1.34
2024-02-23,6989833.0,52.0,52.0,53.59,51.25,52.85,0.85
2024-02-26,5030314.0,52.85,53.06,53.9,52.65,52.86,0.01
2024-02-27,2200920.0,52.86,53.09,53.09,51.8,52.05,-0.81
2024-02-28,2084336.0,52.05,51.51,52.88,50.51,51.55,-0.5
2024-02-29,2295383.0,51.55,51.6,52.79,51.6,51.82,0.27
2024-03-01,5357290.0,51.82,51.2,52.87,49.5,51.91,0.09
2024-03-04,2615059.0,51.91,53.0,53.0,51.53,51.8,-0.11
2024-03-05,3414414.0,51.8,52.0,52.0,49.75,50.47,-1.33
2024-03-06,4878510.0,50.47,50.6,52.32,50.01,51.48,1.01
2024-03-07,2861064.0,51.48,51.48,52.15,51.0,51.67,0.19
2024-03-08,6766747.0,51.67,52.06,53.33,51.56,53.05,1.38
2024-03-11,13478451.0,53.05,53.74,56.68,53.25,54.89,1.84
2024-03-12,3779892.0,54.89,55.4,55.4,52.11,52.49,-2.4
2024-03-13,3422307.0,52.49,52.5,53.2,50.5,50.97,-1.52
2024-03-14,4408514.0,50.97,52.5,53.75,51.9,53.51,2.54
2024-03-15,2078993.0,53.51,53.8,53.99,52.76,52.91,-0.6
2024-03-18,2086770.0,52.91,52.95,53.5,51.91,53.1,0.19
2024-03-19,3086296.0,53.1,53.21,54.25,52.85,53.02,-0.08
2024-03-20,1330067.0,53.02,53.6,53.85,52.5,52.71,-0.31
2024-03-21,8723170.0,52.71,53.05,54.7,52.44,52.79,0.08
2024-03-22,30.0,54.02,53.5,53.5,53.25,53.46,-0.56
2024-03-25,2290.0,53.46,54.19,56.3,52.53,55.78,2.32
2024-03-26,3941911.0,54.72,54.84,54.9,53.4,53.63,-1.09
2024-03-27,2236912.0,53.63,53.8,53.8,52.76,52.87,-0.76
2024-03-28,2352639.0,52.87,53.01,53.48,52.78,52.98,0.11
2024-03-29,2199789.0,52.98,53.0,53.39,52.11,52.3,-0.68
2024-04-01,939400.0,52.3,52.11,52.55,51.63,51.74,-0.56
2024-04-02,2573229.0,51.74,51.75,53.5,51.75,52.5,0.76
2024-04-03,6455050.0,52.5,52.99,54.85,52.9,53.73,1.23
2024-04-04,15793227.0,53.73,57.76,57.76,56.4,57.76,4.03
2024-04-08,21100371.0,57.76,60.99,62.09,58.0,61.86,4.1
2024-04-09,2.0,62.78,62.0,62.0,62.0,62.0,-0.78
2024-04-15,13178271.0,60.74,60.02,62.25,59.5,60.7,-0.04
2024-04-16,7482580.0,60.7,61.1,61.38,59.4,59.78,-0.92
2024-04-17,11478976.0,59.78,59.49,61.1,58.02,58.31,-1.47
2024-04-18,5933.0,58.7,58.4,58.6,56.61,57.38,-1.32
2024-04-19,7068.0,57.38,57.49,58.35,56.27,57.9,0.52
2024-04-22,5344461.0,57.63,57.6,58.5,56.8,57.37,-0.26
2024-04-23,3133558.0,57.37,57.51,57.88,56.31,56.53,-0.84
2024-04-24,5246.0,56.71,56.5,57.3,55.96,56.61,-0.1
2024-04-25,18061128.0,56.41,56.99,58.9,56.99,57.27,0.86
2024-04-26,7455080.0,57.27,57.27,58.33,56.8,57.04,-0.23
2024-04-29,4042803.0,57.04,57.32,57.65,56.39,56.55,-0.49
2024-04-30,5429091.0,56.55,56.5,56.7,52.72,53.69,-2.86
2024-05-02,3215290.0,53.69,53.0,53.35,51.5,52.06,-1.63
2024-05-03,2990751.0,52.06,52.59,53.0,52.15,52.46,0.4
2024-05-06,6982454.0,52.46,53.0,55.35,52.85,54.31,1.85
2024-05-07,6928711.0,54.31,54.49,56.18,53.52,54.78,0.47
2024-05-08,7108450.0,54.78,55.1,56.8,54.55,56.19,1.41
2024-05-09,27648764.0,56.19,57.1,60.4,56.67,60.4,4.21
2024-05-10,20435132.0,60.4,60.9,62.4,59.1,60.64,0.24
2024-05-13,14767022.0,60.64,61.45,62.41,59.9,60.28,-0.36
2024-05-14,15328722.0,60.28,60.11,62.1,59.51,61.76,1.48
2024-05-15,1.0,63.75,61.0,61.0,61.0,61.0,-2.75
