Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3000.0,11.65,10.7,11.74,10.7,11.74,0.09
2024-01-04,500.0,11.74,11.79,11.79,11.79,11.79,0.05
2024-01-12,1000.0,11.79,10.8,11.79,10.8,11.79,0.0
2024-01-15,1000.0,11.79,11.75,11.75,11.75,11.75,-0.04
2024-01-17,2000.0,11.75,10.76,10.76,10.76,10.76,-0.99
2024-01-18,6000.0,10.76,11.49,11.5,11.48,11.48,0.72
2024-01-19,1500.0,11.48,11.75,11.75,11.75,11.75,0.27
2024-01-22,500.0,11.75,0.0,0.0,0.0,11.75,0.0
2024-01-23,2000.0,11.75,11.7,11.7,11.7,11.7,-0.05
2024-01-24,500.0,11.7,11.5,11.5,11.5,11.5,-0.2
2024-01-25,500.0,11.5,11.4,11.4,11.4,11.4,-0.1
2024-01-29,1500.0,11.4,0.0,0.0,0.0,11.4,0.0
2024-02-06,1500.0,11.4,10.8,11.5,10.8,11.5,0.1
2024-02-14,500.0,11.5,11.0,11.0,11.0,11.0,-0.5
2024-02-15,4500.0,11.0,10.7,10.79,10.3,10.6,-0.4
2024-02-16,500.0,10.6,0.0,0.0,0.0,10.6,0.0
2024-02-20,1500.0,10.6,10.55,10.55,10.51,10.51,-0.09
2024-02-21,2500.0,10.51,10.8,10.8,10.31,10.56,0.05
2024-02-22,2000.0,10.56,10.8,11.5,10.8,11.5,0.94
2024-02-27,10500.0,11.5,11.69,12.39,11.3,11.5,0.0
2024-02-28,1000.0,11.5,11.8,12.35,11.8,12.08,0.58
2024-02-29,2000.0,12.08,11.3,11.3,11.3,11.3,-0.78
2024-03-04,7000.0,11.3,11.0,11.0,10.5,10.99,-0.31
2024-03-07,10500.0,10.99,10.6,10.8,10.5,10.8,-0.19
2024-03-12,1000.0,10.8,10.5,10.51,10.5,10.51,-0.29
2024-03-14,500.0,10.51,10.8,10.8,10.8,10.8,0.29
2024-03-15,2000.0,10.8,10.55,10.8,10.5,10.8,0.0
2024-03-20,500.0,10.8,11.0,11.0,11.0,11.0,0.2
2024-03-27,1500.0,11.0,10.5,10.7,10.5,10.7,-0.3
2024-03-28,500.0,10.7,10.5,10.5,10.5,10.5,-0.2
2024-04-08,500.0,10.5,10.8,10.8,10.8,10.8,0.3
2024-04-15,1000.0,10.8,10.75,10.75,10.75,10.75,-0.05
2024-04-23,1000.0,10.75,10.56,10.56,10.55,10.55,-0.2
2024-04-24,2500.0,10.55,10.5,10.5,10.5,10.5,-0.05
2024-04-25,1500.0,10.5,10.8,11.49,10.8,11.25,0.75
2024-04-30,4000.0,11.25,10.55,10.8,10.5,10.8,-0.45
2024-05-03,500.0,10.8,11.0,11.0,11.0,11.0,0.2
2024-05-06,1500.0,11.0,10.5,10.8,10.5,10.8,-0.2
2024-05-09,10000.0,10.8,0.0,0.0,0.0,10.8,0.0
2024-05-13,1500.0,10.8,11.19,11.19,11.19,11.19,0.39
2024-05-20,6000.0,11.19,11.19,11.19,10.5,10.85,-0.34
2024-05-21,13000.0,10.85,0.0,0.0,0.0,10.85,0.0
2024-05-22,500.0,10.85,11.0,11.0,11.0,11.0,0.15
2024-05-27,300.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-05-30,4502.0,11.0,10.7,11.11,10.5,11.02,0.02
2024-05-31,3150.0,11.02,11.3,11.3,11.0,11.02,0.0
2024-06-03,3800.0,11.02,11.8,11.8,11.6,11.78,0.76
2024-06-04,502.0,11.78,11.12,11.4,11.12,11.15,-0.63
2024-06-05,1.0,11.15,11.46,11.46,11.46,11.15,0.0
2024-06-07,11500.0,11.15,10.8,10.88,10.5,10.88,-0.27
2024-06-12,500.0,10.88,11.2,11.2,11.2,11.2,0.32
2024-06-24,2550.0,11.2,11.0,11.45,11.0,11.04,-0.16
2024-06-26,909.0,11.04,10.86,10.9,10.86,10.9,-0.14
2024-06-28,1.0,10.9,11.2,11.2,11.2,10.9,0.0
2024-07-01,500.0,10.9,11.2,11.2,11.2,11.2,0.3
2024-07-02,501.0,11.2,11.44,11.6,11.44,11.53,0.33
2024-07-03,704.0,11.53,11.5,11.5,11.0,11.17,-0.36
2024-07-04,1.0,11.17,11.01,11.01,11.01,11.17,0.0
2024-07-05,1002.0,11.17,10.9,11.2,10.85,10.85,-0.32
2024-07-08,5500.0,10.85,10.5,11.2,10.5,11.2,0.35
2024-07-09,11.0,11.2,11.5,11.5,11.32,11.2,0.0
2024-07-10,5.0,11.2,11.55,11.55,11.55,11.2,0.0
2024-07-12,12000.0,11.2,11.2,11.2,10.5,10.54,-0.66
2024-07-15,517.0,10.54,10.51,10.9,10.51,10.9,0.36
2024-07-18,90.0,10.9,10.9,11.2,10.6,10.9,0.0
2024-07-22,2999.0,10.9,11.0,11.2,11.0,11.2,0.3
2024-07-24,7500.0,11.2,11.5,12.3,11.5,11.73,0.53
2024-07-25,2.0,11.73,11.3,12.6,11.3,11.73,0.0
2024-07-26,500.0,11.73,11.2,11.2,11.2,11.2,-0.53
2024-07-29,1007.0,11.2,11.45,11.5,11.12,11.12,-0.08
2024-07-30,11648.0,11.12,11.8,12.23,11.01,11.67,0.55
2024-07-31,1601.0,11.67,12.1,12.1,12.1,12.1,0.43
2024-08-01,11.0,12.1,12.49,12.49,12.49,12.1,0.0
2024-08-07,12.0,12.1,13.2,13.2,11.31,12.1,0.0
2024-08-09,989.0,12.1,12.01,12.01,12.01,12.01,-0.09
2024-08-12,4283.0,12.01,12.0,12.01,11.7,11.91,-0.1
2024-08-13,500.0,11.91,11.6,11.6,11.6,11.6,-0.31
