Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,22700.0,134.27,137.4,137.4,134.0,135.75,1.48
2024-01-02,12100.0,135.75,133.11,133.5,133.0,133.13,-2.62
2024-01-03,20100.0,133.13,131.5,133.95,131.0,133.0,-0.13
2024-01-04,4200.0,133.0,133.0,134.99,133.0,133.43,0.43
2024-01-05,18700.0,133.43,137.0,137.0,130.0,130.76,-2.67
2024-01-08,2100.0,130.76,131.25,131.99,130.1,131.49,0.73
2024-01-09,2600.0,131.49,132.99,132.99,130.0,130.06,-1.43
2024-01-10,2800.0,130.06,129.02,129.85,128.5,128.73,-1.33
2024-01-11,17000.0,128.73,128.73,131.5,128.73,130.03,1.3
2024-01-12,5500.0,130.03,128.6,130.85,128.6,129.5,-0.53
2024-01-15,10400.0,129.5,130.89,130.9,128.5,128.51,-0.99
2024-01-16,2100.0,128.51,127.45,128.6,127.0,128.44,-0.07
2024-01-17,32100.0,128.44,128.5,137.0,128.3,133.62,5.18
2024-01-18,77000.0,133.62,131.0,133.0,131.0,132.3,-1.32
2024-01-19,16900.0,132.3,131.01,132.5,131.0,131.28,-1.02
2024-01-22,24700.0,131.28,134.5,136.0,131.1,134.44,3.16
2024-01-23,17300.0,134.44,136.0,136.0,132.51,135.4,0.96
2024-01-24,13800.0,135.4,131.61,136.5,131.61,136.01,0.61
2024-01-25,15200.0,136.01,136.0,137.85,136.0,137.04,1.03
2024-01-26,1900.0,137.04,136.5,136.58,136.5,136.54,-0.5
2024-01-29,11900.0,136.54,137.01,139.0,137.0,138.31,1.77
2024-01-30,52300.0,138.31,148.68,148.68,148.68,148.68,10.37
2024-01-31,112400.0,148.68,155.0,155.0,138.15,140.03,-8.65
2024-02-01,14400.0,140.03,143.75,143.75,134.25,140.93,0.9
2024-02-02,7000.0,140.93,136.01,142.0,136.01,139.0,-1.93
2024-02-06,1700.0,139.0,140.0,140.0,139.0,139.25,0.25
2024-02-07,18700.0,139.25,134.16,140.25,134.06,139.26,0.01
2024-02-09,11300.0,139.26,138.99,138.99,133.03,136.79,-2.47
2024-02-12,3000.0,136.79,132.26,137.0,130.0,135.6,-1.19
2024-02-13,1700.0,135.6,131.1,136.0,131.1,136.0,0.4
2024-02-14,4100.0,136.0,137.0,137.0,137.0,137.0,1.0
2024-02-15,29000.0,137.0,134.5,139.0,133.36,138.28,1.28
2024-02-16,2400.0,138.28,134.1,139.0,134.1,138.0,-0.28
2024-02-19,36800.0,138.0,135.0,141.5,135.0,139.74,1.74
2024-02-20,12100.0,139.74,139.0,141.0,139.0,140.79,1.05
2024-02-21,18000.0,140.79,140.06,142.0,140.06,141.0,0.21
2024-02-22,1500.0,141.0,138.03,140.0,138.0,140.0,1.0
2024-02-23,1400.0,140.0,140.0,140.0,139.0,139.76,-0.24
2024-02-27,7900.0,139.76,136.0,139.0,135.01,137.0,-2.76
2024-02-28,7700.0,137.0,139.9,139.9,137.52,138.94,1.94
2024-02-29,13600.0,138.94,138.0,138.0,136.21,136.32,-2.62
2024-03-01,13300.0,133.82,130.01,135.0,130.0,131.62,-2.2
2024-03-04,37800.0,131.62,134.98,141.49,133.51,133.74,2.12
