Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,500.0,8.0,0.0,0.0,0.0,8.0,0.0
2024-01-03,500.0,8.0,7.85,7.85,7.85,7.85,-0.15
2024-01-08,1000.0,7.85,8.0,8.0,8.0,8.0,0.15
2024-01-10,3000.0,8.0,8.25,8.5,8.25,8.5,0.5
2024-01-11,4000.0,8.5,0.0,0.0,0.0,8.5,0.0
2024-01-16,500.0,8.5,7.85,7.85,7.85,7.85,-0.65
2024-01-22,2000.0,7.85,7.55,8.25,7.55,8.25,0.4
2024-01-23,500.0,8.25,7.8,7.8,7.8,7.8,-0.45
2024-01-25,1500.0,7.8,8.49,8.5,7.68,7.68,-0.12
2024-01-30,1500.0,7.68,7.75,8.45,7.75,8.1,0.42
2024-01-31,500.0,8.1,7.2,7.2,7.2,7.2,-0.9
2024-02-01,1500.0,7.2,7.7,7.75,7.7,7.73,0.53
2024-02-02,500.0,7.73,7.3,7.3,7.3,7.3,-0.43
2024-02-06,11000.0,7.3,7.21,7.4,7.2,7.4,0.1
2024-02-07,1000.0,7.4,7.6,7.6,7.35,7.48,0.08
2024-02-12,500.0,7.48,7.01,7.01,7.01,7.01,-0.47
2024-02-20,500.0,7.01,7.3,7.3,7.3,7.3,0.29
2024-02-21,10500.0,7.3,7.5,7.99,7.4,7.4,0.1
2024-02-22,12500.0,7.4,7.35,7.55,7.2,7.55,0.15
2024-02-26,500.0,7.55,7.85,7.85,7.85,7.85,0.3
2024-02-28,4500.0,7.85,8.75,8.85,7.8,7.81,-0.04
2024-02-29,500.0,7.81,7.51,7.51,7.51,7.51,-0.3
2024-03-01,500.0,7.51,7.3,7.3,7.3,7.3,-0.21
2024-03-04,2000.0,7.3,7.5,7.5,7.5,7.5,0.2
2024-03-13,1000.0,7.5,7.2,7.5,7.2,7.5,0.0
2024-03-14,16500.0,7.5,7.2,7.49,6.71,7.49,-0.01
2024-03-18,1500.0,7.49,7.5,7.5,7.5,7.5,0.01
2024-03-19,500.0,7.5,7.12,7.12,7.12,7.12,-0.38
2024-03-20,500.0,7.12,7.5,7.5,7.5,7.5,0.38
2024-03-21,2500.0,7.5,7.01,7.8,7.01,7.3,-0.2
2024-03-22,2000.0,7.3,7.1,7.1,7.1,7.1,-0.2
2024-03-25,3000.0,7.1,7.39,7.4,6.61,6.61,-0.49
2024-03-26,1000.0,6.61,0.0,0.0,0.0,6.61,0.0
2024-04-01,8000.0,6.62,6.7,6.7,6.7,6.7,0.08
2024-04-02,500.0,6.7,7.4,7.4,7.4,7.4,0.7
2024-04-04,500.0,7.4,6.88,6.88,6.88,6.88,-0.52
2024-04-09,500.0,6.88,7.2,7.2,7.2,7.2,0.32
2024-04-15,500.0,7.2,7.49,7.49,7.49,7.49,0.29
2024-04-16,4500.0,7.49,6.76,8.0,6.76,7.6,0.11
2024-04-17,500.0,7.6,7.5,7.5,7.5,7.5,-0.1
2024-04-22,500.0,7.5,8.0,8.0,8.0,8.0,0.5
2024-04-24,5500.0,8.0,8.1,8.5,8.1,8.5,0.5
2024-04-25,1500.0,8.5,9.1,9.35,9.05,9.35,0.85
2024-04-26,6500.0,9.35,10.3,10.3,8.5,8.55,-0.8
2024-04-29,6500.0,8.55,8.4,8.4,8.4,8.4,-0.15
2024-04-30,3000.0,8.4,9.39,9.39,8.5,8.5,0.1
2024-05-08,7500.0,8.5,8.99,9.5,8.99,9.0,0.5
2024-05-09,2000.0,9.0,8.64,8.97,8.62,8.97,-0.03
2024-05-10,500.0,8.97,9.89,9.89,9.89,9.89,0.92
2024-05-13,1500.0,9.89,8.89,9.25,8.89,9.25,-0.64
2024-05-20,500.0,9.25,9.25,9.25,9.25,9.25,0.0
2024-05-21,500.0,9.25,8.82,8.82,8.82,8.82,-0.43
2024-05-22,500.0,8.82,8.82,8.82,8.82,8.82,0.0
2024-05-23,1000.0,8.82,8.5,8.5,8.5,8.5,-0.32
2024-05-24,500.0,8.5,8.71,8.71,8.71,8.71,0.21
2024-05-27,1500.0,8.71,9.2,9.2,8.6,8.65,-0.06
2024-05-29,500.0,8.65,0.0,0.0,0.0,8.65,0.0
2024-05-30,1.0,8.65,9.2,9.2,9.2,8.65,0.0
2024-05-31,503.0,8.65,9.2,9.2,8.51,9.2,0.55
2024-06-03,4.0,9.2,8.34,9.96,8.34,9.2,0.0
2024-06-04,506.0,9.2,8.54,9.74,8.54,9.74,0.54
2024-06-05,1003.0,9.74,8.76,9.99,8.76,8.8,-0.94
2024-06-06,4.0,8.8,9.5,9.5,8.25,8.8,0.0
2024-06-07,14725.0,8.8,8.26,9.8,8.25,9.8,1.0
2024-06-10,15931.0,9.8,9.5,9.5,9.0,9.01,-0.79
2024-06-11,10950.0,9.01,9.8,9.8,9.5,9.79,0.78
2024-06-12,2.0,9.79,8.79,9.49,8.79,9.79,0.0
2024-06-13,1.0,9.79,9.98,9.98,9.98,9.79,0.0
2024-06-20,50.0,9.79,9.75,9.75,9.75,9.79,0.0
2024-06-21,2.0,9.79,9.99,9.99,9.8,9.79,0.0
2024-06-25,69028.0,9.79,9.8,10.79,9.05,10.63,0.84
2024-06-26,13207.0,10.63,11.63,11.63,11.63,11.63,1.0
2024-06-27,22000.0,11.63,12.68,12.68,12.68,12.68,1.05
2024-06-28,185643.0,12.68,13.82,13.82,11.54,12.47,-0.21
2024-07-01,36821.0,12.47,12.97,12.97,11.35,11.55,-0.92
2024-07-02,6479.0,11.55,11.7,11.7,10.61,10.93,-0.62
2024-07-03,11614.0,10.93,11.4,11.4,10.05,10.74,-0.19
2024-07-04,13056.0,10.74,11.0,11.7,10.1,10.2,-0.54
2024-07-05,3999.0,10.2,11.2,11.2,9.41,10.32,0.12
2024-07-08,2588.0,10.32,9.66,11.06,9.66,10.06,-0.26
