Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,20.0,1657.05,1684.99,1684.99,1684.99,1684.99,27.94
2024-01-03,20.0,1684.99,1689.99,1689.99,1689.99,1689.99,5.0
2024-01-04,40.0,1689.99,1690.0,1690.0,1690.0,1690.0,0.01
2024-01-05,20.0,1690.0,1800.0,1800.0,1800.0,1800.0,110.0
2024-01-08,20.0,1800.0,1665.0,1665.0,1665.0,1665.0,135.0
2024-01-09,500.0,1665.0,1784.0,1784.0,1784.0,1784.0,119.0
2024-01-11,180.0,1784.0,1651.0,1749.9,1651.0,1749.9,-34.1
2024-01-12,40.0,1749.9,1700.0,1700.0,1700.0,1700.0,-49.9
2024-01-19,120.0,1663.14,1538.4,1600.0,1538.4,1600.0,-63.14
2024-01-23,60.0,1600.0,1500.0,1500.0,1480.0,1480.0,120.0
2024-01-29,20.0,1480.0,1577.0,1577.0,1577.0,1577.0,97.0
2024-02-01,40.0,1577.0,1580.0,1580.0,1580.0,1580.0,3.0
2024-02-06,900.0,1580.0,0.0,0.0,0.0,1580.0,0.0
2024-02-07,900.0,1580.0,0.0,0.0,0.0,1580.0,0.0
2024-02-12,20.0,1580.0,0.0,0.0,0.0,1580.0,0.0
2024-02-20,40.0,1580.0,1575.0,1575.0,1575.0,1575.0,5.0
2024-02-22,60.0,1575.0,1580.0,1580.0,1580.0,1580.0,5.0
2024-02-23,20.0,1580.0,1580.0,1580.0,1580.0,1580.0,0.0
2024-02-29,200.0,1580.0,1550.0,1550.0,1549.99,1549.99,-30.01
2024-03-04,18020.0,1549.99,1434.0,1545.49,1434.0,1545.49,-4.5
2024-03-18,60.0,1542.5,1430.0,1570.0,1430.0,1506.67,-35.83
2024-03-19,20.0,1506.67,1415.0,1415.0,1415.0,1415.0,-91.67
2024-03-22,300.0,1415.0,1449.0,1521.13,1449.0,1470.61,55.61
2024-03-25,2000.0,1470.61,1495.0,1495.0,1495.0,1495.0,24.39
2024-03-26,1200.0,1495.0,1490.0,1600.0,1490.0,1582.5,87.5
2024-03-27,180.0,1582.5,1500.0,1500.0,1475.0,1476.0,-106.5
2024-03-29,100.0,1476.0,1500.0,1500.0,1500.0,1500.0,24.0
2024-04-01,60.0,1500.0,1401.0,1405.0,1401.0,1405.0,95.0
2024-04-09,1420.0,1405.0,1361.0,1400.0,1330.0,1393.33,-11.67
2024-04-15,2100.0,1393.33,1350.0,1400.0,1350.0,1386.54,-6.79
2024-04-16,800.0,1386.54,1389.0,1391.0,1389.0,1390.23,3.69
2024-04-19,100.0,1390.23,1420.0,1420.0,1420.0,1420.0,29.77
2024-04-22,40.0,1420.0,1350.1,1350.1,1350.1,1350.1,-69.9
2024-04-23,100.0,1350.1,1310.1,1330.1,1310.1,1330.1,20.0
2024-04-24,214.0,1330.1,1389.0,1390.0,1368.0,1380.73,50.63
2024-04-25,30.0,1380.73,1385.0,1390.0,1385.0,1388.33,7.6
2024-04-26,100.0,1388.33,1492.45,1492.45,1492.45,1492.45,104.12
2024-04-30,301.0,1492.45,1380.52,1450.0,1380.52,1423.33,-69.12
2024-05-02,21.0,1423.33,1325.0,1480.0,1325.0,1479.75,56.42
2024-05-06,60.0,1479.75,1370.0,1450.0,1370.0,1449.5,-30.25
2024-05-07,4.0,1449.5,1350.0,1440.0,1350.0,1449.5,0.0
2024-05-09,20.0,1449.5,1400.0,1400.0,1400.0,1400.0,-49.5
2024-05-10,2.0,1400.0,0.0,0.0,0.0,1400.0,0.0
2024-05-13,4047.0,1400.0,1444.0,1479.99,1380.0,1463.04,63.04
2024-05-14,6750.0,1463.04,1400.0,1460.0,1370.11,1447.9,-15.14
2024-05-15,957.0,1447.9,1407.0,1556.49,1407.0,1492.17,44.27
2024-05-16,73.0,1492.17,1401.0,1550.0,1401.0,1549.95,57.78
2024-05-17,15.0,1549.95,1500.0,1500.0,1499.99,1549.95,0.0
2024-05-20,2.0,1549.95,1451.0,1452.5,1451.0,1549.95,0.0
2024-05-22,857.0,1549.95,1433.7,1470.0,1433.7,1470.0,-79.95
2024-05-23,50.0,1470.0,1420.0,1469.99,1420.0,1468.99,-1.01
2024-05-27,95.0,1468.99,1351.5,1498.99,1351.5,1475.24,6.25
2024-05-29,115.0,1475.24,1357.23,1497.9,1357.23,1491.32,16.08
2024-05-30,7196.0,1491.32,1480.0,1480.0,1479.99,1480.0,-11.32
2024-05-31,2193.0,1480.0,0.0,0.0,0.0,1480.0,0.0
2024-06-03,59.0,1480.0,1401.0,1488.95,1401.0,1407.43,-72.57
2024-06-04,144.0,1407.43,1400.0,1469.99,1300.25,1438.94,31.51
2024-06-05,2.0,1438.94,1323.89,1438.99,1323.89,1438.94,0.0
2024-06-06,20.0,1438.94,1430.0,1438.0,1430.0,1437.2,-1.74
2024-06-07,50.0,1437.2,1329.47,1500.0,1329.47,1499.41,62.21
2024-06-10,32.0,1499.41,1372.0,1439.0,1372.0,1408.55,-90.86
2024-06-11,20.0,1408.55,1449.99,1450.0,1449.99,1450.0,41.45
2024-06-12,11.0,1450.0,1449.99,1449.99,1449.99,1450.0,0.0
2024-06-13,25.0,1450.0,1400.0,1400.0,1400.0,1400.0,50.0
2024-06-14,1207.0,1400.0,1330.1,1445.0,1330.1,1440.0,40.0
2024-06-20,801.0,1440.0,1400.0,1448.0,1400.0,1446.62,6.62
2024-06-21,190.0,1446.62,1500.0,1500.0,1323.93,1479.95,33.33
2024-06-24,61.0,1479.95,1380.11,1470.0,1380.11,1465.11,-14.84
2024-06-25,71.0,1465.11,1479.0,1480.0,1479.0,1479.98,14.87
2024-06-26,235.0,1479.98,1360.55,1500.0,1360.55,1483.68,3.7
2024-06-28,100.0,1483.68,1590.0,1590.0,1590.0,1590.0,106.32
2024-07-01,1.0,1590.0,1447.0,1447.0,1447.0,1590.0,0.0
2024-07-02,118.0,1590.0,1447.0,1470.75,1447.0,1466.2,-123.8
2024-07-03,40.0,1466.2,1475.0,1500.0,1475.0,1498.8,32.6
2024-07-04,3.0,1498.8,1400.0,1500.0,1400.0,1498.8,0.0
2024-07-05,10.0,1498.8,1507.0,1507.0,1507.0,1498.8,0.0
2024-07-08,311.0,1498.8,1500.0,1500.0,1500.0,1500.0,1.2
2024-07-09,2.0,1500.0,1400.0,1410.0,1400.0,1500.0,0.0
2024-07-10,83.0,1500.0,1600.0,1600.0,1365.1,1499.0,1.0
2024-07-11,250.0,1499.0,1500.0,1500.0,1500.0,1500.0,1.0
2024-07-12,200.0,1500.0,1500.0,1500.0,1500.0,1500.0,0.0
2024-07-15,559.0,1500.0,1550.0,1599.0,1540.0,1572.69,72.69
2024-07-18,1061.0,1572.69,1600.01,1600.01,1585.0,1599.72,27.03
2024-07-19,5.0,1599.72,1600.0,1600.0,1560.0,1599.72,0.0
2024-07-22,150.0,1599.72,1465.1,1598.9,1460.0,1598.9,-0.82
2024-07-24,103.0,1598.9,1575.0,1629.0,1575.0,1604.95,6.05
2024-07-25,113.0,1604.95,1529.0,1600.0,1529.0,1600.0,-4.95
2024-07-26,20.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0
2024-07-30,104.0,1600.0,1465.5,1599.0,1465.5,1598.91,-1.09
