Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,127500.0,60.32,58.1,60.75,58.1,59.11,-1.21
2024-01-02,113000.0,59.11,58.8,59.11,58.0,58.42,-0.69
2024-01-03,200000.0,58.42,59.48,60.4,57.75,58.74,0.32
2024-01-04,45500.0,58.74,58.6,59.98,58.16,58.7,-0.04
2024-01-05,242500.0,58.7,58.72,61.98,58.72,60.13,1.43
2024-01-08,34500.0,60.13,60.51,60.51,59.0,59.25,-0.88
2024-01-09,51500.0,59.25,59.27,59.27,57.51,57.9,-1.35
2024-01-10,51500.0,57.9,58.45,58.5,57.8,58.0,0.1
2024-01-11,50500.0,58.0,57.0,59.4,57.0,57.89,-0.11
2024-01-12,17500.0,57.89,58.45,58.5,57.1,57.65,-0.24
2024-01-15,53000.0,57.65,57.12,57.49,56.25,57.0,-0.65
2024-01-16,61500.0,57.0,55.6,55.75,54.5,54.95,-2.05
2024-01-17,20000.0,54.95,53.76,55.25,53.76,54.25,-0.7
2024-01-18,35500.0,54.25,53.0,53.0,52.0,52.29,-1.96
2024-01-19,39000.0,52.29,53.0,54.0,52.25,53.03,0.74
2024-01-22,89500.0,53.03,53.0,55.0,52.4,54.02,0.99
2024-01-23,67000.0,54.02,54.0,54.6,53.5,54.5,0.48
2024-01-24,40500.0,54.5,52.5,55.0,52.5,54.74,0.24
2024-01-25,88500.0,54.74,53.65,55.3,53.5,53.56,-1.18
2024-01-26,51500.0,53.56,54.0,54.0,52.5,52.99,-0.57
2024-01-29,42000.0,52.99,52.21,52.5,51.0,51.03,-1.96
2024-01-30,56000.0,51.03,51.0,51.5,50.0,50.13,-0.9
2024-01-31,370000.0,50.13,51.5,51.97,50.8,51.0,0.87
2024-02-01,9500.0,51.0,51.0,51.0,50.5,50.83,-0.17
2024-02-02,119000.0,50.83,51.97,51.97,50.0,50.0,-0.83
2024-02-06,115500.0,50.0,50.95,52.0,50.3,51.6,1.6
2024-02-07,28500.0,51.6,52.0,52.0,51.2,51.25,-0.35
2024-02-09,29000.0,51.25,50.17,51.99,49.0,50.23,-1.02
2024-02-12,111000.0,50.23,49.5,49.5,46.8,48.96,-1.27
2024-02-13,226000.0,48.96,48.75,50.5,48.0,49.52,0.56
2024-02-14,170500.0,49.52,50.5,52.4,49.99,51.58,2.06
2024-02-15,155500.0,51.58,52.0,52.25,50.5,51.15,-0.43
2024-02-16,94000.0,51.15,50.6,54.99,49.5,50.38,-0.77
2024-02-19,41000.0,50.38,48.31,50.6,48.3,49.78,-0.6
2024-02-20,29500.0,49.78,49.6,50.51,49.6,49.76,-0.02
2024-02-21,373500.0,49.76,50.55,53.49,49.75,52.53,2.77
2024-02-22,166500.0,52.53,53.0,55.0,52.01,54.45,1.92
2024-02-23,101500.0,54.45,55.99,56.0,54.0,54.74,0.29
2024-02-26,72000.0,54.74,55.25,55.5,54.5,55.19,0.45
2024-02-27,190500.0,55.19,55.49,56.0,55.0,55.5,0.31
2024-02-28,78000.0,55.5,55.9,56.5,55.55,55.8,0.3
2024-02-29,96000.0,55.8,56.0,56.25,55.4,56.0,0.2
2024-03-01,109000.0,56.0,55.5,56.44,55.0,55.0,1.0
2024-03-04,85000.0,55.0,56.0,56.0,54.35,54.62,-0.38
2024-03-05,36500.0,54.62,53.75,54.69,53.5,54.09,-0.53
2024-03-06,27000.0,54.09,54.02,54.2,54.0,54.03,-0.06
2024-03-07,24000.0,54.03,53.81,54.05,53.81,54.01,-0.02
2024-03-08,141500.0,54.01,54.05,58.06,53.83,55.71,1.7
2024-03-11,105500.0,55.71,55.76,56.9,55.55,55.95,0.24
2024-03-12,84500.0,55.95,56.11,56.11,54.99,55.0,-0.95
2024-03-13,48000.0,55.0,54.54,55.0,53.7,53.82,-1.18
2024-03-14,4500.0,53.82,54.5,55.0,54.5,54.96,1.14
2024-03-15,35000.0,54.96,54.8,55.0,54.15,54.58,-0.38
2024-03-18,8500.0,54.58,55.5,55.5,54.5,54.5,-0.08
2024-03-19,25000.0,54.5,54.1,54.5,54.0,54.03,-0.47
2024-03-20,53000.0,54.03,54.15,54.3,53.99,54.01,-0.02
2024-03-21,56000.0,54.01,56.9,56.9,53.83,54.5,0.49
2024-03-22,26000.0,54.5,54.9,55.0,53.5,54.75,0.25
2024-03-25,36000.0,54.75,53.81,54.5,53.72,54.16,-0.59
2024-03-26,32500.0,54.16,53.52,54.99,53.52,53.78,-0.38
2024-03-27,116000.0,53.78,54.0,54.0,53.5,53.5,-0.28
2024-03-28,49000.0,53.5,54.0,55.0,54.0,54.26,0.76
2024-03-29,18000.0,54.26,53.55,55.35,53.55,54.77,0.51
2024-04-01,139000.0,54.77,55.0,55.5,53.45,54.1,-0.67
2024-04-02,138000.0,54.1,54.49,55.0,54.12,55.0,0.9
2024-04-03,49000.0,55.0,54.25,56.25,54.25,56.02,1.02
2024-04-04,70500.0,56.02,56.5,58.0,56.5,57.08,1.06
2024-04-08,124500.0,57.08,57.5,61.0,57.5,60.0,2.92
2024-04-09,185500.0,60.0,60.92,62.2,60.0,61.08,1.08
2024-04-15,80000.0,61.08,61.0,62.5,60.5,61.29,0.21
2024-04-16,202500.0,61.29,61.25,61.95,60.2,60.55,-0.74
2024-04-17,118000.0,60.55,60.5,61.0,59.5,59.68,-0.87
2024-04-18,64500.0,57.68,55.01,57.5,55.01,56.76,-0.92
2024-04-19,105000.0,56.76,56.0,59.0,55.99,59.0,2.24
2024-04-22,191000.0,59.0,59.0,61.0,59.0,60.09,1.09
2024-04-23,105500.0,60.09,60.0,62.0,60.0,60.05,-0.04
2024-04-24,69500.0,60.05,60.5,60.9,59.85,60.09,0.04
2024-04-25,240500.0,60.09,61.0,63.0,60.5,60.83,0.74
2024-04-26,184000.0,60.83,61.0,61.5,60.5,61.02,0.19
2024-04-29,256500.0,61.02,61.4,65.0,60.6,61.02,0.0
2024-04-30,80000.0,61.02,61.9,61.9,60.0,60.02,1.0
2024-05-02,52000.0,60.02,60.0,60.1,58.5,59.34,-0.68
2024-05-03,127500.0,59.34,59.3,60.95,59.0,59.89,0.55
2024-05-06,221000.0,59.89,60.0,64.0,60.0,61.58,1.69
2024-05-07,343000.0,61.58,61.65,63.9,61.0,63.04,1.46
2024-05-08,721500.0,63.04,64.45,67.77,64.45,67.77,4.73
2024-05-09,1926500.0,67.77,67.77,72.85,67.5,69.02,1.25
2024-05-10,531000.0,69.02,68.77,69.48,66.51,68.69,-0.33
2024-05-13,1260500.0,68.69,68.5,73.84,67.77,73.52,4.83
2024-05-14,473000.0,73.52,74.01,75.5,70.65,72.5,-1.02
2024-05-15,661500.0,72.5,72.99,76.5,71.0,74.73,2.23
2024-05-16,321500.0,74.73,74.5,75.89,72.23,73.0,-1.73
2024-05-17,83000.0,73.0,73.5,73.5,72.01,72.47,-0.53
2024-05-20,113269.0,72.47,72.5,73.5,70.5,71.06,-1.41
2024-05-21,455717.0,71.06,70.95,76.35,70.95,75.91,4.85
2024-05-22,468795.0,75.91,76.25,77.9,74.01,74.55,-1.36
2024-05-23,88277.0,74.55,72.3,74.99,72.3,73.98,-0.57
2024-05-24,24074.0,73.98,74.0,75.0,73.5,74.28,0.3
2024-05-27,74000.0,74.28,74.0,75.0,72.71,73.05,-1.23
2024-05-29,537058.0,73.05,73.0,77.25,73.0,76.67,3.62
2024-05-30,384409.0,76.67,76.59,82.74,76.59,82.02,5.35
2024-05-31,657041.0,82.02,82.5,86.8,82.5,84.2,2.18
2024-06-03,193192.0,84.2,85.0,86.45,83.15,83.58,-0.62
2024-06-04,212591.0,83.58,84.65,84.7,80.9,81.65,-1.93
2024-06-05,125573.0,81.65,81.1,82.7,76.0,81.0,-0.65
2024-06-06,124165.0,81.0,82.39,82.39,78.0,79.56,-1.44
2024-06-07,81678.0,79.56,80.5,80.5,76.11,79.35,-0.21
2024-06-10,96390.0,79.35,84.8,84.8,78.05,79.8,0.45
2024-06-11,89585.0,79.8,80.0,81.99,79.05,79.84,0.04
2024-06-12,27393.0,79.84,82.0,82.0,79.65,79.67,-0.17
2024-06-13,192691.0,79.67,81.5,82.5,78.13,79.28,-0.39
2024-06-14,93296.0,79.28,78.06,80.48,77.85,78.58,-0.7
2024-06-20,261483.0,78.58,81.0,81.48,77.5,78.02,-0.56
2024-06-21,100544.0,78.02,78.0,78.8,77.0,77.55,-0.47
2024-06-24,82921.0,77.55,77.0,77.85,76.0,76.82,-0.73
2024-06-25,68777.0,76.82,77.0,77.49,76.2,77.11,0.29
2024-06-26,124641.0,77.11,77.11,77.3,76.0,76.63,-0.48
2024-06-27,45023.0,76.63,77.0,77.0,75.0,75.05,-1.58
2024-06-28,62628.0,75.05,75.98,76.0,73.01,74.16,-0.89
2024-07-01,479047.0,74.16,74.05,76.2,73.25,74.09,-0.07
2024-07-02,187626.0,74.09,74.85,74.85,71.45,71.97,-2.12
2024-07-03,214106.0,71.97,71.5,72.0,70.0,70.13,-1.84
2024-07-04,219810.0,70.13,71.74,71.74,68.8,69.35,-0.78
2024-07-05,150136.0,69.35,70.98,74.0,67.5,68.06,-1.29
2024-07-08,117199.0,68.06,71.34,71.49,68.0,69.02,0.96
2024-07-09,220008.0,69.02,70.0,71.0,68.82,69.88,0.86
2024-07-10,118390.0,69.88,69.88,71.0,67.65,68.28,-1.6
2024-07-11,197211.0,68.28,68.28,72.05,68.28,69.71,1.43
2024-07-12,68388.0,69.71,70.0,71.5,68.8,70.23,0.52
2024-07-15,172200.0,70.23,70.8,73.19,70.5,72.6,2.37
2024-07-18,477586.0,72.6,72.01,76.12,71.56,74.9,2.3
2024-07-19,956782.0,74.9,74.9,78.95,74.7,75.45,0.55
2024-07-22,315027.0,75.45,72.16,77.5,72.16,74.39,-1.06
2024-07-23,173607.0,74.39,76.5,76.5,74.0,75.69,1.3
2024-07-24,88842.0,75.69,75.95,76.5,74.5,74.51,-1.18
2024-07-25,13539.0,74.51,76.84,76.88,74.5,74.65,0.14
2024-07-26,23838.0,74.65,75.5,76.93,72.5,73.95,-0.7
2024-07-29,77331.0,73.95,68.55,76.5,68.1,72.2,-1.75
