Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1531072.0,150.47,150.89,160.7,150.89,159.53,9.06
2024-01-02,698989.0,159.53,158.0,159.6,154.5,155.35,-4.18
2024-01-03,357091.0,155.35,155.4,156.0,153.06,153.62,-1.73
2024-01-04,288916.0,153.62,153.25,153.45,151.0,152.73,-0.89
2024-01-05,2682195.0,152.73,153.25,163.9,152.05,162.27,9.54
2024-01-08,695628.0,162.27,161.99,162.1,157.91,158.87,-3.4
2024-01-09,304542.0,158.87,159.7,160.75,157.0,157.74,-1.13
2024-01-10,2.0,163.0,163.0,163.0,163.0,163.0,0.0
2024-01-11,480.0,160.21,161.0,162.95,160.0,160.48,0.27
2024-01-12,548164.0,159.27,160.86,160.86,155.7,157.1,-2.17
2024-01-15,334661.0,157.1,157.51,159.0,154.03,154.76,-2.34
2024-01-16,287020.0,154.76,154.5,154.5,151.8,152.59,-2.17
2024-01-17,375.0,153.74,153.62,155.2,150.01,150.79,-2.95
2024-01-18,482058.0,149.59,147.63,149.99,141.1,146.14,-3.45
2024-01-19,148037.0,146.14,147.0,149.0,145.75,146.47,0.33
2024-01-22,426.0,146.93,144.0,149.99,144.0,149.25,2.32
2024-01-23,841.0,151.3,150.0,159.0,149.2,157.1,5.8
2024-01-24,576992.0,154.78,154.78,156.5,151.02,152.3,-2.48
2024-01-25,310205.0,152.3,151.3,153.0,148.4,148.88,-3.42
2024-01-26,977.0,148.99,149.31,149.89,145.3,146.06,-2.93
2024-01-29,160529.0,146.25,147.03,147.03,142.0,142.28,-3.97
2024-01-30,406966.0,142.28,143.0,144.97,135.11,135.89,-6.39
2024-01-31,349489.0,135.89,137.0,140.46,136.0,137.04,1.15
2024-02-01,188254.0,137.04,137.5,139.0,135.53,137.26,0.22
2024-02-02,296688.0,137.26,138.0,138.25,135.6,137.4,0.14
2024-02-06,253229.0,137.4,138.0,141.8,137.0,139.29,1.89
2024-02-07,191357.0,139.29,140.6,141.39,139.0,140.06,0.77
2024-02-09,132340.0,140.06,138.5,139.7,129.56,138.23,-1.83
2024-02-12,228514.0,138.23,139.99,139.99,130.1,131.86,-6.37
2024-02-13,553525.0,131.86,130.51,133.5,124.0,132.2,0.34
2024-02-14,300880.0,132.2,135.0,137.69,133.0,137.06,4.86
2024-02-15,588280.0,137.06,136.99,142.5,133.0,135.43,-1.63
2024-02-16,300481.0,135.43,135.0,137.0,131.11,135.63,0.2
2024-02-19,66.0,139.43,134.0,139.0,133.0,138.33,-1.1
2024-02-20,406.0,136.94,136.0,141.88,136.0,136.85,-0.09
2024-02-21,368506.0,136.43,138.85,139.87,135.05,139.19,2.76
2024-02-22,543892.0,139.19,139.3,144.0,139.0,142.1,2.91
2024-02-23,733701.0,142.1,140.0,147.88,140.0,146.98,4.88
2024-02-26,1257470.0,146.98,147.35,153.35,147.35,151.21,4.23
2024-02-27,674729.0,151.21,151.84,153.9,148.0,148.63,-2.58
2024-02-28,502114.0,148.63,148.0,152.0,147.8,148.55,-0.08
2024-02-29,349337.0,148.55,147.7,149.99,147.25,148.08,-0.47
2024-03-01,404356.0,148.08,149.0,151.0,148.01,149.93,1.85
2024-03-04,381839.0,149.93,151.01,152.5,148.0,148.87,-1.06
2024-03-05,1040739.0,148.87,151.49,151.49,142.56,147.21,-1.66
2024-03-06,8150583.0,147.21,148.0,156.89,147.0,154.52,7.31
2024-03-07,3387205.0,154.52,154.8,158.5,154.0,154.67,0.15
2024-03-08,4019494.0,154.67,155.0,166.27,154.31,165.16,10.49
2024-03-11,2421789.0,165.16,166.85,168.48,160.11,160.84,-4.32
2024-03-12,1001214.0,160.84,160.25,161.84,153.0,153.42,-7.42
2024-03-13,1249230.0,153.42,154.0,158.0,150.0,151.78,-1.64
2024-03-14,866192.0,151.78,152.75,158.0,152.75,157.15,5.37
2024-03-15,1178115.0,157.15,158.05,162.5,156.5,157.26,0.11
2024-03-18,595118.0,157.26,157.86,160.9,157.0,158.27,1.01
2024-03-19,1484322.0,158.27,159.11,164.0,158.7,159.71,1.44
2024-03-20,666438.0,159.71,160.2,162.4,158.0,159.2,-0.51
2024-03-21,586147.0,159.2,160.0,160.25,155.61,156.41,-2.79
2024-03-22,1.0,161.0,160.3,160.3,160.3,160.3,-0.7
2024-03-25,952702.0,157.82,159.75,161.9,158.65,160.01,2.19
2024-03-26,845.0,163.19,163.57,163.57,157.5,159.04,-4.15
2024-03-27,1276.0,159.04,157.2,161.45,155.0,155.81,-3.23
2024-03-28,699175.0,153.21,154.0,156.2,152.8,153.65,0.44
2024-03-29,701907.0,153.65,154.59,154.59,149.06,149.88,-3.77
2024-04-01,160161.0,149.88,151.0,151.0,148.16,148.91,-0.97
2024-04-02,285893.0,148.91,148.9,152.42,148.9,150.57,1.66
2024-04-03,303945.0,150.57,148.1,151.75,148.1,151.16,0.59
2024-04-04,1415010.0,151.16,151.61,156.4,151.1,151.87,0.71
2024-04-08,643485.0,151.87,152.05,154.8,152.0,153.6,1.73
2024-04-09,564803.0,153.6,153.6,155.25,152.11,152.39,-1.21
2024-04-15,770022.0,152.39,150.7,153.99,150.0,153.53,1.14
2024-04-16,1034512.0,153.53,154.48,154.48,150.5,150.95,-2.58
2024-04-17,2427495.0,150.95,151.01,156.83,150.02,154.27,3.32
2024-04-18,458109.0,154.27,153.25,155.32,151.5,152.31,-1.96
2024-04-19,550881.0,152.31,151.44,153.5,151.01,151.83,-0.48
2024-04-22,1478.0,152.94,152.4,156.9,152.28,154.55,1.61
2024-04-23,563662.0,154.15,154.18,155.48,151.53,152.36,-1.79
2024-04-24,1448.0,152.94,155.0,155.24,151.52,152.33,-0.61
2024-04-25,1463.0,155.37,155.26,158.13,150.07,152.72,-2.65
