Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,23200.0,105.35,107.0,109.7,106.01,108.86,3.51
2024-01-02,14800.0,108.86,108.0,112.0,104.01,107.75,-1.11
2024-01-03,17700.0,107.75,108.74,109.0,106.0,106.68,-1.07
2024-01-04,1600.0,106.68,107.9,107.9,106.0,107.46,0.78
2024-01-05,79400.0,107.46,108.99,115.52,108.0,114.59,7.13
2024-01-08,5000.0,114.59,113.0,113.85,112.0,112.13,-2.46
2024-01-09,37500.0,112.13,109.21,117.99,109.21,115.54,3.41
2024-01-10,30000.0,115.54,118.85,120.75,116.05,117.35,1.81
2024-01-11,11100.0,117.35,120.0,120.0,115.01,118.23,0.88
2024-01-12,18000.0,118.23,119.0,119.0,114.0,114.79,-3.44
2024-01-15,13700.0,114.79,113.11,115.0,113.1,114.11,-0.68
2024-01-16,19100.0,114.11,113.01,114.75,112.5,113.28,-0.83
2024-01-17,152500.0,113.28,113.0,115.0,112.0,112.22,-1.06
2024-01-18,2400.0,112.22,111.01,112.5,109.9,112.07,-0.15
2024-01-19,16100.0,112.07,112.0,116.0,111.0,113.11,1.04
2024-01-22,12500.0,113.11,113.0,115.5,113.0,113.39,0.28
2024-01-23,19100.0,113.39,113.0,114.99,112.0,113.83,0.44
2024-01-24,3800.0,113.83,116.99,116.99,114.0,114.0,0.17
2024-01-25,27200.0,114.0,114.0,114.5,112.25,113.58,-0.42
2024-01-26,4200.0,113.58,113.44,121.99,113.44,114.1,0.52
2024-01-29,11200.0,114.1,113.12,114.9,112.0,112.61,-1.49
2024-01-30,80800.0,112.61,112.5,114.9,112.0,113.55,0.94
2024-01-31,4000.0,113.55,112.0,114.0,112.0,113.0,-0.55
2024-02-01,13300.0,113.0,113.0,114.89,113.0,114.27,1.27
2024-02-02,3700.0,114.27,113.5,115.5,113.5,115.0,0.73
2024-02-06,6700.0,115.0,115.0,115.0,113.0,113.74,-1.26
2024-02-07,14800.0,113.74,114.5,114.5,113.1,113.39,-0.35
2024-02-09,13100.0,113.39,112.99,113.0,108.0,111.04,-2.35
2024-02-12,38100.0,111.04,112.0,114.99,109.2,111.19,0.15
2024-02-13,7300.0,111.19,111.0,114.99,110.0,112.54,1.35
2024-02-14,4400.0,112.54,115.87,115.88,114.0,115.42,2.88
2024-02-15,19900.0,115.42,113.5,113.99,110.25,111.5,-3.92
2024-02-16,28200.0,111.5,113.0,114.94,109.0,112.53,1.03
2024-02-19,53700.0,112.53,113.0,114.94,112.0,113.0,0.47
2024-02-20,19600.0,113.0,113.1,114.0,110.0,110.44,-2.56
2024-02-21,2600.0,110.44,113.0,113.92,111.5,111.5,1.06
2024-02-22,148200.0,111.5,113.0,113.0,112.1,112.37,0.87
2024-02-23,157700.0,112.37,112.2,114.98,111.11,114.06,1.69
2024-02-26,3400.0,114.06,113.5,114.4,113.0,113.68,-0.38
2024-02-27,400.0,113.68,112.3,112.3,112.1,112.23,-1.45
2024-02-28,57500.0,112.23,113.0,114.45,111.6,112.67,0.44
2024-02-29,32600.0,112.67,114.0,115.0,112.25,114.96,2.29
2024-03-01,2400.0,114.96,114.8,115.0,113.51,113.93,-1.03
