Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1200.0,140.27,143.98,143.98,141.0,142.0,1.73
2024-01-02,1600.0,142.0,141.01,141.49,139.51,141.49,-0.51
2024-01-03,24700.0,141.49,141.3,143.98,140.0,142.29,0.8
2024-01-04,1500.0,142.29,141.99,141.99,140.01,140.01,-2.28
2024-01-10,200.0,140.01,139.5,139.5,139.5,139.5,-0.51
2024-01-11,6100.0,139.5,139.5,142.75,136.22,139.99,0.49
2024-01-12,800.0,139.99,139.99,139.99,139.0,139.0,-0.99
2024-01-15,2500.0,139.0,139.5,139.5,139.5,139.5,0.5
2024-01-16,21900.0,139.5,139.0,140.0,139.0,140.0,0.5
2024-01-17,162500.0,140.0,139.0,140.0,139.0,139.49,-0.51
2024-01-18,100.0,139.49,0.0,0.0,0.0,139.49,0.0
2024-01-19,1600.0,139.49,139.1,140.0,139.0,139.67,0.18
2024-01-22,800.0,139.67,143.0,143.0,136.2,141.5,1.83
2024-01-23,1200.0,141.5,140.5,140.5,138.35,138.55,-2.95
2024-01-24,44900.0,138.55,138.5,144.2,138.5,144.2,5.65
2024-01-25,3500.0,144.2,140.0,140.0,139.99,139.99,-4.21
2024-01-26,1700.0,139.99,139.0,139.0,138.0,138.06,-1.93
2024-01-29,1700.0,138.06,138.0,139.4,134.52,136.68,-1.38
2024-01-30,1000.0,136.68,135.01,138.49,135.0,137.33,0.65
2024-02-01,200.0,137.33,137.0,137.0,137.0,137.0,-0.33
2024-02-06,1400.0,137.0,135.5,136.0,135.0,135.26,-1.74
2024-02-07,21800.0,135.26,137.0,139.45,136.8,137.2,1.94
2024-02-09,3100.0,137.2,135.0,135.0,133.69,133.69,-3.51
2024-02-12,6000.0,133.69,137.0,137.0,130.0,130.0,-3.69
2024-02-13,1400.0,130.0,130.0,134.0,130.0,133.79,3.79
2024-02-14,500.0,133.79,134.99,134.99,134.99,134.99,1.2
2024-02-15,100.0,134.99,135.0,135.0,135.0,134.99,0.0
2024-02-21,500.0,134.99,139.0,139.0,139.0,139.0,4.01
2024-02-22,2100.0,139.0,138.75,139.0,138.0,138.91,-0.09
2024-02-23,500.0,138.91,139.99,139.99,139.0,139.0,0.09
2024-02-26,800.0,139.0,136.0,138.99,135.01,135.67,-3.33
2024-02-27,2300.0,135.67,140.0,140.0,138.99,139.53,3.86
2024-02-28,1400.0,139.53,139.5,139.5,139.0,139.25,-0.28
2024-02-29,7300.0,139.25,137.0,140.0,137.0,140.0,0.75
2024-03-01,200.0,140.0,138.0,139.97,138.0,138.99,-1.01
2024-03-04,4600.0,138.99,137.01,139.49,137.0,139.42,0.43
2024-03-05,6900.0,139.42,135.15,138.99,128.96,131.73,-7.69
2024-03-06,6400.0,131.73,132.02,136.9,131.1,136.07,4.34
2024-03-07,2500.0,136.07,134.01,135.5,132.85,135.5,-0.57
2024-03-08,700.0,135.5,132.01,135.0,132.01,134.5,1.0
2024-03-11,5400.0,134.5,134.49,139.0,125.5,135.85,1.35
2024-03-12,5700.0,135.85,131.5,139.0,131.5,136.06,0.21
2024-03-13,13100.0,136.06,131.06,133.99,130.05,132.0,-4.06
2024-03-14,7500.0,132.0,132.0,137.5,132.0,133.5,1.5
2024-03-15,2200.0,133.5,132.11,136.49,132.0,133.08,-0.42
2024-03-18,500.0,133.08,132.1,134.94,132.1,134.0,0.92
2024-03-19,1500.0,134.0,132.02,134.4,132.02,132.85,-1.15
2024-03-20,2700.0,132.85,132.01,134.9,132.01,133.13,0.28
2024-03-21,3600.0,133.13,133.13,135.88,132.0,133.51,0.38
2024-03-22,500.0,133.51,139.0,139.0,133.15,134.6,1.09
2024-03-25,3200.0,134.6,134.1,135.5,134.1,135.38,0.78
2024-03-26,2300.0,135.38,135.1,140.0,134.5,137.9,2.52
2024-03-27,15300.0,137.9,134.0,140.0,134.0,138.71,0.81
2024-03-28,28400.0,138.71,137.01,139.0,136.1,138.66,-0.05
2024-03-29,21900.0,138.66,135.0,140.0,134.99,138.02,-0.64
2024-04-01,5200.0,138.02,135.01,136.5,135.01,136.33,-1.69
2024-04-02,7500.0,136.33,132.06,139.7,132.06,135.0,-1.33
2024-04-03,7600.0,135.0,135.5,136.5,135.0,136.5,1.5
2024-04-04,600.0,136.5,134.02,136.5,134.02,136.5,0.0
2024-04-08,24500.0,136.5,136.2,140.0,136.0,139.86,3.36
2024-04-09,16900.0,139.86,135.06,137.89,135.06,137.5,-2.36
2024-04-15,5800.0,137.5,136.5,137.5,136.5,136.54,-0.96
2024-04-16,600.0,136.54,135.5,136.0,135.5,136.0,-0.54
2024-04-17,17300.0,136.0,133.05,136.0,133.05,135.15,-0.85
2024-04-18,900.0,135.15,135.28,139.97,135.28,139.97,4.82
2024-04-19,6600.0,139.97,133.03,138.0,133.03,136.79,-3.18
2024-04-22,11412.0,136.79,131.05,135.94,131.05,134.89,-1.9
2024-04-23,8200.0,134.89,135.0,135.02,133.6,134.35,-0.54
2024-04-24,26526.0,134.35,134.0,135.0,133.5,134.04,-0.31
2024-04-25,12628.0,134.04,134.8,134.8,132.0,132.37,-1.67
2024-04-26,23281.0,132.37,131.0,135.0,131.0,134.0,1.63
2024-04-29,9694.0,134.0,134.0,134.0,131.51,131.74,-2.26
2024-04-30,5177.0,131.74,132.73,133.48,131.0,132.93,1.19
2024-05-02,24563.0,132.93,131.0,132.75,125.18,128.97,-3.96
2024-05-03,17991.0,128.97,132.0,132.0,130.0,131.95,2.98
2024-05-06,7632.0,131.95,131.95,134.55,131.95,134.46,2.51
2024-05-07,21055.0,134.46,137.99,137.99,132.0,132.02,-2.44
2024-05-08,9117.0,130.52,136.98,136.98,130.1,131.47,0.95
2024-05-09,28360.0,131.47,133.98,134.0,130.15,132.0,0.53
