Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6500.0,85.99,84.9,84.9,83.9,83.9,-2.09
2024-01-02,500.0,83.9,88.0,88.0,88.0,88.0,4.1
2024-01-03,9500.0,88.0,94.6,94.6,94.6,94.6,6.6
2024-01-04,55500.0,94.6,101.7,101.7,101.7,101.7,7.1
2024-01-05,56500.0,101.7,106.0,109.33,106.0,109.33,7.63
2024-01-08,37500.0,109.33,114.89,115.0,109.4,110.01,0.68
2024-01-09,23500.0,110.01,109.01,112.75,109.0,112.75,2.74
2024-01-10,25500.0,112.75,110.0,113.0,110.0,110.67,-2.08
2024-01-11,19500.0,110.67,110.0,114.0,109.0,111.0,0.33
2024-01-12,23000.0,111.0,110.06,116.0,110.06,113.75,2.75
2024-01-15,23000.0,113.75,114.89,115.0,113.0,114.39,0.64
2024-01-16,13500.0,114.39,114.0,115.0,112.0,114.33,-0.06
2024-01-17,10500.0,114.33,116.0,119.99,115.0,117.9,3.57
2024-01-18,7500.0,103.9,106.0,106.0,97.0,97.0,-6.9
2024-01-19,6000.0,97.0,95.0,95.0,95.0,95.0,2.0
2024-01-22,16000.0,95.0,90.79,95.89,90.79,95.39,0.39
2024-01-25,8000.0,95.39,90.0,92.0,90.0,92.0,-3.39
2024-01-29,24000.0,92.0,98.9,98.9,97.0,97.14,5.14
2024-01-30,35500.0,97.14,94.88,99.0,93.02,97.49,0.35
2024-02-02,4000.0,97.49,92.25,94.99,92.1,94.99,-2.5
2024-02-06,8500.0,94.99,93.11,93.49,90.02,92.7,-2.29
2024-02-07,1000.0,92.7,92.5,92.5,92.5,92.5,-0.2
2024-02-09,1000.0,92.5,92.0,92.0,92.0,92.0,-0.5
2024-02-12,500.0,92.0,92.56,92.56,92.56,92.56,0.56
2024-02-13,1000.0,92.56,92.01,92.01,92.01,92.01,-0.55
2024-02-14,2000.0,92.01,92.5,92.5,92.0,92.0,-0.01
2024-02-15,1000.0,92.0,0.0,0.0,0.0,92.0,0.0
2024-02-16,2500.0,92.0,92.0,94.88,92.0,94.88,2.88
2024-02-20,500.0,94.88,93.0,93.0,93.0,93.0,-1.88
2024-02-22,13500.0,93.0,93.0,93.0,92.0,92.0,1.0
2024-02-29,5000.0,92.0,94.0,94.0,94.0,94.0,2.0
2024-03-04,1000.0,94.0,99.02,99.02,97.98,97.98,3.98
2024-03-07,500.0,97.98,92.25,92.25,92.25,92.25,-5.73
2024-03-19,500.0,92.25,96.0,96.0,96.0,96.0,3.75
2024-03-28,1000.0,96.0,92.0,97.99,92.0,97.99,1.99
2024-04-01,500.0,97.99,95.0,95.0,95.0,95.0,-2.99
2024-04-08,500.0,95.0,99.98,99.98,99.98,99.98,4.98
