Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6000.0,4.1,4.14,4.14,4.1,4.1,0.0
2024-01-02,5500.0,4.1,4.1,4.1,4.02,4.02,-0.08
2024-01-03,3500.0,4.02,4.02,4.14,4.0,4.0,-0.02
2024-01-05,500.0,4.0,4.01,4.01,4.01,4.01,0.01
2024-01-08,14000.0,4.01,4.14,4.39,4.01,4.01,0.0
2024-01-09,500.0,4.01,4.18,4.18,4.18,4.18,0.17
2024-01-10,4500.0,4.18,3.91,4.18,3.91,4.14,-0.04
2024-01-11,2000.0,4.14,4.14,4.14,4.1,4.1,-0.04
2024-01-12,11000.0,4.1,4.09,4.09,3.8,3.8,-0.3
2024-01-15,2500.0,3.8,4.0,4.0,3.77,3.8,0.0
2024-01-17,24500.0,3.8,3.81,3.81,3.79,3.8,0.0
2024-01-18,1000.0,3.8,3.8,3.8,3.8,3.8,0.0
2024-01-23,1000.0,3.8,3.8,3.8,3.8,3.8,0.0
2024-01-24,2000.0,3.8,3.66,3.66,3.64,3.65,-0.15
2024-01-25,1500.0,3.65,3.89,3.89,3.89,3.89,0.24
2024-01-26,11000.0,3.89,3.65,3.75,3.61,3.75,-0.14
2024-01-29,31500.0,3.75,3.6,3.76,3.6,3.74,-0.01
2024-01-30,42500.0,3.74,3.5,3.75,3.5,3.73,-0.01
2024-01-31,8000.0,3.73,3.8,3.94,3.8,3.8,0.07
2024-02-01,9500.0,3.8,3.51,3.89,3.51,3.72,-0.08
2024-02-02,2000.0,3.72,3.88,3.88,3.78,3.78,0.06
2024-02-06,18500.0,3.78,3.72,4.0,3.72,4.0,0.22
2024-02-07,12000.0,4.0,4.0,4.15,4.0,4.15,0.15
2024-02-09,12500.0,4.15,4.0,4.15,4.0,4.15,0.0
2024-02-12,25500.0,4.15,4.01,4.2,4.01,4.1,-0.05
2024-02-13,4000.0,4.1,3.92,4.24,3.92,4.12,0.02
2024-02-14,500.0,4.12,4.34,4.34,4.34,4.34,0.22
2024-02-15,2500.0,4.34,4.2,4.2,4.2,4.2,-0.14
2024-02-16,500.0,4.2,4.11,4.11,4.11,4.11,-0.09
2024-02-19,2000.0,4.11,4.1,4.1,4.1,4.1,-0.01
2024-02-21,3500.0,4.1,4.34,4.34,4.2,4.23,0.13
2024-02-22,107000.0,4.23,3.91,4.34,3.91,4.34,0.11
2024-02-23,11500.0,4.34,4.15,4.34,4.15,4.34,0.0
2024-02-29,8000.0,4.34,3.95,4.19,3.92,4.15,-0.19
2024-03-01,1500.0,4.15,5.0,5.0,4.33,4.33,0.18
2024-03-05,3500.0,4.33,4.0,4.0,3.99,3.99,-0.34
2024-03-07,3000.0,3.99,4.29,4.29,3.83,3.92,-0.07
2024-03-11,3000.0,3.92,3.95,4.1,3.95,4.1,0.18
2024-03-14,9500.0,4.1,3.81,4.0,3.81,4.0,-0.1
2024-03-15,14000.0,4.0,4.0,4.22,4.0,4.12,0.12
2024-03-18,8000.0,4.12,4.3,4.3,4.3,4.3,0.18
2024-03-19,1000.0,4.3,4.43,4.43,4.43,4.43,0.13
2024-03-20,6500.0,4.43,4.48,4.48,4.41,4.41,-0.02
2024-03-21,22500.0,4.41,4.43,4.45,4.25,4.27,-0.14
2024-03-22,27500.0,4.27,4.42,4.43,4.3,4.32,0.05
2024-03-25,659000.0,4.32,5.32,5.32,4.63,4.97,0.65
2024-03-26,148000.0,4.97,5.3,5.3,4.85,4.91,-0.06
2024-03-27,69000.0,4.91,5.0,5.0,4.76,4.82,-0.09
2024-03-28,5000.0,4.82,4.98,4.98,4.5,4.8,-0.02
2024-03-29,18500.0,4.8,4.55,4.88,4.55,4.64,-0.16
2024-04-01,12500.0,4.64,4.84,4.9,4.65,4.85,0.21
2024-04-02,208500.0,4.85,4.85,5.13,4.85,5.12,0.27
