Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,31100.0,328.77,330.0,353.43,330.0,353.15,24.38
2024-01-02,25300.0,353.15,353.22,363.5,350.0,358.76,5.61
2024-01-03,10000.0,358.76,360.01,362.0,355.25,359.25,0.49
2024-01-04,16700.0,359.25,356.15,357.0,350.0,351.63,-7.62
2024-01-05,10700.0,351.63,357.45,360.0,338.0,359.16,7.53
2024-01-08,7200.0,359.16,355.55,365.0,345.22,358.27,-0.89
2024-01-09,2700.0,358.27,359.87,360.0,355.0,355.11,-3.16
2024-01-10,800.0,355.11,351.22,353.85,347.0,353.85,-1.26
2024-01-11,11500.0,353.85,348.0,360.0,345.32,359.42,5.57
2024-01-12,1000.0,359.42,351.23,358.44,351.23,356.84,-2.58
2024-01-15,19400.0,356.84,359.88,361.5,357.0,357.73,0.89
2024-01-16,9700.0,357.73,351.0,360.0,351.0,359.46,1.73
2024-01-17,2400.0,339.46,333.34,340.0,331.22,336.11,-3.35
2024-01-18,2100.0,336.11,330.22,335.0,330.22,335.0,-1.11
2024-01-19,400.0,335.0,335.15,335.15,333.0,333.0,2.0
2024-01-22,7100.0,333.0,337.0,338.78,333.0,336.22,3.22
2024-01-23,13700.0,336.22,335.22,349.0,330.23,348.18,11.96
2024-01-24,1700.0,348.18,349.88,354.87,349.88,353.85,5.67
2024-01-25,900.0,353.85,345.23,354.88,345.23,352.0,-1.85
2024-01-26,2200.0,352.0,350.0,351.0,349.88,350.17,-1.83
2024-01-29,100.0,350.17,332.6,332.6,332.6,332.6,-17.57
2024-01-30,2100.0,332.6,344.88,350.0,343.88,349.2,16.6
2024-01-31,4700.0,349.2,346.0,347.0,344.0,344.69,-4.51
2024-02-01,2600.0,344.69,345.0,345.0,344.25,345.0,0.31
2024-02-02,600.0,345.0,340.0,350.0,340.0,350.0,5.0
2024-02-06,3900.0,350.0,348.0,350.0,345.22,349.9,-0.1
2024-02-07,7500.0,349.9,350.0,350.0,349.99,350.0,0.1
2024-02-09,5400.0,350.0,353.5,376.25,353.5,360.01,10.01
2024-02-12,2400.0,360.01,354.88,360.0,354.88,359.19,-0.82
2024-02-13,1000.0,359.19,349.88,359.0,349.88,358.29,-0.9
2024-02-15,400.0,358.29,345.22,359.88,345.22,359.88,1.59
2024-02-16,200.0,359.88,0.0,0.0,0.0,359.88,0.0
2024-02-19,1700.0,359.88,359.88,360.0,355.0,355.0,-4.88
2024-02-20,100.0,355.0,350.0,350.0,350.0,350.0,5.0
2024-02-21,5100.0,350.0,359.88,360.0,359.88,360.0,10.0
2024-02-22,2000.0,360.0,360.0,360.0,360.0,360.0,0.0
2024-02-26,10000.0,360.0,356.0,380.0,345.0,364.91,4.91
2024-02-28,1700.0,364.91,365.0,365.0,364.9,364.95,0.04
2024-02-29,800.0,364.95,366.0,366.0,360.21,361.0,-3.95
2024-03-01,1100.0,361.0,360.0,360.0,350.22,353.4,-7.6
2024-03-04,100.0,353.4,360.0,360.0,360.0,360.0,6.6
2024-03-05,1900.0,360.0,355.22,365.0,355.22,364.91,4.91
2024-03-06,900.0,364.91,364.88,364.88,360.0,364.88,-0.03
2024-03-07,700.0,364.88,361.01,361.01,360.0,360.0,-4.88
2024-03-08,800.0,360.0,360.0,364.88,355.22,364.88,4.88
2024-03-11,3500.0,364.88,367.98,373.0,364.0,373.0,8.12
2024-03-12,5500.0,373.0,374.88,394.88,374.0,390.28,17.28
2024-03-13,2800.0,390.28,394.88,404.88,394.88,401.08,10.8
2024-03-14,800.0,401.08,425.0,425.0,390.22,400.0,-1.08
2024-03-15,300.0,400.0,392.0,399.88,390.22,399.88,-0.12
2024-03-18,2400.0,399.88,399.0,399.89,390.0,391.78,-8.1
2024-03-19,1100.0,391.78,399.88,401.0,396.22,398.44,6.66
2024-03-20,6400.0,398.44,404.88,428.32,404.88,427.94,29.5
2024-03-21,3800.0,427.94,439.88,454.5,400.0,403.65,-24.29
2024-03-22,1100.0,403.65,418.0,418.0,400.72,409.88,6.23
2024-03-25,2300.0,409.88,419.0,419.88,400.02,409.88,0.0
2024-03-26,4500.0,409.88,413.99,440.62,413.99,440.62,30.74
2024-03-27,6800.0,440.62,439.88,473.67,430.22,472.0,31.38
2024-03-28,9400.0,472.0,499.87,507.4,498.88,507.4,35.4
2024-03-29,6100.0,507.4,506.0,545.46,505.0,543.03,35.63
2024-04-01,1100.0,543.03,568.0,578.88,568.0,574.5,31.47
2024-04-02,2500.0,574.5,577.0,577.0,560.0,570.0,-4.5
2024-04-03,1900.0,570.0,550.22,555.0,540.0,541.46,-28.54
2024-04-04,5700.0,541.46,540.0,582.07,540.0,582.07,40.61
2024-04-08,5700.0,582.07,600.0,625.73,599.0,624.0,41.93
2024-04-09,2900.0,624.0,620.0,620.0,582.25,593.69,-30.31
2024-04-15,1600.0,593.69,585.0,599.0,582.01,598.17,4.48
2024-04-16,11500.0,598.17,562.5,562.5,553.31,553.31,-44.86
2024-04-17,8100.0,553.31,512.15,580.0,512.15,573.81,20.5
2024-04-18,1600.0,573.81,582.5,585.0,551.22,551.22,-22.59
2024-04-19,1800.0,551.22,579.98,585.0,532.5,574.51,23.29
2024-04-22,5427.0,574.51,579.99,590.0,531.42,538.48,-36.03
2024-04-23,3299.0,538.48,538.45,575.0,502.5,547.2,8.72
2024-04-24,1237.0,547.2,572.99,572.99,522.3,559.87,12.67
2024-04-25,1426.0,559.87,550.0,570.0,550.0,562.74,2.87
2024-04-26,10.0,562.74,562.74,562.74,562.74,562.74,0.0
2024-04-29,4614.0,562.74,535.0,599.98,535.0,575.0,12.26
2024-05-02,528.0,575.0,540.05,581.0,540.05,574.99,-0.01
2024-05-03,2907.0,574.99,573.99,598.99,535.61,550.38,-24.61
2024-05-06,1941.0,550.38,535.61,555.0,510.0,555.0,4.62
2024-05-07,19970.0,555.0,534.0,596.63,534.0,590.0,35.0
2024-05-08,40.0,590.0,555.12,589.9,555.12,590.0,0.0
2024-05-09,41.0,590.0,551.0,589.0,551.0,590.0,0.0
2024-05-10,14.0,590.0,550.25,589.5,550.25,590.0,0.0
2024-05-13,403.0,590.0,565.0,590.0,555.01,590.0,0.0
2024-05-14,1244.0,590.0,590.0,595.0,590.0,595.0,5.0
2024-05-15,1661.0,595.0,590.0,594.0,590.0,590.0,5.0
2024-05-16,2.0,590.0,590.0,590.0,590.0,590.0,0.0
2024-05-17,1000.0,590.0,590.0,590.0,590.0,590.0,0.0
2024-05-20,800.0,590.0,590.0,590.0,590.0,590.0,0.0
2024-05-21,1347.0,590.0,590.0,599.98,560.0,567.35,-22.65
2024-05-22,20619.0,567.35,588.83,609.85,584.01,588.58,21.23
2024-05-23,2512.0,588.58,600.0,600.0,566.49,599.91,11.33
