Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,25500.0,8.3,8.69,8.75,8.51,8.51,0.21
2024-01-03,7500.0,8.51,8.65,8.65,8.65,8.65,0.14
2024-01-17,500.0,8.65,8.6,8.6,8.6,8.6,-0.05
2024-01-18,1000.0,8.6,7.7,8.65,7.7,8.65,0.05
2024-01-25,1000.0,8.65,8.8,8.8,8.8,8.8,0.15
2024-02-01,2000.0,8.8,9.6,9.7,9.6,9.7,0.9
2024-02-02,4500.0,9.7,9.9,9.9,9.05,9.7,0.0
2024-02-12,2500.0,9.7,8.7,8.9,8.7,8.77,-0.93
2024-02-13,1000.0,8.77,9.0,9.0,9.0,9.0,0.23
2024-02-19,1500.0,9.0,9.1,9.1,9.1,9.1,0.1
2024-02-22,27500.0,9.1,9.51,9.55,9.5,9.55,0.45
2024-02-23,2000.0,9.55,9.5,9.5,9.25,9.25,-0.3
2024-02-26,1000.0,9.25,9.35,9.35,9.35,9.35,0.1
2024-02-27,11000.0,9.35,9.7,9.7,9.0,9.01,-0.34
2024-02-28,500.0,9.01,9.25,9.25,9.25,9.25,0.24
2024-02-29,2500.0,9.25,9.4,9.4,9.4,9.4,0.15
2024-03-06,6000.0,9.4,9.0,9.0,8.75,8.75,-0.65
2024-03-07,500.0,8.75,8.8,8.8,8.8,8.8,0.05
2024-03-08,1000.0,8.8,9.7,9.7,9.7,9.7,0.9
2024-03-18,500.0,9.7,9.75,9.75,9.75,9.75,0.05
2024-03-20,500.0,9.75,9.01,9.01,9.01,9.01,-0.74
2024-03-21,9500.0,9.01,9.35,9.35,9.1,9.12,0.11
2024-04-01,1000.0,9.12,9.48,9.49,9.48,9.49,0.37
2024-04-02,2500.0,9.49,9.4,9.5,9.4,9.5,0.01
2024-04-09,4500.0,9.5,9.5,9.5,9.25,9.25,-0.25
2024-04-15,3500.0,9.25,9.4,9.4,9.21,9.3,0.05
2024-04-18,500.0,9.3,9.5,9.5,9.5,9.5,0.2
2024-04-23,9000.0,9.5,10.5,10.5,10.0,10.35,0.85
2024-04-24,1000.0,10.35,9.7,10.11,9.7,10.11,-0.24
2024-04-26,1500.0,10.11,10.07,10.07,10.07,10.07,-0.04
2024-04-29,6500.0,10.07,10.5,10.5,10.25,10.5,0.43
2024-04-30,6000.0,10.5,10.5,10.5,10.4,10.4,-0.1
2024-05-02,1000.0,10.4,10.25,10.25,10.25,10.25,-0.15
2024-05-03,1500.0,10.25,10.1,10.1,10.1,10.1,-0.15
2024-05-07,12500.0,10.1,10.35,10.69,10.0,10.5,0.4
2024-05-08,6000.0,10.5,10.15,10.5,10.15,10.5,0.0
2024-05-09,4000.0,10.5,10.65,10.65,10.59,10.6,0.1
2024-05-10,2000.0,10.6,10.53,10.84,10.53,10.84,0.24
2024-05-13,500.0,10.84,10.3,10.3,10.3,10.3,-0.54
2024-05-15,7500.0,10.3,10.5,10.9,10.5,10.9,0.6
2024-05-16,9000.0,10.9,10.9,10.9,10.5,10.5,-0.4
2024-05-17,11500.0,10.5,10.5,10.9,10.5,10.84,0.34
2024-05-20,1500.0,10.84,10.6,10.6,10.6,10.6,-0.24
2024-05-22,1500.0,10.6,10.7,10.7,10.69,10.69,0.09
2024-05-23,6000.0,10.69,10.79,10.79,10.75,10.75,0.06
2024-05-27,2.0,10.75,11.09,11.09,11.09,10.75,0.0
2024-05-29,4032.0,10.75,11.69,11.69,10.5,10.5,-0.25
2024-05-30,1.0,10.5,10.84,10.84,10.84,10.5,0.0
2024-05-31,10031.0,10.5,10.6,10.8,10.6,10.79,0.29
2024-06-03,9502.0,10.79,10.3,10.79,10.3,10.79,0.0
2024-06-04,1691.0,10.79,10.41,10.9,10.4,10.58,-0.21
2024-06-05,1116.0,10.58,10.7,10.88,10.6,10.6,0.02
2024-06-06,5000.0,10.6,10.5,10.5,10.4,10.4,-0.2
2024-06-07,4289.0,10.4,10.9,10.9,10.5,10.5,0.1
2024-06-11,100.0,10.5,0.0,0.0,0.0,10.5,0.0
2024-06-13,4000.0,10.5,10.5,10.5,10.36,10.44,-0.06
2024-06-14,2.0,10.44,10.35,10.6,10.35,10.44,0.0
2024-06-20,9750.0,10.44,10.6,10.6,10.3,10.33,-0.11
2024-06-21,10002.0,10.33,10.37,10.66,10.31,10.62,0.29
2024-06-25,5012.0,10.62,10.65,10.7,10.55,10.55,-0.07
2024-06-26,130.0,10.55,10.85,10.85,10.75,10.55,0.0
2024-06-28,3101.0,10.55,10.35,10.35,10.31,10.31,-0.24
2024-07-01,9000.0,10.31,10.36,10.36,10.35,10.35,0.04
2024-07-02,152.0,10.35,10.78,10.78,10.47,10.35,0.0
2024-07-03,505.0,10.35,10.73,10.73,10.7,10.7,0.35
2024-07-04,501.0,10.7,10.7,10.7,10.7,10.7,0.0
2024-07-05,5554.0,10.7,10.7,11.69,10.7,10.9,0.2
2024-07-08,500.0,10.9,10.9,10.95,10.9,10.95,0.05
2024-07-09,1881.0,10.95,10.56,11.45,10.55,11.45,0.5
2024-07-10,516.0,11.45,11.3,11.3,10.7,11.0,-0.45
2024-07-11,4526.0,11.0,11.0,11.47,10.86,11.03,0.03
2024-07-12,1.0,11.03,0.0,0.0,0.0,11.03,0.0
2024-07-15,2501.0,11.03,11.19,11.19,11.18,11.19,0.16
2024-07-18,1001.0,11.19,12.15,12.15,11.3,11.3,0.11
2024-07-19,510.0,11.3,10.75,10.75,10.75,10.75,-0.55
2024-07-22,1000.0,10.75,10.6,10.6,10.6,10.6,-0.15
2024-07-24,1.0,10.6,11.24,11.24,11.24,10.6,0.0
2024-07-25,5509.0,10.6,11.0,11.63,10.51,10.51,-0.09
2024-07-29,912.0,10.51,11.55,11.55,11.49,11.5,0.99
2024-07-30,4.0,11.5,11.0,11.11,11.0,11.5,0.0
2024-07-31,4120.0,11.5,11.31,11.35,11.12,11.12,-0.38
2024-08-01,7210.0,11.12,11.04,11.25,10.99,11.25,0.13
2024-08-05,61.0,11.25,12.24,12.24,10.25,11.25,0.0
2024-08-06,4.0,11.25,10.51,10.61,10.51,11.25,0.0
2024-08-07,3.0,11.25,0.0,0.0,0.0,11.25,0.0
2024-08-08,607.0,11.25,11.11,11.74,11.11,11.23,-0.02
2024-08-09,500.0,11.23,11.0,11.0,11.0,11.0,-0.23
2024-08-12,3501.0,11.0,10.9,10.9,10.51,10.8,-0.2
2024-08-13,2000.0,10.8,10.9,10.9,10.9,10.9,0.1
2024-08-15,212.0,10.9,11.86,11.87,11.86,10.9,0.0
2024-08-16,3660.0,10.9,11.0,11.94,11.0,11.43,0.53
2024-08-19,2513.0,11.43,11.02,11.44,11.0,11.01,-0.42
2024-08-20,5529.0,11.01,12.11,12.11,11.01,11.22,0.21
2024-08-21,7901.0,11.22,11.85,11.85,11.1,11.7,0.48
2024-08-22,9502.0,11.7,12.5,12.87,11.01,11.21,-0.49
2024-08-23,18287.0,11.21,11.05,12.25,11.05,11.7,0.49
2024-08-26,3929.0,11.7,11.1,12.4,11.1,12.0,0.3
2024-08-27,3602.0,12.0,12.0,12.0,12.0,12.0,0.0
2024-08-28,9471.0,12.0,12.0,12.0,11.15,11.97,-0.03
2024-08-30,4410.0,11.97,11.5,12.0,11.3,11.36,-0.61
2024-09-02,2000.0,11.36,0.0,0.0,0.0,11.36,0.0
2024-09-04,1801.0,11.36,11.65,11.65,11.65,11.65,0.29
2024-09-05,250.0,11.65,11.98,11.98,11.98,11.65,0.0
2024-09-06,15228.0,11.65,11.99,12.16,11.5,11.55,-0.1
2024-09-09,11501.0,11.55,11.52,11.95,11.52,11.76,0.21
2024-09-10,600.0,11.76,11.96,11.96,11.89,11.89,0.13
2024-09-11,20370.0,11.89,11.97,11.98,11.01,11.55,-0.34
2024-09-12,135157.0,11.55,12.25,12.25,10.4,11.01,-0.54
2024-09-13,29088.0,11.01,11.02,11.02,10.75,10.8,-0.21
2024-09-16,43717.0,10.8,11.42,11.42,10.3,10.42,-0.38
2024-09-18,2814.0,10.42,10.15,10.94,10.15,10.5,0.08
