Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-04-22,6316832.0,12.0,13.0,13.0,12.0,12.1,0.1
2024-04-23,1789775.0,12.1,12.2,12.25,11.1,11.54,-0.56
2024-04-24,1087159.0,11.54,11.7,11.95,11.57,11.63,0.09
2024-04-25,1933131.0,11.63,11.69,12.15,11.4,11.55,-0.08
2024-04-26,492384.0,11.55,11.55,11.6,11.13,11.38,-0.17
2024-04-29,3030314.0,11.38,11.6,11.6,10.9,11.2,-0.18
2024-04-30,1433363.0,11.2,11.1,11.35,10.92,11.06,-0.14
2024-05-02,463484.0,11.06,10.9,11.09,10.75,10.86,-0.2
2024-05-03,2908899.0,10.86,10.75,10.89,10.0,10.66,-0.2
2024-05-06,1811510.0,10.66,10.5,10.79,9.8,10.55,-0.11
2024-05-07,6320298.0,10.55,10.48,10.55,9.55,9.64,-0.91
2024-05-08,22724626.0,9.64,9.74,9.96,8.95,9.71,0.07
2024-05-09,11093008.0,9.71,9.8,10.29,9.5,9.84,0.13
2024-05-10,3926912.0,9.84,9.91,9.91,9.12,9.28,-0.56
2024-05-13,3479078.0,9.28,9.39,9.84,9.24,9.44,0.16
2024-05-14,556500.0,9.44,9.42,9.6,9.29,9.35,-0.09
2024-05-15,488709.0,9.35,9.31,9.6,9.31,9.41,0.06
2024-05-16,493004.0,9.41,9.3,9.5,9.2,9.28,-0.13
2024-05-17,356134.0,9.28,9.33,9.4,9.2,9.25,-0.03
2024-05-20,420723.0,9.25,9.29,9.29,8.99,9.01,-0.24
2024-05-21,1221589.0,9.01,8.98,9.01,8.75,8.78,-0.23
2024-05-22,802613.0,8.78,8.62,8.97,8.3,8.62,-0.16
2024-05-23,4677385.0,8.62,8.7,9.57,8.69,9.41,0.79
2024-05-24,1780981.0,9.41,9.52,9.65,9.16,9.23,-0.18
2024-05-27,918363.0,9.23,9.1,9.14,8.9,8.96,-0.27
2024-05-29,321906.0,8.96,8.95,8.95,8.7,8.81,-0.15
2024-05-30,224411.0,8.81,8.8,9.05,8.79,8.94,0.13
2024-05-31,117141.0,8.94,9.08,9.1,8.7,8.88,-0.06
2024-06-03,266375.0,8.88,9.0,9.0,8.65,8.95,0.07
2024-06-04,2083345.0,8.95,8.78,8.81,8.5,8.75,-0.2
2024-06-05,280548.0,8.75,8.69,8.93,8.66,8.89,0.14
2024-06-06,1878870.0,8.89,8.89,9.45,8.72,8.95,0.06
2024-06-07,208473.0,8.95,9.01,9.01,8.7,8.83,-0.12
2024-06-10,63846.0,8.83,8.88,8.88,8.71,8.73,-0.1
2024-06-11,84483.0,8.73,8.89,8.89,8.55,8.61,-0.12
2024-06-12,151319.0,8.61,8.69,8.79,8.61,8.64,0.03
2024-06-13,1213626.0,8.64,8.5,8.88,8.5,8.55,-0.09
2024-06-14,420390.0,8.55,8.85,8.85,8.4,8.47,-0.08
2024-06-20,315139.0,8.47,8.55,8.9,8.55,8.65,0.18
2024-06-21,149658.0,8.65,8.79,8.85,8.53,8.59,-0.06
2024-06-24,1812732.0,8.59,8.54,8.7,8.49,8.56,-0.03
